         time tilt_local... 
------------- ------------- 
 1.193087e-04 -3.710207e-02 
 5.170043e-04 -3.710207e-02 
 9.146999e-04 -3.708226e-02 
 1.312396e-03 -3.686434e-02 
 1.710091e-03 -3.639401e-02 
 2.107787e-03 -3.589137e-02 
 2.505482e-03 -3.538324e-02 
 2.903178e-03 -3.479237e-02 
 3.300874e-03 -3.408824e-02 
 3.698569e-03 -3.325403e-02 
 4.096265e-03 -3.226758e-02 
 4.493961e-03 -3.116179e-02 
 4.891656e-03 -2.997161e-02 
 5.289352e-03 -2.869915e-02 
 5.687047e-03 -2.733146e-02 
 6.084743e-03 -2.590529e-02 
 6.482439e-03 -2.441653e-02 
 6.880134e-03 -2.284280e-02 
 7.277830e-03 -2.117796e-02 
 7.675526e-03 -1.942605e-02 
 8.073221e-03 -1.757743e-02 
 8.470917e-03 -1.563524e-02 
 8.868613e-03 -1.362670e-02 
 9.266308e-03 -1.157571e-02 
 9.664004e-03 -9.488994e-03 
 1.006170e-02 -7.306611e-03 
 1.045940e-02 -4.957661e-03 
 1.085709e-02 -2.583014e-03 
 1.125479e-02 -3.232583e-04 
 1.165248e-02  1.995606e-03 
 1.205018e-02  4.473728e-03 
 1.244787e-02  7.035836e-03 
 1.284557e-02  9.571123e-03 
 1.324326e-02  1.216108e-02 
 1.364096e-02  1.482947e-02 
 1.403866e-02  1.751492e-02 
 1.443635e-02  2.023505e-02 
 1.483405e-02  2.289652e-02 
 1.523174e-02  2.550900e-02 
 1.562944e-02  2.808309e-02 
 1.602713e-02  3.070641e-02 
 1.642483e-02  3.341017e-02 
 1.682253e-02  3.618923e-02 
 1.722022e-02  3.902259e-02 
 1.761792e-02  4.190115e-02 
 1.801561e-02  4.481925e-02 
 1.841331e-02  4.775831e-02 
 1.881100e-02  5.072470e-02 
 1.920870e-02  5.371170e-02 
 1.960639e-02  5.672865e-02 
 2.000409e-02  5.979053e-02 
 2.040179e-02  6.293716e-02 
 2.079948e-02  6.620802e-02 
 2.119718e-02  6.956049e-02 
 2.159487e-02  7.285408e-02 
 2.199257e-02  7.613490e-02 
 2.239026e-02  7.959312e-02 
 2.278796e-02  8.319490e-02 
 2.318566e-02  8.681154e-02 
 2.358335e-02  9.044258e-02 
 2.398105e-02  9.417265e-02 
 2.437874e-02  9.799770e-02 
 2.477644e-02  1.018377e-01 
 2.517413e-02  1.057458e-01 
 2.557183e-02  1.096724e-01 
 2.596952e-02  1.136360e-01 
 2.636722e-02  1.176583e-01 
 2.676492e-02  1.217651e-01 
 2.716261e-02  1.259513e-01 
 2.756031e-02  1.301264e-01 
 2.795800e-02  1.343157e-01 
 2.835570e-02  1.385356e-01 
 2.875339e-02  1.428711e-01 
 2.915109e-02  1.471817e-01 
 2.954879e-02  1.515423e-01 
 2.994648e-02  1.558022e-01 
 3.034418e-02  1.601781e-01 
 3.074187e-02  1.644662e-01 
 3.113957e-02  1.687439e-01 
 3.153726e-02  1.730071e-01 
 3.193496e-02  1.771936e-01 
 3.233265e-02  1.813581e-01 
 3.273035e-02  1.855035e-01 
 3.312805e-02  1.897393e-01 
 3.352574e-02  1.938032e-01 
 3.392344e-02  1.977509e-01 
 3.432113e-02  2.015667e-01 
 3.471883e-02  2.053056e-01 
 3.511652e-02  2.089952e-01 
 3.551422e-02  2.126295e-01 
 3.591192e-02  2.162258e-01 
 3.630961e-02  2.197288e-01 
 3.670731e-02  2.231575e-01 
 3.710500e-02  2.264797e-01 
 3.750270e-02  2.296753e-01 
 3.790039e-02  2.326542e-01 
 3.829809e-02  2.354469e-01 
 3.869578e-02  2.381303e-01 
 3.909348e-02  2.407859e-01 
 3.949118e-02  2.433330e-01 
 3.988887e-02  2.457841e-01 
 4.028657e-02  2.481141e-01 
 4.068426e-02  2.503146e-01 
 4.108196e-02  2.524121e-01 
 4.147965e-02  2.543150e-01 
 4.187735e-02  2.560410e-01 
 4.227505e-02  2.575976e-01 
 4.267274e-02  2.589589e-01 
 4.307044e-02  2.601873e-01 
 4.346813e-02  2.613464e-01 
 4.386583e-02  2.623700e-01 
 4.426352e-02  2.631806e-01 
 4.466122e-02  2.638369e-01 
 4.505891e-02  2.644003e-01 
 4.545661e-02  2.648455e-01 
 4.585431e-02  2.651402e-01 
 4.625200e-02  2.652429e-01 
 4.664970e-02  2.651940e-01 
 4.704739e-02  2.649735e-01 
 4.744509e-02  2.646248e-01 
 4.784278e-02  2.641990e-01 
 4.824048e-02  2.636633e-01 
 4.863818e-02  2.629771e-01 
 4.903587e-02  2.621727e-01 
 4.943357e-02  2.613112e-01 
 4.983126e-02  2.603291e-01 
 5.022896e-02  2.591429e-01 
 5.062665e-02  2.578171e-01 
 5.102435e-02  2.563839e-01 
 5.142204e-02  2.549967e-01 
 5.181974e-02  2.535243e-01 
 5.221744e-02  2.519623e-01 
 5.261513e-02  2.503496e-01 
 5.301283e-02  2.486535e-01 
 5.341052e-02  2.468113e-01 
 5.380822e-02  2.448762e-01 
 5.420591e-02  2.428213e-01 
 5.460361e-02  2.406631e-01 
 5.500131e-02  2.384178e-01 
 5.539900e-02  2.361735e-01 
 5.579670e-02  2.338812e-01 
 5.619439e-02  2.315585e-01 
 5.659209e-02  2.291478e-01 
 5.698978e-02  2.266254e-01 
 5.738748e-02  2.240227e-01 
 5.778517e-02  2.213226e-01 
 5.818287e-02  2.185746e-01 
 5.858057e-02  2.157659e-01 
 5.897826e-02  2.128576e-01 
 5.937596e-02  2.098649e-01 
 5.977365e-02  2.068365e-01 
 6.017135e-02  2.037731e-01 
 6.056904e-02  2.005834e-01 
 6.096674e-02  1.972585e-01 
 6.136444e-02  1.939042e-01 
 6.176213e-02  1.904843e-01 
 6.215983e-02  1.869555e-01 
 6.255752e-02  1.833043e-01 
 6.295522e-02  1.795772e-01 
 6.335291e-02  1.757709e-01 
 6.375061e-02  1.718925e-01 
 6.414830e-02  1.679896e-01 
 6.454600e-02  1.641020e-01 
 6.494370e-02  1.601500e-01 
 6.534139e-02  1.560846e-01 
 6.573909e-02  1.519716e-01 
 6.613678e-02  1.478193e-01 
 6.653448e-02  1.435890e-01 
 6.693217e-02  1.393027e-01 
 6.732987e-02  1.350036e-01 
 6.772757e-02  1.307120e-01 
 6.812526e-02  1.264590e-01 
 6.852296e-02  1.222711e-01 
 6.892065e-02  1.180934e-01 
 6.931835e-02  1.138745e-01 
 6.971604e-02  1.095939e-01 
 7.011374e-02  1.053261e-01 
 7.051143e-02  1.011087e-01 
 7.090913e-02  9.689643e-02 
 7.130683e-02  9.269576e-02 
 7.170452e-02  8.852784e-02 
 7.210222e-02  8.447538e-02 
 7.249991e-02  8.050699e-02 
 7.289761e-02  7.655841e-02 
 7.329530e-02  7.260762e-02 
 7.369300e-02  6.871271e-02 
 7.409070e-02  6.490794e-02 
 7.448839e-02  6.114778e-02 
 7.488609e-02  5.749124e-02 
 7.528378e-02  5.390845e-02 
 7.568148e-02  5.036693e-02 
 7.607917e-02  4.689983e-02 
 7.647687e-02  4.349976e-02 
 7.687456e-02  4.019500e-02 
 7.727226e-02  3.695106e-02 
 7.766996e-02  3.379793e-02 
 7.806765e-02  3.069560e-02 
 7.846535e-02  2.766618e-02 
 7.886304e-02  2.476051e-02 
 7.926074e-02  2.195320e-02 
 7.965843e-02  1.922828e-02 
 8.005613e-02  1.655544e-02 
 8.045383e-02  1.397984e-02 
 8.085152e-02  1.151256e-02 
 8.124922e-02  9.108625e-03 
 8.164691e-02  6.675696e-03 
 8.204461e-02  4.263249e-03 
 8.244230e-02  1.935501e-03 
 8.284000e-02 -3.053612e-04 
 8.323769e-02 -2.512249e-03 
 8.363539e-02 -4.647116e-03 
 8.403309e-02 -6.715016e-03 
 8.443078e-02 -8.696595e-03 
 8.482848e-02 -1.063678e-02 
 8.522617e-02 -1.254705e-02 
 8.562387e-02 -1.445643e-02 
 8.602156e-02 -1.635778e-02 
 8.641926e-02 -1.822659e-02 
 8.681696e-02 -2.001590e-02 
 8.721465e-02 -2.171586e-02 
 8.761235e-02 -2.337168e-02 
 8.801004e-02 -2.503385e-02 
 8.840774e-02 -2.673116e-02 
 8.880543e-02 -2.844825e-02 
 8.920313e-02 -3.020081e-02 
 8.960082e-02 -3.200670e-02 
 8.999852e-02 -3.383082e-02 
 9.039622e-02 -3.564068e-02 
 9.079391e-02 -3.743283e-02 
 9.119161e-02 -3.917331e-02 
 9.158930e-02 -4.088615e-02 
 9.198700e-02 -4.264151e-02 
 9.238469e-02 -4.449052e-02 
 9.278239e-02 -4.638073e-02 
 9.318009e-02 -4.824450e-02 
 9.357778e-02 -5.013152e-02 
 9.397548e-02 -5.210806e-02 
 9.437317e-02 -5.407853e-02 
 9.477087e-02 -5.596063e-02 
 9.516856e-02 -5.777549e-02 
 9.556626e-02 -5.955251e-02 
 9.596396e-02 -6.131873e-02 
 9.636165e-02 -6.309610e-02 
 9.675935e-02 -6.490209e-02 
 9.715704e-02 -6.671283e-02 
 9.755474e-02 -6.851083e-02 
 9.795243e-02 -7.035350e-02 
 9.835013e-02 -7.224855e-02 
 9.874782e-02 -7.419008e-02 
 9.914552e-02 -7.618064e-02 
 9.954322e-02 -7.817703e-02 
 9.994091e-02 -8.021787e-02 
 1.003386e-01 -8.232498e-02 
 1.007363e-01 -8.450921e-02 
 1.011340e-01 -8.673765e-02 
 1.015317e-01 -8.899054e-02 
 1.019294e-01 -9.126486e-02 
 1.023271e-01 -9.354991e-02 
 1.027248e-01 -9.585321e-02 
 1.031225e-01 -9.811140e-02 
 1.035202e-01 -1.003078e-01 
 1.039179e-01 -1.024734e-01 
 1.043156e-01 -1.046620e-01 
 1.047133e-01 -1.068602e-01 
 1.051110e-01 -1.090248e-01 
 1.055087e-01 -1.111475e-01 
 1.059063e-01 -1.132317e-01 
 1.063040e-01 -1.152184e-01 
 1.067017e-01 -1.171426e-01 
 1.070994e-01 -1.190124e-01 
 1.074971e-01 -1.208173e-01 
 1.078948e-01 -1.225170e-01 
 1.082925e-01 -1.241988e-01 
 1.086902e-01 -1.259250e-01 
 1.090879e-01 -1.276280e-01 
 1.094856e-01 -1.292422e-01 
 1.098833e-01 -1.307369e-01 
 1.102810e-01 -1.321520e-01 
 1.106787e-01 -1.334754e-01 
 1.110764e-01 -1.346605e-01 
 1.114741e-01 -1.357381e-01 
 1.118718e-01 -1.367406e-01 
 1.122695e-01 -1.376331e-01 
 1.126672e-01 -1.383663e-01 
 1.130649e-01 -1.389888e-01 
 1.134626e-01 -1.394998e-01 
 1.138603e-01 -1.398057e-01 
 1.142580e-01 -1.398986e-01 
 1.146556e-01 -1.398447e-01 
 1.150533e-01 -1.396231e-01 
 1.154510e-01 -1.391922e-01 
 1.158487e-01 -1.385221e-01 
 1.162464e-01 -1.376605e-01 
 1.166441e-01 -1.366380e-01 
 1.170418e-01 -1.354683e-01 
 1.174395e-01 -1.341654e-01 
 1.178372e-01 -1.327291e-01 
 1.182349e-01 -1.311438e-01 
 1.186326e-01 -1.294211e-01 
 1.190303e-01 -1.275731e-01 
 1.194280e-01 -1.255911e-01 
 1.198257e-01 -1.234168e-01 
 1.202234e-01 -1.210542e-01 
 1.206211e-01 -1.185678e-01 
 1.210188e-01 -1.159852e-01 
 1.214165e-01 -1.133271e-01 
 1.218142e-01 -1.105456e-01 
 1.222119e-01 -1.076391e-01 
 1.226096e-01 -1.046208e-01 
 1.230073e-01 -1.014519e-01 
 1.234050e-01 -9.811308e-02 
 1.238026e-01 -9.461634e-02 
 1.242003e-01 -9.095475e-02 
 1.245980e-01 -8.711646e-02 
 1.249957e-01 -8.315857e-02 
 1.253934e-01 -7.913233e-02 
 1.257911e-01 -7.500968e-02 
 1.261888e-01 -7.079920e-02 
 1.265865e-01 -6.651943e-02 
 1.269842e-01 -6.222090e-02 
 1.273819e-01 -5.792081e-02 
 1.277796e-01 -5.363153e-02 
 1.281773e-01 -4.936830e-02 
 1.285750e-01 -4.507950e-02 
 1.289727e-01 -4.078426e-02 
 1.293704e-01 -3.655534e-02 
 1.297681e-01 -3.237569e-02 
 1.301658e-01 -2.817458e-02 
 1.305635e-01 -2.397602e-02 
 1.309612e-01 -1.986156e-02 
 1.313589e-01 -1.585459e-02 
 1.317566e-01 -1.193520e-02 
 1.321543e-01 -8.089728e-03 
 1.325520e-01 -4.323243e-03 
 1.329496e-01 -6.573267e-04 
 1.333473e-01  2.942268e-03 
 1.337450e-01  6.477811e-03 
 1.341427e-01  9.918294e-03 
 1.345404e-01  1.329247e-02 
 1.349381e-01  1.664582e-02 
 1.353358e-01  1.993671e-02 
 1.357335e-01  2.310683e-02 
 1.361312e-01  2.619061e-02 
 1.365289e-01  2.921599e-02 
 1.369266e-01  3.214898e-02 
 1.373243e-01  3.499171e-02 
 1.377220e-01  3.775464e-02 
 1.381197e-01  4.046561e-02 
 1.385174e-01  4.317164e-02 
 1.389151e-01  4.588075e-02 
 1.393128e-01  4.860552e-02 
 1.397105e-01  5.129071e-02 
 1.401082e-01  5.388595e-02 
 1.405059e-01  5.640193e-02 
 1.409036e-01  5.887142e-02 
 1.413013e-01  6.129807e-02 
 1.416990e-01  6.361958e-02 
 1.420966e-01  6.585568e-02 
 1.424943e-01  6.808360e-02 
 1.428920e-01  7.029332e-02 
 1.432897e-01  7.241935e-02 
 1.436874e-01  7.442564e-02 
 1.440851e-01  7.630078e-02 
 1.444828e-01  7.803380e-02 
 1.448805e-01  7.960980e-02 
 1.452782e-01  8.104559e-02 
 1.456759e-01  8.232533e-02 
