         time total_shea... 
------------- ------------- 
 1.193087e-04 -5.086723e-01 
 5.170043e-04 -2.352744e-01 
 9.146999e-04 -5.741918e-02 
 1.312396e-03  6.388978e-02 
 1.710091e-03  1.672458e-01 
 2.107787e-03  2.653819e-01 
 2.505482e-03  3.501478e-01 
 2.903178e-03  4.350363e-01 
 3.300874e-03  5.027548e-01 
 3.698569e-03  5.898188e-01 
 4.096265e-03  7.226057e-01 
 4.493961e-03  8.787812e-01 
 4.891656e-03  1.080541e+00 
 5.289352e-03  1.296447e+00 
 5.687047e-03  1.518462e+00 
 6.084743e-03  1.726137e+00 
 6.482439e-03  1.918029e+00 
 6.880134e-03  2.084045e+00 
 7.277830e-03  2.226017e+00 
 7.675526e-03  2.342215e+00 
 8.073221e-03  2.454496e+00 
 8.470917e-03  2.584055e+00 
 8.868613e-03  2.741150e+00 
 9.266308e-03  2.928913e+00 
 9.664004e-03  3.116114e+00 
 1.006170e-02  3.234573e+00 
 1.045940e-02  3.334414e+00 
 1.085709e-02  3.589036e+00 
 1.125479e-02  3.827270e+00 
 1.165248e-02  3.784491e+00 
 1.205018e-02  3.736013e+00 
 1.244787e-02  3.783269e+00 
 1.284557e-02  3.878219e+00 
 1.324326e-02  4.036540e+00 
 1.364096e-02  4.150895e+00 
 1.403866e-02  4.266144e+00 
 1.443635e-02  4.327338e+00 
 1.483405e-02  4.378112e+00 
 1.523174e-02  4.375519e+00 
 1.562944e-02  4.350190e+00 
 1.602713e-02  4.294032e+00 
 1.642483e-02  4.273219e+00 
 1.682253e-02  4.283776e+00 
 1.722022e-02  4.306109e+00 
 1.761792e-02  4.312461e+00 
 1.801561e-02  4.304581e+00 
 1.841331e-02  4.295412e+00 
 1.881100e-02  4.288607e+00 
 1.920870e-02  4.314585e+00 
 1.960639e-02  4.344843e+00 
 2.000409e-02  4.351238e+00 
 2.040179e-02  4.300304e+00 
 2.079948e-02  4.221903e+00 
 2.119718e-02  4.210843e+00 
 2.159487e-02  4.287335e+00 
 2.199257e-02  4.273015e+00 
 2.239026e-02  4.177019e+00 
 2.278796e-02  4.195193e+00 
 2.318566e-02  4.258621e+00 
 2.358335e-02  4.302791e+00 
 2.398105e-02  4.349016e+00 
 2.437874e-02  4.295693e+00 
 2.477644e-02  4.253053e+00 
 2.517413e-02  4.222363e+00 
 2.557183e-02  4.201711e+00 
 2.596952e-02  4.233466e+00 
 2.636722e-02  4.257691e+00 
 2.676492e-02  4.318012e+00 
