         time rel_disp_t... 
------------- ------------- 
 4.011442e-04  4.559356e-01 
 8.031504e-04  4.548756e-01 
 1.205157e-03  4.538905e-01 
 1.607163e-03  4.515411e-01 
 2.009169e-03  4.477783e-01 
 2.411175e-03  4.434804e-01 
 2.813182e-03  4.379197e-01 
 3.215188e-03  4.309405e-01 
 3.617194e-03  4.229771e-01 
 4.019200e-03  4.145684e-01 
 4.421207e-03  4.055949e-01 
 4.823197e-03  3.957449e-01 
 5.225188e-03  3.852828e-01 
 5.627179e-03  3.741411e-01 
 6.029170e-03  3.622930e-01 
 6.431160e-03  3.497768e-01 
 6.833151e-03  3.366452e-01 
 7.235142e-03  3.227267e-01 
 7.637133e-03  3.081601e-01 
 8.039123e-03  2.929123e-01 
 8.441114e-03  2.770118e-01 
 8.844744e-03  2.603294e-01 
 9.248556e-03  2.427421e-01 
 9.652368e-03  2.245356e-01 
 1.005618e-02  2.060110e-01 
 1.045999e-02  1.872785e-01 
 1.086380e-02  1.682645e-01 
 1.126762e-02  1.492033e-01 
 1.167143e-02  1.303596e-01 
 1.207524e-02  1.112716e-01 
 1.247905e-02  9.145600e-02 
 1.288287e-02  7.130182e-02 
 1.328668e-02  5.098369e-02 
 1.369050e-02  3.002699e-02 
 1.409431e-02  8.458210e-03 
 1.449812e-02 -1.384886e-02 
 1.490194e-02 -3.651092e-02 
 1.530575e-02 -5.966472e-02 
 1.570957e-02 -8.329945e-02 
 1.611338e-02 -1.071863e-01 
 1.651720e-02 -1.313107e-01 
 1.692101e-02 -1.556209e-01 
 1.732483e-02 -1.799988e-01 
 1.772864e-02 -2.045212e-01 
 1.813246e-02 -2.290309e-01 
 1.853627e-02 -2.538144e-01 
 1.894009e-02 -2.788530e-01 
 1.934390e-02 -3.041127e-01 
 1.974772e-02 -3.296698e-01 
 2.015153e-02 -3.556412e-01 
 2.055535e-02 -3.817096e-01 
 2.095916e-02 -4.074613e-01 
 2.136298e-02 -4.327728e-01 
 2.176680e-02 -4.578227e-01 
 2.217062e-02 -4.825618e-01 
 2.257444e-02 -5.069882e-01 
 2.297825e-02 -5.313002e-01 
 2.338207e-02 -5.557370e-01 
 2.378589e-02 -5.802282e-01 
 2.418971e-02 -6.041622e-01 
 2.459353e-02 -6.277290e-01 
 2.499735e-02 -6.509751e-01 
 2.540117e-02 -6.738627e-01 
 2.580499e-02 -6.962372e-01 
 2.620881e-02 -7.177341e-01 
 2.661262e-02 -7.383934e-01 
 2.701644e-02 -7.583930e-01 
 2.742026e-02 -7.777255e-01 
 2.782408e-02 -7.965568e-01 
 2.822790e-02 -8.146649e-01 
 2.863172e-02 -8.319740e-01 
 2.903554e-02 -8.486772e-01 
 2.943937e-02 -8.647239e-01 
 2.984319e-02 -8.803096e-01 
 3.024701e-02 -8.951268e-01 
 3.065083e-02 -9.093443e-01 
 3.105466e-02 -9.226844e-01 
 3.145848e-02 -9.349207e-01 
 3.186230e-02 -9.459952e-01 
 3.226612e-02 -9.555418e-01 
 3.266994e-02 -9.637589e-01 
 3.307377e-02 -9.706550e-01 
 3.347760e-02 -9.758421e-01 
 3.388142e-02 -9.796430e-01 
 3.428525e-02 -9.818149e-01 
 3.468908e-02 -9.831657e-01 
 3.509290e-02 -9.834496e-01 
 3.549673e-02 -9.823264e-01 
 3.590056e-02 -9.801567e-01 
 3.630438e-02 -9.767416e-01 
 3.670821e-02 -9.720245e-01 
 3.711204e-02 -9.657479e-01 
 3.751586e-02 -9.575707e-01 
 3.791969e-02 -9.477679e-01 
 3.832352e-02 -9.357304e-01 
 3.872735e-02 -9.213095e-01 
 3.913118e-02 -9.059146e-01 
 3.953500e-02 -8.886785e-01 
 3.993883e-02 -8.700349e-01 
 4.034266e-02 -8.499166e-01 
 4.074649e-02 -8.279577e-01 
 4.115032e-02 -8.042436e-01 
 4.155414e-02 -7.785591e-01 
 4.195797e-02 -7.509789e-01 
 4.236180e-02 -7.214023e-01 
 4.276563e-02 -6.895037e-01 
 4.316945e-02 -6.555508e-01 
 4.357328e-02 -6.195153e-01 
 4.397711e-02 -5.816751e-01 
 4.438094e-02 -5.420623e-01 
 4.478477e-02 -5.006220e-01 
 4.518855e-02 -4.575355e-01 
 4.559233e-02 -4.126389e-01 
 4.599611e-02 -3.659892e-01 
 4.639990e-02 -3.173068e-01 
 4.680368e-02 -2.667159e-01 
 4.720746e-02 -2.141163e-01 
 4.761125e-02 -1.594883e-01 
 4.801503e-02 -1.028899e-01 
 4.841881e-02 -4.442175e-02 
 4.882260e-02  1.592160e-02 
 4.922638e-02  7.781131e-02 
 4.963016e-02  1.410604e-01 
 5.003394e-02  2.056609e-01 
 5.043773e-02  2.715096e-01 
 5.084151e-02  3.384349e-01 
 5.124529e-02  4.065961e-01 
 5.164907e-02  4.759328e-01 
 5.205286e-02  5.463869e-01 
 5.245664e-02  6.178391e-01 
 5.286042e-02  6.902817e-01 
 5.326421e-02  7.636564e-01 
 5.366799e-02  8.382790e-01 
 5.407177e-02  9.141743e-01 
 5.447556e-02  9.908108e-01 
 5.487934e-02  1.068523e+00 
 5.528313e-02  1.146817e+00 
 5.568691e-02  1.225627e+00 
