         time rel_disp_t... 
------------- ------------- 
 1.988478e-04  9.724519e-01 
 5.965434e-04  9.479581e-01 
 9.942391e-04  9.228518e-01 
 1.391935e-03  8.971916e-01 
 1.789630e-03  8.712196e-01 
 2.187326e-03  8.447441e-01 
 2.585022e-03  8.177376e-01 
 2.982717e-03  7.904901e-01 
 3.380413e-03  7.627903e-01 
 3.778108e-03  7.346882e-01 
 4.175804e-03  7.061988e-01 
 4.573500e-03  6.773779e-01 
 4.971195e-03  6.482212e-01 
 5.368891e-03  6.188297e-01 
 5.766587e-03  5.892784e-01 
 6.164282e-03  5.593307e-01 
 6.561978e-03  5.290357e-01 
 6.959673e-03  4.984622e-01 
 7.357369e-03  4.676815e-01 
 7.755065e-03  4.367140e-01 
 8.152760e-03  4.056106e-01 
 8.550456e-03  3.744356e-01 
 8.948152e-03  3.431930e-01 
 9.345847e-03  3.116837e-01 
 9.743543e-03  2.801944e-01 
 1.014124e-02  2.485878e-01 
 1.053893e-02  2.167587e-01 
 1.093663e-02  1.850408e-01 
 1.133433e-02  1.532894e-01 
 1.173202e-02  1.214922e-01 
 1.212972e-02  8.978505e-02 
 1.252741e-02  5.817149e-02 
 1.292511e-02  2.658236e-02 
 1.332280e-02 -4.971462e-03 
 1.372050e-02 -3.629361e-02 
 1.411819e-02 -6.745812e-02 
 1.451589e-02 -9.844157e-02 
 1.491359e-02 -1.292522e-01 
 1.531128e-02 -1.596228e-01 
 1.570898e-02 -1.898026e-01 
 1.610667e-02 -2.196855e-01 
 1.650437e-02 -2.492067e-01 
 1.690206e-02 -2.784438e-01 
 1.729976e-02 -3.073134e-01 
 1.769746e-02 -3.356481e-01 
 1.809515e-02 -3.634443e-01 
 1.849285e-02 -3.908493e-01 
 1.889054e-02 -4.178312e-01 
 1.928824e-02 -4.444172e-01 
 1.968593e-02 -4.707417e-01 
 2.008363e-02 -4.964705e-01 
 2.048132e-02 -5.216288e-01 
 2.087902e-02 -5.461959e-01 
 2.127672e-02 -5.700410e-01 
 2.167441e-02 -5.932814e-01 
 2.207211e-02 -6.159511e-01 
 2.246980e-02 -6.381360e-01 
 2.286750e-02 -6.597127e-01 
 2.326519e-02 -6.807262e-01 
 2.366289e-02 -7.010844e-01 
 2.406059e-02 -7.208132e-01 
 2.445828e-02 -7.397579e-01 
 2.485598e-02 -7.580305e-01 
 2.525367e-02 -7.757538e-01 
 2.565137e-02 -7.928052e-01 
 2.604906e-02 -8.091167e-01 
 2.644676e-02 -8.247539e-01 
 2.684445e-02 -8.397311e-01 
 2.724215e-02 -8.539376e-01 
 2.763985e-02 -8.673813e-01 
 2.803754e-02 -8.800196e-01 
 2.843524e-02 -8.918629e-01 
 2.883293e-02 -9.029829e-01 
 2.923063e-02 -9.134633e-01 
 2.962832e-02 -9.231831e-01 
 3.002602e-02 -9.321105e-01 
 3.042372e-02 -9.402023e-01 
 3.082141e-02 -9.474958e-01 
 3.121911e-02 -9.537306e-01 
 3.161680e-02 -9.592228e-01 
 3.201450e-02 -9.639285e-01 
 3.241219e-02 -9.678218e-01 
 3.280989e-02 -9.708109e-01 
 3.320758e-02 -9.728688e-01 
 3.360528e-02 -9.739575e-01 
 3.400298e-02 -9.741369e-01 
 3.440067e-02 -9.734575e-01 
 3.479837e-02 -9.719623e-01 
 3.519606e-02 -9.696598e-01 
 3.559376e-02 -9.667008e-01 
 3.599145e-02 -9.629173e-01 
 3.638915e-02 -9.582448e-01 
 3.678685e-02 -9.525229e-01 
 3.718454e-02 -9.459391e-01 
 3.758224e-02 -9.384831e-01 
 3.797993e-02 -9.300928e-01 
 3.837763e-02 -9.210255e-01 
 3.877532e-02 -9.110708e-01 
 3.917302e-02 -9.005242e-01 
 3.957071e-02 -8.891988e-01 
 3.996841e-02 -8.770825e-01 
 4.036611e-02 -8.642205e-01 
 4.076380e-02 -8.505888e-01 
 4.116150e-02 -8.359420e-01 
 4.155919e-02 -8.206529e-01 
 4.195689e-02 -8.046069e-01 
 4.235458e-02 -7.878109e-01 
 4.275228e-02 -7.701824e-01 
 4.314998e-02 -7.517959e-01 
 4.354767e-02 -7.324740e-01 
 4.394537e-02 -7.124725e-01 
 4.434306e-02 -6.917795e-01 
 4.474076e-02 -6.703498e-01 
 4.513845e-02 -6.482263e-01 
 4.553615e-02 -6.255542e-01 
 4.593385e-02 -6.022344e-01 
 4.633154e-02 -5.780380e-01 
 4.672924e-02 -5.533034e-01 
 4.712693e-02 -5.277741e-01 
 4.752463e-02 -5.015265e-01 
 4.792232e-02 -4.747908e-01 
 4.832002e-02 -4.475813e-01 
 4.871771e-02 -4.196791e-01 
 4.911541e-02 -3.913555e-01 
 4.951311e-02 -3.624046e-01 
 4.991080e-02 -3.328913e-01 
 5.030850e-02 -3.028605e-01 
 5.070619e-02 -2.725910e-01 
 5.110389e-02 -2.417601e-01 
 5.150158e-02 -2.105078e-01 
 5.189928e-02 -1.790462e-01 
 5.229698e-02 -1.472231e-01 
 5.269467e-02 -1.150244e-01 
 5.309237e-02 -8.247316e-02 
 5.349006e-02 -4.966248e-02 
 5.388776e-02 -1.660229e-02 
 5.428545e-02  1.664375e-02 
 5.468315e-02  5.009870e-02 
 5.508084e-02  8.364338e-02 
 5.547854e-02  1.173103e-01 
 5.587624e-02  1.511194e-01 
 5.627393e-02  1.851268e-01 
 5.667163e-02  2.192910e-01 
 5.706932e-02  2.536493e-01 
 5.746702e-02  2.879696e-01 
 5.786471e-02  3.222822e-01 
 5.826241e-02  3.564917e-01 
 5.866011e-02  3.905454e-01 
 5.905780e-02  4.246806e-01 
 5.945550e-02  4.589621e-01 
 5.985319e-02  4.932324e-01 
 6.025089e-02  5.274821e-01 
 6.064858e-02  5.617405e-01 
 6.104628e-02  5.957601e-01 
 6.144397e-02  6.295248e-01 
 6.184167e-02  6.630489e-01 
 6.223937e-02  6.966519e-01 
 6.263706e-02  7.298846e-01 
 6.303476e-02  7.628825e-01 
 6.343245e-02  7.957600e-01 
 6.383015e-02  8.283619e-01 
 6.422784e-02  8.604031e-01 
 6.462554e-02  8.922032e-01 
 6.502324e-02  9.237118e-01 
 6.542093e-02  9.548967e-01 
 6.581863e-02  9.857859e-01 
 6.621632e-02  1.016320e+00 
 6.661402e-02  1.046407e+00 
 6.701171e-02  1.076045e+00 
 6.740941e-02  1.105239e+00 
 6.780710e-02  1.133801e+00 
 6.820480e-02  1.161734e+00 
 6.860250e-02  1.189223e+00 
 6.900019e-02  1.216191e+00 
 6.939789e-02  1.242787e+00 
 6.979558e-02  1.268762e+00 
 7.019328e-02  1.294160e+00 
 7.059097e-02  1.318824e+00 
 7.098867e-02  1.342760e+00 
 7.138637e-02  1.365896e+00 
 7.178406e-02  1.388514e+00 
 7.218176e-02  1.410640e+00 
 7.257945e-02  1.432145e+00 
 7.297715e-02  1.453046e+00 
 7.337484e-02  1.473082e+00 
 7.377254e-02  1.492306e+00 
 7.417023e-02  1.510712e+00 
 7.456793e-02  1.528356e+00 
 7.496563e-02  1.545321e+00 
 7.536332e-02  1.561568e+00 
 7.576102e-02  1.577103e+00 
 7.615871e-02  1.591977e+00 
 7.655641e-02  1.605944e+00 
 7.695410e-02  1.619072e+00 
 7.735180e-02  1.631395e+00 
 7.774950e-02  1.642704e+00 
 7.814719e-02  1.653259e+00 
 7.854489e-02  1.662976e+00 
 7.894258e-02  1.671913e+00 
 7.934028e-02  1.679896e+00 
 7.973797e-02  1.687125e+00 
 8.013567e-02  1.693307e+00 
 8.053336e-02  1.698565e+00 
 8.093106e-02  1.702863e+00 
 8.132876e-02  1.706316e+00 
 8.172645e-02  1.708736e+00 
 8.212415e-02  1.710192e+00 
 8.252184e-02  1.710720e+00 
 8.291954e-02  1.710462e+00 
 8.331723e-02  1.709039e+00 
 8.371493e-02  1.706576e+00 
 8.411263e-02  1.703195e+00 
 8.451032e-02  1.698923e+00 
 8.490802e-02  1.693805e+00 
 8.530571e-02  1.687782e+00 
 8.570341e-02  1.680959e+00 
 8.610110e-02  1.673038e+00 
 8.649880e-02  1.664009e+00 
 8.689649e-02  1.653926e+00 
 8.729419e-02  1.642949e+00 
 8.769189e-02  1.631042e+00 
 8.808958e-02  1.618501e+00 
 8.848728e-02  1.605174e+00 
 8.888497e-02  1.590969e+00 
 8.928267e-02  1.575964e+00 
 8.968036e-02  1.559965e+00 
 9.007806e-02  1.542918e+00 
 9.047576e-02  1.525097e+00 
 9.087345e-02  1.506552e+00 
 9.127115e-02  1.487153e+00 
 9.166884e-02  1.467000e+00 
 9.206654e-02  1.446114e+00 
 9.246423e-02  1.424385e+00 
 9.286193e-02  1.401943e+00 
 9.325962e-02  1.378779e+00 
 9.365732e-02  1.354935e+00 
 9.405502e-02  1.330340e+00 
 9.445271e-02  1.305183e+00 
 9.485041e-02  1.279350e+00 
 9.524810e-02  1.252900e+00 
 9.564580e-02  1.225653e+00 
 9.604349e-02  1.197654e+00 
 9.644119e-02  1.169014e+00 
 9.683889e-02  1.139689e+00 
 9.723658e-02  1.109742e+00 
 9.763428e-02  1.079294e+00 
 9.803197e-02  1.048349e+00 
 9.842967e-02  1.016830e+00 
 9.882736e-02  9.849135e-01 
 9.922506e-02  9.522927e-01 
 9.962275e-02  9.190602e-01 
 1.000205e-01  8.852866e-01 
 1.004181e-01  8.510206e-01 
 1.008158e-01  8.164160e-01 
 1.012135e-01  7.815012e-01 
 1.016112e-01  7.463504e-01 
 1.020089e-01  7.105923e-01 
 1.024066e-01  6.744551e-01 
 1.028043e-01  6.379537e-01 
 1.032020e-01  6.013636e-01 
 1.035997e-01  5.644546e-01 
 1.039974e-01  5.276992e-01 
 1.043951e-01  4.906216e-01 
 1.047928e-01  4.534500e-01 
 1.051905e-01  4.160924e-01 
 1.055882e-01  3.787800e-01 
 1.059859e-01  3.411942e-01 
 1.063836e-01  3.035701e-01 
 1.067813e-01  2.659517e-01 
 1.071790e-01  2.283407e-01 
 1.075767e-01  1.908522e-01 
 1.079744e-01  1.532842e-01 
 1.083721e-01  1.158110e-01 
 1.087698e-01  7.808856e-02 
 1.091674e-01  4.043416e-02 
 1.095651e-01  2.708996e-03 
 1.099628e-01 -3.509768e-02 
 1.103605e-01 -7.280892e-02 
 1.107582e-01 -1.102840e-01 
 1.111559e-01 -1.475430e-01 
 1.115536e-01 -1.847216e-01 
 1.119513e-01 -2.217114e-01 
 1.123490e-01 -2.585802e-01 
 1.127467e-01 -2.954972e-01 
 1.131444e-01 -3.320854e-01 
 1.135421e-01 -3.683831e-01 
 1.139398e-01 -4.042601e-01 
 1.143375e-01 -4.398715e-01 
 1.147352e-01 -4.750014e-01 
 1.151329e-01 -5.097246e-01 
 1.155306e-01 -5.440907e-01 
 1.159283e-01 -5.778304e-01 
 1.163260e-01 -6.109443e-01 
