         time tilt_bot_s... 
------------- ------------- 
 3.181565e-04 -4.088099e-02 
 7.158521e-04 -3.978634e-02 
 1.113548e-03 -3.873858e-02 
 1.511243e-03 -3.765213e-02 
 1.908939e-03 -3.652051e-02 
 2.306635e-03 -3.539488e-02 
 2.704330e-03 -3.415932e-02 
 3.102026e-03 -3.280725e-02 
 3.499722e-03 -3.139324e-02 
 3.897417e-03 -2.984215e-02 
 4.295113e-03 -2.821585e-02 
 4.692808e-03 -2.665560e-02 
 5.090504e-03 -2.516570e-02 
 5.488200e-03 -2.380618e-02 
 5.885895e-03 -2.256657e-02 
 6.283591e-03 -2.145792e-02 
 6.681287e-03 -2.049397e-02 
 7.078982e-03 -1.964007e-02 
 7.476678e-03 -1.890095e-02 
 7.874373e-03 -1.823794e-02 
 8.272069e-03 -1.763083e-02 
 8.669765e-03 -1.704628e-02 
 9.067460e-03 -1.653883e-02 
 9.465156e-03 -1.609717e-02 
 9.862852e-03 -1.561099e-02 
 1.026055e-02 -1.515316e-02 
 1.065824e-02 -1.461989e-02 
 1.105594e-02 -1.394787e-02 
 1.145363e-02 -1.324153e-02 
 1.185133e-02 -1.247602e-02 
 1.224903e-02 -1.162878e-02 
 1.264672e-02 -1.079191e-02 
 1.304442e-02 -9.976542e-03 
 1.344211e-02 -9.330727e-03 
 1.383981e-02 -8.943746e-03 
 1.423750e-02 -8.777212e-03 
 1.463520e-02 -8.845982e-03 
 1.503289e-02 -9.109435e-03 
 1.543059e-02 -9.606832e-03 
 1.582829e-02 -1.026096e-02 
 1.622598e-02 -1.104317e-02 
 1.662368e-02 -1.188146e-02 
 1.702137e-02 -1.279353e-02 
 1.741907e-02 -1.367794e-02 
 1.781676e-02 -1.452312e-02 
 1.821446e-02 -1.529219e-02 
 1.861216e-02 -1.590732e-02 
 1.900985e-02 -1.638258e-02 
 1.940755e-02 -1.664622e-02 
 1.980524e-02 -1.670180e-02 
 2.020294e-02 -1.656450e-02 
 2.060063e-02 -1.625210e-02 
 2.099833e-02 -1.584086e-02 
 2.139602e-02 -1.532906e-02 
 2.179372e-02 -1.471436e-02 
 2.219142e-02 -1.402997e-02 
 2.258911e-02 -1.329380e-02 
 2.298681e-02 -1.248358e-02 
 2.338450e-02 -1.172740e-02 
 2.378220e-02 -1.096804e-02 
 2.417989e-02 -1.021476e-02 
 2.457759e-02 -9.569056e-03 
 2.497529e-02 -9.005429e-03 
 2.537298e-02 -8.462901e-03 
 2.577068e-02 -7.973133e-03 
 2.616837e-02 -7.505390e-03 
 2.656607e-02 -7.064777e-03 
 2.696376e-02 -6.567468e-03 
 2.736146e-02 -5.897203e-03 
 2.775915e-02 -5.032047e-03 
 2.815685e-02 -4.001995e-03 
 2.855455e-02 -2.787875e-03 
 2.895224e-02 -1.372169e-03 
 2.934994e-02  2.437173e-04 
 2.974763e-02  2.061601e-03 
 3.014533e-02  4.026047e-03 
 3.054302e-02  5.978430e-03 
 3.094072e-02  7.955920e-03 
 3.133842e-02  9.927529e-03 
 3.173611e-02  1.190627e-02 
 3.213381e-02  1.376046e-02 
 3.253150e-02  1.541996e-02 
 3.292920e-02  1.687708e-02 
 3.332689e-02  1.813952e-02 
 3.372459e-02  1.915105e-02 
 3.412228e-02  2.000948e-02 
 3.451998e-02  2.072164e-02 
 3.491768e-02  2.125481e-02 
 3.531537e-02  2.178705e-02 
 3.571307e-02  2.231610e-02 
 3.611076e-02  2.285440e-02 
 3.650846e-02  2.339016e-02 
 3.690615e-02  2.393069e-02 
 3.730385e-02  2.445241e-02 
 3.770155e-02  2.493959e-02 
 3.809924e-02  2.548334e-02 
 3.849694e-02  2.618638e-02 
 3.889463e-02  2.700487e-02 
 3.929233e-02  2.787974e-02 
 3.969002e-02  2.882349e-02 
 4.008772e-02  2.984899e-02 
 4.048541e-02  3.088442e-02 
 4.088311e-02  3.180583e-02 
 4.128081e-02  3.262041e-02 
 4.167850e-02  3.325287e-02 
 4.207620e-02  3.367832e-02 
 4.247389e-02  3.393514e-02 
 4.287159e-02  3.403193e-02 
 4.326928e-02  3.392427e-02 
 4.366698e-02  3.365173e-02 
 4.406468e-02  3.328162e-02 
 4.446237e-02  3.288078e-02 
 4.486007e-02  3.238529e-02 
 4.525776e-02  3.188040e-02 
 4.565546e-02  3.141279e-02 
 4.605315e-02  3.106787e-02 
 4.645085e-02  3.079614e-02 
 4.684854e-02  3.071921e-02 
 4.724624e-02  3.075618e-02 
 4.764394e-02  3.101968e-02 
 4.804163e-02  3.146226e-02 
 4.843933e-02  3.213551e-02 
 4.883702e-02  3.294581e-02 
 4.923472e-02  3.382637e-02 
 4.963241e-02  3.476663e-02 
 5.003011e-02  3.572125e-02 
 5.042781e-02  3.658600e-02 
 5.082550e-02  3.741271e-02 
 5.122320e-02  3.822052e-02 
 5.162089e-02  3.896694e-02 
 5.201859e-02  3.964627e-02 
 5.241628e-02  4.023597e-02 
 5.281398e-02  4.081148e-02 
 5.321168e-02  4.137546e-02 
 5.360937e-02  4.199538e-02 
 5.400707e-02  4.262421e-02 
 5.440476e-02  4.333135e-02 
 5.480246e-02  4.403095e-02 
 5.520015e-02  4.483485e-02 
 5.559785e-02  4.569213e-02 
 5.599554e-02  4.652480e-02 
 5.639324e-02  4.733035e-02 
 5.679094e-02  4.815408e-02 
 5.718863e-02  4.898192e-02 
 5.758633e-02  4.978031e-02 
 5.798402e-02  5.056284e-02 
 5.838172e-02  5.123267e-02 
 5.877941e-02  5.190884e-02 
 5.917711e-02  5.252926e-02 
 5.957481e-02  5.303168e-02 
 5.997250e-02  5.348013e-02 
 6.037020e-02  5.379938e-02 
 6.076789e-02  5.399384e-02 
 6.116559e-02  5.399913e-02 
 6.156328e-02  5.379784e-02 
 6.196098e-02  5.335321e-02 
 6.235867e-02  5.267423e-02 
 6.275637e-02  5.176955e-02 
 6.315407e-02  5.068254e-02 
 6.355176e-02  4.944386e-02 
 6.394946e-02  4.814413e-02 
 6.434715e-02  4.674753e-02 
 6.474485e-02  4.523726e-02 
 6.514254e-02  4.365097e-02 
 6.554024e-02  4.211211e-02 
 6.593794e-02  4.058637e-02 
 6.633563e-02  3.905909e-02 
 6.673333e-02  3.756837e-02 
 6.713102e-02  3.613551e-02 
 6.752872e-02  3.473456e-02 
 6.792641e-02  3.349872e-02 
 6.832411e-02  3.221375e-02 
 6.872180e-02  3.087517e-02 
