         time tilt_full_... 
------------- ------------- 
 1.988478e-04  1.114014e-02 
 5.965434e-04  1.065908e-02 
 9.942391e-04  1.013131e-02 
 1.391935e-03  9.520420e-03 
 1.789630e-03  8.845468e-03 
 2.187326e-03  8.127751e-03 
 2.585022e-03  7.345015e-03 
 2.982717e-03  6.472132e-03 
 3.380413e-03  5.448626e-03 
 3.778108e-03  4.422523e-03 
 4.175804e-03  3.270790e-03 
 4.573500e-03  2.123557e-03 
 4.971195e-03  9.294061e-04 
 5.368891e-03 -3.138746e-04 
 5.766587e-03 -1.562550e-03 
 6.164282e-03 -2.868836e-03 
 6.561978e-03 -4.138114e-03 
 6.959673e-03 -5.328670e-03 
 7.357369e-03 -6.489260e-03 
 7.755065e-03 -7.474177e-03 
 8.152760e-03 -8.325149e-03 
 8.550456e-03 -8.972664e-03 
 8.948152e-03 -9.560330e-03 
 9.345847e-03 -1.015480e-02 
 9.743543e-03 -1.075765e-02 
 1.014124e-02 -1.138249e-02 
 1.053893e-02 -1.200462e-02 
 1.093663e-02 -1.262290e-02 
 1.133433e-02 -1.325996e-02 
 1.173202e-02 -1.388062e-02 
 1.212972e-02 -1.446622e-02 
 1.252741e-02 -1.510341e-02 
 1.292511e-02 -1.577546e-02 
 1.332280e-02 -1.652278e-02 
 1.372050e-02 -1.726634e-02 
 1.411819e-02 -1.803034e-02 
 1.451589e-02 -1.875638e-02 
 1.491359e-02 -1.939036e-02 
 1.531128e-02 -2.001264e-02 
 1.570898e-02 -2.054993e-02 
 1.610667e-02 -2.103521e-02 
 1.650437e-02 -2.143421e-02 
 1.690206e-02 -2.174151e-02 
 1.729976e-02 -2.193038e-02 
 1.769746e-02 -2.198131e-02 
 1.809515e-02 -2.193210e-02 
 1.849285e-02 -2.181397e-02 
 1.889054e-02 -2.168400e-02 
 1.928824e-02 -2.157849e-02 
 1.968593e-02 -2.152043e-02 
 2.008363e-02 -2.152876e-02 
 2.048132e-02 -2.158373e-02 
 2.087902e-02 -2.170789e-02 
 2.127672e-02 -2.190911e-02 
 2.167441e-02 -2.220643e-02 
 2.207211e-02 -2.259653e-02 
 2.246980e-02 -2.302864e-02 
 2.286750e-02 -2.359031e-02 
 2.326519e-02 -2.405034e-02 
 2.366289e-02 -2.440546e-02 
 2.406059e-02 -2.466334e-02 
 2.445828e-02 -2.484142e-02 
 2.485598e-02 -2.496292e-02 
 2.525367e-02 -2.506302e-02 
 2.565137e-02 -2.518609e-02 
 2.604906e-02 -2.523157e-02 
 2.644676e-02 -2.516867e-02 
 2.684445e-02 -2.500666e-02 
 2.724215e-02 -2.470797e-02 
 2.763985e-02 -2.434718e-02 
 2.803754e-02 -2.395657e-02 
 2.843524e-02 -2.362713e-02 
 2.883293e-02 -2.345397e-02 
 2.923063e-02 -2.336441e-02 
 2.962832e-02 -2.338549e-02 
 3.002602e-02 -2.349212e-02 
 3.042372e-02 -2.367527e-02 
 3.082141e-02 -2.389570e-02 
 3.121911e-02 -2.412230e-02 
 3.161680e-02 -2.436897e-02 
 3.201450e-02 -2.454449e-02 
 3.241219e-02 -2.464857e-02 
 3.280989e-02 -2.459823e-02 
 3.320758e-02 -2.448006e-02 
 3.360528e-02 -2.420499e-02 
 3.400298e-02 -2.392355e-02 
 3.440067e-02 -2.360807e-02 
 3.479837e-02 -2.323406e-02 
 3.519606e-02 -2.284308e-02 
 3.559376e-02 -2.242177e-02 
 3.599145e-02 -2.193714e-02 
 3.638915e-02 -2.140178e-02 
 3.678685e-02 -2.085276e-02 
 3.718454e-02 -2.028735e-02 
 3.758224e-02 -1.979315e-02 
 3.797993e-02 -1.936044e-02 
 3.837763e-02 -1.909751e-02 
 3.877532e-02 -1.894051e-02 
 3.917302e-02 -1.884466e-02 
 3.957071e-02 -1.878515e-02 
 3.996841e-02 -1.864861e-02 
 4.036611e-02 -1.848882e-02 
 4.076380e-02 -1.828496e-02 
