         time joist_s2_s... 
------------- ------------- 
 7.953913e-05  1.883203e-08 
 4.772348e-04  1.833274e-08 
 8.749304e-04  1.739018e-08 
 1.272626e-03  1.629359e-08 
 1.670322e-03  1.539031e-08 
 2.068017e-03  1.470293e-08 
 2.465713e-03  1.372631e-08 
 2.863409e-03  1.301816e-08 
 3.261104e-03  1.269899e-08 
 3.658800e-03  1.233033e-08 
 4.056495e-03  1.242019e-08 
 4.454191e-03  1.252647e-08 
 4.851887e-03  1.264093e-08 
 5.249582e-03  1.277458e-08 
 5.647278e-03  1.292944e-08 
 6.044974e-03  1.311287e-08 
 6.442669e-03  1.333014e-08 
 6.840365e-03  1.358964e-08 
 7.238060e-03  1.388653e-08 
 7.635756e-03  1.422740e-08 
 8.033452e-03  1.460204e-08 
 8.431147e-03  1.499832e-08 
 8.828843e-03  1.540059e-08 
 9.226539e-03  1.578935e-08 
 9.624234e-03  1.614697e-08 
 1.002193e-02  1.646318e-08 
 1.041963e-02  1.672476e-08 
 1.081732e-02  1.691289e-08 
 1.121502e-02  1.701890e-08 
 1.161271e-02  1.705267e-08 
 1.201041e-02  1.703135e-08 
 1.240810e-02  1.696391e-08 
 1.280580e-02  1.686906e-08 
 1.320349e-02  1.675398e-08 
 1.360119e-02  1.662312e-08 
 1.399889e-02  1.647912e-08 
 1.439658e-02  1.631300e-08 
 1.479428e-02  1.600536e-08 
 1.519197e-02  1.567943e-08 
 1.558967e-02  1.532327e-08 
 1.598736e-02  1.494153e-08 
 1.638506e-02  1.461864e-08 
 1.678276e-02  1.439533e-08 
 1.718045e-02  1.411327e-08 
 1.757815e-02  1.370553e-08 
 1.797584e-02  1.347011e-08 
 1.837354e-02  1.322262e-08 
 1.877123e-02  1.294295e-08 
 1.916893e-02  1.263052e-08 
 1.956662e-02  1.228523e-08 
 1.996432e-02  1.190342e-08 
 2.036202e-02  1.147929e-08 
 2.075971e-02  1.100395e-08 
 2.115741e-02  1.046862e-08 
 2.155510e-02  9.873836e-09 
 2.195280e-02  9.230064e-09 
 2.235049e-02  8.889988e-09 
 2.274819e-02  9.001634e-09 
 2.314589e-02  9.476002e-09 
 2.354358e-02  9.777713e-09 
 2.394128e-02  1.023553e-08 
 2.433897e-02  1.079978e-08 
 2.473667e-02  1.083830e-08 
 2.513436e-02  1.115091e-08 
 2.553206e-02  1.125526e-08 
 2.592975e-02  1.092619e-08 
 2.632745e-02  1.054015e-08 
 2.672515e-02  1.011616e-08 
 2.712284e-02  9.667289e-09 
 2.752054e-02  9.202722e-09 
 2.791823e-02  8.727165e-09 
 2.831593e-02  8.241761e-09 
 2.871362e-02  7.748954e-09 
 2.911132e-02  7.249307e-09 
 2.950902e-02  6.738276e-09 
 2.990671e-02  6.207825e-09 
 3.030441e-02  5.646865e-09 
 3.070210e-02  5.045262e-09 
 3.109980e-02  4.396176e-09 
 3.149749e-02  3.703443e-09 
 3.189519e-02  2.986229e-09 
 3.229288e-02  2.270329e-09 
 3.269058e-02  2.764169e-09 
 3.308828e-02  3.142018e-09 
 3.348597e-02  4.019242e-09 
 3.388367e-02  4.674926e-09 
 3.428136e-02  5.211721e-09 
 3.467906e-02  6.062767e-09 
 3.507675e-02  5.850716e-09 
 3.547445e-02  5.140780e-09 
 3.587215e-02  3.936184e-09 
 3.626984e-02  2.129606e-09 
 3.666754e-02  1.634724e-09 
 3.706523e-02  8.166657e-10 
 3.746293e-02 -1.093714e-10 
 3.786062e-02 -1.235815e-09 
 3.825832e-02 -2.186660e-09 
 3.865602e-02 -2.920750e-09 
 3.905371e-02 -3.727694e-09 
 3.945141e-02 -4.611242e-09 
 3.984910e-02 -5.558811e-09 
 4.024680e-02 -6.559203e-09 
 4.064449e-02 -7.602273e-09 
 4.104219e-02 -8.687622e-09 
 4.143988e-02 -9.800162e-09 
 4.183758e-02 -1.089595e-08 
 4.223528e-02 -1.197711e-08 
 4.263297e-02 -1.304372e-08 
 4.303067e-02 -1.411924e-08 
 4.342836e-02 -1.407556e-08 
 4.382606e-02 -1.295048e-08 
 4.422375e-02 -1.120194e-08 
 4.462145e-02 -9.808330e-09 
 4.501915e-02 -8.387661e-09 
 4.541684e-02 -6.591646e-09 
 4.581454e-02 -5.422308e-09 
 4.621223e-02 -5.397318e-09 
 4.660993e-02 -4.747513e-09 
 4.700762e-02 -5.472304e-09 
 4.740532e-02 -6.230070e-09 
 4.780301e-02 -7.012014e-09 
 4.820071e-02 -7.812552e-09 
 4.859841e-02 -8.630724e-09 
 4.899610e-02 -9.467178e-09 
 4.939380e-02 -1.032443e-08 
 4.979149e-02 -1.108956e-08 
 5.018919e-02 -1.170629e-08 
 5.058688e-02 -1.207975e-08 
 5.098458e-02 -1.207856e-08 
 5.138228e-02 -1.203955e-08 
 5.177997e-02 -1.215870e-08 
 5.217767e-02 -1.137048e-08 
 5.257536e-02 -1.004176e-08 
 5.297306e-02 -1.012859e-08 
 5.337075e-02 -8.412087e-09 
 5.376845e-02 -7.934678e-09 
 5.416614e-02 -6.669419e-09 
 5.456384e-02 -5.893112e-09 
 5.496154e-02 -3.874006e-09 
 5.535923e-02 -3.531952e-09 
 5.575693e-02 -1.523238e-09 
 5.615462e-02 -1.069635e-09 
 5.655232e-02 -1.074542e-09 
 5.695001e-02 -5.911536e-10 
 5.734771e-02  0.000000e+00 
 5.774541e-02  0.000000e+00 
 5.814310e-02  0.000000e+00 
 5.854080e-02  0.000000e+00 
 5.893849e-02  0.000000e+00 
 5.933619e-02  0.000000e+00 
 5.973388e-02  0.000000e+00 
 6.013158e-02  0.000000e+00 
 6.052927e-02  0.000000e+00 
 6.092697e-02  0.000000e+00 
 6.132467e-02  0.000000e+00 
 6.172236e-02  0.000000e+00 
 6.212006e-02  0.000000e+00 
 6.251775e-02 -3.270995e-12 
 6.291545e-02 -2.850831e-11 
 6.331314e-02 -6.322423e-11 
 6.371084e-02 -1.274107e-10 
 6.410854e-02 -2.005652e-10 
 6.450623e-02 -2.950075e-10 
 6.490393e-02 -3.886707e-10 
 6.530162e-02 -4.837746e-10 
 6.569932e-02 -5.663821e-10 
 6.609701e-02 -6.306436e-10 
 6.649471e-02 -6.665226e-10 
 6.689240e-02 -6.662548e-10 
 6.729010e-02 -6.276473e-10 
 6.768780e-02 -5.601980e-10 
 6.808549e-02 -4.726603e-10 
 6.848319e-02 -3.777331e-10 
 6.888088e-02 -2.755073e-10 
 6.927858e-02 -1.650468e-10 
 6.967627e-02 -4.619606e-11 
 7.007397e-02  8.470064e-11 
 7.047167e-02  2.194777e-10 
 7.086936e-02  3.294106e-10 
 7.126706e-02  4.603548e-10 
 7.166475e-02  5.230501e-10 
 7.206245e-02  6.057559e-10 
 7.246014e-02  5.587561e-10 
 7.285784e-02  5.616854e-10 
 7.325553e-02  4.796113e-10 
 7.365323e-02  3.523198e-10 
 7.405093e-02  3.235749e-10 
 7.444862e-02  1.995087e-10 
 7.484632e-02  1.579307e-10 
 7.524401e-02  5.133941e-11 
 7.564171e-02 -1.031983e-12 
 7.603940e-02 -1.406992e-11 
 7.643710e-02  0.000000e+00 
 7.683480e-02  0.000000e+00 
 7.723249e-02  0.000000e+00 
 7.763019e-02  0.000000e+00 
 7.802788e-02  0.000000e+00 
 7.842558e-02  0.000000e+00 
 7.882327e-02  0.000000e+00 
 7.922097e-02  1.187676e-11 
 7.961866e-02  2.560600e-11 
 8.001636e-02  4.475086e-11 
 8.041406e-02  6.522347e-11 
 8.081175e-02  8.505917e-11 
 8.120945e-02  1.040180e-10 
 8.160714e-02  1.223519e-10 
 8.200484e-02  1.404203e-10 
 8.240253e-02  1.589265e-10 
 8.280023e-02  1.815192e-10 
 8.319793e-02  2.042809e-10 
 8.359562e-02  2.278496e-10 
 8.399332e-02  2.531307e-10 
 8.439101e-02  2.865972e-10 
 8.478871e-02  3.234851e-10 
 8.518640e-02  3.644818e-10 
 8.558410e-02  4.097293e-10 
 8.598179e-02  4.582474e-10 
 8.637949e-02  5.098177e-10 
 8.677719e-02  5.638069e-10 
 8.717488e-02  6.334233e-10 
 8.757258e-02  7.181846e-10 
 8.797027e-02  8.099258e-10 
 8.836797e-02  9.428013e-10 
 8.876566e-02  1.084374e-09 
 8.916336e-02  1.247595e-09 
 8.956106e-02  1.408403e-09 
 8.995875e-02  1.567367e-09 
 9.035645e-02  1.745761e-09 
 9.075414e-02  1.970556e-09 
 9.115184e-02  2.213242e-09 
 9.154953e-02  2.465720e-09 
 9.194723e-02  2.746729e-09 
 9.234492e-02  3.036173e-09 
 9.274262e-02  3.371577e-09 
 9.314032e-02  3.764493e-09 
 9.353801e-02  4.166683e-09 
 9.393571e-02  4.592939e-09 
 9.433340e-02  5.057008e-09 
 9.473110e-02  5.562327e-09 
 9.512879e-02  6.073770e-09 
 9.552649e-02  6.634395e-09 
 9.592419e-02  7.235867e-09 
 9.632188e-02  7.861692e-09 
 9.671958e-02  8.498685e-09 
 9.711727e-02  9.151675e-09 
 9.751497e-02  9.802626e-09 
 9.791266e-02  1.044062e-08 
 9.831036e-02  1.108666e-08 
 9.870805e-02  1.174880e-08 
 9.910575e-02  1.241553e-08 
 9.950345e-02  1.310016e-08 
 9.990114e-02  1.379601e-08 
 1.002988e-01  1.450634e-08 
 1.006965e-01  1.529475e-08 
 1.010942e-01  1.618818e-08 
 1.014919e-01  1.719664e-08 
 1.018896e-01  1.832885e-08 
 1.022873e-01  1.961157e-08 
 1.026850e-01  2.107794e-08 
 1.030827e-01  2.275555e-08 
 1.034804e-01  2.454271e-08 
 1.038781e-01  2.636056e-08 
 1.042758e-01  2.826669e-08 
 1.046735e-01  3.021030e-08 
 1.050712e-01  3.140300e-08 
 1.054689e-01  3.303931e-08 
 1.058666e-01  3.458217e-08 
 1.062643e-01  3.531727e-08 
 1.066620e-01  3.624050e-08 
 1.070597e-01  3.765383e-08 
 1.074574e-01  3.826246e-08 
 1.078551e-01  3.838243e-08 
 1.082527e-01  3.964136e-08 
 1.086504e-01  4.085516e-08 
 1.090481e-01  4.202827e-08 
 1.094458e-01  4.317748e-08 
 1.098435e-01  4.430031e-08 
 1.102412e-01  4.449659e-08 
 1.106389e-01  4.210414e-08 
 1.110366e-01  3.933980e-08 
 1.114343e-01  3.748834e-08 
 1.118320e-01  3.543236e-08 
 1.122297e-01  3.344649e-08 
 1.126274e-01  3.142176e-08 
 1.130251e-01  3.038959e-08 
 1.134228e-01  3.101114e-08 
 1.138205e-01  3.169950e-08 
 1.142182e-01  3.247045e-08 
 1.146159e-01  3.328989e-08 
 1.150136e-01  3.414454e-08 
 1.154113e-01  3.500866e-08 
 1.158090e-01  3.587656e-08 
 1.162067e-01  3.673870e-08 
 1.166044e-01  3.758513e-08 
 1.170021e-01  3.840477e-08 
 1.173997e-01  3.918806e-08 
 1.177974e-01  3.992668e-08 
