         time joist_s2_s... 
------------- ------------- 
 3.181565e-04  2.010010e-09 
 7.158521e-04  2.168161e-09 
 1.113548e-03  2.329267e-09 
 1.511243e-03  2.497934e-09 
 1.908939e-03  2.683291e-09 
 2.306635e-03  2.895582e-09 
 2.704330e-03  3.148556e-09 
 3.102026e-03  3.468274e-09 
 3.499722e-03  3.830523e-09 
 3.897417e-03  4.241887e-09 
 4.295113e-03  4.695701e-09 
 4.692808e-03  5.219843e-09 
 5.090504e-03  5.792439e-09 
 5.488200e-03  6.394055e-09 
 5.885895e-03  7.042371e-09 
 6.283591e-03  7.703843e-09 
 6.681287e-03  8.355394e-09 
 7.078982e-03  8.993648e-09 
 7.476678e-03  9.606498e-09 
 7.874373e-03  1.018091e-08 
 8.272069e-03  1.072049e-08 
 8.669765e-03  1.113541e-08 
 9.067460e-03  1.150375e-08 
 9.465156e-03  1.178790e-08 
 9.862852e-03  1.222451e-08 
 1.026055e-02  1.225355e-08 
 1.065824e-02  1.237030e-08 
 1.105594e-02  1.254495e-08 
 1.145363e-02  1.215329e-08 
 1.185133e-02  1.244522e-08 
 1.224903e-02  1.228725e-08 
 1.264672e-02  1.255092e-08 
 1.304442e-02  1.279071e-08 
 1.344211e-02  1.294263e-08 
 1.383981e-02  1.313731e-08 
 1.423750e-02  1.331567e-08 
 1.463520e-02  1.347742e-08 
 1.503289e-02  1.362193e-08 
 1.543059e-02  1.374662e-08 
 1.582829e-02  1.385644e-08 
 1.622598e-02  1.399068e-08 
 1.662368e-02  1.418083e-08 
 1.702137e-02  1.444415e-08 
 1.741907e-02  1.479349e-08 
 1.781676e-02  1.524022e-08 
 1.821446e-02  1.572759e-08 
 1.861216e-02  1.616372e-08 
 1.900985e-02  1.652811e-08 
 1.940755e-02  1.680730e-08 
 1.980524e-02  1.699118e-08 
 2.020294e-02  1.708445e-08 
 2.060063e-02  1.709961e-08 
 2.099833e-02  1.705028e-08 
 2.139602e-02  1.694282e-08 
 2.179372e-02  1.677525e-08 
 2.219142e-02  1.653875e-08 
 2.258911e-02  1.621841e-08 
 2.298681e-02  1.579924e-08 
 2.338450e-02  1.526614e-08 
 2.378220e-02  1.461210e-08 
 2.417989e-02  1.383266e-08 
 2.457759e-02  1.292724e-08 
 2.497529e-02  1.190476e-08 
 2.537298e-02  1.085831e-08 
 2.577068e-02  1.030504e-08 
 2.616837e-02  9.927404e-09 
 2.656607e-02  9.489834e-09 
 2.696376e-02  9.378365e-09 
 2.736146e-02  9.329058e-09 
 2.775915e-02  9.059556e-09 
 2.815685e-02  8.687501e-09 
 2.855455e-02  8.490718e-09 
 2.895224e-02  8.173122e-09 
 2.934994e-02  7.771305e-09 
 2.974763e-02  7.394922e-09 
 3.014533e-02  7.303826e-09 
 3.054302e-02  6.841970e-09 
 3.094072e-02  6.321794e-09 
 3.133842e-02  5.792887e-09 
 3.173611e-02  5.224780e-09 
 3.213381e-02  4.612944e-09 
 3.253150e-02  3.985324e-09 
 3.292920e-02  3.309458e-09 
 3.332689e-02  2.598073e-09 
 3.372459e-02  1.851746e-09 
 3.412228e-02  1.078468e-09 
 3.451998e-02  2.839865e-10 
 3.491768e-02 -5.141979e-10 
 3.531537e-02 -1.323425e-09 
 3.571307e-02 -2.151250e-09 
 3.611076e-02 -3.002406e-09 
 3.650846e-02 -3.878783e-09 
 3.690615e-02 -4.784790e-09 
 3.730385e-02 -5.726521e-09 
 3.770155e-02 -6.706765e-09 
 3.809924e-02 -7.725806e-09 
 3.849694e-02 -8.783282e-09 
 3.889463e-02 -9.885903e-09 
 3.929233e-02 -1.105222e-08 
 3.969002e-02 -1.235371e-08 
 4.008772e-02 -1.383633e-08 
 4.048541e-02 -1.551002e-08 
 4.088311e-02 -1.719877e-08 
 4.128081e-02 -1.778575e-08 
 4.167850e-02 -1.848457e-08 
 4.207620e-02 -1.839971e-08 
 4.247389e-02 -1.789055e-08 
 4.287159e-02 -1.822444e-08 
 4.326928e-02 -1.759248e-08 
 4.366698e-02 -1.928184e-08 
 4.406468e-02 -1.865063e-08 
 4.446237e-02 -1.933727e-08 
 4.486007e-02 -2.099856e-08 
 4.525776e-02 -1.984849e-08 
 4.565546e-02 -2.142577e-08 
 4.605315e-02 -2.301013e-08 
 4.645085e-02 -2.397931e-08 
 4.684854e-02 -2.553851e-08 
 4.724624e-02 -2.708890e-08 
 4.764394e-02 -2.862420e-08 
 4.804163e-02 -3.014887e-08 
 4.843933e-02 -3.166046e-08 
 4.883702e-02 -3.314625e-08 
 4.923472e-02 -3.012273e-08 
 4.963241e-02 -2.588282e-08 
 5.003011e-02 -2.280657e-08 
 5.042781e-02 -1.716852e-08 
 5.082550e-02 -1.388218e-08 
 5.122320e-02 -1.229405e-08 
 5.162089e-02 -1.271915e-08 
 5.201859e-02 -1.317014e-08 
 5.241628e-02 -1.370323e-08 
 5.281398e-02 -1.429888e-08 
 5.321168e-02 -1.497889e-08 
 5.360937e-02 -1.572156e-08 
 5.400707e-02 -1.652090e-08 
 5.440476e-02 -1.735906e-08 
 5.480246e-02 -1.821910e-08 
 5.520015e-02 -1.907752e-08 
 5.559785e-02 -1.993115e-08 
 5.599554e-02 -2.072065e-08 
 5.639324e-02 -2.155123e-08 
 5.679094e-02 -2.237445e-08 
 5.718863e-02 -2.279064e-08 
 5.758633e-02 -2.336182e-08 
 5.798402e-02 -2.369619e-08 
 5.838172e-02 -2.432062e-08 
 5.877941e-02 -2.443995e-08 
 5.917711e-02 -2.428513e-08 
 5.957481e-02 -2.424947e-08 
 5.997250e-02 -2.475097e-08 
