         time tilt_low_s... 
------------- ------------- 
 3.181565e-04  3.276435e-02 
 7.158521e-04  3.258115e-02 
 1.113548e-03  3.240944e-02 
 1.511243e-03  3.236598e-02 
 1.908939e-03  3.244175e-02 
 2.306635e-03  3.277483e-02 
 2.704330e-03  3.318015e-02 
 3.102026e-03  3.353157e-02 
 3.499722e-03  3.398893e-02 
 3.897417e-03  3.436245e-02 
 4.295113e-03  3.439250e-02 
 4.692808e-03  3.433837e-02 
 5.090504e-03  3.419787e-02 
 5.488200e-03  3.405495e-02 
 5.885895e-03  3.352803e-02 
 6.283591e-03  3.286729e-02 
 6.681287e-03  3.209517e-02 
 7.078982e-03  3.130017e-02 
 7.476678e-03  3.056517e-02 
 7.874373e-03  2.975414e-02 
 8.272069e-03  2.896527e-02 
 8.669765e-03  2.824213e-02 
 9.067460e-03  2.747519e-02 
 9.465156e-03  2.672302e-02 
 9.862852e-03  2.581335e-02 
 1.026055e-02  2.521089e-02 
 1.065824e-02  2.424743e-02 
 1.105594e-02  2.319829e-02 
 1.145363e-02  2.201465e-02 
 1.185133e-02  2.093589e-02 
 1.224903e-02  1.968466e-02 
 1.264672e-02  1.821351e-02 
 1.304442e-02  1.663799e-02 
 1.344211e-02  1.518267e-02 
 1.383981e-02  1.398530e-02 
 1.423750e-02  1.289370e-02 
 1.463520e-02  1.177124e-02 
 1.503289e-02  1.067363e-02 
 1.543059e-02  9.623775e-03 
 1.582829e-02  8.511017e-03 
 1.622598e-02  7.375454e-03 
 1.662368e-02  5.990648e-03 
 1.702137e-02  4.536719e-03 
 1.741907e-02  2.994272e-03 
 1.781676e-02  1.605163e-03 
 1.821446e-02  1.198283e-04 
 1.861216e-02 -1.280714e-03 
 1.900985e-02 -2.756198e-03 
 1.940755e-02 -4.278106e-03 
 1.980524e-02 -5.812791e-03 
 2.020294e-02 -6.932283e-03 
 2.060063e-02 -7.794474e-03 
 2.099833e-02 -8.573877e-03 
 2.139602e-02 -9.311808e-03 
 2.179372e-02 -9.911480e-03 
 2.219142e-02 -1.024364e-02 
 2.258911e-02 -1.014548e-02 
 2.298681e-02 -9.921675e-03 
 2.338450e-02 -9.689457e-03 
 2.378220e-02 -9.590959e-03 
 2.417989e-02 -9.379708e-03 
 2.457759e-02 -9.187239e-03 
 2.497529e-02 -9.167107e-03 
 2.537298e-02 -9.233868e-03 
 2.577068e-02 -9.535667e-03 
 2.616837e-02 -1.015819e-02 
 2.656607e-02 -1.093039e-02 
 2.696376e-02 -1.189323e-02 
 2.736146e-02 -1.259705e-02 
 2.775915e-02 -1.347405e-02 
 2.815685e-02 -1.445884e-02 
 2.855455e-02 -1.544157e-02 
 2.895224e-02 -1.652320e-02 
 2.934994e-02 -1.746204e-02 
 2.974763e-02 -1.826877e-02 
 3.014533e-02 -1.905232e-02 
 3.054302e-02 -1.966094e-02 
 3.094072e-02 -2.030530e-02 
 3.133842e-02 -2.104403e-02 
 3.173611e-02 -2.199852e-02 
 3.213381e-02 -2.284430e-02 
 3.253150e-02 -2.369423e-02 
 3.292920e-02 -2.463781e-02 
 3.332689e-02 -2.567733e-02 
 3.372459e-02 -2.683789e-02 
 3.412228e-02 -2.789339e-02 
 3.451998e-02 -2.890134e-02 
 3.491768e-02 -2.997602e-02 
 3.531537e-02 -3.110692e-02 
 3.571307e-02 -3.222193e-02 
 3.611076e-02 -3.332269e-02 
 3.650846e-02 -3.430289e-02 
 3.690615e-02 -3.518338e-02 
 3.730385e-02 -3.602730e-02 
 3.770155e-02 -3.677420e-02 
 3.809924e-02 -3.761558e-02 
 3.849694e-02 -3.855041e-02 
 3.889463e-02 -3.951562e-02 
 3.929233e-02 -4.046483e-02 
 3.969002e-02 -4.149298e-02 
 4.008772e-02 -4.285142e-02 
 4.048541e-02 -4.412494e-02 
 4.088311e-02 -4.530725e-02 
 4.128081e-02 -4.627503e-02 
 4.167850e-02 -4.710208e-02 
 4.207620e-02 -4.761849e-02 
 4.247389e-02 -4.786291e-02 
 4.287159e-02 -4.782015e-02 
 4.326928e-02 -4.761152e-02 
 4.366698e-02 -4.739426e-02 
 4.406468e-02 -4.709665e-02 
 4.446237e-02 -4.670718e-02 
 4.486007e-02 -4.648039e-02 
 4.525776e-02 -4.657546e-02 
 4.565546e-02 -4.670241e-02 
 4.605315e-02 -4.686171e-02 
 4.645085e-02 -4.711182e-02 
 4.684854e-02 -4.745671e-02 
 4.724624e-02 -4.791960e-02 
 4.764394e-02 -4.827534e-02 
 4.804163e-02 -4.874711e-02 
 4.843933e-02 -4.904503e-02 
 4.883702e-02 -4.907722e-02 
 4.923472e-02 -4.903576e-02 
 4.963241e-02 -4.848459e-02 
 5.003011e-02 -4.773829e-02 
 5.042781e-02 -4.684932e-02 
 5.082550e-02 -4.573582e-02 
 5.122320e-02 -4.453265e-02 
 5.162089e-02 -4.312770e-02 
 5.201859e-02 -4.158900e-02 
 5.241628e-02 -4.002110e-02 
 5.281398e-02 -3.822585e-02 
 5.321168e-02 -3.657666e-02 
 5.360937e-02 -3.467935e-02 
 5.400707e-02 -3.258745e-02 
 5.440476e-02 -3.044897e-02 
 5.480246e-02 -2.812218e-02 
 5.520015e-02 -2.585286e-02 
 5.559785e-02 -2.379930e-02 
 5.599554e-02 -2.170453e-02 
 5.639324e-02 -1.957417e-02 
 5.679094e-02 -1.748666e-02 
 5.718863e-02 -1.544542e-02 
 5.758633e-02 -1.341915e-02 
 5.798402e-02 -1.136848e-02 
 5.838172e-02 -9.062672e-03 
 5.877941e-02 -6.912832e-03 
 5.917711e-02 -4.532128e-03 
 5.957481e-02 -2.146932e-03 
 5.997250e-02  2.098614e-04 
 6.037020e-02  2.290832e-03 
 6.076789e-02  4.186836e-03 
 6.116559e-02  6.137830e-03 
 6.156328e-02  8.146749e-03 
 6.196098e-02  9.969341e-03 
 6.235867e-02  1.176465e-02 
 6.275637e-02  1.358379e-02 
 6.315407e-02  1.554321e-02 
 6.355176e-02  1.743729e-02 
 6.394946e-02  1.925311e-02 
 6.434715e-02  2.105347e-02 
 6.474485e-02  2.280389e-02 
 6.514254e-02  2.456569e-02 
 6.554024e-02  2.610942e-02 
 6.593794e-02  2.782729e-02 
 6.633563e-02  2.961370e-02 
 6.673333e-02  3.131847e-02 
 6.713102e-02  3.291189e-02 
 6.752872e-02  3.421452e-02 
 6.792641e-02  3.555675e-02 
 6.832411e-02  3.692856e-02 
 6.872180e-02  3.828599e-02 
 6.911950e-02  3.965668e-02 
 6.951720e-02  4.107931e-02 
 6.991489e-02  4.272363e-02 
 7.031259e-02  4.468569e-02 
 7.071028e-02  4.691345e-02 
 7.110798e-02  4.947650e-02 
 7.150567e-02  5.236267e-02 
 7.190337e-02  5.537909e-02 
 7.230107e-02  5.862747e-02 
 7.269876e-02  6.211671e-02 
 7.309646e-02  6.557530e-02 
 7.349415e-02  6.914412e-02 
 7.389185e-02  7.253119e-02 
 7.428954e-02  7.561822e-02 
 7.468724e-02  7.846798e-02 
 7.508493e-02  8.121525e-02 
 7.548263e-02  8.389456e-02 
 7.588033e-02  8.633045e-02 
 7.627802e-02  8.883174e-02 
 7.667572e-02  9.163433e-02 
 7.707341e-02  9.439129e-02 
 7.747111e-02  9.736246e-02 
 7.786880e-02  1.006233e-01 
 7.826650e-02  1.041230e-01 
 7.866420e-02  1.078013e-01 
 7.906189e-02  1.114921e-01 
 7.945959e-02  1.152137e-01 
 7.985728e-02  1.186373e-01 
 8.025498e-02  1.218378e-01 
 8.065267e-02  1.250034e-01 
 8.105037e-02  1.277456e-01 
 8.144806e-02  1.305155e-01 
 8.184576e-02  1.332041e-01 
 8.224346e-02  1.359056e-01 
 8.264115e-02  1.383464e-01 
 8.303885e-02  1.405476e-01 
 8.343654e-02  1.428727e-01 
 8.383424e-02  1.450651e-01 
 8.423193e-02  1.469865e-01 
 8.462963e-02  1.490101e-01 
 8.502733e-02  1.510009e-01 
 8.542502e-02  1.528988e-01 
 8.582272e-02  1.548666e-01 
 8.622041e-02  1.570223e-01 
 8.661811e-02  1.592983e-01 
 8.701580e-02  1.615412e-01 
 8.741350e-02  1.636789e-01 
 8.781119e-02  1.657359e-01 
 8.820889e-02  1.676854e-01 
 8.860659e-02  1.696528e-01 
 8.900428e-02  1.717711e-01 
 8.940198e-02  1.734844e-01 
 8.979967e-02  1.751543e-01 
 9.019737e-02  1.768727e-01 
 9.059506e-02  1.786828e-01 
 9.099276e-02  1.805115e-01 
 9.139046e-02  1.821109e-01 
 9.178815e-02  1.836394e-01 
 9.218585e-02  1.848940e-01 
 9.258354e-02  1.859284e-01 
 9.298124e-02  1.866774e-01 
 9.337893e-02  1.872338e-01 
 9.377663e-02  1.875078e-01 
 9.417432e-02  1.877205e-01 
 9.457202e-02  1.875410e-01 
 9.496972e-02  1.874215e-01 
 9.536741e-02  1.871814e-01 
 9.576511e-02  1.868319e-01 
 9.616280e-02  1.862634e-01 
 9.656050e-02  1.854959e-01 
 9.695819e-02  1.847454e-01 
 9.735589e-02  1.840087e-01 
 9.775359e-02  1.834850e-01 
 9.815128e-02  1.830176e-01 
 9.854898e-02  1.826471e-01 
 9.894667e-02  1.822180e-01 
 9.934437e-02  1.817176e-01 
 9.974206e-02  1.812764e-01 
 1.001398e-01  1.808396e-01 
 1.005375e-01  1.803151e-01 
 1.009352e-01  1.795520e-01 
 1.013328e-01  1.784706e-01 
 1.017305e-01  1.774040e-01 
 1.021282e-01  1.760934e-01 
 1.025259e-01  1.747775e-01 
 1.029236e-01  1.730792e-01 
 1.033213e-01  1.713540e-01 
 1.037190e-01  1.694713e-01 
 1.041167e-01  1.676054e-01 
 1.045144e-01  1.658250e-01 
 1.049121e-01  1.639957e-01 
 1.053098e-01  1.622915e-01 
 1.057075e-01  1.606515e-01 
 1.061052e-01  1.591960e-01 
 1.065029e-01  1.579484e-01 
 1.069006e-01  1.568912e-01 
 1.072983e-01  1.560737e-01 
 1.076960e-01  1.552444e-01 
 1.080937e-01  1.544802e-01 
 1.084914e-01  1.538848e-01 
 1.088891e-01  1.532459e-01 
 1.092868e-01  1.527785e-01 
 1.096845e-01  1.518553e-01 
 1.100821e-01  1.508467e-01 
 1.104798e-01  1.496052e-01 
 1.108775e-01  1.484382e-01 
 1.112752e-01  1.471063e-01 
 1.116729e-01  1.455628e-01 
 1.120706e-01  1.438567e-01 
 1.124683e-01  1.420273e-01 
 1.128660e-01  1.400925e-01 
 1.132637e-01  1.382126e-01 
 1.136614e-01  1.360539e-01 
 1.140591e-01  1.338336e-01 
 1.144568e-01  1.317883e-01 
 1.148545e-01  1.294961e-01 
 1.152522e-01  1.271057e-01 
 1.156499e-01  1.248793e-01 
 1.160476e-01  1.227720e-01 
 1.164453e-01  1.205855e-01 
 1.168430e-01  1.183577e-01 
 1.172407e-01  1.161699e-01 
 1.176384e-01  1.139783e-01 
 1.180361e-01  1.116224e-01 
 1.184338e-01  1.094193e-01 
 1.188315e-01  1.070782e-01 
 1.192291e-01  1.046291e-01 
 1.196268e-01  1.020607e-01 
 1.200245e-01  9.936363e-02 
 1.204222e-01  9.679337e-02 
 1.208199e-01  9.422582e-02 
 1.212176e-01  9.159068e-02 
 1.216153e-01  8.898017e-02 
 1.220130e-01  8.609998e-02 
 1.224107e-01  8.315622e-02 
 1.228084e-01  8.012769e-02 
 1.232061e-01  7.680607e-02 
 1.236038e-01  7.306742e-02 
 1.240015e-01  6.939839e-02 
 1.243992e-01  6.568288e-02 
 1.247969e-01  6.199171e-02 
 1.251946e-01  5.822818e-02 
 1.255923e-01  5.471739e-02 
 1.259900e-01  5.118623e-02 
 1.263877e-01  4.775836e-02 
 1.267854e-01  4.482066e-02 
 1.271831e-01  4.214122e-02 
 1.275808e-01  3.979247e-02 
 1.279785e-01  3.772924e-02 
 1.283761e-01  3.578935e-02 
 1.287738e-01  3.403475e-02 
 1.291715e-01  3.239666e-02 
 1.295692e-01  3.076368e-02 
 1.299669e-01  2.910476e-02 
 1.303646e-01  2.704627e-02 
 1.307623e-01  2.493890e-02 
 1.311600e-01  2.271836e-02 
 1.315577e-01  2.039623e-02 
 1.319554e-01  1.816169e-02 
 1.323531e-01  1.587105e-02 
 1.327508e-01  1.360682e-02 
 1.331485e-01  1.159144e-02 
 1.335462e-01  9.666224e-03 
 1.339439e-01  7.822215e-03 
 1.343416e-01  6.419275e-03 
 1.347393e-01  5.202848e-03 
 1.351370e-01  4.013102e-03 
 1.355347e-01  2.836946e-03 
 1.359324e-01  1.755901e-03 
 1.363301e-01  8.094825e-04 
