         time tilt_beam_... 
------------- ------------- 
 3.976956e-04 -5.096306e-01 
 7.953913e-04 -5.099404e-01 
 1.193087e-03 -5.101479e-01 
 1.590783e-03 -5.102387e-01 
 1.988478e-03 -5.102250e-01 
 2.386174e-03 -5.101320e-01 
 2.783869e-03 -5.099803e-01 
 3.181565e-03 -5.097937e-01 
 3.579261e-03 -5.095666e-01 
 3.976956e-03 -5.092594e-01 
 4.374652e-03 -5.088198e-01 
 4.772348e-03 -5.082279e-01 
 5.170043e-03 -5.074751e-01 
 5.567739e-03 -5.065716e-01 
 5.965434e-03 -5.055596e-01 
 6.363130e-03 -5.044601e-01 
 6.760826e-03 -5.032660e-01 
 7.158521e-03 -5.019809e-01 
 7.556217e-03 -5.006126e-01 
 7.953913e-03 -4.991397e-01 
 8.351608e-03 -4.975614e-01 
 8.749304e-03 -4.958928e-01 
 9.146999e-03 -4.941694e-01 
 9.544695e-03 -4.924209e-01 
 9.942391e-03 -4.906388e-01 
 1.034009e-02 -4.888258e-01 
 1.073778e-02 -4.869817e-01 
 1.113548e-02 -4.850748e-01 
 1.153317e-02 -4.830896e-01 
 1.193087e-02 -4.810058e-01 
 1.232856e-02 -4.788477e-01 
 1.272626e-02 -4.766212e-01 
 1.312396e-02 -4.743685e-01 
 1.352165e-02 -4.721079e-01 
 1.391935e-02 -4.698579e-01 
 1.431704e-02 -4.676333e-01 
 1.471474e-02 -4.653970e-01 
 1.511243e-02 -4.631305e-01 
 1.551013e-02 -4.608542e-01 
 1.590783e-02 -4.585927e-01 
 1.630552e-02 -4.563563e-01 
 1.670322e-02 -4.541210e-01 
 1.710091e-02 -4.518720e-01 
 1.749861e-02 -4.495827e-01 
 1.789630e-02 -4.472389e-01 
 1.829400e-02 -4.448614e-01 
 1.869169e-02 -4.424528e-01 
 1.908939e-02 -4.400336e-01 
 1.948709e-02 -4.376165e-01 
 1.988478e-02 -4.351843e-01 
 2.028248e-02 -4.327403e-01 
 2.068017e-02 -4.302857e-01 
 2.107787e-02 -4.277950e-01 
 2.147556e-02 -4.252891e-01 
 2.187326e-02 -4.227731e-01 
 2.227096e-02 -4.202526e-01 
 2.266865e-02 -4.177431e-01 
 2.306635e-02 -4.152004e-01 
 2.346404e-02 -4.126268e-01 
 2.386174e-02 -4.100090e-01 
 2.425943e-02 -4.073336e-01 
 2.465713e-02 -4.046224e-01 
 2.505482e-02 -4.018926e-01 
 2.545252e-02 -3.991388e-01 
 2.585022e-02 -3.963716e-01 
 2.624791e-02 -3.936027e-01 
 2.664561e-02 -3.908587e-01 
 2.704330e-02 -3.881151e-01 
 2.744100e-02 -3.853942e-01 
 2.783869e-02 -3.827008e-01 
 2.823639e-02 -3.800194e-01 
 2.863409e-02 -3.773604e-01 
 2.903178e-02 -3.747046e-01 
 2.942948e-02 -3.720372e-01 
 2.982717e-02 -3.693298e-01 
 3.022487e-02 -3.665811e-01 
 3.062256e-02 -3.638053e-01 
 3.102026e-02 -3.610077e-01 
 3.141795e-02 -3.581969e-01 
 3.181565e-02 -3.553841e-01 
 3.221335e-02 -3.525942e-01 
 3.261104e-02 -3.498235e-01 
 3.300874e-02 -3.470741e-01 
 3.340643e-02 -3.443193e-01 
 3.380413e-02 -3.415620e-01 
 3.420182e-02 -3.388031e-01 
 3.459952e-02 -3.360757e-01 
 3.499722e-02 -3.334351e-01 
 3.539491e-02 -3.309140e-01 
 3.579261e-02 -3.285432e-01 
 3.619030e-02 -3.263213e-01 
 3.658800e-02 -3.242103e-01 
 3.698569e-02 -3.221891e-01 
 3.738339e-02 -3.202410e-01 
 3.778108e-02 -3.183520e-01 
 3.817878e-02 -3.165145e-01 
 3.857648e-02 -3.147626e-01 
 3.897417e-02 -3.131114e-01 
 3.937187e-02 -3.115757e-01 
 3.976956e-02 -3.101461e-01 
 4.016726e-02 -3.087717e-01 
 4.056495e-02 -3.074707e-01 
 4.096265e-02 -3.062680e-01 
 4.136035e-02 -3.051733e-01 
 4.175804e-02 -3.042013e-01 
 4.215574e-02 -3.033843e-01 
 4.255343e-02 -3.027342e-01 
 4.295113e-02 -3.022650e-01 
 4.334882e-02 -3.019684e-01 
 4.374652e-02 -3.018497e-01 
 4.414421e-02 -3.019076e-01 
 4.454191e-02 -3.021382e-01 
 4.493961e-02 -3.025642e-01 
 4.533730e-02 -3.031831e-01 
 4.573500e-02 -3.040214e-01 
 4.613269e-02 -3.050673e-01 
 4.653039e-02 -3.062919e-01 
 4.692808e-02 -3.076962e-01 
 4.732578e-02 -3.092810e-01 
 4.772348e-02 -3.110565e-01 
 4.812117e-02 -3.130155e-01 
 4.851887e-02 -3.151755e-01 
 4.891656e-02 -3.175137e-01 
 4.931426e-02 -3.199711e-01 
 4.971195e-02 -3.225217e-01 
 5.010965e-02 -3.251386e-01 
 5.050734e-02 -3.278175e-01 
 5.090504e-02 -3.305770e-01 
 5.130274e-02 -3.334427e-01 
 5.170043e-02 -3.364872e-01 
 5.209813e-02 -3.397325e-01 
 5.249582e-02 -3.431390e-01 
 5.289352e-02 -3.466944e-01 
 5.329121e-02 -3.503678e-01 
