         time tilt_local... 
------------- ------------- 
 2.906879e-04 -4.067859e-02 
 6.136745e-04 -4.064113e-02 
 9.366611e-04 -4.058815e-02 
 1.259648e-03 -4.049179e-02 
 1.582634e-03 -4.035155e-02 
 1.905621e-03 -4.019704e-02 
 2.228607e-03 -4.003900e-02 
 2.551594e-03 -3.987717e-02 
 2.874580e-03 -3.971183e-02 
 3.197567e-03 -3.954689e-02 
 3.520554e-03 -3.937675e-02 
 3.843540e-03 -3.919342e-02 
 4.166527e-03 -3.899349e-02 
 4.489514e-03 -3.877655e-02 
 4.812501e-03 -3.853940e-02 
 5.135487e-03 -3.827878e-02 
 5.458474e-03 -3.799531e-02 
 5.781461e-03 -3.769784e-02 
 6.104448e-03 -3.739189e-02 
 6.427435e-03 -3.708318e-02 
 6.750422e-03 -3.677484e-02 
 7.073408e-03 -3.646883e-02 
 7.396395e-03 -3.616692e-02 
 7.719382e-03 -3.586515e-02 
 8.042370e-03 -3.555970e-02 
 8.365357e-03 -3.524711e-02 
 8.688344e-03 -3.492453e-02 
 9.011331e-03 -3.459100e-02 
 9.334318e-03 -3.424328e-02 
 9.657305e-03 -3.387322e-02 
 9.980292e-03 -3.346823e-02 
 1.030328e-02 -3.304120e-02 
 1.062627e-02 -3.262747e-02 
 1.094925e-02 -3.223451e-02 
 1.127224e-02 -3.183917e-02 
 1.159523e-02 -3.142905e-02 
 1.191821e-02 -3.100995e-02 
 1.224120e-02 -3.059669e-02 
 1.256419e-02 -3.019020e-02 
 1.288717e-02 -2.977741e-02 
 1.321016e-02 -2.936330e-02 
 1.353315e-02 -2.894328e-02 
 1.385614e-02 -2.850741e-02 
 1.417912e-02 -2.806636e-02 
 1.450211e-02 -2.762066e-02 
 1.482510e-02 -2.717352e-02 
 1.514808e-02 -2.672785e-02 
 1.547107e-02 -2.627561e-02 
 1.579406e-02 -2.581778e-02 
 1.611704e-02 -2.536705e-02 
 1.644003e-02 -2.493585e-02 
 1.676302e-02 -2.451549e-02 
 1.708600e-02 -2.409199e-02 
 1.740899e-02 -2.365979e-02 
 1.773197e-02 -2.321666e-02 
 1.805496e-02 -2.276104e-02 
 1.837795e-02 -2.229712e-02 
 1.870093e-02 -2.183039e-02 
 1.902392e-02 -2.136542e-02 
 1.934690e-02 -2.090229e-02 
 1.966989e-02 -2.043983e-02 
 1.999288e-02 -1.997866e-02 
 2.031586e-02 -1.950826e-02 
 2.063885e-02 -1.903355e-02 
 2.096183e-02 -1.857649e-02 
 2.128482e-02 -1.815152e-02 
 2.160780e-02 -1.773496e-02 
 2.193079e-02 -1.730236e-02 
 2.225377e-02 -1.685867e-02 
 2.257676e-02 -1.641996e-02 
 2.289975e-02 -1.599008e-02 
 2.322273e-02 -1.555838e-02 
 2.354572e-02 -1.512455e-02 
 2.386870e-02 -1.469813e-02 
 2.419169e-02 -1.426893e-02 
 2.451467e-02 -1.383497e-02 
 2.483766e-02 -1.340920e-02 
 2.516064e-02 -1.299597e-02 
 2.548363e-02 -1.258444e-02 
 2.580661e-02 -1.216191e-02 
 2.612960e-02 -1.174234e-02 
 2.645258e-02 -1.134923e-02 
 2.677557e-02 -1.098110e-02 
 2.709855e-02 -1.061355e-02 
 2.742154e-02 -1.023627e-02 
 2.774452e-02 -9.852407e-03 
 2.806750e-02 -9.466641e-03 
 2.839049e-02 -9.082142e-03 
 2.871347e-02 -8.702573e-03 
 2.903646e-02 -8.328021e-03 
 2.935944e-02 -7.963728e-03 
 2.968243e-02 -7.612718e-03 
 3.000541e-02 -7.279564e-03 
 3.032840e-02 -6.960735e-03 
 3.065138e-02 -6.648190e-03 
 3.097436e-02 -6.348619e-03 
 3.129735e-02 -6.091845e-03 
 3.162033e-02 -5.874493e-03 
 3.194332e-02 -5.667775e-03 
 3.226630e-02 -5.454075e-03 
 3.258929e-02 -5.243836e-03 
 3.291227e-02 -5.049603e-03 
 3.323526e-02 -4.873158e-03 
 3.355824e-02 -4.716614e-03 
 3.388122e-02 -4.575250e-03 
 3.420421e-02 -4.450766e-03 
 3.452719e-02 -4.350479e-03 
 3.485018e-02 -4.290453e-03 
 3.517316e-02 -4.276920e-03 
 3.549615e-02 -4.302241e-03 
 3.581913e-02 -4.342003e-03 
 3.614211e-02 -4.404539e-03 
 3.646510e-02 -4.495025e-03 
 3.678808e-02 -4.621706e-03 
 3.711107e-02 -4.775325e-03 
 3.743405e-02 -4.939642e-03 
 3.775704e-02 -5.105817e-03 
 3.808002e-02 -5.287795e-03 
 3.840301e-02 -5.491976e-03 
 3.872599e-02 -5.733338e-03 
 3.904898e-02 -6.009239e-03 
 3.937196e-02 -6.322825e-03 
 3.969494e-02 -6.680742e-03 
 4.001793e-02 -7.090399e-03 
 4.034091e-02 -7.543401e-03 
 4.066390e-02 -8.019793e-03 
 4.098688e-02 -8.510570e-03 
 4.130987e-02 -9.036889e-03 
 4.163285e-02 -9.604570e-03 
 4.195584e-02 -1.020065e-02 
 4.227882e-02 -1.081097e-02 
 4.260181e-02 -1.143433e-02 
 4.292479e-02 -1.208577e-02 
 4.324778e-02 -1.276180e-02 
 4.357076e-02 -1.346964e-02 
 4.389375e-02 -1.421354e-02 
 4.421673e-02 -1.499018e-02 
 4.453972e-02 -1.580055e-02 
 4.486270e-02 -1.664698e-02 
 4.518569e-02 -1.753868e-02 
 4.550867e-02 -1.847193e-02 
 4.583166e-02 -1.942151e-02 
 4.615464e-02 -2.038061e-02 
 4.647763e-02 -2.135333e-02 
 4.680061e-02 -2.235348e-02 
 4.712360e-02 -2.338785e-02 
 4.744658e-02 -2.445029e-02 
 4.776957e-02 -2.552843e-02 
 4.809255e-02 -2.661801e-02 
 4.841554e-02 -2.772480e-02 
 4.873852e-02 -2.886734e-02 
 4.906151e-02 -3.004077e-02 
 4.938449e-02 -3.124760e-02 
 4.970748e-02 -3.248325e-02 
 5.003046e-02 -3.374589e-02 
 5.035345e-02 -3.503792e-02 
 5.067643e-02 -3.634198e-02 
 5.099942e-02 -3.764941e-02 
 5.132240e-02 -3.896369e-02 
 5.164539e-02 -4.029279e-02 
 5.196837e-02 -4.163897e-02 
 5.229136e-02 -4.299332e-02 
 5.261434e-02 -4.434530e-02 
 5.293733e-02 -4.570174e-02 
 5.326031e-02 -4.706655e-02 
 5.358330e-02 -4.844640e-02 
 5.390628e-02 -4.984127e-02 
 5.422927e-02 -5.125293e-02 
 5.455226e-02 -5.268132e-02 
 5.487524e-02 -5.411939e-02 
 5.519823e-02 -5.557421e-02 
 5.552121e-02 -5.704917e-02 
 5.584420e-02 -5.853456e-02 
 5.616718e-02 -6.000597e-02 
 5.649017e-02 -6.144782e-02 
 5.681315e-02 -6.287694e-02 
 5.713614e-02 -6.431161e-02 
