         time Top_Quarte... 
------------- ------------- 
 2.583893e-04 -3.195603e-05 
 5.813759e-04 -3.229914e-05 
 9.043625e-04 -3.264912e-05 
 1.227349e-03 -3.300582e-05 
 1.550336e-03 -3.336918e-05 
 1.873322e-03 -3.374233e-05 
 2.196309e-03 -3.414383e-05 
 2.519296e-03 -3.460180e-05 
 2.842282e-03 -3.509175e-05 
 3.165269e-03 -3.555844e-05 
 3.488256e-03 -3.599293e-05 
 3.811242e-03 -3.639323e-05 
 4.134229e-03 -3.676622e-05 
 4.457216e-03 -3.711520e-05 
 4.780202e-03 -3.744014e-05 
 5.103189e-03 -3.774839e-05 
 5.426175e-03 -3.803765e-05 
 5.749162e-03 -3.830427e-05 
 6.072149e-03 -3.854471e-05 
 6.395136e-03 -3.876385e-05 
 6.718123e-03 -3.896089e-05 
 7.041110e-03 -3.913338e-05 
 7.364097e-03 -3.927753e-05 
 7.687084e-03 -3.940034e-05 
 8.010071e-03 -3.952408e-05 
 8.333058e-03 -3.966108e-05 
 8.656045e-03 -3.978193e-05 
 8.979032e-03 -3.984830e-05 
 9.302019e-03 -3.983586e-05 
 9.625006e-03 -3.973661e-05 
 9.947993e-03 -3.955770e-05 
 1.027098e-02 -3.930543e-05 
 1.059397e-02 -3.898377e-05 
 1.091695e-02 -3.860823e-05 
 1.123994e-02 -3.819026e-05 
 1.156293e-02 -3.774793e-05 
 1.188592e-02 -3.728797e-05 
 1.220890e-02 -3.680026e-05 
 1.253189e-02 -3.629927e-05 
 1.285488e-02 -3.580596e-05 
 1.317786e-02 -3.530575e-05 
 1.350085e-02 -3.475883e-05 
 1.382384e-02 -3.415871e-05 
 1.414682e-02 -3.353184e-05 
 1.446981e-02 -3.288394e-05 
 1.479280e-02 -3.221234e-05 
 1.511578e-02 -3.151286e-05 
 1.543877e-02 -3.078709e-05 
 1.576176e-02 -3.004149e-05 
 1.608474e-02 -2.928484e-05 
 1.640773e-02 -2.851016e-05 
 1.673072e-02 -2.771694e-05 
 1.705370e-02 -2.690878e-05 
 1.737669e-02 -2.606344e-05 
 1.769968e-02 -2.516525e-05 
 1.802266e-02 -2.422941e-05 
 1.834565e-02 -2.327561e-05 
 1.866863e-02 -2.230294e-05 
 1.899162e-02 -2.128185e-05 
 1.931461e-02 -2.019363e-05 
 1.963759e-02 -1.905446e-05 
 1.996058e-02 -1.787414e-05 
 2.028356e-02 -1.666863e-05 
 2.060655e-02 -1.456687e-05 
 2.092953e-02 -1.336510e-05 
 2.125252e-02 -1.215952e-05 
 2.157551e-02 -1.093701e-05 
 2.189849e-02 -9.690700e-06 
 2.222148e-02 -8.388026e-06 
 2.254446e-02 -7.000049e-06 
 2.286745e-02 -5.533009e-06 
 2.319043e-02 -3.995205e-06 
 2.351342e-02 -2.376453e-06 
 2.383640e-02 -6.813189e-07 
 2.415939e-02  1.070359e-06 
 2.448238e-02  2.852735e-06 
 2.480536e-02  4.663478e-06 
 2.512835e-02  6.497536e-06 
 2.545133e-02  8.344866e-06 
 2.577432e-02  1.021069e-05 
 2.609730e-02  1.210728e-05 
 2.642029e-02  1.404301e-05 
 2.674327e-02  1.603160e-05 
 2.706626e-02  1.808724e-05 
 2.738924e-02  2.022514e-05 
 2.771223e-02  2.247047e-05 
 2.803521e-02  2.480876e-05 
 2.835820e-02  2.720876e-05 
 2.868118e-02  2.964738e-05 
 2.900416e-02  3.212855e-05 
 2.932715e-02  3.466301e-05 
 2.965013e-02  3.726384e-05 
 2.997312e-02  3.992750e-05 
 3.029610e-02  4.265059e-05 
 3.061909e-02  4.544607e-05 
 3.094207e-02  4.831896e-05 
 3.126506e-02  5.128372e-05 
 3.158804e-02  5.435234e-05 
 3.191103e-02  5.754052e-05 
 3.223401e-02  6.083610e-05 
 3.255699e-02  6.424074e-05 
 3.287998e-02  6.776595e-05 
 3.320296e-02  7.137931e-05 
 3.352595e-02  7.507751e-05 
 3.384893e-02  7.883490e-05 
 3.417192e-02  8.265030e-05 
 3.449490e-02  8.651881e-05 
 3.481789e-02  9.045401e-05 
 3.514087e-02  9.446847e-05 
 3.546385e-02  9.857804e-05 
 3.578684e-02  1.027927e-04 
 3.610982e-02  1.071283e-04 
 3.643281e-02  1.115927e-04 
 3.675579e-02  1.161865e-04 
 3.707878e-02  1.209078e-04 
 3.740176e-02  1.257758e-04 
 3.772475e-02  1.308065e-04 
 3.804773e-02  1.360112e-04 
 3.837072e-02  1.413769e-04 
 3.869370e-02  1.468477e-04 
 3.901669e-02  1.515156e-04 
 3.933967e-02  1.571529e-04 
 3.966266e-02  1.628767e-04 
 3.998564e-02  1.686931e-04 
 4.030862e-02  1.746099e-04 
 4.063161e-02  1.806305e-04 
 4.095459e-02  1.867635e-04 
