         time joist_s1_s... 
------------- ------------- 
 1.937917e-04 -9.109411e-03 
 5.167778e-04 -9.107666e-03 
 8.397639e-04 -9.107081e-03 
 1.162750e-03 -9.107567e-03 
 1.485736e-03 -9.108294e-03 
 1.808722e-03 -9.106994e-03 
 2.131708e-03 -9.102150e-03 
 2.454695e-03 -9.096314e-03 
 2.777681e-03 -9.096854e-03 
 3.100667e-03 -9.114914e-03 
 3.423653e-03 -9.163740e-03 
 3.746640e-03 -9.256855e-03 
 4.069626e-03 -9.405846e-03 
 4.392612e-03 -9.619630e-03 
 4.715599e-03 -9.905042e-03 
 5.038585e-03 -1.026659e-02 
 5.361571e-03 -1.070556e-02 
 5.684557e-03 -1.122082e-02 
 6.007544e-03 -1.181130e-02 
 6.330531e-03 -1.247812e-02 
 6.653518e-03 -1.322631e-02 
 6.976504e-03 -1.406450e-02 
 7.299491e-03 -1.500362e-02 
 7.622478e-03 -1.605488e-02 
 7.945465e-03 -1.722766e-02 
 8.268452e-03 -1.852805e-02 
 8.591438e-03 -1.995801e-02 
 8.914425e-03 -2.151527e-02 
 9.237412e-03 -2.319595e-02 
 9.560399e-03 -2.499281e-02 
 9.883386e-03 -2.690211e-02 
 1.020637e-02 -2.892398e-02 
 1.052936e-02 -3.106214e-02 
 1.085235e-02 -3.332373e-02 
 1.117533e-02 -3.571789e-02 
 1.149832e-02 -3.825321e-02 
 1.182131e-02 -4.093585e-02 
 1.214429e-02 -4.309886e-02 
 1.246728e-02 -4.435185e-02 
 1.279027e-02 -4.565881e-02 
 1.311326e-02 -4.704568e-02 
 1.343624e-02 -4.850892e-02 
 1.375923e-02 -5.004420e-02 
 1.408222e-02 -5.164818e-02 
 1.440520e-02 -5.331896e-02 
 1.472819e-02 -5.505538e-02 
 1.505118e-02 -5.685675e-02 
 1.537416e-02 -5.872214e-02 
 1.569715e-02 -6.070193e-02 
 1.602014e-02 -6.269620e-02 
 1.634312e-02 -6.474546e-02 
 1.666611e-02 -6.684636e-02 
 1.698909e-02 -6.899514e-02 
 1.731208e-02 -7.118721e-02 
 1.763507e-02 -6.006118e-02 
 1.795805e-02 -6.120654e-02 
 1.828104e-02 -6.236560e-02 
 1.860403e-02 -6.353499e-02 
 1.892701e-02 -6.482681e-02 
 1.925000e-02 -6.601600e-02 
 1.957298e-02 -6.721045e-02 
 1.989597e-02 -5.577884e-02 
 2.021895e-02 -5.579717e-02 
 2.054194e-02 -5.580690e-02 
 2.086492e-02 -5.580760e-02 
 2.118791e-02 -5.579941e-02 
 2.151089e-02 -5.578210e-02 
 2.183388e-02 -5.575526e-02 
 2.215686e-02 -5.590359e-02 
 2.247985e-02 -5.585880e-02 
 2.280283e-02 -5.580600e-02 
 2.312582e-02 -5.574558e-02 
 2.344880e-02 -5.567812e-02 
 2.377179e-02 -5.560476e-02 
 2.409477e-02 -5.552693e-02 
 2.441776e-02 -5.544636e-02 
 2.474074e-02 -5.536476e-02 
 2.506373e-02 -5.528309e-02 
 2.538671e-02 -5.540172e-02 
 2.570970e-02 -5.532346e-02 
 2.603268e-02 -5.524990e-02 
 2.635567e-02 -5.518291e-02 
 2.667865e-02 -5.512449e-02 
 2.700164e-02 -5.507640e-02 
 2.732462e-02 -5.503983e-02 
 2.764761e-02 -5.501529e-02 
 2.797059e-02 -5.500366e-02 
 2.829357e-02 -5.500596e-02 
 2.861656e-02 -5.522581e-02 
 2.893954e-02 -5.525808e-02 
 2.926253e-02 -5.530674e-02 
 2.958551e-02 -5.537301e-02 
 2.990849e-02 -5.545802e-02 
 3.023148e-02 -5.556237e-02 
 3.055446e-02 -5.568618e-02 
 3.087745e-02 -5.582829e-02 
 3.120043e-02 -5.598615e-02 
 3.152341e-02 -5.615615e-02 
 3.184640e-02 -5.652701e-02 
 3.216938e-02 -5.670951e-02 
 3.249237e-02 -5.689261e-02 
 3.281535e-02 -5.707423e-02 
 3.313833e-02 -5.725330e-02 
 3.346132e-02 -5.742971e-02 
 3.378430e-02 -5.760344e-02 
 3.410728e-02 -5.777477e-02 
 3.443027e-02 -5.794417e-02 
 3.475325e-02 -5.811160e-02 
 3.507624e-02 -5.845293e-02 
 3.539922e-02 -5.861431e-02 
 3.572220e-02 -5.877038e-02 
 3.604519e-02 -5.892078e-02 
 3.636817e-02 -5.906565e-02 
 3.669116e-02 -5.920528e-02 
 3.701414e-02 -5.934063e-02 
 3.733712e-02 -5.947359e-02 
 3.766011e-02 -5.960659e-02 
 3.798309e-02 -5.974254e-02 
 3.830608e-02 -6.004640e-02 
 3.862906e-02 -6.020039e-02 
 3.895204e-02 -6.036830e-02 
 3.927503e-02 -6.055190e-02 
 3.959801e-02 -6.075215e-02 
 3.992100e-02 -6.096956e-02 
 4.024398e-02 -6.120410e-02 
 4.056697e-02 -6.145519e-02 
 4.088995e-02 -6.172223e-02 
 4.121293e-02 -6.200474e-02 
 4.153592e-02 -6.245548e-02 
 4.185890e-02 -6.276698e-02 
 4.218189e-02 -6.309065e-02 
 4.250487e-02 -6.342620e-02 
 4.282786e-02 -6.377402e-02 
 4.315084e-02 -6.413463e-02 
 4.347383e-02 -6.450851e-02 
 4.379681e-02 -6.489572e-02 
 4.411979e-02 -6.529529e-02 
 4.444278e-02 -6.570536e-02 
 4.476576e-02 -6.626551e-02 
 4.508875e-02 -6.669173e-02 
 4.541173e-02 -6.712138e-02 
 4.573472e-02 -6.755183e-02 
 4.605770e-02 -6.798155e-02 
 4.638068e-02 -6.841003e-02 
 4.670367e-02 -6.883698e-02 
 4.702665e-02 -6.926191e-02 
 4.734964e-02 -6.968433e-02 
 4.767262e-02 -7.010355e-02 
 4.799561e-02 -7.062665e-02 
 4.831859e-02 -7.103758e-02 
 4.864157e-02 -7.144301e-02 
 4.896456e-02 -7.184276e-02 
 4.928754e-02 -7.223610e-02 
 4.961053e-02 -7.262190e-02 
 4.993351e-02 -7.299875e-02 
 5.025650e-02 -7.336528e-02 
 5.057948e-02 -7.372007e-02 
 5.090247e-02 -7.406134e-02 
 5.122545e-02 -7.444388e-02 
 5.154843e-02 -7.475475e-02 
 5.187142e-02 -7.502334e-02 
 5.219440e-02 -7.512782e-02 
 5.251739e-02 -7.505073e-02 
 5.284037e-02 -7.479895e-02 
 5.316336e-02 -7.437776e-02 
 5.348634e-02 -7.379098e-02 
 5.380933e-02 -7.304054e-02 
 5.413231e-02 -7.212626e-02 
 5.445530e-02 -7.104642e-02 
 5.477828e-02 -6.979818e-02 
 5.510127e-02 -6.837968e-02 
 5.542425e-02 -6.679198e-02 
 5.574724e-02 -6.503986e-02 
 5.607022e-02 -6.313081e-02 
 5.639321e-02 -6.107380e-02 
 5.671620e-02 -5.887871e-02 
 5.703918e-02 -5.655566e-02 
 5.736217e-02 -5.411411e-02 
 5.768515e-02 -5.156558e-02 
 5.800814e-02 -4.891127e-02 
 5.833112e-02 -4.615203e-02 
 5.865411e-02 -4.328724e-02 
 5.897709e-02 -4.031561e-02 
 5.930008e-02 -3.723613e-02 
 5.962306e-02 -3.404908e-02 
 5.994605e-02 -3.075669e-02 
 6.026903e-02 -2.736306e-02 
 6.059202e-02 -2.387405e-02 
 6.091500e-02 -2.030641e-02 
 6.123798e-02 -1.666118e-02 
 6.156097e-02 -1.294500e-02 
 6.188395e-02 -9.163238e-03 
 6.220693e-02 -5.320743e-03 
 6.252992e-02 -1.422899e-03 
 6.285290e-02  2.524462e-03 
 6.317588e-02  6.514610e-03 
 6.349887e-02  1.053906e-02 
 6.382185e-02  1.458763e-02 
 6.414483e-02  1.863655e-02 
 6.446781e-02  2.268584e-02 
 6.479079e-02  2.672450e-02 
 6.511378e-02  3.074018e-02 
 6.543676e-02  3.472271e-02 
 6.575974e-02  3.866444e-02 
 6.608272e-02  4.256000e-02 
 6.640570e-02  4.640573e-02 
 6.672868e-02  5.019887e-02 
 6.705167e-02  5.393631e-02 
 6.737465e-02  5.760169e-02 
 6.769764e-02  6.120047e-02 
 6.802064e-02  6.472874e-02 
 6.834363e-02  6.775660e-02 
 6.866662e-02  6.934605e-02 
 6.898961e-02  7.090150e-02 
 6.931260e-02  7.242491e-02 
 6.963559e-02  7.391787e-02 
 6.995858e-02  7.538083e-02 
 7.028157e-02  7.681418e-02 
 7.060456e-02  7.817388e-02 
 7.092755e-02  7.954578e-02 
 7.125054e-02  8.064144e-02 
 7.157353e-02  8.131408e-02 
 7.189652e-02  8.135861e-02 
 7.221951e-02  8.139259e-02 
 7.254250e-02  8.143993e-02 
