         time tilt_up_se... 
------------- ------------- 
 1.291945e-04  3.300746e-03 
 4.521807e-04  3.299108e-03 
 7.751669e-04  3.297418e-03 
 1.098153e-03  3.295677e-03 
 1.421139e-03  3.293881e-03 
 1.744126e-03  3.291887e-03 
 2.067112e-03  3.288269e-03 
 2.390098e-03  3.278660e-03 
 2.713084e-03  3.262495e-03 
 3.036071e-03  3.249907e-03 
 3.359057e-03  3.245304e-03 
 3.682043e-03  3.245264e-03 
 4.005029e-03  3.247849e-03 
 4.328015e-03  3.249928e-03 
 4.651002e-03  3.251070e-03 
 4.973989e-03  3.247980e-03 
 5.296976e-03  3.235128e-03 
 5.619963e-03  3.214511e-03 
 5.942950e-03  3.202499e-03 
 6.265937e-03  3.211680e-03 
 6.588924e-03  3.242053e-03 
 6.911911e-03  3.292014e-03 
 7.234898e-03  3.360917e-03 
 7.557885e-03  3.449498e-03 
 7.880872e-03  3.554008e-03 
 8.203859e-03  3.668192e-03 
 8.526847e-03  3.793740e-03 
 8.849834e-03  3.932701e-03 
 9.172821e-03  4.086636e-03 
 9.495809e-03  4.254952e-03 
 9.818796e-03  4.437113e-03 
 1.014178e-02  4.629809e-03 
 1.046477e-02  4.832257e-03 
 1.078776e-02  5.043711e-03 
 1.111075e-02  5.259851e-03 
 1.143373e-02  5.480949e-03 
 1.175672e-02  5.707314e-03 
 1.207971e-02  5.945558e-03 
 1.240269e-02  6.199869e-03 
 1.272568e-02  6.468067e-03 
 1.304867e-02  6.748736e-03 
 1.337166e-02  7.042505e-03 
 1.369464e-02  7.344299e-03 
 1.401763e-02  7.642524e-03 
 1.434062e-02  7.933463e-03 
 1.466361e-02  8.218287e-03 
 1.498659e-02  8.500847e-03 
 1.530958e-02  8.782701e-03 
 1.563257e-02  9.061208e-03 
 1.595555e-02  9.333978e-03 
 1.627854e-02  9.604246e-03 
 1.660153e-02  9.878600e-03 
 1.692451e-02  1.015686e-02 
 1.724750e-02  1.043406e-02 
 1.757048e-02  1.070528e-02 
 1.789347e-02  1.096736e-02 
 1.821646e-02  1.121515e-02 
 1.853944e-02  1.144538e-02 
 1.886243e-02  1.165859e-02 
 1.918541e-02  1.186164e-02 
 1.950840e-02  1.206147e-02 
 1.983138e-02  1.226331e-02 
 2.015437e-02  1.246562e-02 
 2.047735e-02  1.266258e-02 
 2.080035e-02  1.284659e-02 
 2.112334e-02  1.301472e-02 
 2.144633e-02  1.316694e-02 
 2.176932e-02  1.330278e-02 
 2.209231e-02  1.342492e-02 
 2.241530e-02  1.353544e-02 
 2.273830e-02  1.363055e-02 
 2.306129e-02  1.369993e-02 
 2.338428e-02  1.374128e-02 
 2.370727e-02  1.375308e-02 
 2.403026e-02  1.373813e-02 
 2.435326e-02  1.369609e-02 
 2.467625e-02  1.363029e-02 
 2.499924e-02  1.354893e-02 
 2.532223e-02  1.345730e-02 
 2.564523e-02  1.335556e-02 
 2.596822e-02  1.323786e-02 
 2.629121e-02  1.310063e-02 
 2.661420e-02  1.294164e-02 
 2.693719e-02  1.276473e-02 
 2.726019e-02  1.256595e-02 
 2.758318e-02  1.234456e-02 
 2.790617e-02  1.209929e-02 
 2.822917e-02  1.182932e-02 
 2.855216e-02  1.153828e-02 
 2.887515e-02  1.123014e-02 
 2.919815e-02  1.090885e-02 
 2.952114e-02  1.057134e-02 
 2.984413e-02  1.021930e-02 
 3.016713e-02  9.855713e-03 
 3.049012e-02  9.479599e-03 
