         time tiltx_full... 
------------- ------------- 
 6.459740e-05  1.197344e-02 
 3.875844e-04  1.197249e-02 
 7.105715e-04  1.196534e-02 
 1.033558e-03  1.196787e-02 
 1.356546e-03  1.193792e-02 
 1.679533e-03  1.189879e-02 
 2.002520e-03  1.185045e-02 
 2.325507e-03  1.179230e-02 
 2.648494e-03  1.172225e-02 
 2.971481e-03  1.163928e-02 
 3.294468e-03  1.154720e-02 
 3.617455e-03  1.144878e-02 
 3.940442e-03  1.134408e-02 
 4.263429e-03  1.123319e-02 
 4.586417e-03  1.111530e-02 
 4.909405e-03  1.099062e-02 
 5.232393e-03  1.085876e-02 
 5.555380e-03  1.071976e-02 
 5.878368e-03  1.057435e-02 
 6.201356e-03  1.042289e-02 
 6.524344e-03  1.026531e-02 
 6.847331e-03  1.010144e-02 
 7.170319e-03  9.931354e-03 
 7.493307e-03  9.755266e-03 
 7.816296e-03  9.573097e-03 
 8.139284e-03  9.383834e-03 
 8.462272e-03  9.185993e-03 
 8.785260e-03  8.980481e-03 
 9.108249e-03  8.769791e-03 
 9.431237e-03  8.555892e-03 
 9.754225e-03  8.339909e-03 
 1.007721e-02  8.122090e-03 
 1.040020e-02  7.901834e-03 
 1.072319e-02  7.680252e-03 
 1.104618e-02  7.457114e-03 
 1.136917e-02  7.231433e-03 
 1.169215e-02  7.002180e-03 
 1.201514e-02  6.768034e-03 
 1.233813e-02  6.529012e-03 
 1.266112e-02  6.285245e-03 
 1.298411e-02  6.035389e-03 
 1.330710e-02  5.778953e-03 
 1.363008e-02  5.517745e-03 
 1.395307e-02  5.253769e-03 
 1.427606e-02  4.986439e-03 
 1.459905e-02  4.714426e-03 
 1.492204e-02  4.437548e-03 
 1.524502e-02  4.156111e-03 
 1.556801e-02  3.871036e-03 
 1.589100e-02  3.583576e-03 
 1.621399e-02  3.293209e-03 
 1.653698e-02  2.999642e-03 
 1.685996e-02  2.703356e-03 
 1.718296e-02  2.404209e-03 
 1.750595e-02  2.102705e-03 
 1.782895e-02  1.800511e-03 
 1.815194e-02  1.497890e-03 
 1.847494e-02  1.193332e-03 
 1.879793e-02  8.863184e-04 
 1.912093e-02  5.775199e-04 
 1.944392e-02  2.900037e-04 
 1.976692e-02 -1.820862e-05 
 2.008992e-02 -3.269846e-04 
 2.041291e-02 -6.365149e-04 
 2.073591e-02 -9.464063e-04 
 2.105890e-02 -1.257600e-03 
 2.138190e-02 -1.570090e-03 
 2.170490e-02 -1.883443e-03 
 2.202789e-02 -2.196471e-03 
