         time joist_s2_s... 
------------- ------------- 
 3.229862e-04  5.280572e-03 
 6.459724e-04  5.367059e-03 
 9.689586e-04  5.460063e-03 
 1.291945e-03  5.559655e-03 
 1.614931e-03  5.667209e-03 
 1.937917e-03  5.788170e-03 
 2.260903e-03  5.930428e-03 
 2.583890e-03  6.095681e-03 
 2.906876e-03  6.274812e-03 
 3.229862e-03  6.449515e-03 
 3.552849e-03  6.594748e-03 
 3.875836e-03  6.682454e-03 
 4.198822e-03  6.687431e-03 
 4.521809e-03  6.591089e-03 
 4.844796e-03  6.380989e-03 
 5.167783e-03  6.050288e-03 
 5.490770e-03  5.599394e-03 
 5.813757e-03  5.036865e-03 
 6.136743e-03  4.376988e-03 
 6.459730e-03  3.634985e-03 
 6.782718e-03  2.822322e-03 
 7.105707e-03  1.943096e-03 
 7.428695e-03  9.923524e-04 
 7.751683e-03 -4.269644e-05 
 8.074671e-03 -1.178167e-03 
 8.397660e-03 -2.425447e-03 
 8.720648e-03 -3.785010e-03 
 9.043636e-03 -5.248710e-03 
 9.366624e-03 -6.807594e-03 
 9.689613e-03 -8.456343e-03 
 1.001260e-02 -1.019294e-02 
 1.033559e-02 -1.179864e-02 
 1.065858e-02 -1.347059e-02 
 1.098157e-02 -1.522114e-02 
 1.130455e-02 -1.705053e-02 
 1.162754e-02 -1.896096e-02 
 1.195053e-02 -2.095741e-02 
 1.227352e-02 -2.371291e-02 
 1.259651e-02 -2.704835e-02 
 1.291950e-02 -3.053105e-02 
 1.324248e-02 -3.416564e-02 
 1.356547e-02 -3.795009e-02 
 1.388846e-02 -4.098315e-02 
 1.421145e-02 -4.495037e-02 
 1.453443e-02 -4.944700e-02 
 1.485742e-02 -5.409525e-02 
 1.518041e-02 -5.888163e-02 
 1.550340e-02 -6.378812e-02 
 1.582639e-02 -6.823223e-02 
 1.614937e-02 -7.197403e-02 
 1.647237e-02 -7.576337e-02 
 1.679537e-02 -7.959895e-02 
