         time tilt_full_... 
------------- ------------- 
 3.229862e-04  8.931852e-03 
 6.459724e-04  8.916229e-03 
 9.689586e-04  8.887300e-03 
 1.291945e-03  8.846309e-03 
 1.614931e-03  8.793594e-03 
 1.937917e-03  8.729136e-03 
 2.260903e-03  8.650647e-03 
 2.583890e-03  8.555968e-03 
 2.906876e-03  8.449060e-03 
 3.229862e-03  8.335040e-03 
 3.552849e-03  8.213937e-03 
 3.875836e-03  8.095575e-03 
 4.198822e-03  7.952618e-03 
 4.521809e-03  7.797315e-03 
 4.844796e-03  7.629642e-03 
 5.167783e-03  7.450645e-03 
 5.490770e-03  7.263401e-03 
 5.813757e-03  7.070046e-03 
 6.136743e-03  6.871887e-03 
 6.459730e-03  6.669182e-03 
 6.782718e-03  6.462950e-03 
 7.105707e-03  6.253354e-03 
 7.428695e-03  6.039857e-03 
 7.751683e-03  5.820644e-03 
 8.074671e-03  5.591841e-03 
 8.397660e-03  5.351603e-03 
 8.720648e-03  5.103880e-03 
 9.043636e-03  4.852391e-03 
 9.366624e-03  4.597876e-03 
 9.689613e-03  4.339730e-03 
 1.001260e-02  4.077017e-03 
 1.033559e-02  3.808705e-03 
 1.065858e-02  3.535855e-03 
 1.098157e-02  3.257018e-03 
 1.130455e-02  2.971469e-03 
 1.162754e-02  2.678699e-03 
 1.195053e-02  2.379350e-03 
 1.227352e-02  2.075941e-03 
 1.259651e-02  1.768619e-03 
 1.291950e-02  1.456640e-03 
 1.324248e-02  1.142274e-03 
 1.356547e-02  8.271946e-04 
 1.388846e-02  5.077864e-04 
 1.421145e-02  1.804564e-04 
 1.453443e-02 -1.552691e-04 
 1.485742e-02 -4.989498e-04 
 1.518041e-02 -8.476745e-04 
 1.550340e-02 -1.198332e-03 
 1.582639e-02 -1.550326e-03 
 1.614937e-02 -1.904922e-03 
 1.647237e-02 -2.261987e-03 
 1.679537e-02 -2.621855e-03 
 1.711837e-02 -2.983887e-03 
 1.744137e-02 -3.347932e-03 
 1.776437e-02 -3.713797e-03 
 1.808737e-02 -4.084399e-03 
 1.841037e-02 -4.462015e-03 
 1.873337e-02 -4.844680e-03 
 1.905637e-02 -5.228465e-03 
 1.937937e-02 -5.609439e-03 
 1.970237e-02 -5.987147e-03 
 2.002537e-02 -6.363833e-03 
 2.034837e-02 -6.739784e-03 
 2.067137e-02 -7.118398e-03 
 2.099437e-02 -7.498548e-03 
 2.131737e-02 -7.877851e-03 
 2.164037e-02 -8.255636e-03 
 2.196337e-02 -8.632091e-03 
 2.228637e-02 -9.004564e-03 
 2.260937e-02 -9.372182e-03 
 2.293237e-02 -9.736958e-03 
 2.325537e-02 -1.010051e-02 
 2.357837e-02 -1.046270e-02 
 2.390137e-02 -1.082425e-02 
 2.422437e-02 -1.118459e-02 
 2.454737e-02 -1.154620e-02 
 2.487037e-02 -1.190529e-02 
 2.519337e-02 -1.226036e-02 
 2.551637e-02 -1.260709e-02 
 2.583937e-02 -1.294569e-02 
 2.616238e-02 -1.327602e-02 
 2.648538e-02 -1.360093e-02 
 2.680838e-02 -1.392046e-02 
 2.713138e-02 -1.423533e-02 
 2.745438e-02 -1.454371e-02 
 2.777738e-02 -1.484497e-02 
 2.810039e-02 -1.513845e-02 
 2.842339e-02 -1.542463e-02 
 2.874639e-02 -1.570382e-02 
 2.906939e-02 -1.597558e-02 
 2.939239e-02 -1.623597e-02 
 2.971540e-02 -1.648513e-02 
 3.003840e-02 -1.672412e-02 
 3.036140e-02 -1.695854e-02 
 3.068441e-02 -1.718714e-02 
 3.100741e-02 -1.740956e-02 
 3.133041e-02 -1.762304e-02 
 3.165342e-02 -1.782183e-02 
 3.197642e-02 -1.800748e-02 
 3.229942e-02 -1.817795e-02 
 3.262243e-02 -1.833033e-02 
 3.294543e-02 -1.846540e-02 
 3.326844e-02 -1.858570e-02 
 3.359145e-02 -1.869257e-02 
 3.391445e-02 -1.878986e-02 
 3.423746e-02 -1.886729e-02 
 3.456046e-02 -1.893696e-02 
 3.488347e-02 -1.899293e-02 
 3.520647e-02 -1.903142e-02 
 3.552948e-02 -1.904933e-02 
 3.585248e-02 -1.904946e-02 
 3.617549e-02 -1.902439e-02 
 3.649850e-02 -1.897779e-02 
 3.682150e-02 -1.891855e-02 
 3.714451e-02 -1.884051e-02 
 3.746751e-02 -1.874460e-02 
 3.779052e-02 -1.862949e-02 
 3.811353e-02 -1.849207e-02 
 3.843653e-02 -1.833483e-02 
 3.875954e-02 -1.815624e-02 
 3.908254e-02 -1.796028e-02 
 3.940555e-02 -1.774373e-02 
 3.972856e-02 -1.752916e-02 
 4.005156e-02 -1.727591e-02 
 4.037457e-02 -1.700414e-02 
 4.069758e-02 -1.671477e-02 
 4.102058e-02 -1.640228e-02 
 4.134359e-02 -1.606428e-02 
 4.166660e-02 -1.570029e-02 
 4.198960e-02 -1.531224e-02 
 4.231261e-02 -1.490374e-02 
 4.263562e-02 -1.447042e-02 
 4.295862e-02 -1.401508e-02 
 4.328163e-02 -1.353975e-02 
 4.360463e-02 -1.304607e-02 
 4.392764e-02 -1.253491e-02 
 4.425065e-02 -1.200739e-02 
 4.457365e-02 -1.146181e-02 
 4.489666e-02 -1.089291e-02 
 4.521966e-02 -1.029871e-02 
 4.554265e-02 -9.678277e-03 
 4.586563e-02 -9.035819e-03 
 4.618861e-02 -8.364083e-03 
 4.651159e-02 -7.674292e-03 
 4.683457e-02 -6.965566e-03 
 4.715755e-02 -6.238674e-03 
 4.748053e-02 -5.497688e-03 
 4.780352e-02 -4.739609e-03 
 4.812650e-02 -3.961028e-03 
 4.844948e-02 -3.163407e-03 
 4.877246e-02 -2.346478e-03 
 4.909544e-02 -1.516354e-03 
