         time Top_Quarte... 
------------- ------------- 
 1.614947e-04 -4.016080e-03 
 4.844841e-04 -4.016368e-03 
 8.074735e-04 -4.016665e-03 
 1.130463e-03 -4.016970e-03 
 1.453452e-03 -4.017284e-03 
 1.776442e-03 -4.017613e-03 
 2.099431e-03 -4.018010e-03 
 2.422421e-03 -4.018595e-03 
 2.745410e-03 -4.019339e-03 
 3.068399e-03 -4.020015e-03 
 3.391389e-03 -4.020555e-03 
 3.714379e-03 -4.020950e-03 
 4.037369e-03 -4.021214e-03 
 4.360359e-03 -4.021380e-03 
 4.683349e-03 -4.021435e-03 
 5.006339e-03 -4.021402e-03 
 5.329329e-03 -4.021283e-03 
 5.652319e-03 -4.021074e-03 
 5.975309e-03 -4.020758e-03 
 6.298299e-03 -4.020345e-03 
 6.621290e-03 -4.019836e-03 
 6.944281e-03 -4.019229e-03 
 7.267272e-03 -4.018515e-03 
 7.590263e-03 -4.017714e-03 
 7.913254e-03 -4.016897e-03 
 8.236245e-03 -4.016091e-03 
 8.559237e-03 -4.015189e-03 
 8.882228e-03 -4.014090e-03 
 9.205219e-03 -4.012737e-03 
 9.528210e-03 -4.011086e-03 
 9.851201e-03 -4.009138e-03 
 1.017419e-02 -4.006919e-03 
 1.049718e-02 -4.004426e-03 
 1.082017e-02 -4.001697e-03 
 1.114317e-02 -3.998777e-03 
 1.146616e-02 -3.995731e-03 
 1.178915e-02 -3.992609e-03 
 1.211214e-02 -3.989409e-03 
 1.243513e-02 -3.986154e-03 
 1.275812e-02 -3.982885e-03 
 1.308111e-02 -3.979586e-03 
 1.340410e-02 -3.976171e-03 
 1.372709e-02 -3.972593e-03 
 1.405008e-02 -3.968892e-03 
 1.437307e-02 -3.965128e-03 
 1.469607e-02 -3.961314e-03 
 1.501906e-02 -3.957393e-03 
 1.534205e-02 -3.953393e-03 
 1.566504e-02 -3.949306e-03 
 1.598803e-02 -3.945163e-03 
 1.631103e-02 -3.940994e-03 
 1.663403e-02 -3.936745e-03 
 1.695703e-02 -3.932436e-03 
 1.728003e-02 -3.928012e-03 
 1.760303e-02 -3.923394e-03 
 1.792603e-02 -3.918617e-03 
 1.824903e-02 -3.913739e-03 
 1.857203e-02 -3.908757e-03 
 1.889503e-02 -3.903616e-03 
 1.921803e-02 -3.898280e-03 
 1.954103e-02 -3.892770e-03 
 1.986403e-02 -3.887101e-03 
 2.018704e-02 -3.881290e-03 
 2.051004e-02 -3.875450e-03 
 2.083304e-02 -3.869616e-03 
 2.115604e-02 -3.863777e-03 
 2.147904e-02 -3.857888e-03 
 2.180204e-02 -3.851947e-03 
 2.212504e-02 -3.845826e-03 
 2.244804e-02 -3.839455e-03 
 2.277105e-02 -3.832738e-03 
 2.309405e-02 -3.825756e-03 
 2.341705e-02 -3.818538e-03 
 2.374005e-02 -3.811097e-03 
 2.406306e-02 -3.803387e-03 
 2.438606e-02 -3.795499e-03 
 2.470906e-02 -3.787484e-03 
 2.503206e-02 -3.779390e-03 
 2.535506e-02 -3.771234e-03 
 2.567807e-02 -3.763023e-03 
 2.600107e-02 -3.754738e-03 
 2.632407e-02 -3.746346e-03 
 2.664707e-02 -3.737818e-03 
 2.697008e-02 -3.729086e-03 
 2.729308e-02 -3.720088e-03 
 2.761608e-02 -3.710767e-03 
 2.793909e-02 -3.701154e-03 
 2.826209e-02 -3.691353e-03 
 2.858509e-02 -3.681432e-03 
 2.890810e-02 -3.671420e-03 
 2.923110e-02 -3.661245e-03 
 2.955411e-02 -3.650815e-03 
 2.987711e-02 -3.640110e-03 
 3.020012e-02 -3.629127e-03 
 3.052312e-02 -3.617927e-03 
 3.084613e-02 -3.606411e-03 
 3.116913e-02 -3.594602e-03 
 3.149214e-02 -3.582411e-03 
 3.181514e-02 -3.569837e-03 
 3.213815e-02 -3.556824e-03 
 3.246115e-02 -3.543401e-03 
 3.278416e-02 -3.529590e-03 
 3.310717e-02 -3.515395e-03 
 3.343018e-02 -3.500933e-03 
 3.375318e-02 -3.486233e-03 
 3.407619e-02 -3.471211e-03 
 3.439920e-02 -3.455849e-03 
 3.472220e-02 -3.440211e-03 
 3.504521e-02 -3.424242e-03 
 3.536822e-02 -3.407975e-03 
 3.569123e-02 -3.391263e-03 
 3.601424e-02 -3.374137e-03 
 3.633725e-02 -3.356427e-03 
 3.666025e-02 -3.338270e-03 
 3.698326e-02 -3.319519e-03 
 3.730627e-02 -3.300166e-03 
 3.762928e-02 -3.280151e-03 
