         time Bot_Quarte... 
------------- ------------- 
 9.689704e-05 -6.585032e-03 
 4.198872e-04 -6.585013e-03 
 7.428773e-04 -6.584994e-03 
 1.065867e-03 -6.584973e-03 
 1.388858e-03 -6.584951e-03 
 1.711848e-03 -6.584928e-03 
 2.034838e-03 -6.584914e-03 
 2.357828e-03 -6.584973e-03 
 2.680818e-03 -6.585263e-03 
 3.003808e-03 -6.585781e-03 
 3.326798e-03 -6.586235e-03 
 3.649789e-03 -6.586550e-03 
 3.972779e-03 -6.586807e-03 
 4.295769e-03 -6.587055e-03 
 4.618760e-03 -6.587387e-03 
 4.941752e-03 -6.587696e-03 
 5.264744e-03 -6.587863e-03 
 5.587736e-03 -6.587757e-03 
 5.910728e-03 -6.587323e-03 
 6.233720e-03 -6.586499e-03 
 6.556712e-03 -6.585222e-03 
 6.879703e-03 -6.583409e-03 
 7.202695e-03 -6.581063e-03 
 7.525687e-03 -6.578238e-03 
 7.848680e-03 -6.575060e-03 
 8.171673e-03 -6.571538e-03 
 8.494666e-03 -6.567423e-03 
 8.817658e-03 -6.562594e-03 
 9.140651e-03 -6.557069e-03 
 9.463644e-03 -6.550737e-03 
 9.786637e-03 -6.543579e-03 
 1.010963e-02 -6.535621e-03 
 1.043262e-02 -6.526806e-03 
 1.075562e-02 -6.517169e-03 
 1.107717e-02 -6.506771e-03 
 1.139872e-02 -6.495649e-03 
 1.172027e-02 -6.483914e-03 
 1.204182e-02 -6.471526e-03 
 1.236337e-02 -6.458434e-03 
 1.268492e-02 -6.444582e-03 
 1.300647e-02 -6.429994e-03 
 1.332802e-02 -6.414668e-03 
 1.364957e-02 -6.398395e-03 
 1.397112e-02 -6.381192e-03 
 1.429267e-02 -6.363089e-03 
 1.461422e-02 -6.344215e-03 
 1.493577e-02 -6.324482e-03 
 1.525732e-02 -6.303856e-03 
 1.557887e-02 -6.282295e-03 
 1.590042e-02 -6.259924e-03 
 1.622197e-02 -6.236905e-03 
 1.654352e-02 -6.213367e-03 
 1.686507e-02 -6.189229e-03 
 1.718662e-02 -6.164436e-03 
 1.750948e-02 -6.138835e-03 
 1.783249e-02 -6.112453e-03 
