         time tilt_low_s... 
------------- ------------- 
 1.924497e-04  7.410608e-03 
 5.131993e-04  7.415056e-03 
 8.339489e-04  7.419269e-03 
 1.154698e-03  7.423242e-03 
 1.475448e-03  7.426968e-03 
 1.796198e-03  7.430420e-03 
 2.116947e-03  7.433571e-03 
 2.437697e-03  7.438250e-03 
 2.758446e-03  7.452514e-03 
 3.079196e-03  7.480782e-03 
 3.399946e-03  7.509796e-03 
 3.720696e-03  7.534433e-03 
 4.041445e-03  7.559123e-03 
 4.362195e-03  7.583532e-03 
 4.682945e-03  7.611502e-03 
 5.003695e-03  7.646641e-03 
 5.324445e-03  7.699309e-03 
 5.645194e-03  7.763516e-03 
 5.965945e-03  7.812061e-03 
 6.286695e-03  7.826639e-03 
 6.607446e-03  7.806878e-03 
 6.928196e-03  7.751219e-03 
 7.248947e-03  7.662541e-03 
 7.569697e-03  7.540453e-03 
 7.890448e-03  7.384864e-03 
 8.211198e-03  7.188510e-03 
 8.531949e-03  6.939074e-03 
 8.852699e-03  6.647505e-03 
 9.173450e-03  6.322723e-03 
 9.494201e-03  5.961260e-03 
 9.814952e-03  5.565805e-03 
 1.013570e-02  5.135713e-03 
 1.045645e-02  4.665114e-03 
 1.077720e-02  4.157842e-03 
 1.109796e-02  3.614759e-03 
 1.141871e-02  3.039272e-03 
 1.173946e-02  2.434447e-03 
 1.206021e-02  1.792528e-03 
 1.238096e-02  1.108759e-03 
 1.270171e-02  3.786422e-04 
 1.302246e-02 -3.923681e-04 
 1.334322e-02 -1.196364e-03 
 1.366397e-02 -2.032516e-03 
 1.398472e-02 -2.901619e-03 
 1.430547e-02 -3.796009e-03 
 1.462622e-02 -4.712878e-03 
 1.494697e-02 -5.657749e-03 
 1.526773e-02 -6.629751e-03 
 1.558848e-02 -7.622815e-03 
 1.590923e-02 -8.635502e-03 
 1.622998e-02 -9.661857e-03 
 1.655073e-02 -1.071926e-02 
 1.687149e-02 -1.180683e-02 
 1.719224e-02 -1.292071e-02 
 1.751299e-02 -1.405363e-02 
 1.783374e-02 -1.520547e-02 
 1.815449e-02 -1.637537e-02 
 1.847525e-02 -1.756054e-02 
 1.879600e-02 -1.875526e-02 
 1.911675e-02 -1.996209e-02 
 1.943750e-02 -2.117816e-02 
 1.975826e-02 -2.240861e-02 
 2.007901e-02 -2.365183e-02 
 2.039976e-02 -2.490270e-02 
 2.072051e-02 -2.615391e-02 
 2.104127e-02 -2.739562e-02 
 2.136202e-02 -2.861792e-02 
 2.168277e-02 -2.982045e-02 
 2.200352e-02 -3.100349e-02 
 2.232428e-02 -3.216939e-02 
 2.264503e-02 -3.332127e-02 
 2.296578e-02 -3.445754e-02 
 2.328654e-02 -3.555622e-02 
 2.360729e-02 -3.661019e-02 
 2.392804e-02 -3.762173e-02 
 2.424880e-02 -3.859948e-02 
 2.456955e-02 -3.954302e-02 
 2.489030e-02 -4.045412e-02 
 2.521106e-02 -4.133485e-02 
 2.553181e-02 -4.219272e-02 
 2.585257e-02 -4.301879e-02 
 2.617332e-02 -4.381243e-02 
 2.649407e-02 -4.458129e-02 
 2.681483e-02 -4.533216e-02 
 2.713558e-02 -4.606405e-02 
 2.745634e-02 -4.677635e-02 
 2.777709e-02 -4.746421e-02 
 2.809784e-02 -4.812103e-02 
 2.841860e-02 -4.873689e-02 
 2.873936e-02 -4.931893e-02 
 2.906011e-02 -4.986745e-02 
 2.938087e-02 -5.037627e-02 
 2.970162e-02 -5.084750e-02 
 3.002238e-02 -5.128571e-02 
 3.034313e-02 -5.169034e-02 
 3.066389e-02 -5.206372e-02 
 3.098465e-02 -5.239453e-02 
 3.130540e-02 -5.268132e-02 
 3.162616e-02 -5.293164e-02 
 3.194692e-02 -5.314099e-02 
 3.226768e-02 -5.331645e-02 
 3.258843e-02 -5.346177e-02 
 3.290919e-02 -5.359042e-02 
 3.322995e-02 -5.369981e-02 
 3.355071e-02 -5.377951e-02 
 3.387146e-02 -5.382521e-02 
 3.419222e-02 -5.384967e-02 
 3.451298e-02 -5.386428e-02 
 3.483374e-02 -5.387019e-02 
 3.515450e-02 -5.386991e-02 
 3.547526e-02 -5.387159e-02 
 3.579602e-02 -5.387699e-02 
 3.611678e-02 -5.387393e-02 
 3.643754e-02 -5.386159e-02 
 3.675829e-02 -5.384271e-02 
 3.707905e-02 -5.381515e-02 
 3.739981e-02 -5.377383e-02 
 3.772057e-02 -5.372232e-02 
 3.804133e-02 -5.366301e-02 
 3.836209e-02 -5.358924e-02 
 3.868285e-02 -5.350087e-02 
 3.900361e-02 -5.340504e-02 
 3.932437e-02 -5.330605e-02 
 3.964513e-02 -5.319816e-02 
 3.996589e-02 -5.308478e-02 
 4.028665e-02 -5.297010e-02 
 4.060742e-02 -5.286396e-02 
 4.092818e-02 -5.276146e-02 
 4.124894e-02 -5.264979e-02 
 4.156970e-02 -5.252478e-02 
 4.189046e-02 -5.238523e-02 
 4.221122e-02 -5.222997e-02 
 4.253198e-02 -5.204944e-02 
 4.285274e-02 -5.185581e-02 
 4.317350e-02 -5.164946e-02 
 4.349426e-02 -5.142315e-02 
 4.381502e-02 -5.117145e-02 
 4.413578e-02 -5.089599e-02 
 4.445654e-02 -5.059503e-02 
 4.477730e-02 -5.028409e-02 
 4.509806e-02 -4.995932e-02 
 4.541882e-02 -4.963301e-02 
 4.573958e-02 -4.929976e-02 
 4.606034e-02 -4.895480e-02 
 4.638110e-02 -4.858780e-02 
 4.670186e-02 -4.819067e-02 
 4.702262e-02 -4.775721e-02 
 4.734338e-02 -4.728651e-02 
 4.766414e-02 -4.676982e-02 
 4.798490e-02 -4.620780e-02 
 4.830566e-02 -4.560105e-02 
 4.862642e-02 -4.493769e-02 
 4.894717e-02 -4.422497e-02 
 4.926793e-02 -4.345911e-02 
 4.958869e-02 -4.263679e-02 
 4.990945e-02 -4.175527e-02 
 5.023021e-02 -4.081703e-02 
 5.055097e-02 -3.982723e-02 
 5.087172e-02 -3.879221e-02 
 5.119248e-02 -3.770457e-02 
 5.151323e-02 -3.655452e-02 
 5.183399e-02 -3.533469e-02 
 5.215475e-02 -3.404599e-02 
 5.247550e-02 -3.268769e-02 
 5.279626e-02 -3.126746e-02 
 5.311701e-02 -2.979176e-02 
 5.343777e-02 -2.826259e-02 
 5.375853e-02 -2.668289e-02 
 5.407928e-02 -2.505174e-02 
 5.440003e-02 -2.337510e-02 
 5.472079e-02 -2.165405e-02 
 5.504154e-02 -1.989071e-02 
 5.536229e-02 -1.808962e-02 
 5.568304e-02 -1.625098e-02 
 5.600380e-02 -1.436795e-02 
 5.632455e-02 -1.243428e-02 
 5.664530e-02 -1.044112e-02 
 5.696606e-02 -8.386938e-03 
 5.728681e-02 -6.268227e-03 
 5.760756e-02 -4.089398e-03 
 5.792831e-02 -1.852965e-03 
 5.824906e-02  4.272876e-04 
 5.856981e-02  2.743800e-03 
 5.889056e-02  5.085499e-03 
 5.921131e-02  7.445859e-03 
