         time joist_s2_s... 
------------- ------------- 
 2.566003e-04  1.507437e-02 
 5.773508e-04  1.509516e-02 
 8.981012e-04  1.511863e-02 
 1.218852e-03  1.514505e-02 
 1.539602e-03  1.517827e-02 
 1.860352e-03  1.523567e-02 
 2.181103e-03  1.534700e-02 
 2.501853e-03  1.552819e-02 
 2.822604e-03  1.576156e-02 
 3.143354e-03  1.598963e-02 
 3.464105e-03  1.611697e-02 
 3.784855e-03  1.602388e-02 
 4.105606e-03  1.558625e-02 
 4.426357e-03  1.469619e-02 
 4.747108e-03  1.327184e-02 
 5.067859e-03  1.125963e-02 
 5.388611e-03  8.639441e-03 
 5.709362e-03  5.427427e-03 
 6.030113e-03  1.672435e-03 
 6.350864e-03 -2.556567e-03 
 6.671615e-03 -7.186061e-03 
 6.992366e-03 -1.215743e-02 
 7.313118e-03 -1.744096e-02 
 7.633870e-03 -2.304075e-02 
 7.954622e-03 -2.899400e-02 
 8.275373e-03 -3.534803e-02 
 8.596125e-03 -4.213233e-02 
 8.916877e-03 -4.934930e-02 
 9.237629e-03 -5.698779e-02 
 9.558381e-03 -6.458902e-02 
 9.879133e-03 -7.212572e-02 
 1.019988e-02 -8.002223e-02 
 1.052064e-02 -8.828598e-02 
 1.084139e-02 -9.840564e-02 
 1.116214e-02 -1.089642e-01 
 1.148289e-02 -1.199462e-01 
 1.180365e-02 -1.313423e-01 
 1.212440e-02 -1.431496e-01 
 1.244515e-02 -1.553651e-01 
 1.276590e-02 -1.679894e-01 
 1.308666e-02 -1.810309e-01 
 1.340741e-02 -1.944996e-01 
 1.372816e-02 -2.084149e-01 
 1.404892e-02 -2.227792e-01 
 1.436967e-02 -2.371697e-01 
 1.469042e-02 -2.509667e-01 
 1.501118e-02 -2.651780e-01 
 1.533193e-02 -2.797756e-01 
 1.565268e-02 -2.947230e-01 
 1.597344e-02 -3.099817e-01 
 1.629419e-02 -3.255195e-01 
 1.661494e-02 -3.493758e-01 
 1.693570e-02 -3.746599e-01 
 1.725645e-02 -4.002288e-01 
 1.757720e-02 -4.254747e-01 
 1.789796e-02 -4.499771e-01 
 1.821871e-02 -4.741601e-01 
 1.853946e-02 -4.979147e-01 
 1.886022e-02 -5.218757e-01 
 1.918097e-02 -5.460192e-01 
 1.950173e-02 -5.703198e-01 
 1.982248e-02 -5.950090e-01 
 2.014323e-02 -6.195108e-01 
 2.046399e-02 -6.432371e-01 
 2.078474e-02 -6.668889e-01 
 2.110550e-02 -6.902040e-01 
 2.142625e-02 -7.146414e-01 
 2.174701e-02 -7.414532e-01 
 2.206776e-02 -7.665363e-01 
 2.238851e-02 -7.890567e-01 
 2.270927e-02 -8.114355e-01 
 2.303002e-02 -8.333584e-01 
 2.335078e-02 -8.548735e-01 
 2.367153e-02 -8.757912e-01 
 2.399229e-02 -8.987945e-01 
 2.431304e-02 -9.265173e-01 
 2.463380e-02 -9.530820e-01 
 2.495455e-02 -9.787575e-01 
 2.527531e-02 -1.003428e+00 
 2.559607e-02 -1.023961e+00 
 2.591682e-02 -1.040460e+00 
 2.623758e-02 -1.055278e+00 
 2.655833e-02 -1.068462e+00 
 2.687909e-02 -1.079829e+00 
 2.719985e-02 -1.089443e+00 
 2.752060e-02 -1.097294e+00 
 2.784136e-02 -1.103369e+00 
 2.816212e-02 -1.107650e+00 
 2.848287e-02 -1.110120e+00 
 2.880363e-02 -1.110780e+00 
 2.912439e-02 -1.109653e+00 
 2.944514e-02 -1.106783e+00 
 2.976590e-02 -1.102301e+00 
 3.008666e-02 -1.096110e+00 
 3.040742e-02 -1.088363e+00 
 3.072818e-02 -1.079148e+00 
 3.104894e-02 -1.068570e+00 
 3.136970e-02 -1.056759e+00 
 3.169046e-02 -1.043872e+00 
 3.201122e-02 -1.030084e+00 
 3.233198e-02 -1.015574e+00 
 3.265274e-02 -9.802036e-01 
 3.297350e-02 -9.687139e-01 
 3.329426e-02 -9.568415e-01 
 3.361502e-02 -9.447640e-01 
 3.393579e-02 -9.324659e-01 
 3.425655e-02 -9.199613e-01 
 3.457731e-02 -9.074564e-01 
 3.489807e-02 -8.950185e-01 
 3.521883e-02 -8.827399e-01 
 3.553959e-02 -8.674767e-01 
 3.586036e-02 -8.562665e-01 
 3.618112e-02 -8.456139e-01 
 3.650188e-02 -8.353740e-01 
 3.682265e-02 -8.257581e-01 
 3.714341e-02 -8.168330e-01 
 3.746417e-02 -8.086460e-01 
 3.778493e-02 -8.012277e-01 
 3.810570e-02 -7.945955e-01 
 3.842646e-02 -7.887496e-01 
 3.874722e-02 -7.836777e-01 
 3.906799e-02 -7.793729e-01 
 3.938875e-02 -7.759919e-01 
 3.970951e-02 -7.732115e-01 
 4.003028e-02 -7.711859e-01 
 4.035104e-02 -7.698979e-01 
 4.067181e-02 -7.693278e-01 
 4.099257e-02 -7.694422e-01 
 4.131333e-02 -7.702065e-01 
 4.163410e-02 -7.715754e-01 
 4.195486e-02 -7.735004e-01 
 4.227563e-02 -7.759184e-01 
 4.259639e-02 -7.789726e-01 
 4.291715e-02 -7.821446e-01 
 4.323792e-02 -7.885364e-01 
 4.355868e-02 -7.930761e-01 
 4.387944e-02 -7.968299e-01 
 4.420021e-02 -8.004025e-01 
 4.452097e-02 -8.036624e-01 
 4.484173e-02 -8.064875e-01 
 4.516250e-02 -8.087597e-01 
 4.548326e-02 -8.106130e-01 
 4.580402e-02 -8.115130e-01 
 4.612478e-02 -8.115338e-01 
 4.644554e-02 -8.105918e-01 
 4.676631e-02 -8.020492e-01 
 4.708707e-02 -7.988249e-01 
 4.740783e-02 -7.942638e-01 
 4.772859e-02 -7.882499e-01 
 4.804935e-02 -7.806818e-01 
 4.837011e-02 -7.716872e-01 
 4.869087e-02 -7.607308e-01 
 4.901163e-02 -7.446731e-01 
 4.933239e-02 -7.306953e-01 
 4.965315e-02 -7.149358e-01 
 4.997391e-02 -6.973842e-01 
 5.029466e-02 -6.780374e-01 
 5.061542e-02 -6.568959e-01 
 5.093618e-02 -6.319891e-01 
 5.125694e-02 -6.084285e-01 
 5.157770e-02 -5.802288e-01 
 5.189846e-02 -5.538439e-01 
 5.221921e-02 -5.260289e-01 
 5.253996e-02 -4.967064e-01 
 5.286072e-02 -4.660232e-01 
 5.318147e-02 -4.340411e-01 
 5.350223e-02 -4.008202e-01 
 5.382298e-02 -3.664153e-01 
 5.414374e-02 -3.309931e-01 
 5.446449e-02 -2.728679e-01 
 5.478524e-02 -2.483122e-01 
 5.510600e-02 -2.231213e-01 
 5.542675e-02 -1.974033e-01 
 5.574750e-02 -1.656214e-01 
 5.606825e-02 -1.388682e-01 
 5.638900e-02 -1.034779e-01 
 5.670975e-02 -8.694757e-02 
 5.703050e-02 -7.980306e-02 
 5.735125e-02 -7.254469e-02 
 5.767200e-02 -6.524605e-02 
 5.799275e-02 -5.769764e-02 
 5.831350e-02 -2.367486e-02 
 5.863424e-02 -1.828555e-02 
 5.895499e-02 -6.128589e-03 
 5.927574e-02 -4.495349e-03 
 5.959648e-02 -2.451740e-04 
 5.991723e-02 -2.451734e-04 
 6.023798e-02 -2.451730e-04 
 6.055872e-02 -2.451731e-04 
 6.087947e-02 -2.451732e-04 
 6.120022e-02 -2.451734e-04 
 6.152096e-02 -2.451735e-04 
 6.184171e-02 -2.451736e-04 
 6.216245e-02 -2.451738e-04 
 6.248319e-02 -2.451739e-04 
 6.280393e-02 -2.451740e-04 
 6.312468e-02 -2.451742e-04 
 6.344542e-02 -2.451743e-04 
 6.376616e-02 -2.451744e-04 
 6.408691e-02 -2.451745e-04 
 6.440765e-02 -2.451739e-04 
 6.472839e-02 -2.451741e-04 
 6.504913e-02 -2.451742e-04 
 6.536987e-02 -2.451743e-04 
 6.569061e-02 -2.451744e-04 
 6.601135e-02 -2.451745e-04 
 6.633209e-02 -1.941443e-04 
 6.665283e-02 -1.362379e-04 
 6.697357e-02 -7.700831e-05 
 6.729431e-02 -1.647379e-05 
 6.761505e-02 -6.669668e-09 
 6.793579e-02 -6.734529e-09 
 6.825652e-02 -4.582738e-09 
 6.857726e-02 -4.626766e-09 
 6.889800e-02 -4.670111e-09 
 6.921873e-02 -4.712801e-09 
 6.953947e-02 -4.754784e-09 
 6.986021e-02 -4.796015e-09 
 7.018095e-02 -3.808342e-09 
 7.050168e-02 -3.839692e-09 
 7.082242e-02 -2.677043e-09 
 7.114316e-02 -2.698148e-09 
 7.146389e-02 -2.718602e-09 
 7.178462e-02 -2.738370e-09 
 7.210536e-02 -2.757418e-09 
 7.242609e-02 -2.775714e-09 
 7.274682e-02 -2.793236e-09 
 7.306756e-02 -2.809971e-09 
 7.338829e-02 -2.825920e-09 
 7.370902e-02 -2.841088e-09 
 7.402976e-02 -2.855476e-09 
 7.435049e-02 -2.869094e-09 
 7.467122e-02 -2.881967e-09 
 7.499195e-02 -1.775748e-09 
 7.531268e-02 -1.783070e-09 
 7.563341e-02 -1.789982e-09 
 7.595414e-02 -1.796492e-09 
 7.627487e-02 -7.298952e-10 
 7.659560e-02 -7.323300e-10 
 7.691633e-02 -7.345988e-10 
 7.723706e-02 -7.366867e-10 
 7.755779e-02 -7.385809e-10 
 7.787852e-02 -7.402754e-10 
