         time tilt_full_... 
------------- ------------- 
 2.566003e-04  5.415753e-03 
 5.773508e-04  5.405307e-03 
 8.981012e-04  5.379693e-03 
 1.218852e-03  5.340618e-03 
 1.539602e-03  5.288363e-03 
 1.860352e-03  5.223286e-03 
 2.181103e-03  5.147017e-03 
 2.501853e-03  5.046724e-03 
 2.822604e-03  4.931012e-03 
 3.143354e-03  4.807214e-03 
 3.464105e-03  4.676281e-03 
 3.784855e-03  4.536296e-03 
 4.105606e-03  4.385192e-03 
 4.426357e-03  4.221098e-03 
 4.747108e-03  4.043381e-03 
 5.067859e-03  3.851736e-03 
 5.388611e-03  3.648922e-03 
 5.709362e-03  3.437311e-03 
 6.030113e-03  3.218950e-03 
 6.350864e-03  2.994646e-03 
 6.671615e-03  2.765778e-03 
 6.992366e-03  2.533251e-03 
 7.313118e-03  2.297390e-03 
 7.633870e-03  2.057071e-03 
 7.954622e-03  1.808859e-03 
 8.275373e-03  1.548457e-03 
 8.596125e-03  1.278533e-03 
 8.916877e-03  1.003453e-03 
 9.237629e-03  7.246414e-04 
 9.558381e-03  4.405760e-04 
 9.879133e-03  1.509957e-04 
 1.019988e-02 -1.459090e-04 
 1.052064e-02 -4.493972e-04 
 1.084139e-02 -7.596579e-04 
 1.116214e-02 -1.077810e-03 
 1.148289e-02 -1.403869e-03 
 1.180365e-02 -1.737972e-03 
 1.212440e-02 -2.078162e-03 
 1.244515e-02 -2.422840e-03 
 1.276590e-02 -2.773071e-03 
 1.308666e-02 -3.127598e-03 
 1.340741e-02 -3.483198e-03 
 1.372816e-02 -3.841280e-03 
 1.404892e-02 -4.207033e-03 
 1.436967e-02 -4.582980e-03 
 1.469042e-02 -4.970359e-03 
 1.501118e-02 -5.367313e-03 
 1.533193e-02 -5.770199e-03 
 1.565268e-02 -6.176507e-03 
 1.597344e-02 -6.586898e-03 
 1.629419e-02 -7.001392e-03 
 1.661494e-02 -7.419099e-03 
 1.693570e-02 -7.840677e-03 
 1.725645e-02 -8.265218e-03 
 1.757720e-02 -8.691483e-03 
 1.789796e-02 -9.121035e-03 
 1.821871e-02 -9.558931e-03 
 1.853946e-02 -1.000626e-02 
 1.886022e-02 -1.046142e-02 
 1.918097e-02 -1.091855e-02 
 1.950173e-02 -1.137532e-02 
 1.982248e-02 -1.183223e-02 
 2.014323e-02 -1.229213e-02 
 2.046399e-02 -1.275387e-02 
 2.078474e-02 -1.322031e-02 
 2.110550e-02 -1.368970e-02 
 2.142625e-02 -1.415908e-02 
 2.174701e-02 -1.462921e-02 
 2.206776e-02 -1.509813e-02 
 2.238851e-02 -1.556434e-02 
 2.270927e-02 -1.602638e-02 
 2.303002e-02 -1.648676e-02 
 2.335078e-02 -1.694894e-02 
 2.367153e-02 -1.741225e-02 
 2.399229e-02 -1.787732e-02 
 2.431304e-02 -1.834616e-02 
 2.463380e-02 -1.881899e-02 
 2.495455e-02 -1.929364e-02 
 2.527531e-02 -1.976515e-02 
 2.559607e-02 -2.022983e-02 
 2.591682e-02 -2.068693e-02 
 2.623758e-02 -2.113472e-02 
 2.655833e-02 -2.157748e-02 
 2.687909e-02 -2.201443e-02 
 2.719985e-02 -2.244549e-02 
 2.752060e-02 -2.287002e-02 
 2.784136e-02 -2.328908e-02 
 2.816212e-02 -2.370283e-02 
 2.848287e-02 -2.411384e-02 
 2.880363e-02 -2.452103e-02 
 2.912439e-02 -2.492249e-02 
 2.944514e-02 -2.531379e-02 
 2.976590e-02 -2.569455e-02 
 3.008666e-02 -2.606692e-02 
 3.040742e-02 -2.643035e-02 
 3.072818e-02 -2.678973e-02 
 3.104894e-02 -2.713599e-02 
 3.136970e-02 -2.747628e-02 
 3.169046e-02 -2.780322e-02 
 3.201122e-02 -2.811803e-02 
 3.233198e-02 -2.841652e-02 
 3.265274e-02 -2.869644e-02 
 3.297350e-02 -2.895813e-02 
 3.329426e-02 -2.920629e-02 
 3.361502e-02 -2.944219e-02 
 3.393579e-02 -2.966405e-02 
 3.425655e-02 -2.987511e-02 
 3.457731e-02 -3.007021e-02 
 3.489807e-02 -3.024695e-02 
 3.521883e-02 -3.040665e-02 
 3.553959e-02 -3.054715e-02 
 3.586036e-02 -3.066561e-02 
 3.618112e-02 -3.075846e-02 
 3.650188e-02 -3.082429e-02 
 3.682265e-02 -3.087399e-02 
 3.714341e-02 -3.090624e-02 
 3.746417e-02 -3.092388e-02 
 3.778493e-02 -3.092179e-02 
 3.810570e-02 -3.089864e-02 
 3.842646e-02 -3.085421e-02 
 3.874722e-02 -3.078903e-02 
 3.906799e-02 -3.070397e-02 
 3.938875e-02 -3.059926e-02 
 3.970951e-02 -3.046772e-02 
 4.003028e-02 -3.031470e-02 
 4.035104e-02 -3.014133e-02 
 4.067181e-02 -2.994667e-02 
 4.099257e-02 -2.972806e-02 
 4.131333e-02 -2.948406e-02 
 4.163410e-02 -2.921210e-02 
 4.195486e-02 -2.891686e-02 
 4.227563e-02 -2.859331e-02 
 4.259639e-02 -2.824494e-02 
 4.291715e-02 -2.787099e-02 
 4.323792e-02 -2.747272e-02 
 4.355868e-02 -2.705479e-02 
 4.387944e-02 -2.661729e-02 
 4.420021e-02 -2.616306e-02 
 4.452097e-02 -2.568830e-02 
 4.484173e-02 -2.519029e-02 
 4.516250e-02 -2.466512e-02 
 4.548326e-02 -2.411400e-02 
 4.580402e-02 -2.353304e-02 
 4.612478e-02 -2.292165e-02 
 4.644554e-02 -2.228705e-02 
 4.676631e-02 -2.162798e-02 
 4.708707e-02 -2.094899e-02 
 4.740783e-02 -2.025644e-02 
 4.772859e-02 -1.954692e-02 
 4.804935e-02 -1.881863e-02 
 4.837011e-02 -1.806861e-02 
 4.869087e-02 -1.729799e-02 
 4.901163e-02 -1.651060e-02 
