         time tiltx_beam... 
------------- ------------- 
 6.415034e-05 -1.392980e-02 
 3.849021e-04 -1.392612e-02 
 7.056538e-04 -1.386681e-02 
 1.026405e-03 -1.373857e-02 
 1.347157e-03 -1.354022e-02 
 1.667909e-03 -1.327055e-02 
 1.988661e-03 -1.292814e-02 
 2.309412e-03 -1.250765e-02 
 2.630164e-03 -1.199237e-02 
 2.950916e-03 -1.137248e-02 
 3.271667e-03 -1.067519e-02 
 3.592420e-03 -9.923622e-03 
 3.913172e-03 -9.119724e-03 
 4.233925e-03 -8.263367e-03 
 4.554678e-03 -7.348518e-03 
 4.875430e-03 -6.375722e-03 
 5.196183e-03 -5.340876e-03 
 5.516935e-03 -4.242895e-03 
 5.837688e-03 -3.083972e-03 
 6.158440e-03 -1.866481e-03 
 6.479193e-03 -5.903688e-04 
 6.799947e-03  7.465267e-04 
 7.120701e-03  2.143676e-03 
 7.441455e-03  3.597993e-03 
 7.762209e-03  5.108879e-03 
 8.082963e-03  6.682637e-03 
 8.403717e-03  8.331765e-03 
 8.724471e-03  1.005271e-02 
 9.045225e-03  1.182586e-02 
 9.365979e-03  1.363489e-02 
 9.686733e-03  1.547176e-02 
 1.000749e-02  1.733154e-02 
 1.032824e-02  1.921561e-02 
 1.064900e-02  2.111849e-02 
 1.096975e-02  2.303774e-02 
 1.129051e-02  2.497955e-02 
 1.161126e-02  2.694991e-02 
 1.193202e-02  2.895873e-02 
 1.225277e-02  3.100884e-02 
 1.257353e-02  3.310125e-02 
 1.289428e-02  3.524604e-02 
 1.321504e-02  3.744835e-02 
 1.353579e-02  3.969951e-02 
 1.385655e-02  4.197984e-02 
 1.417731e-02  4.428725e-02 
 1.449806e-02  4.663188e-02 
 1.481882e-02  4.902000e-02 
 1.513958e-02  5.144643e-02 
 1.546033e-02  5.390771e-02 
 1.578109e-02  5.639325e-02 
 1.610184e-02  5.890550e-02 
 1.642260e-02  6.144594e-02 
 1.674336e-02  6.401206e-02 
 1.706412e-02  6.660435e-02 
 1.738487e-02  6.922605e-02 
 1.770563e-02  7.186519e-02 
 1.802639e-02  7.451741e-02 
 1.834714e-02  7.725831e-02 
 1.866790e-02  7.995779e-02 
 1.898866e-02  8.268800e-02 
 1.930941e-02  8.543232e-02 
 1.963017e-02  8.818183e-02 
 1.995093e-02  9.094205e-02 
 2.027169e-02  9.371590e-02 
 2.059244e-02  9.649988e-02 
 2.091320e-02  9.929795e-02 
 2.123396e-02  1.021202e-01 
 2.155472e-02  1.049640e-01 
 2.187548e-02  1.078312e-01 
 2.219623e-02  1.107160e-01 
 2.251699e-02  1.136094e-01 
 2.283775e-02  1.164949e-01 
 2.315851e-02  1.193700e-01 
 2.347927e-02  1.222387e-01 
 2.380003e-02  1.250986e-01 
 2.412078e-02  1.279435e-01 
 2.444154e-02  1.307760e-01 
 2.476230e-02  1.336047e-01 
 2.508306e-02  1.364402e-01 
 2.540382e-02  1.392851e-01 
 2.572458e-02  1.421317e-01 
 2.604534e-02  1.449758e-01 
 2.636610e-02  1.478200e-01 
 2.668686e-02  1.506581e-01 
 2.700762e-02  1.534869e-01 
 2.732838e-02  1.562950e-01 
 2.764914e-02  1.590749e-01 
 2.796990e-02  1.618169e-01 
 2.829066e-02  1.645237e-01 
 2.861143e-02  1.672061e-01 
 2.893219e-02  1.698775e-01 
 2.925295e-02  1.725356e-01 
 2.957372e-02  1.751779e-01 
 2.989448e-02  1.777929e-01 
 3.021525e-02  1.803801e-01 
 3.053601e-02  1.829460e-01 
 3.085678e-02  1.854648e-01 
 3.117754e-02  1.879489e-01 
 3.149831e-02  1.903814e-01 
 3.181908e-02  1.927632e-01 
 3.213984e-02  1.950830e-01 
 3.246061e-02  1.973312e-01 
 3.278138e-02  1.995141e-01 
 3.310215e-02  2.016100e-01 
 3.342292e-02  2.036415e-01 
 3.374369e-02  2.056108e-01 
 3.406447e-02  2.075183e-01 
 3.438524e-02  2.093721e-01 
 3.470601e-02  2.111666e-01 
 3.502678e-02  2.129025e-01 
 3.534755e-02  2.145723e-01 
 3.566832e-02  2.161445e-01 
 3.598909e-02  2.176095e-01 
 3.630987e-02  2.189679e-01 
 3.663064e-02  2.201886e-01 
 3.695141e-02  2.212746e-01 
 3.727219e-02  2.222211e-01 
 3.759296e-02  2.230260e-01 
 3.791373e-02  2.236523e-01 
 3.823451e-02  2.241345e-01 
 3.855528e-02  2.244480e-01 
 3.887605e-02  2.246231e-01 
 3.919683e-02  2.246744e-01 
 3.951760e-02  2.246141e-01 
 3.983837e-02  2.244349e-01 
 4.015915e-02  2.241342e-01 
 4.047992e-02  2.237063e-01 
 4.080069e-02  2.231545e-01 
 4.112147e-02  2.224671e-01 
 4.144224e-02  2.216500e-01 
 4.176301e-02  2.206983e-01 
 4.208378e-02  2.195950e-01 
 4.240456e-02  2.183524e-01 
 4.272533e-02  2.169428e-01 
 4.304610e-02  2.153731e-01 
 4.336688e-02  2.136422e-01 
 4.368765e-02  2.117559e-01 
 4.400842e-02  2.097208e-01 
 4.432920e-02  2.075554e-01 
 4.464997e-02  2.052676e-01 
 4.497074e-02  2.028524e-01 
 4.529151e-02  2.003182e-01 
 4.561229e-02  1.976849e-01 
 4.593306e-02  1.949082e-01 
 4.625383e-02  1.919877e-01 
 4.657460e-02  1.889346e-01 
 4.689537e-02  1.857348e-01 
 4.721614e-02  1.823968e-01 
 4.753691e-02  1.789080e-01 
 4.785769e-02  1.752772e-01 
 4.817846e-02  1.715018e-01 
 4.849922e-02  1.675877e-01 
 4.881999e-02  1.635475e-01 
 4.914076e-02  1.594115e-01 
 4.946153e-02  1.551880e-01 
 4.978230e-02  1.508863e-01 
 5.010306e-02  1.464996e-01 
 5.042383e-02  1.420252e-01 
 5.074460e-02  1.374490e-01 
 5.106537e-02  1.327674e-01 
 5.138614e-02  1.279763e-01 
 5.170690e-02  1.230850e-01 
 5.202766e-02  1.181001e-01 
 5.234842e-02  1.130151e-01 
 5.266919e-02  1.078245e-01 
 5.298995e-02  1.025409e-01 
 5.331071e-02  9.718284e-02 
 5.363147e-02  9.175214e-02 
 5.395223e-02  8.626559e-02 
 5.427300e-02  8.072615e-02 
 5.459376e-02  7.505219e-02 
 5.491451e-02  6.952817e-02 
 5.523527e-02  6.375481e-02 
 5.555603e-02  5.802046e-02 
 5.587678e-02  5.221627e-02 
 5.619754e-02  4.634540e-02 
 5.651829e-02  4.038484e-02 
 5.683905e-02  3.444237e-02 
 5.715980e-02  2.830232e-02 
 5.748056e-02  2.197885e-02 
 5.780131e-02  1.578157e-02 
 5.812206e-02  9.407124e-03 
 5.844281e-02  2.837839e-03 
 5.876356e-02 -3.683815e-03 
 5.908431e-02 -1.026695e-02 
 5.940506e-02 -1.689963e-02 
 5.972581e-02 -2.354976e-02 
 6.004656e-02 -3.021574e-02 
 6.036731e-02 -3.693196e-02 
 6.068806e-02 -4.363834e-02 
 6.100881e-02 -5.034980e-02 
 6.132956e-02 -5.704179e-02 
 6.165030e-02 -6.372434e-02 
 6.197104e-02 -7.040153e-02 
 6.229179e-02 -7.705399e-02 
 6.261253e-02 -8.367060e-02 
 6.293328e-02 -9.021819e-02 
 6.325402e-02 -9.669745e-02 
 6.357476e-02 -1.031545e-01 
 6.389551e-02 -1.095634e-01 
 6.421625e-02 -1.159269e-01 
 6.453699e-02 -1.222425e-01 
 6.485773e-02 -1.285074e-01 
 6.517847e-02 -1.347215e-01 
 6.549921e-02 -1.408872e-01 
 6.581994e-02 -1.470005e-01 
 6.614068e-02 -1.530650e-01 
 6.646142e-02 -1.591069e-01 
 6.678216e-02 -1.650989e-01 
 6.710290e-02 -1.710269e-01 
 6.742364e-02 -1.768821e-01 
 6.774437e-02 -1.826713e-01 
 6.806510e-02 -1.883712e-01 
 6.838584e-02 -1.939765e-01 
 6.870657e-02 -1.994886e-01 
 6.902730e-02 -2.049082e-01 
 6.934804e-02 -2.102610e-01 
 6.966877e-02 -2.155653e-01 
 6.998951e-02 -2.208207e-01 
 7.031024e-02 -2.260402e-01 
 7.063097e-02 -2.312380e-01 
 7.095170e-02 -2.364326e-01 
 7.127243e-02 -2.416211e-01 
 7.159316e-02 -2.468008e-01 
 7.191389e-02 -2.519593e-01 
 7.223462e-02 -2.570562e-01 
 7.255535e-02 -2.621119e-01 
 7.287608e-02 -2.670831e-01 
 7.319681e-02 -2.719468e-01 
 7.351755e-02 -2.767344e-01 
 7.383828e-02 -2.814519e-01 
 7.415901e-02 -2.861012e-01 
 7.447974e-02 -2.906775e-01 
 7.480047e-02 -2.951806e-01 
 7.512120e-02 -2.995776e-01 
 7.544194e-02 -3.039047e-01 
 7.576267e-02 -3.081328e-01 
 7.608340e-02 -3.122626e-01 
 7.640413e-02 -3.162906e-01 
 7.672487e-02 -3.202373e-01 
 7.704560e-02 -3.240744e-01 
 7.736633e-02 -3.278263e-01 
 7.768706e-02 -3.314687e-01 
 7.800779e-02 -3.350612e-01 
 7.832852e-02 -3.385488e-01 
 7.864925e-02 -3.419705e-01 
 7.896998e-02 -3.453100e-01 
 7.929071e-02 -3.485679e-01 
 7.961144e-02 -3.517701e-01 
 7.993216e-02 -3.549242e-01 
 8.025289e-02 -3.580096e-01 
 8.057362e-02 -3.609684e-01 
 8.089434e-02 -3.638699e-01 
 8.121507e-02 -3.666694e-01 
 8.153579e-02 -3.693762e-01 
 8.185651e-02 -3.719802e-01 
 8.217724e-02 -3.744960e-01 
 8.249796e-02 -3.769096e-01 
 8.281868e-02 -3.791986e-01 
 8.313941e-02 -3.813389e-01 
 8.346013e-02 -3.833622e-01 
 8.378085e-02 -3.852870e-01 
 8.410157e-02 -3.871086e-01 
 8.442230e-02 -3.888162e-01 
 8.474302e-02 -3.904427e-01 
 8.506374e-02 -3.919385e-01 
 8.538446e-02 -3.933182e-01 
 8.570518e-02 -3.945945e-01 
 8.602590e-02 -3.957702e-01 
 8.634662e-02 -3.967914e-01 
 8.666734e-02 -3.977194e-01 
 8.698806e-02 -3.984947e-01 
 8.730878e-02 -3.991396e-01 
 8.762950e-02 -3.996495e-01 
 8.795022e-02 -3.999958e-01 
 8.827094e-02 -4.002124e-01 
 8.859166e-02 -4.002885e-01 
 8.891238e-02 -4.002326e-01 
 8.923310e-02 -4.000543e-01 
 8.955382e-02 -3.997851e-01 
 8.987454e-02 -3.994183e-01 
 9.019525e-02 -3.989636e-01 
 9.051597e-02 -3.983943e-01 
 9.083669e-02 -3.977143e-01 
 9.115740e-02 -3.969240e-01 
 9.147812e-02 -3.960447e-01 
