         time tilt_bot_s... 
------------- ------------- 
 3.180675e-04  5.644397e-03 
 6.361349e-04  5.650788e-03 
 9.542024e-04  5.645965e-03 
 1.272270e-03  5.630927e-03 
 1.590337e-03  5.606115e-03 
 1.908405e-03  5.571713e-03 
 2.226472e-03  5.527362e-03 
 2.544540e-03  5.471838e-03 
 2.862607e-03  5.402363e-03 
 3.180675e-03  5.320817e-03 
 3.498742e-03  5.231897e-03 
 3.816809e-03  5.134468e-03 
 4.134877e-03  5.028077e-03 
 4.452944e-03  4.911896e-03 
 4.771012e-03  4.785639e-03 
 5.089079e-03  4.650224e-03 
 5.407147e-03  4.507507e-03 
 5.725214e-03  4.359014e-03 
 6.043282e-03  4.205117e-03 
 6.361349e-03  4.046720e-03 
 6.679417e-03  3.885053e-03 
 6.997484e-03  3.719753e-03 
 7.315551e-03  3.550185e-03 
 7.633619e-03  3.377173e-03 
 7.951686e-03  3.204057e-03 
 8.269754e-03  3.033172e-03 
 8.587821e-03  2.861659e-03 
 8.905889e-03  2.688069e-03 
 9.223956e-03  2.512857e-03 
 9.542024e-03  2.334732e-03 
 9.860091e-03  2.156556e-03 
 1.017816e-02  1.982553e-03 
 1.049623e-02  1.811913e-03 
 1.081429e-02  1.642545e-03 
 1.113236e-02  1.474914e-03 
 1.145043e-02  1.313337e-03 
 1.176850e-02  1.156442e-03 
 1.208656e-02  1.004173e-03 
 1.240463e-02  8.565732e-04 
 1.272270e-02  7.114022e-04 
 1.304077e-02  5.687679e-04 
 1.335883e-02  4.284138e-04 
 1.367690e-02  2.912168e-04 
 1.399497e-02  1.550193e-04 
 1.431304e-02  1.981700e-05 
 1.463110e-02 -1.110358e-04 
 1.494917e-02 -2.380280e-04 
 1.526724e-02 -3.589192e-04 
 1.558531e-02 -4.741055e-04 
 1.590337e-02 -5.848483e-04 
 1.622144e-02 -6.908373e-04 
 1.653951e-02 -7.924927e-04 
 1.685758e-02 -8.894637e-04 
 1.717564e-02 -9.815857e-04 
 1.749371e-02 -1.067573e-03 
 1.781178e-02 -1.146698e-03 
 1.812984e-02 -1.219322e-03 
 1.844791e-02 -1.288050e-03 
 1.876598e-02 -1.353068e-03 
 1.908405e-02 -1.413864e-03 
 1.940211e-02 -1.471279e-03 
 1.972018e-02 -1.527611e-03 
 2.003825e-02 -1.582744e-03 
 2.035632e-02 -1.638174e-03 
