         time tilt_beam_... 
------------- ------------- 
 2.862607e-04 -3.156561e-02 
 6.043282e-04 -3.169403e-02 
 9.223956e-04 -3.180856e-02 
 1.240463e-03 -3.190824e-02 
 1.558531e-03 -3.199305e-02 
 1.876598e-03 -3.206328e-02 
 2.194665e-03 -3.211787e-02 
 2.512733e-03 -3.215558e-02 
 2.830800e-03 -3.218100e-02 
 3.148868e-03 -3.219851e-02 
 3.466935e-03 -3.220500e-02 
 3.785003e-03 -3.219769e-02 
 4.103070e-03 -3.217448e-02 
 4.421138e-03 -3.213521e-02 
 4.739205e-03 -3.208074e-02 
 5.057273e-03 -3.201240e-02 
 5.375340e-03 -3.193279e-02 
 5.693407e-03 -3.184327e-02 
 6.011475e-03 -3.174327e-02 
 6.329542e-03 -3.163203e-02 
 6.647610e-03 -3.151020e-02 
 6.965677e-03 -3.137778e-02 
 7.283745e-03 -3.123431e-02 
 7.601812e-03 -3.107855e-02 
 7.919880e-03 -3.090817e-02 
 8.237947e-03 -3.072524e-02 
 8.556014e-03 -3.053505e-02 
 8.874082e-03 -3.034055e-02 
 9.192149e-03 -3.014252e-02 
 9.510217e-03 -2.994025e-02 
 9.828284e-03 -2.973080e-02 
 1.014635e-02 -2.951190e-02 
 1.046442e-02 -2.928409e-02 
 1.078249e-02 -2.904601e-02 
 1.110055e-02 -2.879746e-02 
 1.141862e-02 -2.853954e-02 
 1.173669e-02 -2.827532e-02 
 1.205476e-02 -2.800718e-02 
 1.237282e-02 -2.773663e-02 
 1.269089e-02 -2.746535e-02 
 1.300896e-02 -2.719388e-02 
 1.332703e-02 -2.692000e-02 
 1.364509e-02 -2.663898e-02 
 1.396316e-02 -2.634927e-02 
 1.428123e-02 -2.605195e-02 
 1.459930e-02 -2.574979e-02 
 1.491736e-02 -2.544445e-02 
 1.523543e-02 -2.513676e-02 
 1.555350e-02 -2.482608e-02 
 1.587157e-02 -2.451152e-02 
 1.618963e-02 -2.419305e-02 
 1.650770e-02 -2.387131e-02 
 1.682577e-02 -2.354786e-02 
 1.714384e-02 -2.322388e-02 
 1.746190e-02 -2.289931e-02 
 1.777997e-02 -2.257153e-02 
 1.809804e-02 -2.223937e-02 
 1.841611e-02 -2.190492e-02 
 1.873417e-02 -2.156925e-02 
 1.905224e-02 -2.122959e-02 
 1.937031e-02 -2.088350e-02 
 1.968838e-02 -2.053007e-02 
 2.000644e-02 -2.016921e-02 
 2.032451e-02 -1.980346e-02 
 2.064258e-02 -1.943884e-02 
 2.096065e-02 -1.907790e-02 
 2.127871e-02 -1.872086e-02 
 2.159678e-02 -1.836577e-02 
 2.191485e-02 -1.801058e-02 
 2.223292e-02 -1.765355e-02 
 2.255098e-02 -1.729415e-02 
 2.286905e-02 -1.693013e-02 
 2.318712e-02 -1.655986e-02 
 2.350518e-02 -1.618430e-02 
 2.382325e-02 -1.580577e-02 
 2.414132e-02 -1.542877e-02 
 2.445939e-02 -1.505528e-02 
 2.477745e-02 -1.468547e-02 
 2.509552e-02 -1.431831e-02 
 2.541359e-02 -1.395313e-02 
 2.573166e-02 -1.358959e-02 
 2.604972e-02 -1.323032e-02 
 2.636779e-02 -1.287737e-02 
 2.668586e-02 -1.253164e-02 
 2.700393e-02 -1.219463e-02 
 2.732199e-02 -1.186721e-02 
 2.764006e-02 -1.154808e-02 
 2.795813e-02 -1.123555e-02 
 2.827620e-02 -1.093060e-02 
 2.859426e-02 -1.063406e-02 
 2.891233e-02 -1.034345e-02 
 2.923040e-02 -1.005739e-02 
 2.954847e-02 -9.778675e-03 
 2.986653e-02 -9.510017e-03 
 3.018460e-02 -9.253510e-03 
 3.050267e-02 -9.013240e-03 
 3.082074e-02 -8.792083e-03 
 3.113880e-02 -8.588947e-03 
 3.145687e-02 -8.401354e-03 
 3.177494e-02 -8.227919e-03 
 3.209301e-02 -8.068997e-03 
