         time total_shea... 
------------- ------------- 
 1.590337e-04 -1.604939e-01 
 4.771012e-04 -9.828391e-02 
 7.951686e-04 -5.731744e-02 
 1.113236e-03 -2.887721e-02 
 1.431304e-03 -6.558221e-03 
 1.749371e-03  1.579380e-02 
 2.067438e-03  3.527032e-02 
 2.385506e-03  5.304941e-02 
 2.703573e-03  7.093560e-02 
 3.021641e-03  8.593268e-02 
 3.339708e-03  9.985303e-02 
 3.657776e-03  1.253296e-01 
 3.975843e-03  1.542047e-01 
 4.293911e-03  1.901664e-01 
 4.611978e-03  2.342149e-01 
 4.930046e-03  2.808622e-01 
 5.248113e-03  3.258792e-01 
 5.566180e-03  3.665472e-01 
 5.884248e-03  4.055834e-01 
 6.202315e-03  4.431760e-01 
 6.520383e-03  4.757594e-01 
 6.838450e-03  5.039053e-01 
 7.156518e-03  5.270585e-01 
 7.474585e-03  5.481655e-01 
 7.792653e-03  5.720922e-01 
 8.110720e-03  5.999427e-01 
 8.428788e-03  6.336553e-01 
 8.746855e-03  6.719383e-01 
 9.064922e-03  7.098302e-01 
 9.382990e-03  7.342950e-01 
 9.701057e-03  7.484179e-01 
 1.001912e-02  7.802493e-01 
 1.033719e-02  8.294645e-01 
 1.065526e-02  8.536212e-01 
 1.097333e-02  8.295230e-01 
 1.129139e-02  8.075607e-01 
 1.160946e-02  8.075246e-01 
 1.192753e-02  8.132964e-01 
 1.224560e-02  8.370888e-01 
 1.256366e-02  8.615325e-01 
 1.288173e-02  8.786002e-01 
 1.319980e-02  8.972152e-01 
 1.351787e-02  9.031585e-01 
 1.383593e-02  9.046438e-01 
 1.415400e-02  8.986181e-01 
 1.447207e-02  8.853685e-01 
 1.479014e-02  8.666261e-01 
 1.510820e-02  8.375381e-01 
 1.542627e-02  7.996278e-01 
 1.574434e-02  7.755113e-01 
 1.606241e-02  7.661302e-01 
 1.638047e-02  7.550138e-01 
 1.669854e-02  7.414986e-01 
 1.701661e-02  7.239223e-01 
 1.733468e-02  7.068456e-01 
 1.765274e-02  6.910498e-01 
 1.797081e-02  6.796518e-01 
 1.828888e-02  6.737749e-01 
 1.860695e-02  6.622199e-01 
 1.892501e-02  6.423340e-01 
 1.924308e-02  6.116670e-01 
 1.956115e-02  5.774708e-01 
 1.987922e-02  5.535540e-01 
 2.019728e-02  5.360631e-01 
 2.051535e-02  5.004336e-01 
 2.083342e-02  4.591929e-01 
 2.115149e-02  4.249677e-01 
 2.146955e-02  4.122366e-01 
 2.178762e-02  4.034561e-01 
 2.210569e-02  3.910434e-01 
 2.242376e-02  3.818766e-01 
 2.274182e-02  3.647832e-01 
 2.305989e-02  3.301996e-01 
 2.337796e-02  3.025554e-01 
 2.369603e-02  2.710505e-01 
 2.401409e-02  2.417840e-01 
 2.433216e-02  2.274085e-01 
 2.465023e-02  2.131822e-01 
 2.496830e-02  1.967973e-01 
 2.528636e-02  1.651118e-01 
 2.560443e-02  1.339210e-01 
 2.592250e-02  1.251424e-01 
 2.624056e-02  1.083954e-01 
 2.655863e-02  8.456833e-02 
 2.687670e-02  6.513049e-02 
 2.719477e-02  5.236143e-02 
 2.751283e-02  5.863684e-02 
 2.783090e-02  7.215692e-02 
 2.814897e-02  8.063135e-02 
 2.846704e-02  8.429146e-02 
 2.878510e-02  8.337323e-02 
 2.910317e-02  7.913428e-02 
 2.942124e-02  7.809660e-02 
 2.973931e-02  9.258540e-02 
 3.005737e-02  1.095124e-01 
 3.037544e-02  9.122074e-02 
 3.069351e-02  6.466711e-02 
 3.101158e-02  5.682293e-02 
 3.132964e-02  6.406869e-02 
 3.164771e-02  7.652247e-02 
 3.196578e-02  8.507655e-02 
 3.228385e-02  8.867919e-02 
 3.260191e-02  9.355715e-02 
 3.291998e-02  8.877363e-02 
 3.323805e-02  8.333846e-02 
 3.355612e-02  8.728907e-02 
 3.387418e-02  9.216922e-02 
 3.419225e-02  1.008143e-01 
 3.451032e-02  1.071572e-01 
 3.482839e-02  8.680988e-02 
 3.514645e-02  4.187183e-02 
 3.546452e-02 -8.527679e-03 
 3.578259e-02 -3.226921e-02 
 3.610066e-02 -4.567727e-02 
 3.641872e-02 -6.966548e-02 
 3.673679e-02 -9.407930e-02 
 3.705486e-02 -1.001216e-01 
 3.737293e-02 -1.124192e-01 
 3.769099e-02 -1.300723e-01 
 3.800906e-02 -1.588026e-01 
 3.832713e-02 -2.059568e-01 
 3.864520e-02 -2.570745e-01 
 3.896326e-02 -3.086847e-01 
 3.928133e-02 -3.539920e-01 
 3.959940e-02 -3.902165e-01 
 3.991747e-02 -4.262883e-01 
 4.023553e-02 -4.872212e-01 
 4.055360e-02 -5.646832e-01 
 4.087167e-02 -6.172332e-01 
 4.118974e-02 -6.499346e-01 
 4.150780e-02 -6.870745e-01 
 4.182587e-02 -7.305353e-01 
 4.214394e-02 -7.847584e-01 
 4.246201e-02 -8.477748e-01 
 4.278007e-02 -9.147337e-01 
 4.309814e-02 -9.821158e-01 
 4.341621e-02 -1.043355e+00 
 4.373427e-02 -1.096467e+00 
 4.405234e-02 -1.149076e+00 
 4.437041e-02 -1.195429e+00 
 4.468848e-02 -1.238202e+00 
 4.500654e-02 -1.292365e+00 
 4.532461e-02 -1.345124e+00 
 4.564268e-02 -1.369682e+00 
 4.596075e-02 -1.385855e+00 
 4.627881e-02 -1.418330e+00 
 4.659688e-02 -1.462775e+00 
 4.691495e-02 -1.499011e+00 
 4.723302e-02 -1.536451e+00 
 4.755108e-02 -1.589904e+00 
 4.786915e-02 -1.639945e+00 
 4.818722e-02 -1.680973e+00 
 4.850529e-02 -1.708215e+00 
 4.882335e-02 -1.716621e+00 
 4.914142e-02 -1.713745e+00 
 4.945949e-02 -1.709178e+00 
 4.977756e-02 -1.701269e+00 
 5.009562e-02 -1.717194e+00 
 5.041369e-02 -1.758227e+00 
 5.073176e-02 -1.787398e+00 
 5.104983e-02 -1.796272e+00 
 5.136789e-02 -1.802111e+00 
 5.168596e-02 -1.816046e+00 
 5.200403e-02 -1.828896e+00 
 5.232210e-02 -1.847750e+00 
 5.264016e-02 -1.864251e+00 
 5.295823e-02 -1.863339e+00 
 5.327630e-02 -1.853880e+00 
 5.359437e-02 -1.838519e+00 
 5.391243e-02 -1.824743e+00 
 5.423050e-02 -1.818015e+00 
 5.454857e-02 -1.812444e+00 
 5.486664e-02 -1.809022e+00 
 5.518470e-02 -1.812257e+00 
 5.550277e-02 -1.801520e+00 
 5.582084e-02 -1.786841e+00 
 5.613891e-02 -1.784878e+00 
 5.645697e-02 -1.783618e+00 
 5.677504e-02 -1.766960e+00 
 5.709311e-02 -1.743691e+00 
 5.741118e-02 -1.735845e+00 
 5.772924e-02 -1.736850e+00 
 5.804731e-02 -1.728109e+00 
 5.836538e-02 -1.714508e+00 
 5.868345e-02 -1.705544e+00 
 5.900151e-02 -1.697681e+00 
 5.931958e-02 -1.697573e+00 
 5.963765e-02 -1.703723e+00 
 5.995571e-02 -1.712779e+00 
 6.027378e-02 -1.723106e+00 
 6.059185e-02 -1.720291e+00 
 6.090992e-02 -1.696114e+00 
 6.122798e-02 -1.664804e+00 
 6.154605e-02 -1.647934e+00 
 6.186412e-02 -1.648351e+00 
 6.218219e-02 -1.664793e+00 
 6.250025e-02 -1.697071e+00 
 6.281832e-02 -1.721674e+00 
 6.313639e-02 -1.733439e+00 
 6.345446e-02 -1.744051e+00 
 6.377252e-02 -1.761092e+00 
 6.409059e-02 -1.782018e+00 
 6.440866e-02 -1.805880e+00 
 6.472673e-02 -1.821082e+00 
 6.504479e-02 -1.830049e+00 
 6.536286e-02 -1.825743e+00 
 6.568093e-02 -1.819904e+00 
 6.599900e-02 -1.832958e+00 
 6.631706e-02 -1.852626e+00 
 6.663513e-02 -1.867861e+00 
 6.695320e-02 -1.890260e+00 
 6.727127e-02 -1.933123e+00 
 6.758933e-02 -1.982911e+00 
 6.790740e-02 -2.017584e+00 
 6.822547e-02 -2.044749e+00 
 6.854354e-02 -2.075769e+00 
 6.886160e-02 -2.107258e+00 
 6.917967e-02 -2.137836e+00 
 6.949774e-02 -2.167587e+00 
 6.981581e-02 -2.192833e+00 
 7.013387e-02 -2.208475e+00 
 7.045194e-02 -2.205990e+00 
 7.077001e-02 -2.206358e+00 
 7.108808e-02 -2.208452e+00 
 7.140614e-02 -2.223904e+00 
 7.172421e-02 -2.255104e+00 
 7.204228e-02 -2.288737e+00 
 7.236035e-02 -2.317072e+00 
 7.267841e-02 -2.327544e+00 
 7.299648e-02 -2.316053e+00 
 7.331455e-02 -2.305130e+00 
 7.363262e-02 -2.305417e+00 
 7.395068e-02 -2.307481e+00 
 7.426875e-02 -2.309859e+00 
 7.458682e-02 -2.310729e+00 
 7.490489e-02 -2.301112e+00 
 7.522295e-02 -2.270433e+00 
 7.554102e-02 -2.232903e+00 
 7.585909e-02 -2.213911e+00 
 7.617716e-02 -2.195145e+00 
 7.649522e-02 -2.160430e+00 
 7.681329e-02 -2.125593e+00 
 7.713136e-02 -2.109407e+00 
 7.744942e-02 -2.097202e+00 
 7.776749e-02 -2.067823e+00 
 7.808556e-02 -2.027703e+00 
 7.840363e-02 -1.993434e+00 
 7.872169e-02 -1.966243e+00 
 7.903976e-02 -1.936912e+00 
 7.935783e-02 -1.908227e+00 
 7.967590e-02 -1.886075e+00 
 7.999396e-02 -1.853598e+00 
 8.031203e-02 -1.792058e+00 
 8.063010e-02 -1.724268e+00 
 8.094817e-02 -1.671069e+00 
 8.126623e-02 -1.624324e+00 
 8.158430e-02 -1.589169e+00 
 8.190237e-02 -1.563329e+00 
 8.222044e-02 -1.523618e+00 
 8.253850e-02 -1.469299e+00 
 8.285657e-02 -1.410825e+00 
 8.317464e-02 -1.359083e+00 
 8.349271e-02 -1.329207e+00 
 8.381077e-02 -1.306185e+00 
 8.412884e-02 -1.275631e+00 
 8.444691e-02 -1.243408e+00 
