         time joist_s2_s... 
------------- ------------- 
 2.544540e-04  3.125110e-08 
 5.725214e-04  3.134814e-08 
 8.905889e-04  3.144565e-08 
 1.208656e-03  3.154360e-08 
 1.526724e-03  3.164197e-08 
 1.844791e-03  3.174090e-08 
 2.162859e-03  3.184066e-08 
 2.480926e-03  3.194136e-08 
 2.798994e-03  3.204287e-08 
 3.117061e-03  3.214485e-08 
 3.435128e-03  3.224697e-08 
 3.753196e-03  3.234891e-08 
 4.071263e-03  3.245048e-08 
 4.389331e-03  3.255157e-08 
 4.707398e-03  3.265203e-08 
 5.025466e-03  3.275153e-08 
 5.343533e-03  3.284966e-08 
 5.661601e-03  3.294603e-08 
 5.979668e-03  3.304035e-08 
 6.297736e-03  3.313229e-08 
 6.615803e-03  3.322150e-08 
 6.933870e-03  3.330756e-08 
 7.251938e-03  3.339006e-08 
 7.570005e-03  3.346862e-08 
 7.888073e-03  3.354376e-08 
 8.206140e-03  3.361554e-08 
 8.524208e-03  3.368368e-08 
 8.842275e-03  3.374919e-08 
 9.160343e-03  3.381234e-08 
 9.478410e-03  3.387195e-08 
 9.796478e-03  3.392734e-08 
 1.011455e-02  3.397768e-08 
 1.043261e-02  3.402206e-08 
 1.075068e-02  3.405975e-08 
 1.106875e-02  3.409027e-08 
 1.138681e-02  3.411325e-08 
 1.170488e-02  3.412843e-08 
 1.202295e-02  3.413578e-08 
 1.234102e-02  3.413537e-08 
 1.265908e-02  3.412723e-08 
 1.297715e-02  3.411118e-08 
 1.329522e-02  3.408736e-08 
 1.361329e-02  3.405528e-08 
 1.393135e-02  3.401485e-08 
 1.424942e-02  3.396554e-08 
 1.456749e-02  3.390671e-08 
 1.488556e-02  3.383693e-08 
 1.520362e-02  3.375753e-08 
 1.552169e-02  3.366757e-08 
 1.583976e-02  3.356833e-08 
 1.615783e-02  3.346085e-08 
 1.647589e-02  3.334566e-08 
 1.679396e-02  3.322324e-08 
 1.711203e-02  3.309394e-08 
 1.743010e-02  3.295801e-08 
 1.774816e-02  3.281583e-08 
 1.806623e-02  3.266758e-08 
 1.838430e-02  3.251339e-08 
 1.870237e-02  3.235321e-08 
 1.902043e-02  3.218684e-08 
