         time tilt_full_... 
------------- ------------- 
 2.423077e-04 -5.690142e-03 
 6.461537e-04 -5.142783e-03 
 1.050000e-03 -4.590667e-03 
 1.453846e-03 -4.033906e-03 
 1.857692e-03 -3.472481e-03 
 2.261538e-03 -2.906876e-03 
 2.665384e-03 -2.338216e-03 
 3.069230e-03 -1.765664e-03 
 3.473076e-03 -1.186952e-03 
 3.876922e-03 -6.026542e-04 
 4.280769e-03 -1.378957e-05 
 4.684615e-03  5.784336e-04 
 5.088461e-03  1.173713e-03 
 5.492307e-03  1.772004e-03 
 5.896153e-03  2.373961e-03 
 6.299999e-03  2.980134e-03 
 6.703845e-03  3.590459e-03 
 7.107691e-03  4.205018e-03 
 7.511537e-03  4.823736e-03 
 7.915383e-03  5.445996e-03 
 8.319229e-03  6.070236e-03 
 8.723075e-03  6.694450e-03 
 9.126922e-03  7.318493e-03 
 9.530768e-03  7.943814e-03 
 9.934614e-03  8.570603e-03 
 1.033846e-02  9.198313e-03 
 1.074231e-02  9.826058e-03 
 1.114615e-02  1.045273e-02 
 1.155000e-02  1.107753e-02 
 1.195384e-02  1.169951e-02 
 1.235769e-02  1.231802e-02 
 1.276154e-02  1.293316e-02 
 1.316538e-02  1.354511e-02 
 1.356923e-02  1.415301e-02 
 1.397307e-02  1.475754e-02 
 1.437692e-02  1.535914e-02 
 1.478077e-02  1.595610e-02 
 1.518461e-02  1.654634e-02 
 1.558846e-02  1.712979e-02 
 1.599231e-02  1.770672e-02 
 1.639615e-02  1.827744e-02 
 1.680000e-02  1.884244e-02 
 1.720384e-02  1.940110e-02 
 1.760769e-02  1.995364e-02 
 1.801154e-02  2.049980e-02 
 1.841538e-02  2.103895e-02 
 1.881923e-02  2.157094e-02 
 1.922307e-02  2.209439e-02 
 1.962692e-02  2.260832e-02 
 2.003077e-02  2.311356e-02 
 2.043461e-02  2.361259e-02 
 2.083846e-02  2.410628e-02 
 2.124230e-02  2.459364e-02 
 2.164615e-02  2.507285e-02 
 2.205000e-02  2.554306e-02 
 2.245384e-02  2.600486e-02 
 2.285769e-02  2.645892e-02 
 2.326153e-02  2.690476e-02 
 2.366538e-02  2.734288e-02 
 2.406923e-02  2.777316e-02 
 2.447307e-02  2.819423e-02 
 2.487692e-02  2.860594e-02 
 2.528077e-02  2.900872e-02 
 2.568461e-02  2.940281e-02 
 2.608846e-02  2.978719e-02 
 2.649230e-02  3.016252e-02 
 2.689615e-02  3.052963e-02 
 2.730000e-02  3.088897e-02 
 2.770384e-02  3.124059e-02 
 2.810769e-02  3.158284e-02 
 2.851153e-02  3.191483e-02 
 2.891538e-02  3.223679e-02 
 2.931923e-02  3.254857e-02 
 2.972307e-02  3.285051e-02 
 3.012692e-02  3.314281e-02 
 3.053076e-02  3.342629e-02 
 3.093461e-02  3.370168e-02 
 3.133846e-02  3.396890e-02 
 3.174230e-02  3.422701e-02 
 3.214615e-02  3.447427e-02 
 3.254999e-02  3.470986e-02 
 3.295384e-02  3.493301e-02 
 3.335769e-02  3.514493e-02 
 3.376153e-02  3.534747e-02 
 3.416538e-02  3.554059e-02 
 3.456923e-02  3.572414e-02 
 3.497307e-02  3.589827e-02 
 3.537692e-02  3.606214e-02 
 3.578076e-02  3.621535e-02 
 3.618461e-02  3.635735e-02 
 3.658846e-02  3.648803e-02 
 3.699230e-02  3.660740e-02 
 3.739615e-02  3.671653e-02 
 3.779999e-02  3.681638e-02 
 3.820384e-02  3.690664e-02 
 3.860769e-02  3.698688e-02 
 3.901153e-02  3.705563e-02 
 3.941538e-02  3.711241e-02 
 3.981922e-02  3.715830e-02 
 4.022307e-02  3.719428e-02 
 4.062692e-02  3.722126e-02 
 4.103076e-02  3.723888e-02 
 4.143461e-02  3.724663e-02 
 4.183845e-02  3.724520e-02 
 4.224230e-02  3.723533e-02 
 4.264615e-02  3.721635e-02 
 4.304999e-02  3.718773e-02 
 4.345384e-02  3.714947e-02 
 4.385769e-02  3.710242e-02 
 4.426153e-02  3.704747e-02 
 4.466538e-02  3.698559e-02 
 4.506922e-02  3.691636e-02 
 4.547307e-02  3.683897e-02 
 4.587692e-02  3.675243e-02 
 4.628076e-02  3.665613e-02 
 4.668461e-02  3.654994e-02 
 4.708845e-02  3.643460e-02 
 4.749230e-02  3.631075e-02 
 4.789615e-02  3.617925e-02 
 4.829999e-02  3.604017e-02 
 4.870384e-02  3.589326e-02 
 4.910768e-02  3.573772e-02 
 4.951153e-02  3.557262e-02 
 4.991538e-02  3.539726e-02 
 5.031922e-02  3.521170e-02 
 5.072307e-02  3.501696e-02 
 5.112691e-02  3.481365e-02 
 5.153076e-02  3.460098e-02 
 5.193461e-02  3.437843e-02 
 5.233845e-02  3.414562e-02 
 5.274230e-02  3.390306e-02 
 5.314615e-02  3.365126e-02 
 5.354999e-02  3.338970e-02 
 5.395384e-02  3.311849e-02 
 5.435768e-02  3.283866e-02 
 5.476153e-02  3.255118e-02 
 5.516538e-02  3.225701e-02 
 5.556922e-02  3.195566e-02 
 5.597307e-02  3.164640e-02 
 5.637691e-02  3.132891e-02 
 5.678076e-02  3.100404e-02 
 5.718461e-02  3.067380e-02 
 5.758845e-02  3.033939e-02 
 5.799230e-02  3.000172e-02 
 5.839614e-02  2.966075e-02 
 5.879999e-02  2.931688e-02 
 5.920384e-02  2.897048e-02 
 5.960768e-02  2.862092e-02 
 6.001153e-02  2.826810e-02 
 6.041537e-02  2.791164e-02 
 6.081922e-02  2.755153e-02 
 6.122307e-02  2.718869e-02 
 6.162691e-02  2.682466e-02 
 6.203076e-02  2.646088e-02 
 6.243461e-02  2.609665e-02 
 6.283845e-02  2.573082e-02 
 6.324230e-02  2.536282e-02 
 6.364614e-02  2.499307e-02 
 6.404999e-02  2.462235e-02 
 6.445384e-02  2.425053e-02 
 6.485768e-02  2.387728e-02 
 6.526153e-02  2.350252e-02 
 6.566537e-02  2.312519e-02 
 6.606922e-02  2.274535e-02 
 6.647307e-02  2.236221e-02 
 6.687691e-02  2.197583e-02 
 6.728076e-02  2.158622e-02 
 6.768460e-02  2.119402e-02 
 6.808845e-02  2.080009e-02 
 6.849230e-02  2.040468e-02 
 6.889614e-02  2.000730e-02 
 6.929999e-02  1.960756e-02 
 6.970383e-02  1.920540e-02 
 7.010768e-02  1.880087e-02 
 7.051153e-02  1.839219e-02 
 7.091537e-02  1.797928e-02 
 7.131922e-02  1.756318e-02 
 7.172307e-02  1.714518e-02 
 7.212691e-02  1.672607e-02 
 7.253076e-02  1.630561e-02 
 7.293460e-02  1.588372e-02 
 7.333845e-02  1.546097e-02 
 7.374230e-02  1.503659e-02 
 7.414614e-02  1.461110e-02 
 7.454999e-02  1.418552e-02 
 7.495383e-02  1.376040e-02 
 7.535768e-02  1.333561e-02 
 7.576153e-02  1.291115e-02 
 7.616537e-02  1.248831e-02 
 7.656922e-02  1.206794e-02 
 7.697306e-02  1.165054e-02 
 7.737691e-02  1.123596e-02 
 7.778076e-02  1.082414e-02 
 7.818460e-02  1.041502e-02 
 7.858845e-02  1.000811e-02 
 7.899229e-02  9.603349e-03 
 7.939614e-02  9.201391e-03 
 7.979999e-02  8.801408e-03 
 8.020383e-02  8.402591e-03 
 8.060768e-02  8.005029e-03 
 8.101153e-02  7.609311e-03 
 8.141537e-02  7.216238e-03 
 8.181922e-02  6.825872e-03 
 8.222306e-02  6.437844e-03 
 8.262691e-02  6.051708e-03 
 8.303076e-02  5.667618e-03 
 8.343460e-02  5.285519e-03 
 8.383845e-02  4.905426e-03 
 8.424229e-02  4.528282e-03 
 8.464614e-02  4.154001e-03 
 8.504999e-02  3.782209e-03 
 8.545383e-02  3.413781e-03 
 8.585768e-02  3.049307e-03 
 8.626152e-02  2.689028e-03 
 8.666537e-02  2.332918e-03 
 8.706922e-02  1.981172e-03 
 8.747306e-02  1.633986e-03 
 8.787691e-02  1.291526e-03 
 8.828075e-02  9.542781e-04 
 8.868460e-02  6.221956e-04 
 8.908845e-02  2.957724e-04 
 8.949229e-02 -2.518950e-05 
 8.989614e-02 -3.406640e-04 
 9.029999e-02 -6.499473e-04 
 9.070383e-02 -9.527420e-04 
 9.110768e-02 -1.248536e-03 
 9.151152e-02 -1.536435e-03 
 9.191537e-02 -1.816176e-03 
 9.231922e-02 -2.087938e-03 
 9.272306e-02 -2.351858e-03 
 9.312691e-02 -2.608400e-03 
 9.353075e-02 -2.857593e-03 
 9.393460e-02 -3.099539e-03 
 9.433845e-02 -3.334150e-03 
 9.474229e-02 -3.561708e-03 
 9.514614e-02 -3.781975e-03 
 9.554998e-02 -3.994629e-03 
 9.595383e-02 -4.199163e-03 
 9.635768e-02 -4.394942e-03 
 9.676152e-02 -4.582127e-03 
 9.716537e-02 -4.761857e-03 
 9.756921e-02 -4.934702e-03 
 9.797306e-02 -5.100770e-03 
 9.837691e-02 -5.258955e-03 
 9.878075e-02 -5.408924e-03 
 9.918460e-02 -5.550593e-03 
 9.958845e-02 -5.683999e-03 
 9.999229e-02 -5.808925e-03 
 1.003961e-01 -5.924811e-03 
 1.008000e-01 -6.031169e-03 
 1.012038e-01 -6.127669e-03 
 1.016077e-01 -6.214776e-03 
 1.020115e-01 -6.293375e-03 
 1.024154e-01 -6.363647e-03 
 1.028192e-01 -6.425997e-03 
 1.032231e-01 -6.479945e-03 
 1.036269e-01 -6.525209e-03 
 1.040308e-01 -6.561770e-03 
 1.044346e-01 -6.589433e-03 
