         time Record_Dis... 
------------- ------------- 
 2.019230e-04 -1.604602e-03 
 6.057691e-04 -1.605802e-03 
 1.009615e-03 -1.606743e-03 
 1.413461e-03 -1.607417e-03 
 1.817307e-03 -1.607818e-03 
 2.221153e-03 -1.607938e-03 
 2.625000e-03 -1.607770e-03 
 3.028846e-03 -1.607306e-03 
 3.432692e-03 -1.606539e-03 
 3.836538e-03 -1.605458e-03 
 4.240384e-03 -1.604057e-03 
 4.644230e-03 -1.602325e-03 
 5.048076e-03 -1.600254e-03 
 5.451922e-03 -1.597852e-03 
 5.855768e-03 -1.595116e-03 
 6.259614e-03 -1.592036e-03 
 6.663460e-03 -1.588598e-03 
 7.067307e-03 -1.584791e-03 
 7.471153e-03 -1.580608e-03 
 7.874999e-03 -1.576040e-03 
 8.278845e-03 -1.571086e-03 
 8.682691e-03 -1.565742e-03 
 9.086537e-03 -1.560012e-03 
 9.490383e-03 -1.553898e-03 
 9.894229e-03 -1.547405e-03 
 1.029808e-02 -1.540555e-03 
 1.070192e-02 -1.533394e-03 
 1.110577e-02 -1.525929e-03 
 1.150961e-02 -1.518167e-03 
 1.191346e-02 -1.510113e-03 
 1.231731e-02 -1.501775e-03 
 1.272115e-02 -1.493166e-03 
 1.312500e-02 -1.484300e-03 
 1.352884e-02 -1.475193e-03 
 1.393269e-02 -1.465858e-03 
 1.433654e-02 -1.456309e-03 
 1.474038e-02 -1.446558e-03 
 1.514423e-02 -1.436623e-03 
 1.554807e-02 -1.426572e-03 
 1.595192e-02 -1.416427e-03 
 1.635577e-02 -1.406195e-03 
 1.675961e-02 -1.395882e-03 
 1.716346e-02 -1.385491e-03 
 1.756730e-02 -1.375022e-03 
 1.797115e-02 -1.364475e-03 
 1.837500e-02 -1.353844e-03 
 1.877884e-02 -1.343128e-03 
 1.918269e-02 -1.332321e-03 
 1.958654e-02 -1.321417e-03 
 1.999038e-02 -1.310406e-03 
 2.039423e-02 -1.299329e-03 
 2.079807e-02 -1.288218e-03 
 2.120192e-02 -1.277062e-03 
 2.160577e-02 -1.265848e-03 
 2.200961e-02 -1.254564e-03 
 2.241346e-02 -1.243194e-03 
 2.281730e-02 -1.231725e-03 
 2.322115e-02 -1.220144e-03 
 2.362500e-02 -1.208441e-03 
 2.402884e-02 -1.196607e-03 
 2.443269e-02 -1.184634e-03 
 2.483653e-02 -1.172514e-03 
 2.524038e-02 -1.160262e-03 
 2.564423e-02 -1.147948e-03 
 2.604807e-02 -1.135577e-03 
 2.645192e-02 -1.123148e-03 
 2.685576e-02 -1.110664e-03 
 2.725961e-02 -1.098127e-03 
 2.766346e-02 -1.085538e-03 
 2.806730e-02 -1.072901e-03 
 2.847115e-02 -1.060217e-03 
 2.887500e-02 -1.047488e-03 
 2.927884e-02 -1.034717e-03 
 2.968269e-02 -1.021910e-03 
 3.008653e-02 -1.009076e-03 
 3.049038e-02 -9.962919e-04 
 3.089423e-02 -9.835911e-04 
 3.129807e-02 -9.709803e-04 
 3.170192e-02 -9.584664e-04 
 3.210576e-02 -9.460566e-04 
 3.250961e-02 -9.337584e-04 
 3.291346e-02 -9.215787e-04 
 3.331730e-02 -9.095223e-04 
 3.372115e-02 -8.975935e-04 
 3.412499e-02 -8.857974e-04 
 3.452884e-02 -8.741401e-04 
 3.493269e-02 -8.626272e-04 
 3.533653e-02 -8.512985e-04 
 3.574038e-02 -8.402123e-04 
 3.614422e-02 -8.293749e-04 
 3.654807e-02 -8.187923e-04 
 3.695192e-02 -8.084700e-04 
 3.735576e-02 -7.984109e-04 
 3.775961e-02 -7.886157e-04 
 3.816346e-02 -7.790832e-04 
 3.856730e-02 -7.698107e-04 
 3.897115e-02 -7.607939e-04 
 3.937499e-02 -7.520272e-04 
 3.977884e-02 -7.435054e-04 
 4.018269e-02 -7.352347e-04 
 4.058653e-02 -7.272662e-04 
 4.099038e-02 -7.196082e-04 
 4.139422e-02 -7.122601e-04 
 4.179807e-02 -7.052200e-04 
 4.220192e-02 -6.984851e-04 
 4.260576e-02 -6.920515e-04 
 4.300961e-02 -6.859157e-04 
 4.341345e-02 -6.800742e-04 
 4.381730e-02 -6.745232e-04 
 4.422115e-02 -6.692573e-04 
 4.462499e-02 -6.642716e-04 
 4.502884e-02 -6.595636e-04 
 4.543268e-02 -6.551603e-04 
 4.583653e-02 -6.510806e-04 
 4.624038e-02 -6.473268e-04 
 4.664422e-02 -6.439019e-04 
 4.704807e-02 -6.408091e-04 
 4.745192e-02 -6.380513e-04 
 4.785576e-02 -6.356298e-04 
 4.825961e-02 -6.335440e-04 
 4.866345e-02 -6.317920e-04 
 4.906730e-02 -6.303719e-04 
 4.947115e-02 -6.292820e-04 
 4.987499e-02 -6.285214e-04 
 5.027884e-02 -6.280948e-04 
 5.068268e-02 -6.280153e-04 
 5.108653e-02 -6.282878e-04 
 5.149038e-02 -6.289167e-04 
