         time tiltx_beam... 
------------- ------------- 
 3.634615e-04  6.342228e-02 
 7.673076e-04  6.513827e-02 
 1.171154e-03  6.703515e-02 
 1.575000e-03  6.892249e-02 
 1.978846e-03  7.080221e-02 
 2.382692e-03  7.267862e-02 
 2.786538e-03  7.456143e-02 
 3.190384e-03  7.646204e-02 
 3.594230e-03  7.836313e-02 
 3.998076e-03  8.024981e-02 
 4.401922e-03  8.212072e-02 
 4.805768e-03  8.397383e-02 
 5.209615e-03  8.580704e-02 
 5.613461e-03  8.762202e-02 
 6.017307e-03  8.941952e-02 
 6.421153e-03  9.120053e-02 
 6.824999e-03  9.296661e-02 
 7.228845e-03  9.471428e-02 
 7.632691e-03  9.644182e-02 
 8.036537e-03  9.814147e-02 
 8.440383e-03  9.981018e-02 
 8.844229e-03  1.014504e-01 
 9.248075e-03  1.030628e-01 
 9.651921e-03  1.046296e-01 
 1.005577e-02  1.061316e-01 
 1.045961e-02  1.075603e-01 
 1.086346e-02  1.089120e-01 
 1.126731e-02  1.101855e-01 
 1.167115e-02  1.113819e-01 
 1.207500e-02  1.125064e-01 
 1.247884e-02  1.135662e-01 
 1.288269e-02  1.145700e-01 
 1.328654e-02  1.155232e-01 
 1.369038e-02  1.164351e-01 
 1.409423e-02  1.173148e-01 
 1.449807e-02  1.181501e-01 
 1.490192e-02  1.189306e-01 
 1.530577e-02  1.196557e-01 
 1.570961e-02  1.203222e-01 
 1.611346e-02  1.209177e-01 
 1.651730e-02  1.214382e-01 
 1.692115e-02  1.218862e-01 
 1.732500e-02  1.222632e-01 
 1.772884e-02  1.225725e-01 
 1.813269e-02  1.228137e-01 
 1.853654e-02  1.229949e-01 
 1.894038e-02  1.231142e-01 
 1.934423e-02  1.231700e-01 
 1.974807e-02  1.231657e-01 
 2.015192e-02  1.231008e-01 
 2.055577e-02  1.229598e-01 
 2.095961e-02  1.227246e-01 
 2.136346e-02  1.223978e-01 
 2.176730e-02  1.219842e-01 
 2.217115e-02  1.214893e-01 
 2.257500e-02  1.209192e-01 
 2.297884e-02  1.202695e-01 
 2.338269e-02  1.195408e-01 
 2.378653e-02  1.187326e-01 
 2.419038e-02  1.178377e-01 
 2.459423e-02  1.168599e-01 
 2.499807e-02  1.158056e-01 
 2.540192e-02  1.146734e-01 
 2.580576e-02  1.134538e-01 
 2.620961e-02  1.121467e-01 
 2.661346e-02  1.107609e-01 
 2.701730e-02  1.093024e-01 
 2.742115e-02  1.077752e-01 
 2.782500e-02  1.061774e-01 
 2.822884e-02  1.045061e-01 
 2.863269e-02  1.027611e-01 
 2.903653e-02  1.009384e-01 
 2.944038e-02  9.903517e-02 
 2.984423e-02  9.705495e-02 
 3.024807e-02  9.500453e-02 
 3.065192e-02  9.289252e-02 
 3.105576e-02  9.071073e-02 
 3.145961e-02  8.844898e-02 
 3.186346e-02  8.609954e-02 
 3.226730e-02  8.366090e-02 
 3.267115e-02  8.112964e-02 
 3.307499e-02  7.850278e-02 
 3.347884e-02  7.577911e-02 
 3.388269e-02  7.296172e-02 
 3.428653e-02  7.005032e-02 
 3.469038e-02  6.705721e-02 
 3.509422e-02  6.399329e-02 
 3.549807e-02  6.085872e-02 
 3.590192e-02  5.764290e-02 
 3.630576e-02  5.433193e-02 
 3.670961e-02  5.091767e-02 
 3.711346e-02  4.739455e-02 
 3.751730e-02  4.376253e-02 
 3.792115e-02  4.001943e-02 
 3.832499e-02  3.617203e-02 
 3.872884e-02  3.222712e-02 
 3.913269e-02  2.819054e-02 
 3.953653e-02  2.407809e-02 
 3.994038e-02  1.989723e-02 
 4.034422e-02  1.564920e-02 
 4.074807e-02  1.132798e-02 
 4.115192e-02  6.928710e-03 
 4.155576e-02  2.459104e-03 
 4.195961e-02 -2.083029e-03 
 4.236345e-02 -6.703347e-03 
 4.276730e-02 -1.139975e-02 
 4.317115e-02 -1.615996e-02 
 4.357499e-02 -2.097256e-02 
 4.397884e-02 -2.582688e-02 
 4.438268e-02 -3.072041e-02 
 4.478653e-02 -3.565028e-02 
 4.519038e-02 -4.061726e-02 
 4.559422e-02 -4.562369e-02 
 4.599807e-02 -5.067393e-02 
 4.640192e-02 -5.577276e-02 
 4.680576e-02 -6.092011e-02 
 4.720961e-02 -6.612102e-02 
 4.761345e-02 -7.137597e-02 
 4.801730e-02 -7.668337e-02 
 4.842115e-02 -8.204168e-02 
 4.882499e-02 -8.744269e-02 
