         time rel_disp_t... 
------------- ------------- 
 1.615384e-04 -2.290820e-01 
 5.653845e-04 -2.425515e-01 
 9.692306e-04 -2.571700e-01 
 1.373077e-03 -2.725210e-01 
 1.776923e-03 -2.882770e-01 
 2.180769e-03 -3.041714e-01 
 2.584615e-03 -3.205355e-01 
 2.988461e-03 -3.375898e-01 
 3.392307e-03 -3.552019e-01 
 3.796153e-03 -3.732983e-01 
 4.199999e-03 -3.917324e-01 
 4.603845e-03 -4.099171e-01 
 5.007691e-03 -4.271553e-01 
 5.411538e-03 -4.430419e-01 
 5.815384e-03 -4.573257e-01 
 6.219230e-03 -4.702922e-01 
 6.623076e-03 -4.824002e-01 
 7.026922e-03 -4.941421e-01 
 7.430768e-03 -5.057604e-01 
 7.834614e-03 -5.175791e-01 
 8.238460e-03 -5.296068e-01 
 8.642306e-03 -5.418594e-01 
 9.046152e-03 -5.542562e-01 
 9.449998e-03 -5.664775e-01 
 9.853845e-03 -5.785911e-01 
 1.025769e-02 -5.908631e-01 
 1.066154e-02 -6.035668e-01 
 1.106538e-02 -6.166791e-01 
 1.146923e-02 -6.300181e-01 
 1.187307e-02 -6.435060e-01 
 1.227692e-02 -6.569938e-01 
 1.268077e-02 -6.705148e-01 
 1.308461e-02 -6.841159e-01 
 1.348846e-02 -6.979975e-01 
 1.389231e-02 -7.123598e-01 
 1.429615e-02 -7.273161e-01 
 1.470000e-02 -7.431674e-01 
 1.510384e-02 -7.601999e-01 
 1.550769e-02 -7.782330e-01 
 1.591154e-02 -7.967947e-01 
 1.631538e-02 -8.156999e-01 
 1.671923e-02 -8.347982e-01 
 1.712307e-02 -8.538527e-01 
 1.752692e-02 -8.724849e-01 
 1.793077e-02 -8.904652e-01 
 1.833461e-02 -9.079037e-01 
 1.873846e-02 -9.247927e-01 
 1.914230e-02 -9.415341e-01 
 1.954615e-02 -9.585066e-01 
 1.995000e-02 -9.755382e-01 
 2.035384e-02 -9.921888e-01 
 2.075769e-02 -1.007998e+00 
 2.116153e-02 -1.022863e+00 
 2.156538e-02 -1.036548e+00 
 2.196923e-02 -1.048884e+00 
 2.237307e-02 -1.059955e+00 
 2.277692e-02 -1.069853e+00 
 2.318077e-02 -1.078778e+00 
 2.358461e-02 -1.086874e+00 
 2.398846e-02 -1.093988e+00 
 2.439230e-02 -1.099890e+00 
 2.479615e-02 -1.104179e+00 
 2.520000e-02 -1.106356e+00 
 2.560384e-02 -1.106337e+00 
 2.600769e-02 -1.104399e+00 
 2.641153e-02 -1.101006e+00 
 2.681538e-02 -1.096790e+00 
 2.721923e-02 -1.092358e+00 
