         time bulge_top_... 
------------- ------------- 
 3.230769e-04  7.542744e-03 
 7.269230e-04  5.251068e-03 
 1.130769e-03  2.491160e-03 
 1.534615e-03  3.391926e-05 
 1.938461e-03 -2.094424e-03 
 2.342307e-03 -3.857034e-03 
 2.746153e-03 -5.253852e-03 
 3.149999e-03 -6.358884e-03 
 3.553846e-03 -7.047185e-03 
 3.957692e-03 -7.272180e-03 
 4.361538e-03 -7.082868e-03 
 4.765384e-03 -6.676474e-03 
 5.169230e-03 -6.129657e-03 
 5.573076e-03 -5.469594e-03 
 5.976922e-03 -4.626317e-03 
 6.380768e-03 -3.324939e-03 
 6.784614e-03 -1.765728e-03 
 7.188460e-03 -6.648618e-05 
 7.592306e-03  1.721381e-03 
 7.996153e-03  3.501627e-03 
 8.399999e-03  5.203709e-03 
 8.803845e-03  6.937595e-03 
 9.207691e-03  8.462306e-03 
 9.611537e-03  9.677453e-03 
 1.001538e-02  1.073890e-02 
 1.041923e-02  1.137181e-02 
 1.082308e-02  1.130193e-02 
 1.122692e-02  1.017097e-02 
 1.163077e-02  8.022811e-03 
 1.203461e-02  5.134449e-03 
 1.243846e-02  1.950886e-03 
 1.284231e-02 -1.094857e-03 
 1.324615e-02 -3.644198e-03 
 1.365000e-02 -5.506047e-03 
 1.405384e-02 -6.665623e-03 
 1.445769e-02 -6.996179e-03 
 1.486154e-02 -6.531067e-03 
 1.526538e-02 -5.496554e-03 
 1.566923e-02 -4.240949e-03 
 1.607307e-02 -2.801068e-03 
 1.647692e-02 -1.008457e-03 
 1.688077e-02  9.578808e-04 
 1.728461e-02  2.839960e-03 
 1.768846e-02  4.394433e-03 
 1.809230e-02  5.379685e-03 
 1.849615e-02  5.824026e-03 
 1.890000e-02  5.673449e-03 
 1.930384e-02  4.829970e-03 
 1.970769e-02  3.399543e-03 
 2.011154e-02  1.544877e-03 
 2.051538e-02 -3.878859e-04 
 2.091923e-02 -1.917063e-03 
 2.132307e-02 -2.743277e-03 
 2.172692e-02 -2.963306e-03 
 2.213077e-02 -2.781708e-03 
 2.253461e-02 -2.205279e-03 
 2.293846e-02 -1.028797e-03 
 2.334230e-02  5.487531e-04 
 2.374615e-02  2.521164e-03 
 2.415000e-02  4.978222e-03 
 2.455384e-02  7.921525e-03 
 2.495769e-02  1.124449e-02 
 2.536153e-02  1.470723e-02 
 2.576538e-02  1.803104e-02 
 2.616923e-02  2.084422e-02 
 2.657307e-02  2.288656e-02 
 2.697692e-02  2.420550e-02 
 2.738076e-02  2.495079e-02 
 2.778461e-02  2.503923e-02 
 2.818846e-02  2.464438e-02 
 2.859230e-02  2.361971e-02 
