         time tiltx_low_... 
------------- ------------- 
 4.038461e-04 -4.792010e-02 
 8.076922e-04 -4.804281e-02 
 1.211538e-03 -4.807427e-02 
 1.615384e-03 -4.800142e-02 
 2.019230e-03 -4.781039e-02 
 2.423077e-03 -4.749939e-02 
 2.826923e-03 -4.704143e-02 
 3.230769e-03 -4.643025e-02 
 3.634615e-03 -4.561830e-02 
 4.038461e-03 -4.464398e-02 
 4.442307e-03 -4.350503e-02 
 4.846153e-03 -4.216470e-02 
 5.249999e-03 -4.058297e-02 
 5.653845e-03 -3.871703e-02 
 6.057691e-03 -3.648844e-02 
 6.461537e-03 -3.389534e-02 
 6.865383e-03 -3.104051e-02 
 7.269230e-03 -2.800331e-02 
 7.673076e-03 -2.480499e-02 
 8.076922e-03 -2.150437e-02 
 8.480768e-03 -1.817702e-02 
 8.884614e-03 -1.488287e-02 
 9.288460e-03 -1.174206e-02 
 9.692306e-03 -8.824973e-03 
 1.009615e-02 -6.120109e-03 
 1.050000e-02 -3.670449e-03 
 1.090384e-02 -1.482516e-03 
 1.130769e-02  4.261257e-04 
 1.171154e-02  2.061866e-03 
 1.211538e-02  3.435725e-03 
 1.251923e-02  4.565093e-03 
 1.292307e-02  5.472440e-03 
 1.332692e-02  6.148399e-03 
 1.373077e-02  6.599034e-03 
 1.413461e-02  6.867089e-03 
 1.453846e-02  6.983568e-03 
 1.494231e-02  6.950783e-03 
 1.534615e-02  6.738605e-03 
 1.575000e-02  6.346090e-03 
 1.615384e-02  5.759499e-03 
 1.655769e-02  4.970946e-03 
 1.696154e-02  4.029554e-03 
 1.736538e-02  2.941915e-03 
 1.776923e-02  1.692518e-03 
 1.817307e-02  2.139203e-04 
 1.857692e-02 -1.531973e-03 
 1.898077e-02 -3.541744e-03 
 1.938461e-02 -5.832250e-03 
 1.978846e-02 -8.454483e-03 
 2.019230e-02 -1.141420e-02 
 2.059615e-02 -1.471744e-02 
 2.100000e-02 -1.834501e-02 
 2.140384e-02 -2.227784e-02 
 2.180769e-02 -2.645100e-02 
 2.221153e-02 -3.079293e-02 
 2.261538e-02 -3.526921e-02 
 2.301923e-02 -3.984285e-02 
 2.342307e-02 -4.448723e-02 
 2.382692e-02 -4.918297e-02 
 2.423077e-02 -5.389241e-02 
 2.463461e-02 -5.857457e-02 
 2.503846e-02 -6.313932e-02 
 2.544230e-02 -6.748908e-02 
 2.584615e-02 -7.157974e-02 
 2.625000e-02 -7.538863e-02 
 2.665384e-02 -7.886070e-02 
 2.705769e-02 -8.195990e-02 
 2.746153e-02 -8.471708e-02 
 2.786538e-02 -8.716880e-02 
 2.826923e-02 -8.940658e-02 
 2.867307e-02 -9.155824e-02 
 2.907692e-02 -9.367368e-02 
 2.948076e-02 -9.578366e-02 
 2.988461e-02 -9.788585e-02 
 3.028846e-02 -9.995442e-02 
 3.069230e-02 -1.019729e-01 
 3.109615e-02 -1.039422e-01 
 3.149999e-02 -1.057901e-01 
 3.190384e-02 -1.074312e-01 
 3.230769e-02 -1.088326e-01 
 3.271153e-02 -1.099378e-01 
 3.311538e-02 -1.106731e-01 
 3.351923e-02 -1.109957e-01 
 3.392307e-02 -1.108961e-01 
 3.432692e-02 -1.103349e-01 
 3.473076e-02 -1.093511e-01 
 3.513461e-02 -1.080162e-01 
 3.553846e-02 -1.063611e-01 
 3.594230e-02 -1.044227e-01 
 3.634615e-02 -1.021806e-01 
 3.674999e-02 -9.966142e-02 
 3.715384e-02 -9.694347e-02 
 3.755769e-02 -9.407566e-02 
 3.796153e-02 -9.108671e-02 
 3.836538e-02 -8.801974e-02 
 3.876922e-02 -8.492542e-02 
 3.917307e-02 -8.182888e-02 
 3.957692e-02 -7.879915e-02 
 3.998076e-02 -7.590890e-02 
 4.038461e-02 -7.318398e-02 
 4.078845e-02 -7.061465e-02 
 4.119230e-02 -6.819695e-02 
 4.159615e-02 -6.589438e-02 
 4.199999e-02 -6.367002e-02 
 4.240384e-02 -6.150265e-02 
 4.280769e-02 -5.937156e-02 
 4.321153e-02 -5.728704e-02 
 4.361538e-02 -5.528300e-02 
 4.401922e-02 -5.334136e-02 
 4.442307e-02 -5.143172e-02 
 4.482692e-02 -4.956893e-02 
 4.523076e-02 -4.774277e-02 
 4.563461e-02 -4.593116e-02 
 4.603845e-02 -4.412701e-02 
 4.644230e-02 -4.230172e-02 
 4.684615e-02 -4.043863e-02 
 4.724999e-02 -3.854626e-02 
 4.765384e-02 -3.669498e-02 
 4.805768e-02 -3.499151e-02 
 4.846153e-02 -3.348770e-02 
 4.886538e-02 -3.221268e-02 
 4.926922e-02 -3.116072e-02 
 4.967307e-02 -3.033431e-02 
 5.007691e-02 -2.974306e-02 
 5.048076e-02 -2.938731e-02 
 5.088461e-02 -2.921643e-02 
 5.128845e-02 -2.912320e-02 
 5.169230e-02 -2.899070e-02 
 5.209615e-02 -2.870365e-02 
 5.249999e-02 -2.818325e-02 
 5.290384e-02 -2.735517e-02 
 5.330768e-02 -2.610716e-02 
 5.371153e-02 -2.437190e-02 
 5.411538e-02 -2.213551e-02 
 5.451922e-02 -1.941297e-02 
 5.492307e-02 -1.623412e-02 
 5.532691e-02 -1.264395e-02 
 5.573076e-02 -8.690416e-03 
 5.613461e-02 -4.433109e-03 
 5.653845e-02  5.124033e-05 
 5.694230e-02  4.724236e-03 
 5.734614e-02  9.544037e-03 
 5.774999e-02  1.449236e-02 
 5.815384e-02  1.959053e-02 
 5.855768e-02  2.482122e-02 
 5.896153e-02  3.014793e-02 
 5.936537e-02  3.553116e-02 
 5.976922e-02  4.094866e-02 
 6.017307e-02  4.637755e-02 
 6.057691e-02  5.182538e-02 
 6.098076e-02  5.733140e-02 
 6.138461e-02  6.292238e-02 
 6.178845e-02  6.863768e-02 
 6.219230e-02  7.452205e-02 
 6.259614e-02  8.060583e-02 
 6.299999e-02  8.690173e-02 
 6.340384e-02  9.341121e-02 
 6.380768e-02  1.001192e-01 
 6.421153e-02  1.070065e-01 
 6.461537e-02  1.140428e-01 
 6.501922e-02  1.211778e-01 
 6.542307e-02  1.283584e-01 
 6.582691e-02  1.355716e-01 
 6.623076e-02  1.428045e-01 
 6.663460e-02  1.500340e-01 
 6.703845e-02  1.572096e-01 
 6.744230e-02  1.642616e-01 
 6.784614e-02  1.710949e-01 
 6.824999e-02  1.777006e-01 
 6.865383e-02  1.840516e-01 
 6.905768e-02  1.901125e-01 
 6.946153e-02  1.958501e-01 
 6.986537e-02  2.012239e-01 
 7.026922e-02  2.062173e-01 
 7.067307e-02  2.108680e-01 
 7.107691e-02  2.152280e-01 
 7.148076e-02  2.193207e-01 
 7.188460e-02  2.231796e-01 
 7.228845e-02  2.268414e-01 
 7.269230e-02  2.303827e-01 
 7.309614e-02  2.338836e-01 
 7.349999e-02  2.374250e-01 
 7.390383e-02  2.410532e-01 
 7.430768e-02  2.447760e-01 
 7.471153e-02  2.485451e-01 
 7.511537e-02  2.523446e-01 
 7.551922e-02  2.561224e-01 
 7.592306e-02  2.597861e-01 
 7.632691e-02  2.632706e-01 
 7.673076e-02  2.665016e-01 
 7.713460e-02  2.694553e-01 
 7.753845e-02  2.721513e-01 
 7.794229e-02  2.746130e-01 
 7.834614e-02  2.768441e-01 
 7.874999e-02  2.788540e-01 
 7.915383e-02  2.806422e-01 
 7.955768e-02  2.822554e-01 
 7.996153e-02  2.837555e-01 
 8.036537e-02  2.850687e-01 
 8.076922e-02  2.862456e-01 
 8.117306e-02  2.873393e-01 
 8.157691e-02  2.882866e-01 
 8.198076e-02  2.891531e-01 
 8.238460e-02  2.901190e-01 
 8.278845e-02  2.911983e-01 
 8.319229e-02  2.924067e-01 
 8.359614e-02  2.937703e-01 
 8.399999e-02  2.953663e-01 
 8.440383e-02  2.971671e-01 
 8.480768e-02  2.991397e-01 
 8.521152e-02  3.012319e-01 
 8.561537e-02  3.034937e-01 
 8.601922e-02  3.057847e-01 
 8.642306e-02  3.080393e-01 
 8.682691e-02  3.102288e-01 
 8.723075e-02  3.123053e-01 
 8.763460e-02  3.141871e-01 
 8.803845e-02  3.158636e-01 
 8.844229e-02  3.172925e-01 
 8.884614e-02  3.184119e-01 
 8.924999e-02  3.192554e-01 
 8.965383e-02  3.199105e-01 
 9.005768e-02  3.204239e-01 
 9.046152e-02  3.208558e-01 
 9.086537e-02  3.211880e-01 
 9.126922e-02  3.214764e-01 
 9.167306e-02  3.217022e-01 
 9.207691e-02  3.219059e-01 
 9.248075e-02  3.220369e-01 
 9.288460e-02  3.220627e-01 
 9.328845e-02  3.219587e-01 
