         time tiltx_low_... 
------------- ------------- 
 4.038461e-04  2.582518e-02 
 8.076922e-04  2.478591e-02 
 1.211538e-03  2.373403e-02 
 1.615384e-03  2.267401e-02 
 2.019230e-03  2.160180e-02 
 2.423077e-03  2.050047e-02 
 2.826923e-03  1.934759e-02 
 3.230769e-03  1.812603e-02 
 3.634615e-03  1.682934e-02 
 4.038461e-03  1.542694e-02 
 4.442307e-03  1.390707e-02 
 4.846153e-03  1.228810e-02 
 5.249999e-03  1.059225e-02 
 5.653845e-03  8.858317e-03 
 6.057691e-03  7.136527e-03 
 6.461537e-03  5.457111e-03 
 6.865383e-03  3.804457e-03 
 7.269230e-03  2.196896e-03 
 7.673076e-03  6.676914e-04 
 8.076922e-03 -7.488551e-04 
 8.480768e-03 -2.025528e-03 
 8.884614e-03 -3.143578e-03 
 9.288460e-03 -4.113477e-03 
 9.692306e-03 -4.944407e-03 
 1.009615e-02 -5.612231e-03 
 1.050000e-02 -6.124868e-03 
 1.090384e-02 -6.471560e-03 
 1.130769e-02 -6.651348e-03 
 1.171154e-02 -6.655547e-03 
 1.211538e-02 -6.474653e-03 
 1.251923e-02 -6.111058e-03 
 1.292307e-02 -5.568299e-03 
 1.332692e-02 -4.878477e-03 
 1.373077e-02 -4.085709e-03 
 1.413461e-02 -3.211779e-03 
 1.453846e-02 -2.278353e-03 
 1.494231e-02 -1.325088e-03 
 1.534615e-02 -3.907095e-04 
 1.575000e-02  5.051276e-04 
 1.615384e-02  1.325402e-03 
 1.655769e-02  2.054302e-03 
 1.696154e-02  2.698057e-03 
 1.736538e-02  3.244728e-03 
 1.776923e-02  3.672488e-03 
 1.817307e-02  3.955642e-03 
 1.857692e-02  4.092488e-03 
 1.898077e-02  4.112546e-03 
 1.938461e-02  4.044857e-03 
 1.978846e-02  3.905936e-03 
 2.019230e-02  3.710051e-03 
 2.059615e-02  3.472368e-03 
 2.100000e-02  3.199975e-03 
 2.140384e-02  2.874299e-03 
 2.180769e-02  2.487959e-03 
 2.221153e-02  2.021950e-03 
 2.261538e-02  1.440318e-03 
 2.301923e-02  7.068068e-04 
 2.342307e-02 -2.061662e-04 
 2.382692e-02 -1.331680e-03 
 2.423077e-02 -2.675212e-03 
 2.463461e-02 -4.226114e-03 
 2.503846e-02 -5.962227e-03 
 2.544230e-02 -7.846134e-03 
 2.584615e-02 -9.860258e-03 
 2.625000e-02 -1.199301e-02 
