         time tiltx_up_s... 
------------- ------------- 
 4.038461e-04 -3.031400e-02 
 8.076922e-04 -2.952916e-02 
 1.211538e-03 -2.860061e-02 
 1.615384e-03 -2.753520e-02 
 2.019230e-03 -2.634941e-02 
 2.423077e-03 -2.505598e-02 
 2.826923e-03 -2.367488e-02 
 3.230769e-03 -2.222703e-02 
 3.634615e-03 -2.070337e-02 
 4.038461e-03 -1.909658e-02 
 4.442307e-03 -1.741250e-02 
 4.846153e-03 -1.565869e-02 
 5.249999e-03 -1.384314e-02 
 5.653845e-03 -1.198796e-02 
 6.057691e-03 -1.012936e-02 
 6.461537e-03 -8.287668e-03 
 6.865383e-03 -6.436286e-03 
 7.269230e-03 -4.575186e-03 
 7.673076e-03 -2.722633e-03 
 8.076922e-03 -8.970056e-04 
 8.480768e-03  8.847063e-04 
 8.884614e-03  2.599267e-03 
 9.288460e-03  4.218677e-03 
 9.692306e-03  5.728544e-03 
 1.009615e-02  7.114446e-03 
 1.050000e-02  8.366673e-03 
 1.090384e-02  9.476906e-03 
 1.130769e-02  1.044474e-02 
 1.171154e-02  1.127428e-02 
 1.211538e-02  1.196853e-02 
 1.251923e-02  1.254547e-02 
 1.292307e-02  1.302353e-02 
 1.332692e-02  1.342837e-02 
 1.373077e-02  1.377396e-02 
 1.413461e-02  1.406639e-02 
 1.453846e-02  1.432040e-02 
 1.494231e-02  1.455178e-02 
 1.534615e-02  1.475557e-02 
 1.575000e-02  1.493665e-02 
 1.615384e-02  1.510566e-02 
 1.655769e-02  1.525375e-02 
 1.696154e-02  1.535953e-02 
 1.736538e-02  1.541896e-02 
 1.776923e-02  1.545423e-02 
 1.817307e-02  1.548683e-02 
 1.857692e-02  1.551502e-02 
 1.898077e-02  1.553514e-02 
 1.938461e-02  1.555378e-02 
 1.978846e-02  1.557520e-02 
 2.019230e-02  1.559725e-02 
 2.059615e-02  1.562426e-02 
 2.100000e-02  1.566793e-02 
 2.140384e-02  1.573202e-02 
 2.180769e-02  1.580512e-02 
 2.221153e-02  1.587435e-02 
 2.261538e-02  1.592127e-02 
 2.301923e-02  1.594498e-02 
 2.342307e-02  1.594148e-02 
 2.382692e-02  1.591251e-02 
 2.423077e-02  1.586550e-02 
 2.463461e-02  1.579089e-02 
 2.503846e-02  1.568746e-02 
 2.544230e-02  1.556102e-02 
 2.584615e-02  1.542414e-02 
 2.625000e-02  1.528327e-02 
 2.665384e-02  1.514410e-02 
 2.705769e-02  1.500521e-02 
 2.746153e-02  1.486257e-02 
 2.786538e-02  1.470728e-02 
 2.826923e-02  1.454247e-02 
 2.867307e-02  1.437760e-02 
 2.907692e-02  1.422354e-02 
 2.948076e-02  1.406725e-02 
 2.988461e-02  1.389098e-02 
 3.028846e-02  1.368017e-02 
 3.069230e-02  1.342258e-02 
 3.109615e-02  1.312448e-02 
 3.149999e-02  1.278701e-02 
 3.190384e-02  1.241458e-02 
 3.230769e-02  1.202775e-02 
 3.271153e-02  1.164424e-02 
 3.311538e-02  1.125966e-02 
 3.351923e-02  1.086382e-02 
 3.392307e-02  1.045760e-02 
 3.432692e-02  1.004409e-02 
 3.473076e-02  9.615760e-03 
 3.513461e-02  9.174598e-03 
 3.553846e-02  8.714988e-03 
 3.594230e-02  8.224437e-03 
 3.634615e-02  7.690870e-03 
 3.674999e-02  7.096216e-03 
 3.715384e-02  6.431626e-03 
 3.755769e-02  5.692844e-03 
 3.796153e-02  4.877768e-03 
 3.836538e-02  3.973733e-03 
 3.876922e-02  2.969085e-03 
 3.917307e-02  1.873128e-03 
 3.957692e-02  7.057995e-04 
 3.998076e-02 -5.046389e-04 
 4.038461e-02 -1.743109e-03 
 4.078845e-02 -3.005175e-03 
 4.119230e-02 -4.272223e-03 
 4.159615e-02 -5.543697e-03 
 4.199999e-02 -6.822084e-03 
 4.240384e-02 -8.095855e-03 
 4.280769e-02 -9.354113e-03 
 4.321153e-02 -1.059158e-02 
 4.361538e-02 -1.180620e-02 
 4.401922e-02 -1.299986e-02 
 4.442307e-02 -1.416651e-02 
 4.482692e-02 -1.529104e-02 
 4.523076e-02 -1.634628e-02 
 4.563461e-02 -1.731989e-02 
 4.603845e-02 -1.819459e-02 
 4.644230e-02 -1.896587e-02 
 4.684615e-02 -1.964151e-02 
 4.724999e-02 -2.022089e-02 
 4.765384e-02 -2.069976e-02 
 4.805768e-02 -2.107326e-02 
 4.846153e-02 -2.133369e-02 
 4.886538e-02 -2.148834e-02 
 4.926922e-02 -2.155185e-02 
 4.967307e-02 -2.155026e-02 
 5.007691e-02 -2.149121e-02 
 5.048076e-02 -2.136808e-02 
 5.088461e-02 -2.117188e-02 
 5.128845e-02 -2.090727e-02 
 5.169230e-02 -2.058449e-02 
 5.209615e-02 -2.021288e-02 
 5.249999e-02 -1.979296e-02 
 5.290384e-02 -1.933358e-02 
 5.330768e-02 -1.883299e-02 
 5.371153e-02 -1.829232e-02 
 5.411538e-02 -1.771041e-02 
 5.451922e-02 -1.708638e-02 
 5.492307e-02 -1.643778e-02 
 5.532691e-02 -1.577586e-02 
 5.573076e-02 -1.511581e-02 
 5.613461e-02 -1.446088e-02 
 5.653845e-02 -1.381893e-02 
 5.694230e-02 -1.320266e-02 
 5.734614e-02 -1.262401e-02 
 5.774999e-02 -1.209778e-02 
 5.815384e-02 -1.163394e-02 
 5.855768e-02 -1.123630e-02 
 5.896153e-02 -1.090492e-02 
 5.936537e-02 -1.063247e-02 
 5.976922e-02 -1.040438e-02 
 6.017307e-02 -1.021604e-02 
 6.057691e-02 -1.006228e-02 
 6.098076e-02 -9.931349e-03 
 6.138461e-02 -9.800760e-03 
 6.178845e-02 -9.666307e-03 
 6.219230e-02 -9.534430e-03 
 6.259614e-02 -9.413291e-03 
 6.299999e-02 -9.318024e-03 
 6.340384e-02 -9.271494e-03 
 6.380768e-02 -9.290047e-03 
 6.421153e-02 -9.376077e-03 
 6.461537e-02 -9.525085e-03 
 6.501922e-02 -9.734567e-03 
 6.542307e-02 -9.989506e-03 
 6.582691e-02 -1.028931e-02 
 6.623076e-02 -1.064472e-02 
 6.663460e-02 -1.105573e-02 
 6.703845e-02 -1.150726e-02 
 6.744230e-02 -1.198093e-02 
 6.784614e-02 -1.247768e-02 
 6.824999e-02 -1.300834e-02 
 6.865383e-02 -1.355383e-02 
 6.905768e-02 -1.410519e-02 
 6.946153e-02 -1.464728e-02 
 6.986537e-02 -1.517094e-02 
 7.026922e-02 -1.565344e-02 
 7.067307e-02 -1.608489e-02 
 7.107691e-02 -1.649394e-02 
 7.148076e-02 -1.688106e-02 
 7.188460e-02 -1.720109e-02 
 7.228845e-02 -1.741440e-02 
 7.269230e-02 -1.750395e-02 
 7.309614e-02 -1.746296e-02 
 7.349999e-02 -1.728461e-02 
 7.390383e-02 -1.698476e-02 
 7.430768e-02 -1.658309e-02 
 7.471153e-02 -1.608113e-02 
 7.511537e-02 -1.548483e-02 
 7.551922e-02 -1.478687e-02 
 7.592306e-02 -1.398542e-02 
 7.632691e-02 -1.310343e-02 
 7.673076e-02 -1.215244e-02 
 7.713460e-02 -1.117725e-02 
 7.753845e-02 -1.020436e-02 
 7.794229e-02 -9.250912e-03 
 7.834614e-02 -8.312977e-03 
 7.874999e-02 -7.402775e-03 
 7.915383e-02 -6.552360e-03 
 7.955768e-02 -5.776568e-03 
 7.996153e-02 -5.064488e-03 
