         time tiltx_beam... 
------------- ------------- 
 8.076922e-05 -1.229855e-02 
 4.846153e-04 -1.225034e-02 
 8.884614e-04 -1.195624e-02 
 1.292307e-03 -1.157399e-02 
 1.696154e-03 -1.110735e-02 
 2.100000e-03 -1.056222e-02 
 2.503846e-03 -9.940515e-03 
 2.907692e-03 -9.222626e-03 
 3.311538e-03 -8.402153e-03 
 3.715384e-03 -7.523019e-03 
 4.119230e-03 -6.590672e-03 
 4.523076e-03 -5.603882e-03 
 4.926922e-03 -4.553481e-03 
 5.330768e-03 -3.441577e-03 
 5.734614e-03 -2.276553e-03 
 6.138461e-03 -1.068136e-03 
 6.542307e-03  1.649666e-04 
 6.946153e-03  1.410206e-03 
 7.349999e-03  2.675562e-03 
 7.753845e-03  3.957493e-03 
 8.157691e-03  5.262830e-03 
 8.561537e-03  6.619922e-03 
 8.965383e-03  8.069643e-03 
 9.369229e-03  9.629145e-03 
 9.773075e-03  1.126889e-02 
 1.017692e-02  1.296388e-02 
 1.058077e-02  1.469196e-02 
 1.098461e-02  1.642974e-02 
 1.138846e-02  1.815840e-02 
 1.179231e-02  1.987711e-02 
 1.219615e-02  2.159571e-02 
 1.260000e-02  2.332109e-02 
 1.300384e-02  2.507723e-02 
 1.340769e-02  2.687580e-02 
 1.381154e-02  2.874757e-02 
 1.421538e-02  3.070033e-02 
 1.461923e-02  3.270110e-02 
 1.502307e-02  3.472558e-02 
 1.542692e-02  3.677537e-02 
 1.583077e-02  3.884040e-02 
 1.623461e-02  4.091644e-02 
 1.663846e-02  4.300396e-02 
 1.704230e-02  4.510837e-02 
 1.744615e-02  4.723168e-02 
 1.785000e-02  4.936506e-02 
 1.825384e-02  5.150737e-02 
 1.865769e-02  5.366783e-02 
 1.906154e-02  5.583394e-02 
 1.946538e-02  5.800776e-02 
 1.986923e-02  6.020627e-02 
 2.027307e-02  6.242936e-02 
 2.067692e-02  6.464144e-02 
 2.108077e-02  6.681134e-02 
 2.148461e-02  6.893814e-02 
 2.188846e-02  7.103676e-02 
 2.229230e-02  7.311491e-02 
 2.269615e-02  7.519346e-02 
 2.310000e-02  7.726776e-02 
 2.350384e-02  7.934541e-02 
 2.390769e-02  8.143573e-02 
 2.431153e-02  8.352790e-02 
 2.471538e-02  8.563095e-02 
 2.511923e-02  8.774888e-02 
 2.552307e-02  8.986558e-02 
 2.592692e-02  9.193772e-02 
 2.633076e-02  9.395459e-02 
 2.673461e-02  9.592663e-02 
 2.713846e-02  9.785878e-02 
 2.754230e-02  9.974885e-02 
 2.794615e-02  1.016029e-01 
 2.835000e-02  1.034126e-01 
 2.875384e-02  1.052117e-01 
 2.915769e-02  1.069927e-01 
 2.956153e-02  1.087677e-01 
 2.996538e-02  1.105436e-01 
