         time tiltx_bot_... 
------------- ------------- 
 8.076922e-05  7.502760e-03 
 4.846153e-04  7.564159e-03 
 8.884614e-04  7.839864e-03 
 1.292307e-03  8.078640e-03 
 1.696154e-03  8.294375e-03 
 2.100000e-03  8.507417e-03 
 2.503846e-03  8.710065e-03 
 2.907692e-03  8.898968e-03 
 3.311538e-03  9.042621e-03 
 3.715384e-03  9.104796e-03 
 4.119230e-03  9.118215e-03 
 4.523076e-03  9.085095e-03 
 4.926922e-03  8.998050e-03 
 5.330768e-03  8.842145e-03 
 5.734614e-03  8.619499e-03 
 6.138461e-03  8.339595e-03 
 6.542307e-03  8.007319e-03 
 6.946153e-03  7.624711e-03 
 7.349999e-03  7.194217e-03 
 7.753845e-03  6.729057e-03 
 8.157691e-03  6.225679e-03 
 8.561537e-03  5.676924e-03 
 8.965383e-03  5.080485e-03 
 9.369229e-03  4.477178e-03 
 9.773075e-03  3.877234e-03 
 1.017692e-02  3.260553e-03 
 1.058077e-02  2.636588e-03 
 1.098461e-02  1.994837e-03 
 1.138846e-02  1.350695e-03 
 1.179231e-02  6.989725e-04 
 1.219615e-02  4.943062e-05 
 1.260000e-02 -6.202560e-04 
 1.300384e-02 -1.325170e-03 
 1.340769e-02 -2.067099e-03 
 1.381154e-02 -2.841885e-03 
 1.421538e-02 -3.681937e-03 
 1.461923e-02 -4.608327e-03 
 1.502307e-02 -5.596471e-03 
 1.542692e-02 -6.624364e-03 
 1.583077e-02 -7.701480e-03 
 1.623461e-02 -8.806266e-03 
 1.663846e-02 -9.916780e-03 
 1.704230e-02 -1.100435e-02 
 1.744615e-02 -1.206815e-02 
 1.785000e-02 -1.313907e-02 
 1.825384e-02 -1.422082e-02 
 1.865769e-02 -1.532593e-02 
 1.906154e-02 -1.647863e-02 
 1.946538e-02 -1.770426e-02 
 1.986923e-02 -1.899285e-02 
 2.027307e-02 -2.030555e-02 
 2.067692e-02 -2.159941e-02 
 2.108077e-02 -2.284165e-02 
 2.148461e-02 -2.402312e-02 
 2.188846e-02 -2.515380e-02 
 2.229230e-02 -2.624269e-02 
 2.269615e-02 -2.728147e-02 
 2.310000e-02 -2.828874e-02 
 2.350384e-02 -2.927591e-02 
 2.390769e-02 -3.024509e-02 
 2.431153e-02 -3.120634e-02 
 2.471538e-02 -3.215587e-02 
 2.511923e-02 -3.310835e-02 
 2.552307e-02 -3.407819e-02 
 2.592692e-02 -3.503487e-02 
 2.633076e-02 -3.596249e-02 
 2.673461e-02 -3.689352e-02 
 2.713846e-02 -3.784550e-02 
 2.754230e-02 -3.880082e-02 
 2.794615e-02 -3.974304e-02 
 2.835000e-02 -4.064455e-02 
 2.875384e-02 -4.149903e-02 
 2.915769e-02 -4.231108e-02 
 2.956153e-02 -4.306567e-02 
 2.996538e-02 -4.375044e-02 
 3.036923e-02 -4.437431e-02 
 3.077307e-02 -4.492565e-02 
 3.117692e-02 -4.536953e-02 
 3.158076e-02 -4.572538e-02 
 3.198461e-02 -4.601051e-02 
 3.238846e-02 -4.623547e-02 
 3.279230e-02 -4.640520e-02 
 3.319615e-02 -4.651246e-02 
 3.359999e-02 -4.653122e-02 
 3.400384e-02 -4.645852e-02 
 3.440769e-02 -4.632750e-02 
 3.481153e-02 -4.612707e-02 
 3.521538e-02 -4.585906e-02 
 3.561922e-02 -4.552648e-02 
 3.602307e-02 -4.511791e-02 
 3.642692e-02 -4.465877e-02 
 3.683076e-02 -4.410068e-02 
 3.723461e-02 -4.342526e-02 
 3.763846e-02 -4.264096e-02 
 3.804230e-02 -4.176689e-02 
 3.844615e-02 -4.078161e-02 
 3.884999e-02 -3.969647e-02 
 3.925384e-02 -3.855185e-02 
 3.965769e-02 -3.738458e-02 
 4.006153e-02 -3.622164e-02 
 4.046538e-02 -3.505160e-02 
 4.086922e-02 -3.383958e-02 
 4.127307e-02 -3.257404e-02 
 4.167692e-02 -3.123447e-02 
 4.208076e-02 -2.979581e-02 
 4.248461e-02 -2.824609e-02 
 4.288845e-02 -2.658652e-02 
 4.329230e-02 -2.483047e-02 
 4.369615e-02 -2.299493e-02 
 4.409999e-02 -2.111444e-02 
 4.450384e-02 -1.921246e-02 
 4.490768e-02 -1.728266e-02 
 4.531153e-02 -1.533990e-02 
 4.571538e-02 -1.338437e-02 
 4.611922e-02 -1.140399e-02 
 4.652307e-02 -9.421676e-03 
 4.692692e-02 -7.449725e-03 
 4.733076e-02 -5.498609e-03 
 4.773461e-02 -3.542139e-03 
 4.813845e-02 -1.536293e-03 
 4.854230e-02  5.065479e-04 
 4.894615e-02  2.573998e-03 
 4.934999e-02  4.660746e-03 
 4.975384e-02  6.793927e-03 
 5.015768e-02  8.966946e-03 
 5.056153e-02  1.118136e-02 
 5.096538e-02  1.343323e-02 
 5.136922e-02  1.571378e-02 
 5.177307e-02  1.802571e-02 
 5.217691e-02  2.035161e-02 
 5.258076e-02  2.270550e-02 
 5.298461e-02  2.509897e-02 
 5.338845e-02  2.752129e-02 
 5.379230e-02  2.995021e-02 
 5.419614e-02  3.235647e-02 
 5.459999e-02  3.473072e-02 
 5.500384e-02  3.707657e-02 
 5.540768e-02  3.941942e-02 
 5.581153e-02  4.177985e-02 
 5.621538e-02  4.415881e-02 
 5.661922e-02  4.655925e-02 
 5.702307e-02  4.899079e-02 
 5.742691e-02  5.145524e-02 
 5.783076e-02  5.396233e-02 
 5.823461e-02  5.648205e-02 
