         time rel_disp_t... 
------------- ------------- 
 4.038461e-04  2.794379e-01 
 8.076922e-04  2.819217e-01 
 1.211538e-03  2.837191e-01 
 1.615384e-03  2.848942e-01 
 2.019230e-03  2.854572e-01 
 2.423077e-03  2.851228e-01 
 2.826923e-03  2.834678e-01 
 3.230769e-03  2.808910e-01 
 3.634615e-03  2.777194e-01 
 4.038461e-03  2.737483e-01 
 4.442307e-03  2.688206e-01 
 4.846153e-03  2.628398e-01 
 5.249999e-03  2.558446e-01 
 5.653845e-03  2.480092e-01 
 6.057691e-03  2.395826e-01 
 6.461537e-03  2.307920e-01 
 6.865383e-03  2.216486e-01 
 7.269230e-03  2.122270e-01 
 7.673076e-03  2.025459e-01 
 8.076922e-03  1.924351e-01 
 8.480768e-03  1.815557e-01 
 8.884614e-03  1.696132e-01 
 9.288460e-03  1.570196e-01 
 9.692306e-03  1.441785e-01 
 1.009615e-02  1.308883e-01 
 1.050000e-02  1.170294e-01 
 1.090384e-02  1.022407e-01 
 1.130769e-02  8.628159e-02 
 1.171154e-02  6.896155e-02 
 1.211538e-02  5.029191e-02 
 1.251923e-02  3.045708e-02 
 1.292307e-02  9.957859e-03 
 1.332692e-02 -1.093867e-02 
 1.373077e-02 -3.207246e-02 
 1.413461e-02 -5.297012e-02 
 1.453846e-02 -7.348834e-02 
 1.494231e-02 -9.427901e-02 
 1.534615e-02 -1.157675e-01 
 1.575000e-02 -1.379850e-01 
 1.615384e-02 -1.607773e-01 
 1.655769e-02 -1.839643e-01 
 1.696154e-02 -2.073012e-01 
 1.736538e-02 -2.307074e-01 
 1.776923e-02 -2.540252e-01 
 1.817307e-02 -2.774044e-01 
 1.857692e-02 -3.010361e-01 
 1.898077e-02 -3.249983e-01 
 1.938461e-02 -3.499391e-01 
 1.978846e-02 -3.760301e-01 
 2.019230e-02 -4.028095e-01 
 2.059615e-02 -4.294861e-01 
 2.100000e-02 -4.559606e-01 
 2.140384e-02 -4.825319e-01 
 2.180769e-02 -5.093836e-01 
 2.221153e-02 -5.367767e-01 
 2.261538e-02 -5.645550e-01 
 2.301923e-02 -5.928383e-01 
 2.342307e-02 -6.218231e-01 
 2.382692e-02 -6.513661e-01 
 2.423077e-02 -6.818951e-01 
 2.463461e-02 -7.134460e-01 
 2.503846e-02 -7.460880e-01 
 2.544230e-02 -7.790572e-01 
 2.584615e-02 -8.125037e-01 
 2.625000e-02 -8.465047e-01 
 2.665384e-02 -8.805070e-01 
 2.705769e-02 -9.145025e-01 
 2.746153e-02 -9.480959e-01 
 2.786538e-02 -9.812562e-01 
 2.826923e-02 -1.014218e+00 
 2.867307e-02 -1.046993e+00 
 2.907692e-02 -1.079510e+00 
 2.948076e-02 -1.111842e+00 
 2.988461e-02 -1.143956e+00 
 3.028846e-02 -1.176085e+00 
 3.069230e-02 -1.208022e+00 
 3.109615e-02 -1.239582e+00 
 3.149999e-02 -1.270533e+00 
 3.190384e-02 -1.300955e+00 
 3.230769e-02 -1.331029e+00 
 3.271153e-02 -1.360822e+00 
 3.311538e-02 -1.390353e+00 
 3.351923e-02 -1.419211e+00 
 3.392307e-02 -1.446595e+00 
 3.432692e-02 -1.472251e+00 
 3.473076e-02 -1.495914e+00 
 3.513461e-02 -1.517562e+00 
 3.553846e-02 -1.537457e+00 
 3.594230e-02 -1.555739e+00 
 3.634615e-02 -1.572673e+00 
 3.674999e-02 -1.588127e+00 
 3.715384e-02 -1.602322e+00 
 3.755769e-02 -1.614927e+00 
 3.796153e-02 -1.625773e+00 
 3.836538e-02 -1.634681e+00 
 3.876922e-02 -1.641708e+00 
 3.917307e-02 -1.647423e+00 
 3.957692e-02 -1.652110e+00 
 3.998076e-02 -1.655652e+00 
 4.038461e-02 -1.657663e+00 
 4.078845e-02 -1.657835e+00 
 4.119230e-02 -1.655925e+00 
 4.159615e-02 -1.651833e+00 
 4.199999e-02 -1.645182e+00 
 4.240384e-02 -1.635895e+00 
 4.280769e-02 -1.624316e+00 
 4.321153e-02 -1.610829e+00 
 4.361538e-02 -1.595669e+00 
 4.401922e-02 -1.578986e+00 
 4.442307e-02 -1.560426e+00 
 4.482692e-02 -1.539530e+00 
 4.523076e-02 -1.515916e+00 
 4.563461e-02 -1.489438e+00 
 4.603845e-02 -1.460192e+00 
 4.644230e-02 -1.428425e+00 
 4.684615e-02 -1.394492e+00 
 4.724999e-02 -1.358167e+00 
 4.765384e-02 -1.319436e+00 
 4.805768e-02 -1.278239e+00 
 4.846153e-02 -1.234636e+00 
 4.886538e-02 -1.188669e+00 
 4.926922e-02 -1.140429e+00 
 4.967307e-02 -1.090020e+00 
 5.007691e-02 -1.037674e+00 
 5.048076e-02 -9.835176e-01 
 5.088461e-02 -9.275867e-01 
 5.128845e-02 -8.699508e-01 
 5.169230e-02 -8.106782e-01 
 5.209615e-02 -7.498879e-01 
 5.249999e-02 -6.875857e-01 
 5.290384e-02 -6.240199e-01 
 5.330768e-02 -5.590926e-01 
 5.371153e-02 -4.929925e-01 
 5.411538e-02 -4.257848e-01 
 5.451922e-02 -3.571813e-01 
 5.492307e-02 -2.870285e-01 
 5.532691e-02 -2.150192e-01 
 5.573076e-02 -1.410346e-01 
 5.613461e-02 -6.532468e-02 
 5.653845e-02  1.182429e-02 
 5.694230e-02  9.008393e-02 
 5.734614e-02  1.695423e-01 
 5.774999e-02  2.501229e-01 
 5.815384e-02  3.319844e-01 
 5.855768e-02  4.153298e-01 
 5.896153e-02  5.000079e-01 
 5.936537e-02  5.860994e-01 
 5.976922e-02  6.735778e-01 
 6.017307e-02  7.621018e-01 
 6.057691e-02  8.506059e-01 
 6.098076e-02  9.389103e-01 
 6.138461e-02  1.026763e+00 
 6.178845e-02  1.114441e+00 
 6.219230e-02  1.202569e+00 
 6.259614e-02  1.290601e+00 
 6.299999e-02  1.378475e+00 
 6.340384e-02  1.466548e+00 
 6.380768e-02  1.554491e+00 
 6.421153e-02  1.641939e+00 
 6.461537e-02  1.728394e+00 
 6.501922e-02  1.813482e+00 
 6.542307e-02  1.897039e+00 
 6.582691e-02  1.979096e+00 
 6.623076e-02  2.059975e+00 
 6.663460e-02  2.140048e+00 
 6.703845e-02  2.219606e+00 
 6.744230e-02  2.299037e+00 
 6.784614e-02  2.378541e+00 
 6.824999e-02  2.457953e+00 
 6.865383e-02  2.536901e+00 
 6.905768e-02  2.615182e+00 
 6.946153e-02  2.693232e+00 
 6.986537e-02  2.770873e+00 
 7.026922e-02  2.847994e+00 
 7.067307e-02  2.924178e+00 
 7.107691e-02  2.998712e+00 
 7.148076e-02  3.071350e+00 
 7.188460e-02  3.142123e+00 
 7.228845e-02  3.210601e+00 
 7.269230e-02  3.276926e+00 
 7.309614e-02  3.341431e+00 
 7.349999e-02  3.403764e+00 
 7.390383e-02  3.463929e+00 
 7.430768e-02  3.521882e+00 
 7.471153e-02  3.578138e+00 
 7.511537e-02  3.633034e+00 
 7.551922e-02  3.686519e+00 
 7.592306e-02  3.738750e+00 
 7.632691e-02  3.789770e+00 
 7.673076e-02  3.839844e+00 
 7.713460e-02  3.888548e+00 
 7.753845e-02  3.935848e+00 
 7.794229e-02  3.981769e+00 
