         time total_shea... 
------------- ------------- 
 4.038461e-04 -7.101383e-01 
 8.076922e-04 -3.503757e-01 
 1.211538e-03 -1.301921e-01 
 1.615384e-03  1.064049e-02 
 2.019230e-03  1.170713e-01 
 2.423077e-03  1.782342e-01 
 2.826923e-03  2.263220e-01 
 3.230769e-03  2.872401e-01 
 3.634615e-03  3.615497e-01 
 4.038461e-03  5.143168e-01 
 4.442307e-03  6.859011e-01 
 4.846153e-03  9.215526e-01 
 5.249999e-03  1.170968e+00 
 5.653845e-03  1.430205e+00 
 6.057691e-03  1.718447e+00 
 6.461537e-03  2.020533e+00 
 6.865383e-03  2.325559e+00 
 7.269230e-03  2.620762e+00 
 7.673076e-03  2.914661e+00 
 8.076922e-03  3.189697e+00 
 8.480768e-03  3.460744e+00 
 8.884614e-03  3.745497e+00 
 9.288460e-03  4.042270e+00 
 9.692306e-03  4.353116e+00 
 1.009615e-02  4.618858e+00 
 1.050000e-02  4.705394e+00 
 1.090384e-02  4.808656e+00 
 1.130769e-02  5.172874e+00 
 1.171154e-02  5.500403e+00 
 1.211538e-02  5.523781e+00 
 1.251923e-02  5.516572e+00 
 1.292307e-02  5.495888e+00 
 1.332692e-02  5.465020e+00 
 1.373077e-02  5.468133e+00 
 1.413461e-02  5.424783e+00 
 1.453846e-02  5.391160e+00 
 1.494231e-02  5.306354e+00 
 1.534615e-02  5.173415e+00 
 1.575000e-02  4.983335e+00 
 1.615384e-02  4.802418e+00 
 1.655769e-02  4.584382e+00 
 1.696154e-02  4.417571e+00 
 1.736538e-02  4.294442e+00 
 1.776923e-02  4.180204e+00 
 1.817307e-02  4.101316e+00 
 1.857692e-02  4.035970e+00 
 1.898077e-02  3.968108e+00 
 1.938461e-02  3.890550e+00 
 1.978846e-02  3.826870e+00 
 2.019230e-02  3.761198e+00 
 2.059615e-02  3.650843e+00 
 2.100000e-02  3.503112e+00 
 2.140384e-02  3.272476e+00 
 2.180769e-02  3.082044e+00 
 2.221153e-02  3.161515e+00 
 2.261538e-02  3.248691e+00 
 2.301923e-02  3.128190e+00 
 2.342307e-02  2.968264e+00 
 2.382692e-02  2.878846e+00 
 2.423077e-02  2.795904e+00 
 2.463461e-02  2.797797e+00 
 2.503846e-02  2.768194e+00 
 2.544230e-02  2.605451e+00 
 2.584615e-02  2.501460e+00 
 2.625000e-02  2.318429e+00 
 2.665384e-02  2.157847e+00 
 2.705769e-02  2.065695e+00 
 2.746153e-02  2.032609e+00 
 2.786538e-02  2.097407e+00 
 2.826923e-02  2.258912e+00 
 2.867307e-02  2.388446e+00 
 2.907692e-02  2.426179e+00 
 2.948076e-02  2.389823e+00 
 2.988461e-02  2.232898e+00 
 3.028846e-02  2.032031e+00 
 3.069230e-02  1.851160e+00 
 3.109615e-02  1.753707e+00 
 3.149999e-02  1.716791e+00 
 3.190384e-02  1.773077e+00 
 3.230769e-02  1.839775e+00 
 3.271153e-02  1.966091e+00 
 3.311538e-02  2.256751e+00 
 3.351923e-02  2.515259e+00 
 3.392307e-02  2.507737e+00 
 3.432692e-02  2.403086e+00 
 3.473076e-02  2.331286e+00 
 3.513461e-02  2.210506e+00 
 3.553846e-02  2.104552e+00 
 3.594230e-02  2.080349e+00 
 3.634615e-02  1.989783e+00 
 3.674999e-02  1.991082e+00 
 3.715384e-02  2.082264e+00 
 3.755769e-02  2.149539e+00 
 3.796153e-02  2.258765e+00 
 3.836538e-02  2.307399e+00 
 3.876922e-02  2.371026e+00 
 3.917307e-02  2.425995e+00 
 3.957692e-02  2.371051e+00 
 3.998076e-02  2.194740e+00 
 4.038461e-02  1.993230e+00 
 4.078845e-02  1.794155e+00 
 4.119230e-02  1.573736e+00 
 4.159615e-02  1.411375e+00 
 4.199999e-02  1.294988e+00 
 4.240384e-02  1.139013e+00 
 4.280769e-02  8.675980e-01 
 4.321153e-02  4.720617e-01 
 4.361538e-02  2.830922e-02 
 4.401922e-02 -3.135766e-01 
 4.442307e-02 -6.162406e-01 
 4.482692e-02 -1.061826e+00 
 4.523076e-02 -1.561754e+00 
 4.563461e-02 -1.964201e+00 
 4.603845e-02 -2.297150e+00 
 4.644230e-02 -2.608100e+00 
 4.684615e-02 -2.890219e+00 
 4.724999e-02 -3.281626e+00 
 4.765384e-02 -3.721947e+00 
 4.805768e-02 -4.051779e+00 
 4.846153e-02 -4.380693e+00 
 4.886538e-02 -4.686628e+00 
 4.926922e-02 -4.941548e+00 
 4.967307e-02 -5.168027e+00 
 5.007691e-02 -5.297756e+00 
 5.048076e-02 -5.478574e+00 
 5.088461e-02 -5.656181e+00 
 5.128845e-02 -5.812089e+00 
 5.169230e-02 -5.942252e+00 
 5.209615e-02 -6.038702e+00 
 5.249999e-02 -6.112714e+00 
 5.290384e-02 -6.073447e+00 
 5.330768e-02 -6.034551e+00 
 5.371153e-02 -6.015948e+00 
 5.411538e-02 -6.069472e+00 
 5.451922e-02 -6.099648e+00 
 5.492307e-02 -6.011103e+00 
 5.532691e-02 -5.848716e+00 
 5.573076e-02 -5.736241e+00 
 5.613461e-02 -5.701769e+00 
 5.653845e-02 -5.658727e+00 
 5.694230e-02 -5.612285e+00 
 5.734614e-02 -5.576240e+00 
 5.774999e-02 -5.522167e+00 
 5.815384e-02 -5.469175e+00 
 5.855768e-02 -5.436176e+00 
 5.896153e-02 -5.293960e+00 
 5.936537e-02 -5.124745e+00 
 5.976922e-02 -4.997929e+00 
 6.017307e-02 -4.818146e+00 
 6.057691e-02 -4.432519e+00 
 6.098076e-02 -4.244544e+00 
 6.138461e-02 -4.189635e+00 
 6.178845e-02 -4.271390e+00 
 6.219230e-02 -4.335918e+00 
 6.259614e-02 -4.416414e+00 
 6.299999e-02 -4.566535e+00 
 6.340384e-02 -4.709946e+00 
 6.380768e-02 -4.724267e+00 
 6.421153e-02 -4.630177e+00 
 6.461537e-02 -4.600855e+00 
 6.501922e-02 -4.534225e+00 
 6.542307e-02 -4.401033e+00 
 6.582691e-02 -4.161613e+00 
 6.623076e-02 -3.844814e+00 
 6.663460e-02 -3.610272e+00 
 6.703845e-02 -3.468573e+00 
 6.744230e-02 -3.310262e+00 
 6.784614e-02 -3.137545e+00 
 6.824999e-02 -2.953033e+00 
 6.865383e-02 -2.692277e+00 
 6.905768e-02 -2.428777e+00 
 6.946153e-02 -2.178444e+00 
 6.986537e-02 -1.800786e+00 
 7.026922e-02 -1.449743e+00 
 7.067307e-02 -1.359685e+00 
 7.107691e-02 -1.144984e+00 
 7.148076e-02 -7.263887e-01 
 7.188460e-02 -5.550371e-01 
 7.228845e-02 -5.899241e-01 
 7.269230e-02 -6.536941e-01 
 7.309614e-02 -6.919630e-01 
 7.349999e-02 -6.604045e-01 
 7.390383e-02 -5.955253e-01 
 7.430768e-02 -4.912026e-01 
 7.471153e-02 -2.895654e-01 
 7.511537e-02 -1.058012e-01 
 7.551922e-02 -3.735955e-02 
 7.592306e-02 -1.813669e-01 
 7.632691e-02 -4.043227e-01 
 7.673076e-02 -6.509443e-01 
 7.713460e-02 -8.202434e-01 
 7.753845e-02 -9.718139e-01 
