         time tilt_bot_s... 
------------- ------------- 
 1.590783e-04  1.184522e-02 
 5.567739e-04  1.275770e-02 
 9.544695e-04  1.365209e-02 
 1.352165e-03  1.454005e-02 
 1.749861e-03  1.541198e-02 
 2.147556e-03  1.627175e-02 
 2.545252e-03  1.711069e-02 
 2.942948e-03  1.792759e-02 
 3.340643e-03  1.873482e-02 
 3.738339e-03  1.951692e-02 
 4.136035e-03  2.027920e-02 
 4.533730e-03  2.101582e-02 
 4.931426e-03  2.171167e-02 
 5.329121e-03  2.237821e-02 
 5.726817e-03  2.302105e-02 
 6.124513e-03  2.365076e-02 
 6.522208e-03  2.425755e-02 
 6.919904e-03  2.484736e-02 
 7.317600e-03  2.540448e-02 
 7.715295e-03  2.594179e-02 
 8.112991e-03  2.645348e-02 
 8.510686e-03  2.694177e-02 
 8.908382e-03  2.740299e-02 
 9.306078e-03  2.783242e-02 
 9.703773e-03  2.823611e-02 
 1.010147e-02  2.860534e-02 
 1.049916e-02  2.896584e-02 
 1.089686e-02  2.930625e-02 
 1.129456e-02  2.963258e-02 
 1.169225e-02  2.993588e-02 
 1.208995e-02  3.020927e-02 
 1.248764e-02  3.046262e-02 
 1.288534e-02  3.069632e-02 
 1.328303e-02  3.090105e-02 
 1.368073e-02  3.109096e-02 
 1.407843e-02  3.124431e-02 
 1.447612e-02  3.137424e-02 
 1.487382e-02  3.148893e-02 
 1.527151e-02  3.157420e-02 
 1.566921e-02  3.165851e-02 
 1.606690e-02  3.172980e-02 
 1.646460e-02  3.177869e-02 
 1.686229e-02  3.180936e-02 
 1.725999e-02  3.182232e-02 
 1.765769e-02  3.180808e-02 
 1.805538e-02  3.177933e-02 
 1.845308e-02  3.173476e-02 
 1.885077e-02  3.167021e-02 
 1.924847e-02  3.157941e-02 
 1.964616e-02  3.148201e-02 
 2.004386e-02  3.137305e-02 
 2.044156e-02  3.125627e-02 
 2.083925e-02  3.112844e-02 
 2.123695e-02  3.097702e-02 
 2.163464e-02  3.081524e-02 
 2.203234e-02  3.063431e-02 
 2.243003e-02  3.044253e-02 
 2.282773e-02  3.024249e-02 
 2.322542e-02  3.002555e-02 
 2.362312e-02  2.979900e-02 
 2.402082e-02  2.955433e-02 
 2.441851e-02  2.929836e-02 
 2.481621e-02  2.903193e-02 
 2.521390e-02  2.877527e-02 
 2.561160e-02  2.850109e-02 
 2.600929e-02  2.822586e-02 
 2.640699e-02  2.792933e-02 
 2.680469e-02  2.762412e-02 
 2.720238e-02  2.733001e-02 
 2.760008e-02  2.701785e-02 
 2.799777e-02  2.670731e-02 
 2.839547e-02  2.639614e-02 
 2.879316e-02  2.607235e-02 
 2.919086e-02  2.574234e-02 
 2.958855e-02  2.541175e-02 
 2.998625e-02  2.508498e-02 
 3.038395e-02  2.474924e-02 
 3.078164e-02  2.440175e-02 
 3.117934e-02  2.405621e-02 
 3.157703e-02  2.368836e-02 
 3.197473e-02  2.332489e-02 
 3.237242e-02  2.295973e-02 
 3.277012e-02  2.257824e-02 
 3.316782e-02  2.218897e-02 
 3.356551e-02  2.178480e-02 
 3.396321e-02  2.137914e-02 
 3.436090e-02  2.095743e-02 
 3.475860e-02  2.053800e-02 
 3.515629e-02  2.011406e-02 
