         time tilt_beam_... 
------------- ------------- 
 3.976956e-05 -1.793535e-02 
 4.374652e-04 -1.922582e-02 
 8.351608e-04 -2.052667e-02 
 1.232856e-03 -2.183964e-02 
 1.630552e-03 -2.316146e-02 
 2.028248e-03 -2.449148e-02 
 2.425943e-03 -2.582755e-02 
 2.823639e-03 -2.716555e-02 
 3.221335e-03 -2.850157e-02 
 3.619030e-03 -2.983258e-02 
 4.016726e-03 -3.115706e-02 
 4.414421e-03 -3.247379e-02 
 4.812117e-03 -3.378571e-02 
 5.209813e-03 -3.509491e-02 
 5.607508e-03 -3.640579e-02 
 6.005204e-03 -3.772021e-02 
 6.402900e-03 -3.903716e-02 
 6.800595e-03 -4.035390e-02 
 7.198291e-03 -4.166700e-02 
 7.595986e-03 -4.297041e-02 
 7.993682e-03 -4.426142e-02 
 8.391378e-03 -4.553555e-02 
 8.789073e-03 -4.679277e-02 
 9.186769e-03 -4.803677e-02 
 9.584465e-03 -4.927192e-02 
 9.982160e-03 -5.050007e-02 
 1.037986e-02 -5.172085e-02 
 1.077755e-02 -5.293541e-02 
 1.117525e-02 -5.414031e-02 
 1.157294e-02 -5.533193e-02 
 1.197064e-02 -5.651024e-02 
 1.236833e-02 -5.767134e-02 
 1.276603e-02 -5.881507e-02 
 1.316373e-02 -5.993999e-02 
 1.356142e-02 -6.104282e-02 
 1.395912e-02 -6.212379e-02 
 1.435681e-02 -6.318585e-02 
 1.475451e-02 -6.423343e-02 
 1.515220e-02 -6.526743e-02 
 1.554990e-02 -6.628938e-02 
 1.594759e-02 -6.729433e-02 
 1.634529e-02 -6.827673e-02 
 1.674299e-02 -6.923362e-02 
 1.714068e-02 -7.016276e-02 
 1.753838e-02 -7.106422e-02 
 1.793607e-02 -7.193725e-02 
 1.833377e-02 -7.278014e-02 
 1.873146e-02 -7.359191e-02 
 1.912916e-02 -7.437308e-02 
 1.952686e-02 -7.512720e-02 
 1.992455e-02 -7.585691e-02 
 2.032225e-02 -7.655804e-02 
 2.071994e-02 -7.722744e-02 
 2.111764e-02 -7.786173e-02 
 2.151533e-02 -7.846063e-02 
 2.191303e-02 -7.902281e-02 
 2.231072e-02 -7.954436e-02 
 2.270842e-02 -8.002390e-02 
 2.310612e-02 -8.045926e-02 
 2.350381e-02 -8.085359e-02 
 2.390151e-02 -8.120904e-02 
 2.429920e-02 -8.152837e-02 
 2.469690e-02 -8.181708e-02 
 2.509459e-02 -8.207367e-02 
 2.549229e-02 -8.229575e-02 
 2.588999e-02 -8.247827e-02 
 2.628768e-02 -8.261467e-02 
 2.668538e-02 -8.270259e-02 
 2.708307e-02 -8.274283e-02 
 2.748077e-02 -8.273864e-02 
 2.787846e-02 -8.269171e-02 
 2.827616e-02 -8.260412e-02 
 2.867385e-02 -8.247758e-02 
 2.907155e-02 -8.231570e-02 
 2.946925e-02 -8.212065e-02 
 2.986694e-02 -8.189072e-02 
 3.026464e-02 -8.162374e-02 
 3.066233e-02 -8.131713e-02 
 3.106003e-02 -8.096536e-02 
 3.145772e-02 -8.056881e-02 
 3.185542e-02 -8.013113e-02 
 3.225312e-02 -7.965274e-02 
 3.265081e-02 -7.913569e-02 
 3.304851e-02 -7.858246e-02 
 3.344620e-02 -7.799623e-02 
 3.384390e-02 -7.738116e-02 
 3.424159e-02 -7.674027e-02 
 3.463929e-02 -7.606725e-02 
 3.503698e-02 -7.535706e-02 
 3.543468e-02 -7.461161e-02 
 3.583238e-02 -7.382852e-02 
 3.623007e-02 -7.300635e-02 
 3.662777e-02 -7.214939e-02 
 3.702546e-02 -7.125841e-02 
 3.742316e-02 -7.033735e-02 
 3.782085e-02 -6.939067e-02 
 3.821855e-02 -6.842158e-02 
 3.861625e-02 -6.743065e-02 
 3.901394e-02 -6.641884e-02 
 3.941164e-02 -6.538639e-02 
 3.980933e-02 -6.433033e-02 
 4.020703e-02 -6.325105e-02 
 4.060472e-02 -6.214901e-02 
 4.100242e-02 -6.102688e-02 
 4.140011e-02 -5.988772e-02 
 4.179781e-02 -5.873437e-02 
 4.219551e-02 -5.757125e-02 
 4.259320e-02 -5.640062e-02 
 4.299090e-02 -5.522465e-02 
 4.338859e-02 -5.404590e-02 
 4.378629e-02 -5.286422e-02 
 4.418398e-02 -5.167815e-02 
 4.458168e-02 -5.048707e-02 
 4.497938e-02 -4.928801e-02 
 4.537707e-02 -4.807974e-02 
 4.577477e-02 -4.686688e-02 
 4.617246e-02 -4.565398e-02 
 4.657016e-02 -4.444143e-02 
 4.696785e-02 -4.323225e-02 
 4.736555e-02 -4.202804e-02 
 4.776324e-02 -4.083099e-02 
 4.816094e-02 -3.964517e-02 
 4.855864e-02 -3.847222e-02 
 4.895633e-02 -3.730891e-02 
 4.935403e-02 -3.615132e-02 
 4.975172e-02 -3.499539e-02 
 5.014942e-02 -3.384236e-02 
 5.054711e-02 -3.269443e-02 
 5.094481e-02 -3.155588e-02 
 5.134251e-02 -3.043116e-02 
 5.174020e-02 -2.932275e-02 
 5.213790e-02 -2.822964e-02 
 5.253559e-02 -2.715226e-02 
 5.293329e-02 -2.609398e-02 
 5.333098e-02 -2.505361e-02 
 5.372868e-02 -2.403032e-02 
 5.412637e-02 -2.302135e-02 
 5.452407e-02 -2.202177e-02 
 5.492177e-02 -2.103081e-02 
 5.531946e-02 -2.005150e-02 
 5.571716e-02 -1.908422e-02 
 5.611485e-02 -1.813262e-02 
 5.651255e-02 -1.720382e-02 
 5.691024e-02 -1.629901e-02 
 5.730794e-02 -1.542090e-02 
 5.770564e-02 -1.457215e-02 
 5.810333e-02 -1.375014e-02 
 5.850103e-02 -1.295200e-02 
 5.889872e-02 -1.217599e-02 
 5.929642e-02 -1.141540e-02 
 5.969411e-02 -1.066879e-02 
 6.009181e-02 -9.940975e-03 
 6.048951e-02 -9.237061e-03 
 6.088720e-02 -8.560929e-03 
 6.128490e-02 -7.914770e-03 
 6.168259e-02 -7.296093e-03 
 6.208029e-02 -6.701751e-03 
 6.247798e-02 -6.130068e-03 
 6.287568e-02 -5.579537e-03 
 6.327337e-02 -5.050011e-03 
 6.367107e-02 -4.540495e-03 
 6.406877e-02 -4.047452e-03 
 6.446646e-02 -3.570792e-03 
 6.486416e-02 -3.112787e-03 
 6.526185e-02 -2.673860e-03 
 6.565955e-02 -2.257312e-03 
 6.605724e-02 -1.863995e-03 
 6.645494e-02 -1.492529e-03 
 6.685264e-02 -1.144960e-03 
 6.725033e-02 -8.217262e-04 
 6.764803e-02 -5.182891e-04 
 6.804572e-02 -2.315811e-04 
 6.844342e-02  4.205042e-05 
 6.884111e-02  3.031097e-04 
 6.923881e-02  5.478900e-04 
 6.963650e-02  7.704592e-04 
 7.003420e-02  9.705458e-04 
 7.043190e-02  1.149194e-03 
 7.082959e-02  1.306836e-03 
 7.122729e-02  1.445758e-03 
 7.162498e-02  1.569545e-03 
 7.202268e-02  1.682008e-03 
 7.242037e-02  1.780749e-03 
 7.281807e-02  1.864337e-03 
 7.321577e-02  1.934662e-03 
 7.361346e-02  1.991315e-03 
 7.401116e-02  2.034173e-03 
 7.440885e-02  2.065525e-03 
 7.480655e-02  2.082451e-03 
 7.520424e-02  2.081758e-03 
 7.560194e-02  2.065407e-03 
 7.599963e-02  2.033014e-03 
 7.639733e-02  1.981911e-03 
 7.679503e-02  1.917601e-03 
 7.719272e-02  1.844360e-03 
 7.759042e-02  1.762164e-03 
 7.798811e-02  1.678698e-03 
 7.838581e-02  1.594604e-03 
 7.878350e-02  1.504249e-03 
 7.918120e-02  1.403626e-03 
 7.957890e-02  1.287958e-03 
 7.997659e-02  1.152710e-03 
 8.037429e-02  1.001871e-03 
 8.077198e-02  8.431602e-04 
 8.116968e-02  6.783979e-04 
 8.156737e-02  5.089788e-04 
 8.196507e-02  3.364055e-04 
 8.236276e-02  1.604847e-04 
 8.276046e-02 -1.702796e-05 
 8.315816e-02 -1.980515e-04 
 8.355585e-02 -3.848534e-04 
 8.395355e-02 -5.792660e-04 
 8.435124e-02 -7.861712e-04 
 8.474894e-02 -1.008358e-03 
 8.514663e-02 -1.248419e-03 
 8.554433e-02 -1.505655e-03 
 8.594203e-02 -1.776239e-03 
 8.633972e-02 -2.056331e-03 
 8.673742e-02 -2.343450e-03 
 8.713511e-02 -2.637237e-03 
 8.753281e-02 -2.934190e-03 
 8.793050e-02 -3.238146e-03 
 8.832820e-02 -3.555773e-03 
 8.872589e-02 -3.888022e-03 
 8.912359e-02 -4.241029e-03 
 8.952129e-02 -4.615097e-03 
 8.991898e-02 -5.006112e-03 
 9.031668e-02 -5.410886e-03 
 9.071437e-02 -5.824389e-03 
 9.111207e-02 -6.244349e-03 
 9.150976e-02 -6.670598e-03 
 9.190746e-02 -7.106327e-03 
 9.230516e-02 -7.553641e-03 
 9.270285e-02 -8.012828e-03 
 9.310055e-02 -8.484032e-03 
 9.349824e-02 -8.968968e-03 
 9.389594e-02 -9.472104e-03 
 9.429363e-02 -9.994133e-03 
 9.469133e-02 -1.053336e-02 
 9.508902e-02 -1.108758e-02 
 9.548672e-02 -1.165209e-02 
 9.588442e-02 -1.222479e-02 
