         time Bot_Quarte... 
------------- ------------- 
 2.386174e-04  3.228478e-04 
 6.363130e-04  3.156879e-04 
 1.034009e-03  3.096485e-04 
 1.431704e-03  3.055694e-04 
 1.829400e-03  3.008032e-04 
 2.227096e-03  2.952055e-04 
 2.624791e-03  2.900498e-04 
 3.022487e-03  2.840409e-04 
 3.420182e-03  2.771134e-04 
 3.817878e-03  2.691056e-04 
 4.215574e-03  2.596151e-04 
 4.613269e-03  2.502716e-04 
 5.010965e-03  2.410708e-04 
 5.408661e-03  2.330223e-04 
 5.806356e-03  2.260863e-04 
 6.204052e-03  2.206147e-04 
 6.601747e-03  2.169193e-04 
 6.999443e-03  2.144765e-04 
 7.397139e-03  2.124588e-04 
 7.794834e-03  2.097742e-04 
 8.192530e-03  2.064446e-04 
 8.590226e-03  2.034522e-04 
 8.987921e-03  2.016798e-04 
 9.385617e-03  2.022865e-04 
 9.783312e-03  2.055304e-04 
 1.018101e-02  2.100755e-04 
 1.057870e-02  2.171329e-04 
 1.097640e-02  2.249753e-04 
 1.137409e-02  2.325732e-04 
 1.177179e-02  2.389329e-04 
 1.216949e-02  2.440972e-04 
 1.256718e-02  2.471781e-04 
 1.296488e-02  2.480986e-04 
 1.336257e-02  2.475274e-04 
 1.376027e-02  2.448134e-04 
 1.415796e-02  2.386718e-04 
 1.455566e-02  2.290614e-04 
 1.495336e-02  2.164823e-04 
 1.535105e-02  2.030199e-04 
 1.574875e-02  1.916789e-04 
 1.614644e-02  1.832461e-04 
 1.654414e-02  1.768790e-04 
 1.694183e-02  1.716513e-04 
 1.733953e-02  1.651105e-04 
 1.773723e-02  1.578354e-04 
 1.813492e-02  1.501726e-04 
 1.853262e-02  1.406965e-04 
 1.893031e-02  1.307181e-04 
 1.932801e-02  1.203489e-04 
 1.972570e-02  1.087067e-04 
 2.012340e-02  9.809114e-05 
 2.052109e-02  8.768390e-05 
 2.091879e-02  7.666431e-05 
 2.131649e-02  6.403859e-05 
 2.171418e-02  4.995168e-05 
 2.211188e-02  3.419146e-05 
 2.250957e-02  1.700484e-05 
 2.290727e-02 -4.792024e-07 
 2.330496e-02 -1.867485e-05 
 2.370266e-02 -3.835800e-05 
 2.410036e-02 -5.716386e-05 
 2.449805e-02 -7.541350e-05 
 2.489575e-02 -9.197506e-05 
 2.529344e-02 -1.066985e-04 
 2.569114e-02 -1.207698e-04 
 2.608883e-02 -1.347401e-04 
 2.648653e-02 -1.484737e-04 
 2.688422e-02 -1.621004e-04 
 2.728192e-02 -1.754140e-04 
 2.767962e-02 -1.871096e-04 
 2.807731e-02 -1.952862e-04 
 2.847501e-02 -2.014960e-04 
 2.887270e-02 -2.068467e-04 
 2.927040e-02 -2.117451e-04 
 2.966809e-02 -2.175259e-04 
 3.006579e-02 -2.239351e-04 
 3.046349e-02 -2.312204e-04 
 3.086118e-02 -2.369206e-04 
 3.125888e-02 -2.420010e-04 
 3.165657e-02 -2.454198e-04 
 3.205427e-02 -2.469570e-04 
 3.245196e-02 -2.471279e-04 
 3.284966e-02 -2.469904e-04 
 3.324735e-02 -2.464188e-04 
 3.364505e-02 -2.463268e-04 
 3.404275e-02 -2.458527e-04 
 3.444044e-02 -2.440419e-04 
 3.483814e-02 -2.410016e-04 
 3.523583e-02 -2.356906e-04 
 3.563353e-02 -2.292022e-04 
 3.603122e-02 -2.214012e-04 
 3.642892e-02 -2.126543e-04 
 3.682662e-02 -2.038046e-04 
 3.722431e-02 -1.933024e-04 
 3.762201e-02 -1.826217e-04 
 3.801970e-02 -1.726884e-04 
 3.841740e-02 -1.643642e-04 
 3.881509e-02 -1.570175e-04 
 3.921279e-02 -1.516959e-04 
 3.961048e-02 -1.475443e-04 
 4.000818e-02 -1.435657e-04 
 4.040588e-02 -1.377345e-04 
 4.080357e-02 -1.310967e-04 
 4.120127e-02 -1.223883e-04 
 4.159896e-02 -1.136429e-04 
 4.199666e-02 -1.047376e-04 
 4.239435e-02 -9.666103e-05 
 4.279205e-02 -8.996914e-05 
 4.318975e-02 -8.431805e-05 
 4.358744e-02 -7.988727e-05 
 4.398514e-02 -7.538129e-05 
 4.438283e-02 -6.929595e-05 
 4.478053e-02 -6.096045e-05 
 4.517822e-02 -5.109922e-05 
 4.557592e-02 -3.992831e-05 
 4.597361e-02 -2.842455e-05 
 4.637131e-02 -1.782748e-05 
 4.676901e-02 -7.992064e-06 
 4.716670e-02  7.106296e-07 
 4.756440e-02  7.639514e-06 
 4.796209e-02  1.306996e-05 
 4.835979e-02  1.713034e-05 
 4.875748e-02  2.156272e-05 
 4.915518e-02  2.692652e-05 
 4.955288e-02  3.416376e-05 
 4.995057e-02  4.347938e-05 
 5.034827e-02  5.356235e-05 
 5.074596e-02  6.413275e-05 
 5.114366e-02  7.504302e-05 
 5.154135e-02  8.635137e-05 
 5.193905e-02  9.863900e-05 
 5.233674e-02  1.122228e-04 
 5.273444e-02  1.289089e-04 
 5.313214e-02  1.475110e-04 
 5.352983e-02  1.686371e-04 
 5.392753e-02  1.924884e-04 
 5.432522e-02  2.167616e-04 
 5.472292e-02  2.404615e-04 
 5.512061e-02  2.622790e-04 
 5.551831e-02  2.827383e-04 
 5.591601e-02  3.027078e-04 
 5.631370e-02  3.240944e-04 
 5.671140e-02  3.456124e-04 
 5.710909e-02  3.678754e-04 
 5.750679e-02  3.893180e-04 
 5.790448e-02  4.102760e-04 
 5.830218e-02  4.297005e-04 
 5.869987e-02  4.474736e-04 
 5.909757e-02  4.649591e-04 
 5.949527e-02  4.831787e-04 
 5.989296e-02  5.034588e-04 
 6.029066e-02  5.262143e-04 
 6.068835e-02  5.516523e-04 
 6.108605e-02  5.790261e-04 
 6.148374e-02  6.079452e-04 
 6.188144e-02  6.370210e-04 
 6.227914e-02  6.647452e-04 
 6.267683e-02  6.899808e-04 
 6.307453e-02  7.127175e-04 
 6.347222e-02  7.341734e-04 
 6.386992e-02  7.547980e-04 
 6.426761e-02  7.743369e-04 
 6.466531e-02  7.931313e-04 
