         time tilt_up_se... 
------------- ------------- 
 3.181565e-04  1.050112e-02 
 7.158521e-04  8.051977e-03 
 1.113548e-03  6.031818e-03 
 1.511243e-03  4.486545e-03 
 1.908939e-03  3.660087e-03 
 2.306635e-03  3.552462e-03 
 2.704330e-03  3.932321e-03 
 3.102026e-03  4.459277e-03 
 3.499722e-03  5.086963e-03 
 3.897417e-03  5.718853e-03 
 4.295113e-03  6.098519e-03 
 4.692808e-03  6.243856e-03 
 5.090504e-03  6.132034e-03 
 5.488200e-03  5.623943e-03 
 5.885895e-03  4.644602e-03 
 6.283591e-03  3.395277e-03 
 6.681287e-03  1.825383e-03 
 7.078982e-03 -8.780852e-05 
 7.476678e-03 -2.103055e-03 
 7.874373e-03 -4.320854e-03 
 8.272069e-03 -6.530064e-03 
 8.669765e-03 -8.317003e-03 
 9.067460e-03 -9.547430e-03 
 9.465156e-03 -1.015679e-02 
 9.862852e-03 -1.017832e-02 
 1.026055e-02 -9.644677e-03 
 1.065824e-02 -8.754377e-03 
 1.105594e-02 -7.684224e-03 
 1.145363e-02 -6.183931e-03 
 1.185133e-02 -4.539080e-03 
 1.224903e-02 -2.694926e-03 
 1.264672e-02 -1.141411e-03 
 1.304442e-02  1.489683e-04 
 1.344211e-02  1.226096e-03 
 1.383981e-02  2.077367e-03 
 1.423750e-02  2.883861e-03 
 1.463520e-02  3.460794e-03 
 1.503289e-02  3.975441e-03 
 1.543059e-02  4.259010e-03 
 1.582829e-02  4.291132e-03 
 1.622598e-02  4.093393e-03 
 1.662368e-02  3.960322e-03 
 1.702137e-02  3.913342e-03 
 1.741907e-02  4.088503e-03 
 1.781676e-02  4.501906e-03 
 1.821446e-02  5.241310e-03 
 1.861216e-02  6.121755e-03 
 1.900985e-02  6.964105e-03 
 1.940755e-02  7.875859e-03 
 1.980524e-02  8.654050e-03 
 2.020294e-02  9.276490e-03 
 2.060063e-02  9.835779e-03 
 2.099833e-02  1.039427e-02 
 2.139602e-02  1.079427e-02 
 2.179372e-02  1.093085e-02 
 2.219142e-02  1.115796e-02 
 2.258911e-02  1.118766e-02 
 2.298681e-02  1.109105e-02 
 2.338450e-02  1.091094e-02 
