         time tilt_full_... 
------------- ------------- 
 3.181565e-04 -2.947189e-03 
 7.158521e-04 -3.118446e-03 
 1.113548e-03 -3.304378e-03 
 1.511243e-03 -3.490910e-03 
 1.908939e-03 -3.690721e-03 
 2.306635e-03 -3.930184e-03 
 2.704330e-03 -4.169850e-03 
 3.102026e-03 -4.441924e-03 
 3.499722e-03 -4.729366e-03 
 3.897417e-03 -5.005475e-03 
 4.295113e-03 -5.326157e-03 
 4.692808e-03 -5.650646e-03 
 5.090504e-03 -6.018566e-03 
 5.488200e-03 -6.317040e-03 
 5.885895e-03 -6.635444e-03 
 6.283591e-03 -6.888292e-03 
 6.681287e-03 -7.195346e-03 
 7.078982e-03 -7.494560e-03 
 7.476678e-03 -7.829161e-03 
 7.874373e-03 -8.174242e-03 
 8.272069e-03 -8.520965e-03 
 8.669765e-03 -8.877370e-03 
 9.067460e-03 -9.201835e-03 
 9.465156e-03 -9.550025e-03 
 9.862852e-03 -9.873982e-03 
 1.026055e-02 -1.025363e-02 
 1.065824e-02 -1.065481e-02 
 1.105594e-02 -1.107686e-02 
 1.145363e-02 -1.156958e-02 
 1.185133e-02 -1.208675e-02 
 1.224903e-02 -1.254722e-02 
 1.264672e-02 -1.299576e-02 
 1.304442e-02 -1.349560e-02 
 1.344211e-02 -1.390998e-02 
 1.383981e-02 -1.430906e-02 
 1.423750e-02 -1.470256e-02 
 1.463520e-02 -1.509747e-02 
 1.503289e-02 -1.543434e-02 
 1.543059e-02 -1.578724e-02 
 1.582829e-02 -1.615879e-02 
 1.622598e-02 -1.648650e-02 
 1.662368e-02 -1.682733e-02 
 1.702137e-02 -1.724576e-02 
 1.741907e-02 -1.767101e-02 
 1.781676e-02 -1.804620e-02 
 1.821446e-02 -1.838870e-02 
 1.861216e-02 -1.871801e-02 
 1.900985e-02 -1.896209e-02 
 1.940755e-02 -1.925516e-02 
 1.980524e-02 -1.952399e-02 
 2.020294e-02 -1.980451e-02 
 2.060063e-02 -2.008663e-02 
 2.099833e-02 -2.038277e-02 
 2.139602e-02 -2.069540e-02 
 2.179372e-02 -2.096132e-02 
 2.219142e-02 -2.119177e-02 
 2.258911e-02 -2.140742e-02 
 2.298681e-02 -2.160348e-02 
 2.338450e-02 -2.182328e-02 
 2.378220e-02 -2.207047e-02 
 2.417989e-02 -2.232181e-02 
 2.457759e-02 -2.255470e-02 
 2.497529e-02 -2.279365e-02 
 2.537298e-02 -2.302775e-02 
 2.577068e-02 -2.323985e-02 
 2.616837e-02 -2.334538e-02 
 2.656607e-02 -2.344434e-02 
 2.696376e-02 -2.351099e-02 
 2.736146e-02 -2.355017e-02 
 2.775915e-02 -2.354196e-02 
 2.815685e-02 -2.348738e-02 
 2.855455e-02 -2.347497e-02 
 2.895224e-02 -2.345125e-02 
 2.934994e-02 -2.345153e-02 
 2.974763e-02 -2.354526e-02 
 3.014533e-02 -2.359885e-02 
 3.054302e-02 -2.369810e-02 
 3.094072e-02 -2.376977e-02 
 3.133842e-02 -2.382951e-02 
 3.173611e-02 -2.380349e-02 
 3.213381e-02 -2.377357e-02 
 3.253150e-02 -2.367064e-02 
 3.292920e-02 -2.356794e-02 
 3.332689e-02 -2.340418e-02 
 3.372459e-02 -2.321768e-02 
 3.412228e-02 -2.307050e-02 
 3.451998e-02 -2.283416e-02 
 3.491768e-02 -2.261086e-02 
 3.531537e-02 -2.232076e-02 
 3.571307e-02 -2.203765e-02 
 3.611076e-02 -2.166748e-02 
 3.650846e-02 -2.134634e-02 
 3.690615e-02 -2.100275e-02 
 3.730385e-02 -2.069992e-02 
 3.770155e-02 -2.036811e-02 
 3.809924e-02 -2.002363e-02 
 3.849694e-02 -1.969699e-02 
 3.889463e-02 -1.938925e-02 
 3.929233e-02 -1.908810e-02 
 3.969002e-02 -1.879416e-02 
 4.008772e-02 -1.844343e-02 
 4.048541e-02 -1.808520e-02 
 4.088311e-02 -1.768228e-02 
 4.128081e-02 -1.723101e-02 
 4.167850e-02 -1.669264e-02 
 4.207620e-02 -1.611067e-02 
 4.247389e-02 -1.549615e-02 
 4.287159e-02 -1.484700e-02 
 4.326928e-02 -1.422125e-02 
 4.366698e-02 -1.357865e-02 
 4.406468e-02 -1.289049e-02 
 4.446237e-02 -1.225746e-02 
 4.486007e-02 -1.155101e-02 
 4.525776e-02 -1.082061e-02 
 4.565546e-02 -1.006979e-02 
 4.605315e-02 -9.286321e-03 
 4.645085e-02 -8.472677e-03 
 4.684854e-02 -7.675326e-03 
 4.724624e-02 -6.844998e-03 
 4.764394e-02 -6.048595e-03 
 4.804163e-02 -5.221742e-03 
 4.843933e-02 -4.370593e-03 
 4.883702e-02 -3.550627e-03 
 4.923472e-02 -2.696180e-03 
 4.963241e-02 -1.841515e-03 
 5.003011e-02 -9.112650e-04 
 5.042781e-02  4.022893e-05 
 5.082550e-02  1.078058e-03 
 5.122320e-02  2.170185e-03 
 5.162089e-02  3.335964e-03 
 5.201859e-02  4.533759e-03 
 5.241628e-02  5.697864e-03 
 5.281398e-02  6.914222e-03 
 5.321168e-02  8.083052e-03 
 5.360937e-02  9.268492e-03 
 5.400707e-02  1.048381e-02 
 5.440476e-02  1.172184e-02 
 5.480246e-02  1.296065e-02 
 5.520015e-02  1.421950e-02 
 5.559785e-02  1.541644e-02 
 5.599554e-02  1.660618e-02 
 5.639324e-02  1.781689e-02 
 5.679094e-02  1.897776e-02 
 5.718863e-02  2.024650e-02 
 5.758633e-02  2.150029e-02 
 5.798402e-02  2.278933e-02 
 5.838172e-02  2.406694e-02 
 5.877941e-02  2.531628e-02 
 5.917711e-02  2.658623e-02 
 5.957481e-02  2.784910e-02 
 5.997250e-02  2.915777e-02 
 6.037020e-02  3.054274e-02 
 6.076789e-02  3.194405e-02 
 6.116559e-02  3.335645e-02 
 6.156328e-02  3.475162e-02 
 6.196098e-02  3.617684e-02 
 6.235867e-02  3.757688e-02 
 6.275637e-02  3.894212e-02 
 6.315407e-02  4.026380e-02 
 6.355176e-02  4.156319e-02 
 6.394946e-02  4.285575e-02 
 6.434715e-02  4.415200e-02 
 6.474485e-02  4.545305e-02 
 6.514254e-02  4.672460e-02 
 6.554024e-02  4.797551e-02 
 6.593794e-02  4.918556e-02 
 6.633563e-02  5.043113e-02 
 6.673333e-02  5.161381e-02 
 6.713102e-02  5.281843e-02 
 6.752872e-02  5.402590e-02 
 6.792641e-02  5.519743e-02 
 6.832411e-02  5.633980e-02 
 6.872180e-02  5.743217e-02 
 6.911950e-02  5.850035e-02 
 6.951720e-02  5.955096e-02 
 6.991489e-02  6.064694e-02 
 7.031259e-02  6.177329e-02 
 7.071028e-02  6.292484e-02 
 7.110798e-02  6.403276e-02 
 7.150567e-02  6.513972e-02 
 7.190337e-02  6.623652e-02 
 7.230107e-02  6.725205e-02 
 7.269876e-02  6.819027e-02 
 7.309646e-02  6.906629e-02 
 7.349415e-02  6.988759e-02 
 7.389185e-02  7.067366e-02 
 7.428954e-02  7.146933e-02 
 7.468724e-02  7.224970e-02 
 7.508493e-02  7.301627e-02 
 7.548263e-02  7.379625e-02 
 7.588033e-02  7.457714e-02 
 7.627802e-02  7.536677e-02 
 7.667572e-02  7.610302e-02 
 7.707341e-02  7.680808e-02 
 7.747111e-02  7.742997e-02 
 7.786880e-02  7.801856e-02 
 7.826650e-02  7.855836e-02 
 7.866420e-02  7.907616e-02 
 7.906189e-02  7.960137e-02 
 7.945959e-02  8.014830e-02 
 7.985728e-02  8.072825e-02 
 8.025498e-02  8.129338e-02 
 8.065267e-02  8.177130e-02 
 8.105037e-02  8.229508e-02 
 8.144806e-02  8.270181e-02 
 8.184576e-02  8.299972e-02 
 8.224346e-02  8.331843e-02 
 8.264115e-02  8.356909e-02 
 8.303885e-02  8.386356e-02 
 8.343654e-02  8.412382e-02 
 8.383424e-02  8.438256e-02 
 8.423193e-02  8.469431e-02 
 8.462963e-02  8.493095e-02 
 8.502733e-02  8.504231e-02 
 8.542502e-02  8.516731e-02 
 8.582272e-02  8.514506e-02 
 8.622041e-02  8.510788e-02 
 8.661811e-02  8.505478e-02 
 8.701580e-02  8.495942e-02 
 8.741350e-02  8.486448e-02 
 8.781119e-02  8.469643e-02 
 8.820889e-02  8.454168e-02 
 8.860659e-02  8.435977e-02 
 8.900428e-02  8.420823e-02 
 8.940198e-02  8.404948e-02 
 8.979967e-02  8.385870e-02 
 9.019737e-02  8.356301e-02 
 9.059506e-02  8.318434e-02 
 9.099276e-02  8.275730e-02 
 9.139046e-02  8.226973e-02 
 9.178815e-02  8.173373e-02 
 9.218585e-02  8.119402e-02 
 9.258354e-02  8.064968e-02 
 9.298124e-02  8.004095e-02 
 9.337893e-02  7.941101e-02 
 9.377663e-02  7.864423e-02 
 9.417432e-02  7.786186e-02 
 9.457202e-02  7.704066e-02 
 9.496972e-02  7.617442e-02 
 9.536741e-02  7.541429e-02 
 9.576511e-02  7.460381e-02 
 9.616280e-02  7.382207e-02 
 9.656050e-02  7.301854e-02 
 9.695819e-02  7.216555e-02 
 9.735589e-02  7.124724e-02 
 9.775359e-02  7.023738e-02 
 9.815128e-02  6.914390e-02 
 9.854898e-02  6.798468e-02 
 9.894667e-02  6.681100e-02 
 9.934437e-02  6.559096e-02 
 9.974206e-02  6.434110e-02 
 1.001398e-01  6.309866e-02 
 1.005375e-01  6.178074e-02 
 1.009352e-01  6.044516e-02 
 1.013328e-01  5.910524e-02 
 1.017305e-01  5.770927e-02 
 1.021282e-01  5.637138e-02 
 1.025259e-01  5.502997e-02 
 1.029236e-01  5.370187e-02 
 1.033213e-01  5.240250e-02 
 1.037190e-01  5.105762e-02 
 1.041167e-01  4.967334e-02 
 1.045144e-01  4.828321e-02 
 1.049121e-01  4.675794e-02 
 1.053098e-01  4.519780e-02 
 1.057075e-01  4.360722e-02 
 1.061052e-01  4.203952e-02 
 1.065029e-01  4.047059e-02 
