         time joist_s2_s... 
------------- ------------- 
 3.579261e-04 -5.001596e-07 
 7.556217e-04 -5.003721e-07 
 1.153317e-03 -5.005898e-07 
 1.551013e-03 -5.008125e-07 
 1.948709e-03 -5.010399e-07 
 2.346404e-03 -5.012716e-07 
 2.744100e-03 -5.015070e-07 
 3.141795e-03 -5.017459e-07 
 3.539491e-03 -5.019883e-07 
 3.937187e-03 -5.022341e-07 
 4.334882e-03 -5.024830e-07 
 4.732578e-03 -5.027352e-07 
 5.130274e-03 -5.029904e-07 
 5.527969e-03 -5.032488e-07 
 5.925665e-03 -5.035104e-07 
 6.323360e-03 -5.037751e-07 
 6.721056e-03 -5.040489e-07 
 7.118752e-03 -5.043267e-07 
 7.516447e-03 -5.046069e-07 
 7.914143e-03 -5.048893e-07 
 8.311839e-03 -5.051733e-07 
 8.709534e-03 -5.054585e-07 
 9.107230e-03 -5.057438e-07 
 9.504926e-03 -5.060284e-07 
 9.902621e-03 -5.063115e-07 
 1.030032e-02 -5.065929e-07 
 1.069801e-02 -5.068730e-07 
 1.109571e-02 -5.071522e-07 
 1.149340e-02 -5.074306e-07 
 1.189110e-02 -5.077084e-07 
 1.228879e-02 -5.079855e-07 
 1.268649e-02 -5.082618e-07 
 1.308419e-02 -5.085369e-07 
 1.348188e-02 -5.088103e-07 
 1.387958e-02 -5.090814e-07 
 1.427727e-02 -5.093497e-07 
 1.467497e-02 -5.096145e-07 
 1.507266e-02 -5.098758e-07 
 1.547036e-02 -5.101335e-07 
 1.586806e-02 -5.103878e-07 
 1.626575e-02 -5.106383e-07 
 1.666345e-02 -5.108850e-07 
 1.706114e-02 -5.111273e-07 
 1.745884e-02 -5.113648e-07 
 1.785653e-02 -5.115971e-07 
 1.825423e-02 -5.118236e-07 
 1.865192e-02 -5.120434e-07 
 1.904962e-02 -5.122560e-07 
 1.944732e-02 -5.124634e-07 
 1.984501e-02 -5.126648e-07 
 2.024271e-02 -5.128574e-07 
 2.064040e-02 -5.130414e-07 
 2.103810e-02 -5.132169e-07 
 2.143579e-02 -5.133836e-07 
 2.183349e-02 -5.135413e-07 
 2.223119e-02 -5.136896e-07 
 2.262888e-02 -5.138283e-07 
 2.302658e-02 -5.139574e-07 
 2.342427e-02 -5.140766e-07 
 2.382197e-02 -5.141862e-07 
 2.421966e-02 -5.142863e-07 
 2.461736e-02 -5.143772e-07 
 2.501505e-02 -5.144592e-07 
 2.541275e-02 -5.145323e-07 
 2.581045e-02 -5.145969e-07 
 2.620814e-02 -5.146531e-07 
 2.660584e-02 -5.147009e-07 
 2.700353e-02 -5.147405e-07 
 2.740123e-02 -5.147724e-07 
 2.779892e-02 -5.147971e-07 
 2.819662e-02 -5.148150e-07 
 2.859432e-02 -5.148266e-07 
 2.899201e-02 -5.148323e-07 
 2.938971e-02 -5.148326e-07 
 2.978740e-02 -5.148284e-07 
 3.018510e-02 -5.148205e-07 
 3.058279e-02 -5.148095e-07 
 3.098049e-02 -5.147964e-07 
 3.137819e-02 -5.147821e-07 
 3.177588e-02 -5.147674e-07 
