         time tilt_beam_... 
------------- ------------- 
 1.193087e-04 -2.959389e-02 
 5.170043e-04 -2.959113e-02 
 9.146999e-04 -2.958471e-02 
 1.312396e-03 -2.957426e-02 
 1.710091e-03 -2.955976e-02 
 2.107787e-03 -2.954127e-02 
 2.505482e-03 -2.951834e-02 
 2.903178e-03 -2.949136e-02 
 3.300874e-03 -2.946228e-02 
 3.698569e-03 -2.943055e-02 
 4.096265e-03 -2.939517e-02 
 4.493961e-03 -2.935550e-02 
 4.891656e-03 -2.931169e-02 
 5.289352e-03 -2.926421e-02 
 5.687047e-03 -2.921399e-02 
 6.084743e-03 -2.916146e-02 
 6.482439e-03 -2.910645e-02 
 6.880134e-03 -2.904880e-02 
 7.277830e-03 -2.898872e-02 
 7.675526e-03 -2.892616e-02 
 8.073221e-03 -2.886058e-02 
 8.470917e-03 -2.879132e-02 
 8.868613e-03 -2.871947e-02 
 9.266308e-03 -2.864672e-02 
 9.664004e-03 -2.857376e-02 
 1.006170e-02 -2.850049e-02 
 1.045940e-02 -2.842649e-02 
 1.085709e-02 -2.835112e-02 
 1.125479e-02 -2.827403e-02 
 1.165248e-02 -2.819474e-02 
 1.205018e-02 -2.811330e-02 
 1.244787e-02 -2.803076e-02 
 1.284557e-02 -2.794806e-02 
 1.324326e-02 -2.786530e-02 
 1.364096e-02 -2.778326e-02 
 1.403866e-02 -2.770219e-02 
 1.443635e-02 -2.762059e-02 
 1.483405e-02 -2.753739e-02 
 1.523174e-02 -2.745300e-02 
 1.562944e-02 -2.736912e-02 
 1.602713e-02 -2.728639e-02 
 1.642483e-02 -2.720451e-02 
 1.682253e-02 -2.712275e-02 
 1.722022e-02 -2.704077e-02 
 1.761792e-02 -2.695894e-02 
 1.801561e-02 -2.687766e-02 
 1.841331e-02 -2.679684e-02 
 1.881100e-02 -2.671596e-02 
 1.920870e-02 -2.663488e-02 
 1.960639e-02 -2.655447e-02 
 2.000409e-02 -2.647474e-02 
 2.040179e-02 -2.639509e-02 
 2.079948e-02 -2.631535e-02 
 2.119718e-02 -2.623555e-02 
 2.159487e-02 -2.615620e-02 
 2.199257e-02 -2.607868e-02 
 2.239026e-02 -2.600347e-02 
 2.278796e-02 -2.593011e-02 
 2.318566e-02 -2.585753e-02 
 2.358335e-02 -2.578496e-02 
 2.398105e-02 -2.571188e-02 
 2.437874e-02 -2.563812e-02 
 2.477644e-02 -2.556387e-02 
 2.517413e-02 -2.548953e-02 
 2.557183e-02 -2.541713e-02 
 2.596952e-02 -2.534799e-02 
 2.636722e-02 -2.528265e-02 
 2.676492e-02 -2.522081e-02 
 2.716261e-02 -2.516097e-02 
 2.756031e-02 -2.510283e-02 
 2.795800e-02 -2.504664e-02 
 2.835570e-02 -2.499269e-02 
 2.875339e-02 -2.494199e-02 
 2.915109e-02 -2.489449e-02 
 2.954879e-02 -2.484992e-02 
 2.994648e-02 -2.480887e-02 
 3.034418e-02 -2.477226e-02 
 3.074187e-02 -2.473955e-02 
 3.113957e-02 -2.471009e-02 
 3.153726e-02 -2.468580e-02 
 3.193496e-02 -2.466743e-02 
 3.233265e-02 -2.465524e-02 
 3.273035e-02 -2.464955e-02 
 3.312805e-02 -2.464907e-02 
 3.352574e-02 -2.465278e-02 
 3.392344e-02 -2.466093e-02 
 3.432113e-02 -2.467423e-02 
 3.471883e-02 -2.469326e-02 
 3.511652e-02 -2.471787e-02 
 3.551422e-02 -2.474874e-02 
 3.591192e-02 -2.478653e-02 
 3.630961e-02 -2.483201e-02 
 3.670731e-02 -2.488546e-02 
 3.710500e-02 -2.494670e-02 
 3.750270e-02 -2.501548e-02 
 3.790039e-02 -2.509154e-02 
 3.829809e-02 -2.517514e-02 
 3.869578e-02 -2.526654e-02 
 3.909348e-02 -2.536547e-02 
 3.949118e-02 -2.547139e-02 
 3.988887e-02 -2.558270e-02 
 4.028657e-02 -2.569966e-02 
 4.068426e-02 -2.582386e-02 
 4.108196e-02 -2.595615e-02 
 4.147965e-02 -2.609665e-02 
 4.187735e-02 -2.624616e-02 
 4.227505e-02 -2.640500e-02 
 4.267274e-02 -2.657176e-02 
 4.307044e-02 -2.674491e-02 
 4.346813e-02 -2.692300e-02 
 4.386583e-02 -2.710534e-02 
 4.426352e-02 -2.729281e-02 
 4.466122e-02 -2.748650e-02 
 4.505891e-02 -2.768687e-02 
 4.545661e-02 -2.789408e-02 
 4.585431e-02 -2.810736e-02 
 4.625200e-02 -2.832605e-02 
 4.664970e-02 -2.855126e-02 
 4.704739e-02 -2.878278e-02 
 4.744509e-02 -2.901945e-02 
 4.784278e-02 -2.926040e-02 
 4.824048e-02 -2.950572e-02 
 4.863818e-02 -2.975514e-02 
 4.903587e-02 -3.000845e-02 
 4.943357e-02 -3.026540e-02 
 4.983126e-02 -3.052559e-02 
 5.022896e-02 -3.078827e-02 
 5.062665e-02 -3.105248e-02 
 5.102435e-02 -3.131933e-02 
 5.142204e-02 -3.158959e-02 
 5.181974e-02 -3.186219e-02 
 5.221744e-02 -3.213566e-02 
 5.261513e-02 -3.240954e-02 
 5.301283e-02 -3.268358e-02 
 5.341052e-02 -3.295776e-02 
 5.380822e-02 -3.323253e-02 
 5.420591e-02 -3.350776e-02 
 5.460361e-02 -3.378390e-02 
 5.500131e-02 -3.406172e-02 
 5.539900e-02 -3.434023e-02 
 5.579670e-02 -3.461790e-02 
 5.619439e-02 -3.489410e-02 
 5.659209e-02 -3.516792e-02 
 5.698978e-02 -3.543992e-02 
 5.738748e-02 -3.571109e-02 
 5.778517e-02 -3.598077e-02 
 5.818287e-02 -3.624903e-02 
 5.858057e-02 -3.651576e-02 
