         time joist_s2_s... 
------------- ------------- 
 2.783869e-04 -7.093943e-08 
 6.760826e-04 -7.105565e-08 
 1.073778e-03 -7.112739e-08 
 1.471474e-03 -7.116130e-08 
 1.869169e-03 -7.116361e-08 
 2.266865e-03 -7.113997e-08 
 2.664561e-03 -7.109582e-08 
 3.062256e-03 -7.103377e-08 
 3.459952e-03 -7.095308e-08 
 3.857648e-03 -7.085256e-08 
 4.255343e-03 -7.072972e-08 
 4.653039e-03 -7.057977e-08 
 5.050734e-03 -7.039436e-08 
 5.448430e-03 -7.016985e-08 
 5.846126e-03 -6.990719e-08 
 6.243821e-03 -6.961074e-08 
 6.641517e-03 -6.931959e-08 
 7.039213e-03 -6.905923e-08 
 7.436908e-03 -6.879800e-08 
 7.834604e-03 -6.853260e-08 
 8.232299e-03 -6.826967e-08 
 8.629995e-03 -6.799301e-08 
 9.027691e-03 -6.771959e-08 
 9.425386e-03 -6.681541e-08 
 9.823082e-03 -6.596701e-08 
 1.022078e-02 -6.568615e-08 
 1.061847e-02 -6.387766e-08 
 1.101617e-02 -6.387135e-08 
 1.141386e-02 -6.387172e-08 
 1.181156e-02 -6.360988e-08 
 1.220926e-02 -6.362286e-08 
 1.260695e-02 -6.368261e-08 
 1.300465e-02 -6.372603e-08 
 1.340234e-02 -6.361961e-08 
 1.380004e-02 -6.354331e-08 
 1.419773e-02 -6.352110e-08 
 1.459543e-02 -6.333183e-08 
 1.499313e-02 -6.311513e-08 
 1.539082e-02 -6.277583e-08 
 1.578852e-02 -6.240802e-08 
 1.618621e-02 -6.199851e-08 
 1.658391e-02 -6.155768e-08 
 1.698160e-02 -6.108127e-08 
 1.737930e-02 -6.056645e-08 
 1.777699e-02 -6.000848e-08 
 1.817469e-02 -5.940270e-08 
 1.857239e-02 -5.874741e-08 
 1.897008e-02 -5.803863e-08 
 1.936778e-02 -5.729034e-08 
 1.976547e-02 -5.651107e-08 
 2.016317e-02 -5.566778e-08 
 2.056086e-02 -5.478053e-08 
 2.095856e-02 -5.385498e-08 
 2.135626e-02 -5.287432e-08 
 2.175395e-02 -5.186246e-08 
 2.215165e-02 -5.080889e-08 
 2.254934e-02 -4.973117e-08 
 2.294704e-02 -4.861655e-08 
 2.334473e-02 -4.747766e-08 
 2.374243e-02 -4.631556e-08 
 2.414012e-02 -4.514112e-08 
 2.453782e-02 -4.394662e-08 
 2.493552e-02 -4.304158e-08 
 2.533321e-02 -4.246738e-08 
 2.573091e-02 -4.191356e-08 
 2.612860e-02 -4.123395e-08 
 2.652630e-02 -4.103386e-08 
 2.692399e-02 -4.025986e-08 
 2.732169e-02 -4.026593e-08 
 2.771939e-02 -3.911469e-08 
 2.811708e-02 -3.852022e-08 
 2.851478e-02 -3.829472e-08 
 2.891247e-02 -3.824530e-08 
 2.931017e-02 -3.822083e-08 
 2.970786e-02 -3.829200e-08 
 3.010556e-02 -4.028097e-08 
 3.050325e-02 -4.083119e-08 
 3.090095e-02 -4.191473e-08 
 3.129865e-02 -4.203955e-08 
 3.169634e-02 -4.413895e-08 
 3.209404e-02 -4.404037e-08 
 3.249173e-02 -4.440607e-08 
 3.288943e-02 -4.134044e-08 
 3.328712e-02 -3.734911e-08 
 3.368482e-02 -3.477892e-08 
 3.408252e-02 -3.427599e-08 
 3.448021e-02 -3.122597e-08 
 3.487791e-02 -2.749234e-08 
 3.527560e-02 -2.211955e-08 
 3.567330e-02 -1.883770e-08 
 3.607099e-02 -1.813742e-08 
 3.646869e-02 -1.737319e-08 
 3.686638e-02 -1.653226e-08 
 3.726408e-02 -1.562503e-08 
 3.766178e-02 -1.467182e-08 
 3.805947e-02 -1.368664e-08 
 3.845717e-02 -1.268964e-08 
 3.885486e-02 -1.168802e-08 
 3.925256e-02 -1.069995e-08 
 3.965025e-02 -9.663645e-09 
 4.004795e-02 -8.614588e-09 
 4.044565e-02 -7.564917e-09 
 4.084334e-02 -6.473801e-09 
 4.124104e-02 -5.388242e-09 
 4.163873e-02 -4.287268e-09 
 4.203643e-02 -3.308864e-09 
 4.243412e-02 -2.484395e-09 
 4.283182e-02 -2.269829e-09 
 4.322951e-02 -1.713192e-09 
 4.362721e-02 -1.855553e-09 
 4.402491e-02 -2.192779e-09 
 4.442260e-02 -1.839108e-09 
 4.482030e-02 -2.473614e-09 
 4.521799e-02 -2.237326e-09 
 4.561569e-02 -2.820440e-09 
 4.601338e-02 -2.231214e-09 
 4.641108e-02 -3.066075e-09 
 4.680878e-02 -2.597763e-09 
 4.720647e-02 -2.591795e-09 
 4.760417e-02 -2.320598e-09 
 4.800186e-02 -2.152487e-09 
 4.839956e-02 -1.342107e-09 
 4.879725e-02 -5.303684e-10 
 4.919495e-02  1.816067e-10 
 4.959264e-02  7.709460e-10 
 4.999034e-02  1.245182e-09 
 5.038804e-02  1.177605e-09 
 5.078573e-02  1.625000e-09 
 5.118343e-02  1.221093e-09 
 5.158112e-02  1.255168e-09 
 5.197882e-02  1.046717e-09 
 5.237651e-02  6.490998e-10 
 5.277421e-02  8.548029e-12 
 5.317191e-02 -1.984753e-10 
 5.356960e-02 -1.282529e-09 
 5.396730e-02 -1.170439e-09 
 5.436499e-02 -2.842903e-09 
 5.476269e-02 -2.814274e-09 
 5.516038e-02 -2.850156e-09 
 5.555808e-02 -4.881249e-09 
 5.595577e-02 -4.532597e-09 
 5.635347e-02 -4.522055e-09 
 5.675117e-02 -3.925850e-09 
 5.714886e-02 -4.028080e-09 
 5.754656e-02 -4.548025e-09 
 5.794425e-02 -3.912260e-09 
 5.834195e-02 -3.282944e-09 
 5.873964e-02 -2.665144e-09 
 5.913734e-02 -2.063636e-09 
 5.953504e-02 -1.453283e-09 
 5.993273e-02 -8.576333e-10 
 6.033043e-02 -2.746725e-10 
 6.072812e-02  3.049360e-10 
 6.112582e-02  8.820571e-10 
 6.152351e-02  1.490301e-09 
 6.192121e-02  2.110657e-09 
 6.231890e-02  2.470161e-09 
 6.271660e-02  2.528954e-09 
 6.311430e-02  2.820844e-09 
 6.351199e-02  2.631367e-09 
 6.390969e-02  2.287833e-09 
 6.430738e-02  2.409618e-09 
 6.470508e-02  2.021655e-09 
 6.510277e-02  2.331639e-09 
 6.550047e-02  1.547969e-09 
 6.589817e-02  1.680385e-09 
 6.629586e-02  1.926666e-09 
 6.669356e-02  1.104669e-09 
 6.709125e-02  1.283966e-09 
 6.748895e-02  1.453948e-09 
 6.788664e-02  1.565318e-09 
 6.828434e-02  2.121388e-09 
 6.868203e-02  2.147720e-09 
 6.907973e-02  2.700175e-09 
 6.947743e-02  3.252599e-09 
 6.987512e-02  3.806449e-09 
 7.027282e-02  4.362226e-09 
 7.067051e-02  4.910261e-09 
 7.106821e-02  5.409540e-09 
 7.146590e-02  5.839292e-09 
 7.186360e-02  6.118604e-09 
 7.226130e-02  6.448691e-09 
 7.265899e-02  6.722366e-09 
 7.305669e-02  6.561314e-09 
 7.345438e-02  6.852493e-09 
 7.385208e-02  6.651195e-09 
 7.424977e-02  6.743838e-09 
 7.464747e-02  6.497391e-09 
 7.504516e-02  6.621888e-09 
 7.544286e-02  6.386701e-09 
 7.584056e-02  6.149289e-09 
 7.623825e-02  6.356402e-09 
 7.663595e-02  6.803533e-09 
 7.703364e-02  6.245416e-09 
 7.743134e-02  6.584795e-09 
 7.782903e-02  7.121072e-09 
 7.822673e-02  7.671893e-09 
 7.862443e-02  7.960643e-09 
 7.902212e-02  8.508836e-09 
 7.941982e-02  9.048205e-09 
 7.981751e-02  9.574286e-09 
 8.021521e-02  1.009378e-08 
 8.061290e-02  1.060637e-08 
 8.101060e-02  1.112711e-08 
 8.140830e-02  1.168059e-08 
 8.180599e-02  1.224701e-08 
 8.220369e-02  1.264233e-08 
 8.260138e-02  1.299835e-08 
 8.299908e-02  1.342728e-08 
 8.339677e-02  1.383393e-08 
 8.379447e-02  1.381458e-08 
 8.419216e-02  1.417042e-08 
 8.458986e-02  1.436287e-08 
 8.498756e-02  1.470659e-08 
 8.538525e-02  1.437023e-08 
 8.578295e-02  1.505469e-08 
 8.618064e-02  1.523800e-08 
 8.657834e-02  1.508009e-08 
 8.697603e-02  1.515607e-08 
 8.737373e-02  1.572102e-08 
 8.777143e-02  1.626891e-08 
 8.816912e-02  1.524461e-08 
 8.856682e-02  1.573582e-08 
 8.896451e-02  1.622795e-08 
 8.936221e-02  1.672594e-08 
 8.975990e-02  1.712970e-08 
 9.015760e-02  1.748812e-08 
 9.055529e-02  1.766698e-08 
 9.095299e-02  1.791788e-08 
 9.135069e-02  1.782092e-08 
 9.174838e-02  1.778087e-08 
 9.214608e-02  1.797067e-08 
 9.254377e-02  1.760388e-08 
 9.294147e-02  1.758150e-08 
 9.333916e-02  1.729809e-08 
 9.373686e-02  1.701649e-08 
 9.413456e-02  1.717026e-08 
 9.453225e-02  1.626719e-08 
 9.492995e-02  1.636862e-08 
 9.532764e-02  1.611375e-08 
 9.572534e-02  1.332493e-08 
 9.612303e-02  1.372775e-08 
 9.652073e-02  1.354152e-08 
 9.691842e-02  1.334758e-08 
 9.731612e-02  1.239277e-08 
 9.771382e-02  1.142831e-08 
 9.811151e-02  1.186543e-08 
 9.850921e-02  1.229266e-08 
 9.890690e-02  1.270613e-08 
 9.930460e-02  1.310184e-08 
 9.970229e-02  1.347724e-08 
 1.001000e-01  1.384040e-08 
 1.004977e-01  1.416070e-08 
 1.008954e-01  1.438851e-08 
 1.012931e-01  1.463548e-08 
 1.016908e-01  1.464784e-08 
 1.020885e-01  1.485664e-08 
 1.024862e-01  1.470282e-08 
 1.028839e-01  1.474420e-08 
 1.032816e-01  1.434832e-08 
 1.036793e-01  1.460087e-08 
 1.040769e-01  1.455892e-08 
 1.044746e-01  1.400152e-08 
 1.048723e-01  1.426852e-08 
 1.052700e-01  1.356255e-08 
 1.056677e-01  1.380753e-08 
 1.060654e-01  1.367837e-08 
 1.064631e-01  1.395572e-08 
 1.068608e-01  1.328527e-08 
 1.072585e-01  1.327860e-08 
 1.076562e-01  1.350982e-08 
 1.080539e-01  1.372671e-08 
 1.084516e-01  1.331716e-08 
 1.088493e-01  1.350312e-08 
 1.092470e-01  1.367549e-08 
 1.096447e-01  1.383845e-08 
 1.100424e-01  1.399805e-08 
 1.104401e-01  1.415752e-08 
 1.108378e-01  1.432105e-08 
 1.112355e-01  1.449126e-08 
 1.116332e-01  1.463573e-08 
 1.120309e-01  1.472069e-08 
 1.124286e-01  1.480302e-08 
 1.128262e-01  1.474035e-08 
 1.132239e-01  1.481304e-08 
 1.136216e-01  1.485416e-08 
 1.140193e-01  1.494300e-08 
 1.144170e-01  1.480653e-08 
 1.148147e-01  1.502329e-08 
 1.152124e-01  1.482359e-08 
 1.156101e-01  1.487828e-08 
 1.160078e-01  1.491058e-08 
 1.164055e-01  1.487788e-08 
 1.168032e-01  1.490298e-08 
 1.172009e-01  1.500422e-08 
 1.175986e-01  1.473981e-08 
 1.179963e-01  1.497527e-08 
 1.183940e-01  1.505071e-08 
 1.187917e-01  1.512347e-08 
 1.191894e-01  1.526608e-08 
 1.195871e-01  1.499927e-08 
 1.199848e-01  1.514569e-08 
 1.203825e-01  1.527744e-08 
 1.207802e-01  1.539748e-08 
 1.211779e-01  1.545343e-08 
 1.215756e-01  1.548012e-08 
 1.219732e-01  1.536884e-08 
 1.223709e-01  1.523082e-08 
 1.227686e-01  1.513058e-08 
 1.231663e-01  1.494010e-08 
 1.235640e-01  1.485267e-08 
 1.239617e-01  1.454772e-08 
 1.243594e-01  1.460020e-08 
 1.247571e-01  1.426138e-08 
 1.251548e-01  1.420313e-08 
 1.255525e-01  1.416374e-08 
 1.259502e-01  1.418840e-08 
 1.263479e-01  1.376598e-08 
 1.267456e-01  1.380693e-08 
 1.271433e-01  1.384950e-08 
 1.275410e-01  1.379125e-08 
 1.279387e-01  1.383848e-08 
 1.283364e-01  1.388316e-08 
 1.287341e-01  1.391867e-08 
 1.291318e-01  1.393870e-08 
 1.295295e-01  1.394043e-08 
 1.299272e-01  1.392484e-08 
 1.303249e-01  1.389071e-08 
 1.307226e-01  1.384030e-08 
 1.311202e-01  1.379067e-08 
 1.315179e-01  1.373823e-08 
 1.319156e-01  1.368813e-08 
 1.323133e-01  1.364921e-08 
 1.327110e-01  1.362812e-08 
 1.331087e-01  1.364739e-08 
 1.335064e-01  1.367471e-08 
 1.339041e-01  1.379490e-08 
 1.343018e-01  1.386528e-08 
 1.346995e-01  1.399507e-08 
 1.350972e-01  1.412657e-08 
 1.354949e-01  1.421610e-08 
 1.358926e-01  1.436127e-08 
 1.362903e-01  1.439728e-08 
 1.366880e-01  1.445040e-08 
 1.370857e-01  1.451785e-08 
 1.374834e-01  1.450503e-08 
 1.378811e-01  1.448756e-08 
 1.382788e-01  1.449113e-08 
 1.386765e-01  1.444581e-08 
 1.390742e-01  1.432248e-08 
 1.394719e-01  1.435324e-08 
 1.398696e-01  1.424880e-08 
 1.402672e-01  1.415211e-08 
 1.406649e-01  1.404981e-08 
 1.410626e-01  1.396461e-08 
 1.414603e-01  1.394419e-08 
 1.418580e-01  1.390456e-08 
 1.422557e-01  1.378493e-08 
 1.426534e-01  1.365966e-08 
 1.430511e-01  1.352621e-08 
 1.434488e-01  1.340822e-08 
 1.438465e-01  1.326857e-08 
 1.442442e-01  1.315860e-08 
 1.446419e-01  1.303593e-08 
 1.450396e-01  1.291796e-08 
 1.454373e-01  1.280064e-08 
 1.458350e-01  1.179623e-08 
 1.462327e-01  1.071591e-08 
 1.466304e-01  5.339670e-09 
 1.470281e-01  5.226151e-09 
 1.474258e-01  3.860266e-09 
 1.478235e-01  3.744022e-09 
 1.482212e-01  2.373199e-09 
 1.486189e-01 -4.049029e-10 
 1.490166e-01 -5.316094e-10 
 1.494142e-01 -6.780457e-10 
 1.498119e-01 -8.575147e-10 
 1.502096e-01 -1.074297e-09 
 1.506073e-01 -1.341777e-09 
 1.510050e-01 -1.661287e-09 
 1.514027e-01 -2.035753e-09 
 1.518004e-01 -2.444220e-09 
 1.521981e-01 -2.892646e-09 
 1.525958e-01 -3.359919e-09 
 1.529935e-01 -3.834907e-09 
 1.533912e-01 -4.289822e-09 
 1.537889e-01 -4.791077e-09 
 1.541866e-01 -5.173387e-09 
 1.545843e-01 -5.562312e-09 
 1.549820e-01 -6.022012e-09 
 1.553797e-01 -6.320847e-09 
 1.557774e-01 -6.636349e-09 
 1.561751e-01 -7.229843e-09 
 1.565728e-01 -7.654322e-09 
 1.569705e-01 -7.998934e-09 
 1.573682e-01 -8.488284e-09 
 1.577659e-01 -9.100495e-09 
 1.581636e-01 -9.551965e-09 
 1.585612e-01 -1.017721e-08 
 1.589589e-01 -1.047467e-08 
 1.593566e-01 -1.102585e-08 
 1.597543e-01 -1.166742e-08 
 1.601520e-01 -1.236017e-08 
 1.605497e-01 -1.328121e-08 
 1.609474e-01 -1.319444e-08 
 1.613451e-01 -1.381929e-08 
 1.617428e-01 -1.470116e-08 
 1.621405e-01 -1.530969e-08 
 1.625382e-01 -1.621261e-08 
 1.629359e-01 -1.690265e-08 
 1.633336e-01 -1.750989e-08 
 1.637313e-01 -1.810136e-08 
 1.641290e-01 -1.875318e-08 
 1.645267e-01 -1.894621e-08 
 1.649244e-01 -1.918939e-08 
 1.653221e-01 -1.879237e-08 
 1.657198e-01 -1.902586e-08 
 1.661175e-01 -1.819806e-08 
 1.665152e-01 -1.820550e-08 
 1.669129e-01 -1.732737e-08 
 1.673106e-01 -1.760697e-08 
 1.677082e-01 -1.609620e-08 
 1.681059e-01 -1.626634e-08 
 1.685036e-01 -1.634090e-08 
 1.689013e-01 -1.424097e-08 
 1.692990e-01 -1.474044e-08 
 1.696967e-01 -1.535505e-08 
 1.700944e-01 -1.543138e-08 
 1.704921e-01 -1.536747e-08 
 1.708898e-01 -1.487818e-08 
 1.712875e-01 -1.623141e-08 
 1.716852e-01 -1.705060e-08 
 1.720829e-01 -1.794047e-08 
 1.724806e-01 -1.888943e-08 
 1.728783e-01 -1.990825e-08 
