         time tilt_low_s... 
------------- ------------- 
 1.193087e-04  1.981741e-02 
 5.170043e-04  2.005579e-02 
 9.146999e-04  2.013661e-02 
 1.312396e-03  2.006717e-02 
 1.710091e-03  1.988873e-02 
 2.107787e-03  1.965456e-02 
 2.505482e-03  1.946873e-02 
 2.903178e-03  1.939929e-02 
 3.300874e-03  1.945242e-02 
 3.698569e-03  1.956533e-02 
 4.096265e-03  1.972227e-02 
 4.493961e-03  1.988836e-02 
 4.891656e-03  2.010320e-02 
 5.289352e-03  2.038728e-02 
 5.687047e-03  2.080768e-02 
 6.084743e-03  2.128207e-02 
 6.482439e-03  2.173941e-02 
 6.880134e-03  2.216811e-02 
 7.277830e-03  2.261276e-02 
 7.675526e-03  2.303971e-02 
 8.073221e-03  2.330599e-02 
 8.470917e-03  2.331410e-02 
 8.868613e-03  2.303934e-02 
 9.266308e-03  2.245007e-02 
 9.664004e-03  2.157372e-02 
 1.006170e-02  2.048662e-02 
 1.045940e-02  1.920754e-02 
 1.085709e-02  1.768684e-02 
 1.125479e-02  1.596709e-02 
 1.165248e-02  1.408450e-02 
 1.205018e-02  1.203863e-02 
 1.244787e-02  9.856375e-03 
 1.284557e-02  7.570647e-03 
 1.324326e-02  5.209390e-03 
 1.364096e-02  2.737924e-03 
 1.403866e-02  2.442087e-04 
 1.443635e-02 -2.169509e-03 
 1.483405e-02 -4.504622e-03 
 1.523174e-02 -6.759653e-03 
 1.562944e-02 -8.970921e-03 
 1.602713e-02 -1.114291e-02 
 1.642483e-02 -1.333571e-02 
 1.682253e-02 -1.559476e-02 
 1.722022e-02 -1.787951e-02 
 1.761792e-02 -2.020155e-02 
 1.801561e-02 -2.257383e-02 
 1.841331e-02 -2.495584e-02 
 1.881100e-02 -2.737363e-02 
 1.920870e-02 -2.978714e-02 
 1.960639e-02 -3.221678e-02 
 2.000409e-02 -3.467413e-02 
 2.040179e-02 -3.716649e-02 
 2.079948e-02 -3.971998e-02 
 2.119718e-02 -4.226440e-02 
 2.159487e-02 -4.479526e-02 
 2.199257e-02 -4.728004e-02 
 2.239026e-02 -4.967569e-02 
 2.278796e-02 -5.194017e-02 
 2.318566e-02 -5.406267e-02 
 2.358335e-02 -5.603785e-02 
 2.398105e-02 -5.783554e-02 
 2.437874e-02 -5.942098e-02 
 2.477644e-02 -6.085855e-02 
 2.517413e-02 -6.220049e-02 
 2.557183e-02 -6.342938e-02 
 2.596952e-02 -6.449909e-02 
 2.636722e-02 -6.534771e-02 
 2.676492e-02 -6.604403e-02 
 2.716261e-02 -6.662030e-02 
 2.756031e-02 -6.708882e-02 
 2.795800e-02 -6.743717e-02 
 2.835570e-02 -6.775801e-02 
 2.875339e-02 -6.807616e-02 
 2.915109e-02 -6.845554e-02 
 2.954879e-02 -6.896379e-02 
 2.994648e-02 -6.961728e-02 
 3.034418e-02 -7.036797e-02 
 3.074187e-02 -7.113272e-02 
 3.113957e-02 -7.187727e-02 
 3.153726e-02 -7.257985e-02 
 3.193496e-02 -7.325835e-02 
 3.233265e-02 -7.389242e-02 
 3.273035e-02 -7.449457e-02 
 3.312805e-02 -7.501101e-02 
 3.352574e-02 -7.538980e-02 
 3.392344e-02 -7.560324e-02 
 3.432113e-02 -7.571815e-02 
 3.471883e-02 -7.571725e-02 
 3.511652e-02 -7.559426e-02 
 3.551422e-02 -7.537584e-02 
 3.591192e-02 -7.506746e-02 
 3.630961e-02 -7.468846e-02 
 3.670731e-02 -7.426397e-02 
 3.710500e-02 -7.388660e-02 
 3.750270e-02 -7.357077e-02 
 3.790039e-02 -7.332733e-02 
 3.829809e-02 -7.306654e-02 
 3.869578e-02 -7.286098e-02 
 3.909348e-02 -7.269476e-02 
 3.949118e-02 -7.253275e-02 
 3.988887e-02 -7.233242e-02 
 4.028657e-02 -7.213670e-02 
 4.068426e-02 -7.197685e-02 
 4.108196e-02 -7.182402e-02 
 4.147965e-02 -7.168199e-02 
 4.187735e-02 -7.161304e-02 
 4.227505e-02 -7.161872e-02 
 4.267274e-02 -7.164482e-02 
 4.307044e-02 -7.168427e-02 
 4.346813e-02 -7.170005e-02 
 4.386583e-02 -7.169285e-02 
 4.426352e-02 -7.172684e-02 
 4.466122e-02 -7.180135e-02 
 4.505891e-02 -7.192945e-02 
 4.545661e-02 -7.208866e-02 
 4.585431e-02 -7.227935e-02 
 4.625200e-02 -7.245457e-02 
 4.664970e-02 -7.258539e-02 
 4.704739e-02 -7.268981e-02 
 4.744509e-02 -7.280079e-02 
 4.784278e-02 -7.289160e-02 
 4.824048e-02 -7.301657e-02 
 4.863818e-02 -7.321923e-02 
 4.903587e-02 -7.354436e-02 
 4.943357e-02 -7.398579e-02 
 4.983126e-02 -7.450716e-02 
 5.022896e-02 -7.510249e-02 
 5.062665e-02 -7.566656e-02 
 5.102435e-02 -7.620355e-02 
 5.142204e-02 -7.663916e-02 
 5.181974e-02 -7.699732e-02 
 5.221744e-02 -7.719475e-02 
 5.261513e-02 -7.725496e-02 
 5.301283e-02 -7.718861e-02 
 5.341052e-02 -7.697453e-02 
 5.380822e-02 -7.659371e-02 
 5.420591e-02 -7.607335e-02 
 5.460361e-02 -7.534975e-02 
 5.500131e-02 -7.440935e-02 
 5.539900e-02 -7.326404e-02 
 5.579670e-02 -7.195497e-02 
 5.619439e-02 -7.048014e-02 
 5.659209e-02 -6.891399e-02 
 5.698978e-02 -6.728943e-02 
 5.738748e-02 -6.566143e-02 
 5.778517e-02 -6.406796e-02 
 5.818287e-02 -6.250104e-02 
 5.858057e-02 -6.085470e-02 
 5.897826e-02 -5.909966e-02 
 5.937596e-02 -5.726263e-02 
 5.977365e-02 -5.530773e-02 
 6.017135e-02 -5.318730e-02 
 6.056904e-02 -5.097852e-02 
 6.096674e-02 -4.874794e-02 
 6.136444e-02 -4.649838e-02 
 6.176213e-02 -4.425813e-02 
 6.215983e-02 -4.203423e-02 
 6.255752e-02 -3.983046e-02 
 6.295522e-02 -3.760149e-02 
 6.335291e-02 -3.539911e-02 
 6.375061e-02 -3.324161e-02 
 6.414830e-02 -3.114171e-02 
