         time tilt_up_se... 
------------- ------------- 
 1.193087e-04  1.166927e-02 
 5.170043e-04  1.015301e-02 
 9.146999e-04  8.748478e-03 
 1.312396e-03  7.486583e-03 
 1.710091e-03  6.370526e-03 
 2.107787e-03  5.377747e-03 
 2.505482e-03  4.489376e-03 
 2.903178e-03  3.679746e-03 
 3.300874e-03  2.882358e-03 
 3.698569e-03  2.046282e-03 
 4.096265e-03  1.186357e-03 
 4.493961e-03  2.537432e-04 
 4.891656e-03 -7.438740e-04 
 5.289352e-03 -1.774881e-03 
 5.687047e-03 -2.831004e-03 
 6.084743e-03 -3.871955e-03 
 6.482439e-03 -4.861218e-03 
 6.880134e-03 -5.767355e-03 
 7.277830e-03 -6.633201e-03 
 7.675526e-03 -7.437799e-03 
 8.073221e-03 -8.123623e-03 
 8.470917e-03 -8.680079e-03 
 8.868613e-03 -9.092599e-03 
 9.266308e-03 -9.309238e-03 
 9.664004e-03 -9.323719e-03 
 1.006170e-02 -9.143016e-03 
 1.045940e-02 -8.785034e-03 
 1.085709e-02 -8.222137e-03 
 1.125479e-02 -7.491580e-03 
 1.165248e-02 -6.649744e-03 
 1.205018e-02 -5.732945e-03 
 1.244787e-02 -4.746878e-03 
 1.284557e-02 -3.741034e-03 
 1.324326e-02 -2.713070e-03 
 1.364096e-02 -1.646468e-03 
 1.403866e-02 -5.553806e-04 
 1.443635e-02  5.193123e-04 
 1.483405e-02  1.552298e-03 
 1.523174e-02  2.517946e-03 
 1.562944e-02  3.456707e-03 
 1.602713e-02  4.396926e-03 
 1.642483e-02  5.286275e-03 
 1.682253e-02  6.156475e-03 
 1.722022e-02  7.002264e-03 
 1.761792e-02  7.829206e-03 
 1.801561e-02  8.619400e-03 
 1.841331e-02  9.408277e-03 
 1.881100e-02  1.019206e-02 
 1.920870e-02  1.094542e-02 
 1.960639e-02  1.169365e-02 
 2.000409e-02  1.243509e-02 
 2.040179e-02  1.318040e-02 
 2.079948e-02  1.395646e-02 
 2.119718e-02  1.473995e-02 
 2.159487e-02  1.549392e-02 
 2.199257e-02  1.620585e-02 
 2.239026e-02  1.689009e-02 
 2.278796e-02  1.752534e-02 
 2.318566e-02  1.807912e-02 
 2.358335e-02  1.854468e-02 
 2.398105e-02  1.887877e-02 
 2.437874e-02  1.902342e-02 
 2.477644e-02  1.898423e-02 
 2.517413e-02  1.879698e-02 
 2.557183e-02  1.849142e-02 
 2.596952e-02  1.805825e-02 
 2.636722e-02  1.749603e-02 
 2.676492e-02  1.682892e-02 
 2.716261e-02  1.605593e-02 
 2.756031e-02  1.518421e-02 
 2.795800e-02  1.422864e-02 
 2.835570e-02  1.324699e-02 
 2.875339e-02  1.227504e-02 
 2.915109e-02  1.133743e-02 
 2.954879e-02  1.046884e-02 
 2.994648e-02  9.643689e-03 
 3.034418e-02  8.774777e-03 
 3.074187e-02  7.856452e-03 
 3.113957e-02  6.892870e-03 
 3.153726e-02  5.869418e-03 
 3.193496e-02  4.792140e-03 
 3.233265e-02  3.693784e-03 
 3.273035e-02  2.582156e-03 
 3.312805e-02  1.396045e-03 
 3.352574e-02  7.020616e-05 
 3.392344e-02 -1.407964e-03 
 3.432113e-02 -3.037187e-03 
 3.471883e-02 -4.792724e-03 
 3.511652e-02 -6.660376e-03 
 3.551422e-02 -8.618751e-03 
 3.591192e-02 -1.064282e-02 
 3.630961e-02 -1.273140e-02 
 3.670731e-02 -1.489555e-02 
 3.710500e-02 -1.712683e-02 
 3.750270e-02 -1.941604e-02 
 3.790039e-02 -2.173630e-02 
 3.829809e-02 -2.410382e-02 
 3.869578e-02 -2.648652e-02 
 3.909348e-02 -2.883892e-02 
 3.949118e-02 -3.120814e-02 
 3.988887e-02 -3.361361e-02 
 4.028657e-02 -3.605160e-02 
