         time tilt_beam_... 
------------- ------------- 
 2.386174e-04 -3.338597e-02 
 6.363130e-04 -3.134184e-02 
 1.034009e-03 -2.930458e-02 
 1.431704e-03 -2.722814e-02 
 1.829400e-03 -2.504309e-02 
 2.227096e-03 -2.271128e-02 
 2.624791e-03 -2.018509e-02 
 3.022487e-03 -1.748159e-02 
 3.420182e-03 -1.462820e-02 
 3.817878e-03 -1.166319e-02 
 4.215574e-03 -8.628359e-03 
 4.613269e-03 -5.553003e-03 
 5.010965e-03 -2.465315e-03 
 5.408661e-03  6.162847e-04 
 5.806356e-03  3.649427e-03 
 6.204052e-03  6.602515e-03 
 6.601747e-03  9.437200e-03 
 6.999443e-03  1.212688e-02 
 7.397139e-03  1.464592e-02 
 7.794834e-03  1.700212e-02 
 8.192530e-03  1.922845e-02 
 8.590226e-03  2.135457e-02 
 8.987921e-03  2.338709e-02 
 9.385617e-03  2.533802e-02 
 9.783312e-03  2.720176e-02 
 1.018101e-02  2.898870e-02 
 1.057870e-02  3.070655e-02 
 1.097640e-02  3.239859e-02 
 1.137409e-02  3.411306e-02 
 1.177179e-02  3.588609e-02 
 1.216949e-02  3.772393e-02 
 1.256718e-02  3.962676e-02 
 1.296488e-02  4.156744e-02 
 1.336257e-02  4.351251e-02 
 1.376027e-02  4.544769e-02 
 1.415796e-02  4.734899e-02 
 1.455566e-02  4.923260e-02 
 1.495336e-02  5.108947e-02 
 1.535105e-02  5.290021e-02 
 1.574875e-02  5.464997e-02 
 1.614644e-02  5.631671e-02 
 1.654414e-02  5.788630e-02 
 1.694183e-02  5.936895e-02 
 1.733953e-02  6.078568e-02 
 1.773723e-02  6.215381e-02 
 1.813492e-02  6.351530e-02 
 1.853262e-02  6.488110e-02 
 1.893031e-02  6.626566e-02 
 1.932801e-02  6.768665e-02 
 1.972570e-02  6.914263e-02 
 2.012340e-02  7.067867e-02 
 2.052109e-02  7.231837e-02 
 2.091879e-02  7.410979e-02 
 2.131649e-02  7.608118e-02 
 2.171418e-02  7.821970e-02 
 2.211188e-02  8.049979e-02 
 2.250957e-02  8.287134e-02 
 2.290727e-02  8.527059e-02 
 2.330496e-02  8.763804e-02 
 2.370266e-02  8.993765e-02 
 2.410036e-02  9.214832e-02 
 2.449805e-02  9.425462e-02 
 2.489575e-02  9.624224e-02 
 2.529344e-02  9.808575e-02 
 2.569114e-02  9.974884e-02 
 2.608883e-02  1.012117e-01 
 2.648653e-02  1.024654e-01 
