         time joist_s2_s... 
------------- ------------- 
 1.193087e-04 -1.109595e-10 
 5.170043e-04 -2.722787e-10 
 9.146999e-04 -5.365164e-10 
 1.312396e-03 -9.122266e-10 
 1.710091e-03 -1.394442e-09 
 2.107787e-03 -1.985110e-09 
 2.505482e-03 -2.660638e-09 
 2.903178e-03 -3.340554e-09 
 3.300874e-03 -4.006978e-09 
 3.698569e-03 -4.686494e-09 
 4.096265e-03 -5.407719e-09 
 4.493961e-03 -6.182320e-09 
 4.891656e-03 -7.010887e-09 
 5.289352e-03 -7.904825e-09 
 5.687047e-03 -8.877111e-09 
 6.084743e-03 -9.938686e-09 
 6.482439e-03 -1.105639e-08 
 6.880134e-03 -1.219807e-08 
 7.277830e-03 -1.339296e-08 
 7.675526e-03 -1.466924e-08 
 8.073221e-03 -1.604971e-08 
 8.470917e-03 -1.754102e-08 
 8.868613e-03 -1.896375e-08 
 9.266308e-03 -1.892351e-08 
 9.664004e-03 -1.898738e-08 
 1.006170e-02 -1.866546e-08 
 1.045940e-02 -1.865155e-08 
 1.085709e-02 -1.798815e-08 
 1.125479e-02 -1.791001e-08 
 1.165248e-02 -1.799526e-08 
 1.205018e-02 -1.764180e-08 
 1.244787e-02 -1.757310e-08 
 1.284557e-02 -1.647664e-08 
 1.324326e-02 -1.491206e-08 
 1.364096e-02 -1.348864e-08 
 1.403866e-02 -1.162005e-08 
 1.443635e-02 -1.027135e-08 
 1.483405e-02 -8.954573e-09 
 1.523174e-02 -7.181879e-09 
 1.562944e-02 -6.011451e-09 
 1.602713e-02 -4.424735e-09 
 1.642483e-02 -4.120031e-09 
 1.682253e-02 -2.360378e-09 
 1.722022e-02 -1.607450e-09 
 1.761792e-02 -1.581336e-09 
 1.801561e-02  0.000000e+00 
 1.841331e-02  0.000000e+00 
 1.881100e-02  0.000000e+00 
 1.920870e-02  0.000000e+00 
 1.960639e-02  0.000000e+00 
 2.000409e-02  0.000000e+00 
 2.040179e-02  0.000000e+00 
 2.079948e-02  0.000000e+00 
 2.119718e-02  0.000000e+00 
 2.159487e-02  0.000000e+00 
 2.199257e-02  0.000000e+00 
 2.239026e-02  0.000000e+00 
 2.278796e-02  0.000000e+00 
 2.318566e-02  0.000000e+00 
 2.358335e-02  0.000000e+00 
 2.398105e-02  0.000000e+00 
 2.437874e-02  0.000000e+00 
 2.477644e-02  0.000000e+00 
 2.517413e-02  0.000000e+00 
 2.557183e-02 -1.416685e-11 
 2.596952e-02 -4.412788e-11 
 2.636722e-02 -7.754736e-11 
 2.676492e-02 -1.304771e-10 
 2.716261e-02 -2.009804e-10 
 2.756031e-02 -2.734082e-10 
 2.795800e-02 -3.452321e-10 
 2.835570e-02 -4.133228e-10 
 2.875339e-02 -4.541296e-10 
 2.915109e-02 -4.615271e-10 
 2.954879e-02 -4.203700e-10 
 2.994648e-02 -3.192204e-10 
