         time Record_Dis... 
------------- ------------- 
 1.193087e-04 -1.396054e-04 
 5.170043e-04 -1.362809e-04 
 9.146999e-04 -1.325885e-04 
 1.312396e-03 -1.284817e-04 
 1.710091e-03 -1.239552e-04 
 2.107787e-03 -1.190251e-04 
 2.505482e-03 -1.137001e-04 
 2.903178e-03 -1.079872e-04 
 3.300874e-03 -1.019122e-04 
 3.698569e-03 -9.549320e-05 
 4.096265e-03 -8.870834e-05 
 4.493961e-03 -8.153545e-05 
 4.891656e-03 -7.398700e-05 
 5.289352e-03 -6.611459e-05 
 5.687047e-03 -5.796058e-05 
 6.084743e-03 -4.950503e-05 
 6.482439e-03 -4.071964e-05 
 6.880134e-03 -3.158409e-05 
 7.277830e-03 -2.208059e-05 
 7.675526e-03 -1.219997e-05 
 8.073221e-03 -1.961525e-06 
 8.470917e-03  8.570405e-06 
 8.868613e-03  1.934260e-05 
 9.266308e-03  3.036477e-05 
 9.664004e-03  4.169069e-05 
 1.006170e-02  5.336442e-05 
 1.045940e-02  6.535171e-05 
 1.085709e-02  7.761899e-05 
 1.125479e-02  9.015915e-05 
 1.165248e-02  1.029638e-04 
 1.205018e-02  1.160223e-04 
 1.244787e-02  1.293371e-04 
 1.284557e-02  1.429470e-04 
 1.324326e-02  1.568892e-04 
 1.364096e-02  1.711571e-04 
 1.403866e-02  1.857124e-04 
 1.443635e-02  2.005321e-04 
 1.483405e-02  2.156363e-04 
 1.523174e-02  2.310462e-04 
 1.562944e-02  2.467188e-04 
 1.602713e-02  2.626488e-04 
 1.642483e-02  2.788121e-04 
 1.682253e-02  2.951685e-04 
 1.722022e-02  3.116637e-04 
 1.761792e-02  3.282591e-04 
 1.801561e-02  3.449666e-04 
 1.841331e-02  3.618324e-04 
 1.881100e-02  3.788805e-04 
 1.920870e-02  3.960847e-04 
 1.960639e-02  4.133974e-04 
 2.000409e-02  4.307945e-04 
 2.040179e-02  4.482153e-04 
 2.079948e-02  4.656218e-04 
 2.119718e-02  4.830380e-04 
 2.159487e-02  5.005119e-04 
 2.199257e-02  5.180851e-04 
 2.239026e-02  5.357634e-04 
 2.278796e-02  5.535300e-04 
 2.318566e-02  5.713936e-04 
 2.358335e-02  5.894062e-04 
 2.398105e-02  6.076321e-04 
 2.437874e-02  6.261028e-04 
 2.477644e-02  6.448118e-04 
 2.517413e-02  6.637149e-04 
 2.557183e-02  6.826915e-04 
 2.596952e-02  7.016718e-04 
 2.636722e-02  7.206212e-04 
 2.676492e-02  7.395493e-04 
 2.716261e-02  7.584892e-04 
 2.756031e-02  7.774544e-04 
 2.795800e-02  7.964195e-04 
 2.835570e-02  8.153439e-04 
 2.875339e-02  8.342115e-04 
 2.915109e-02  8.530222e-04 
 2.954879e-02  8.717901e-04 
 2.994648e-02  8.905452e-04 
 3.034418e-02  9.092917e-04 
 3.074187e-02  9.279998e-04 
 3.113957e-02  9.466463e-04 
 3.153726e-02  9.651900e-04 
 3.193496e-02  9.836078e-04 
 3.233265e-02  1.001902e-03 
 3.273035e-02  1.020090e-03 
 3.312805e-02  1.038190e-03 
 3.352574e-02  1.056215e-03 
 3.392344e-02  1.074163e-03 
 3.432113e-02  1.092009e-03 
 3.471883e-02  1.109722e-03 
 3.511652e-02  1.127274e-03 
 3.551422e-02  1.144596e-03 
 3.591192e-02  1.161664e-03 
 3.630961e-02  1.178460e-03 
 3.670731e-02  1.194961e-03 
 3.710500e-02  1.211146e-03 
 3.750270e-02  1.227005e-03 
 3.790039e-02  1.242540e-03 
 3.829809e-02  1.257771e-03 
 3.869578e-02  1.272733e-03 
 3.909348e-02  1.287455e-03 
 3.949118e-02  1.301943e-03 
 3.988887e-02  1.316187e-03 
 4.028657e-02  1.330155e-03 
 4.068426e-02  1.343789e-03 
 4.108196e-02  1.357067e-03 
 4.147965e-02  1.369987e-03 
 4.187735e-02  1.382565e-03 
 4.227505e-02  1.394822e-03 
 4.267274e-02  1.406767e-03 
 4.307044e-02  1.418408e-03 
 4.346813e-02  1.429774e-03 
 4.386583e-02  1.440899e-03 
 4.426352e-02  1.451784e-03 
 4.466122e-02  1.462403e-03 
 4.505891e-02  1.472734e-03 
 4.545661e-02  1.482737e-03 
 4.585431e-02  1.492382e-03 
 4.625200e-02  1.501641e-03 
 4.664970e-02  1.510496e-03 
 4.704739e-02  1.518945e-03 
 4.744509e-02  1.526987e-03 
 4.784278e-02  1.534608e-03 
 4.824048e-02  1.541808e-03 
 4.863818e-02  1.548607e-03 
 4.903587e-02  1.555036e-03 
 4.943357e-02  1.561100e-03 
 4.983126e-02  1.566779e-03 
 5.022896e-02  1.572058e-03 
 5.062665e-02  1.576920e-03 
 5.102435e-02  1.581355e-03 
 5.142204e-02  1.585356e-03 
 5.181974e-02  1.588931e-03 
 5.221744e-02  1.592113e-03 
 5.261513e-02  1.594917e-03 
 5.301283e-02  1.597323e-03 
 5.341052e-02  1.599309e-03 
 5.380822e-02  1.600873e-03 
 5.420591e-02  1.602042e-03 
 5.460361e-02  1.602823e-03 
 5.500131e-02  1.603195e-03 
 5.539900e-02  1.603147e-03 
 5.579670e-02  1.602676e-03 
 5.619439e-02  1.601778e-03 
 5.659209e-02  1.600445e-03 
 5.698978e-02  1.598679e-03 
 5.738748e-02  1.596498e-03 
 5.778517e-02  1.593904e-03 
 5.818287e-02  1.590861e-03 
 5.858057e-02  1.587316e-03 
 5.897826e-02  1.583232e-03 
 5.937596e-02  1.578617e-03 
 5.977365e-02  1.573496e-03 
 6.017135e-02  1.567904e-03 
 6.056904e-02  1.561911e-03 
 6.096674e-02  1.555558e-03 
 6.136444e-02  1.548862e-03 
 6.176213e-02  1.541808e-03 
 6.215983e-02  1.534378e-03 
 6.255752e-02  1.526583e-03 
 6.295522e-02  1.518465e-03 
 6.335291e-02  1.510048e-03 
 6.375061e-02  1.501322e-03 
