         time tilt_beam_... 
------------- ------------- 
 1.272270e-04 -4.256252e-02 
 4.452944e-04 -4.248302e-02 
 7.633619e-04 -4.237984e-02 
 1.081429e-03 -4.225043e-02 
 1.399497e-03 -4.209395e-02 
 1.717564e-03 -4.191114e-02 
 2.035632e-03 -4.170177e-02 
 2.353699e-03 -4.146235e-02 
 2.671767e-03 -4.119558e-02 
 2.989834e-03 -4.091447e-02 
 3.307902e-03 -4.061950e-02 
 3.625969e-03 -4.030323e-02 
 3.944036e-03 -3.996126e-02 
 4.262104e-03 -3.959052e-02 
 4.580171e-03 -3.919302e-02 
 4.898239e-03 -3.877063e-02 
 5.216306e-03 -3.832777e-02 
 5.534374e-03 -3.786911e-02 
 5.852441e-03 -3.739566e-02 
 6.170509e-03 -3.690529e-02 
 6.488576e-03 -3.639841e-02 
 6.806644e-03 -3.587589e-02 
 7.124711e-03 -3.533750e-02 
 7.442778e-03 -3.478189e-02 
 7.760846e-03 -3.420504e-02 
 8.078913e-03 -3.360477e-02 
 8.396981e-03 -3.299092e-02 
 8.715048e-03 -3.237270e-02 
 9.033116e-03 -3.175386e-02 
 9.351183e-03 -3.113402e-02 
 9.669251e-03 -3.051005e-02 
 9.987318e-03 -2.987545e-02 
 1.030539e-02 -2.922954e-02 
 1.062345e-02 -2.857086e-02 
 1.094152e-02 -2.789782e-02 
 1.125959e-02 -2.721161e-02 
 1.157766e-02 -2.651683e-02 
 1.189572e-02 -2.581982e-02 
 1.221379e-02 -2.512373e-02 
 1.253186e-02 -2.443204e-02 
 1.284993e-02 -2.374759e-02 
 1.316799e-02 -2.306920e-02 
 1.348606e-02 -2.238839e-02 
 1.380413e-02 -2.169848e-02 
 1.412219e-02 -2.099992e-02 
 1.444026e-02 -2.029667e-02 
 1.475833e-02 -1.959306e-02 
 1.507640e-02 -1.889150e-02 
 1.539446e-02 -1.819358e-02 
 1.571253e-02 -1.749625e-02 
 1.603060e-02 -1.679946e-02 
 1.634867e-02 -1.610329e-02 
 1.666673e-02 -1.541054e-02 
 1.698480e-02 -1.472325e-02 
 1.730287e-02 -1.404359e-02 
 1.762094e-02 -1.336841e-02 
 1.793900e-02 -1.269322e-02 
 1.825707e-02 -1.201905e-02 
 1.857514e-02 -1.135040e-02 
 1.889321e-02 -1.068451e-02 
 1.921127e-02 -1.001616e-02 
 1.952934e-02 -9.341055e-03 
 1.984741e-02 -8.658767e-03 
 2.016548e-02 -7.970619e-03 
 2.048354e-02 -7.287881e-03 
 2.080161e-02 -6.618453e-03 
 2.111968e-02 -5.964514e-03 
 2.143775e-02 -5.325092e-03 
 2.175581e-02 -4.696007e-03 
 2.207388e-02 -4.072162e-03 
 2.239195e-02 -3.451310e-03 
 2.271002e-02 -2.831971e-03 
 2.302808e-02 -2.209080e-03 
 2.334615e-02 -1.581934e-03 
 2.366422e-02 -9.528189e-04 
 2.398229e-02 -3.293040e-04 
 2.430035e-02  2.805238e-04 
 2.461842e-02  8.759838e-04 
 2.493649e-02  1.457938e-03 
 2.525456e-02  2.028025e-03 
 2.557262e-02  2.586800e-03 
 2.589069e-02  3.133059e-03 
 2.620876e-02  3.660940e-03 
 2.652683e-02  4.167808e-03 
 2.684489e-02  4.651240e-03 
 2.716296e-02  5.109165e-03 
 2.748103e-02  5.541469e-03 
 2.779910e-02  5.951753e-03 
 2.811716e-02  6.341341e-03 
 2.843523e-02  6.709467e-03 
 2.875330e-02  7.055960e-03 
 2.907137e-02  7.385622e-03 
 2.938943e-02  7.696924e-03 
 2.970750e-02  7.984516e-03 
 3.002557e-02  8.243972e-03 
 3.034364e-02  8.468284e-03 
 3.066170e-02  8.650015e-03 
 3.097977e-02  8.787750e-03 
 3.129784e-02  8.885702e-03 
 3.161590e-02  8.947092e-03 
 3.193397e-02  8.974285e-03 
 3.225204e-02  8.964965e-03 
 3.257011e-02  8.914535e-03 
 3.288817e-02  8.825664e-03 
 3.320624e-02  8.702789e-03 
 3.352431e-02  8.543684e-03 
 3.384238e-02  8.344394e-03 
 3.416044e-02  8.100418e-03 
 3.447851e-02  7.813056e-03 
 3.479658e-02  7.483896e-03 
 3.511465e-02  7.111066e-03 
 3.543271e-02  6.689106e-03 
 3.575078e-02  6.212765e-03 
 3.606885e-02  5.676627e-03 
 3.638692e-02  5.079333e-03 
 3.670498e-02  4.427350e-03 
 3.702305e-02  3.725891e-03 
 3.734112e-02  2.980484e-03 
 3.765919e-02  2.193862e-03 
 3.797725e-02  1.366317e-03 
 3.829532e-02  4.946507e-04 
 3.861339e-02 -4.261516e-04 
 3.893146e-02 -1.397759e-03 
 3.924952e-02 -2.421895e-03 
 3.956759e-02 -3.500635e-03 
 3.988566e-02 -4.633751e-03 
 4.020373e-02 -5.817851e-03 
 4.052179e-02 -7.051676e-03 
 4.083986e-02 -8.331157e-03 
 4.115793e-02 -9.654321e-03 
 4.147600e-02 -1.101971e-02 
 4.179406e-02 -1.242714e-02 
 4.211213e-02 -1.387860e-02 
 4.243020e-02 -1.537910e-02 
 4.274827e-02 -1.692853e-02 
 4.306633e-02 -1.852093e-02 
 4.338440e-02 -2.015182e-02 
 4.370247e-02 -2.182405e-02 
 4.402054e-02 -2.354107e-02 
 4.433860e-02 -2.529998e-02 
 4.465667e-02 -2.709593e-02 
 4.497474e-02 -2.892777e-02 
 4.529281e-02 -3.079674e-02 
 4.561087e-02 -3.270413e-02 
 4.592894e-02 -3.464952e-02 
 4.624701e-02 -3.663152e-02 
 4.656508e-02 -3.864457e-02 
 4.688314e-02 -4.068171e-02 
 4.720121e-02 -4.274151e-02 
 4.751928e-02 -4.482418e-02 
 4.783735e-02 -4.693306e-02 
 4.815541e-02 -4.907076e-02 
 4.847348e-02 -5.123577e-02 
 4.879155e-02 -5.342313e-02 
 4.910961e-02 -5.562860e-02 
 4.942768e-02 -5.784866e-02 
 4.974575e-02 -6.008193e-02 
 5.006382e-02 -6.232784e-02 
 5.038188e-02 -6.458532e-02 
 5.069995e-02 -6.685641e-02 
 5.101802e-02 -6.914084e-02 
 5.133609e-02 -7.143958e-02 
 5.165415e-02 -7.375138e-02 
 5.197222e-02 -7.607400e-02 
 5.229029e-02 -7.840547e-02 
 5.260836e-02 -8.074466e-02 
 5.292642e-02 -8.308985e-02 
 5.324449e-02 -8.543731e-02 
 5.356256e-02 -8.778807e-02 
 5.388063e-02 -9.014642e-02 
 5.419869e-02 -9.251143e-02 
 5.451676e-02 -9.487794e-02 
 5.483483e-02 -9.724392e-02 
 5.515290e-02 -9.960784e-02 
 5.547096e-02 -1.019676e-01 
 5.578903e-02 -1.043221e-01 
 5.610710e-02 -1.066707e-01 
 5.642517e-02 -1.090128e-01 
 5.674323e-02 -1.113480e-01 
 5.706130e-02 -1.136776e-01 
 5.737937e-02 -1.160042e-01 
 5.769744e-02 -1.183288e-01 
 5.801550e-02 -1.206518e-01 
 5.833357e-02 -1.229673e-01 
 5.865164e-02 -1.252646e-01 
 5.896971e-02 -1.275393e-01 
 5.928777e-02 -1.297906e-01 
 5.960584e-02 -1.320200e-01 
 5.992391e-02 -1.342300e-01 
 6.024198e-02 -1.364219e-01 
 6.056004e-02 -1.385942e-01 
 6.087811e-02 -1.407471e-01 
 6.119618e-02 -1.428790e-01 
 6.151425e-02 -1.449897e-01 
 6.183231e-02 -1.470763e-01 
 6.215038e-02 -1.491350e-01 
 6.246845e-02 -1.511630e-01 
 6.278652e-02 -1.531602e-01 
 6.310458e-02 -1.551269e-01 
 6.342265e-02 -1.570628e-01 
 6.374072e-02 -1.589673e-01 
 6.405879e-02 -1.608371e-01 
 6.437685e-02 -1.626679e-01 
 6.469492e-02 -1.644553e-01 
 6.501299e-02 -1.662009e-01 
 6.533105e-02 -1.679026e-01 
 6.564912e-02 -1.695586e-01 
 6.596719e-02 -1.711679e-01 
 6.628526e-02 -1.727278e-01 
 6.660332e-02 -1.742358e-01 
 6.692139e-02 -1.756907e-01 
 6.723946e-02 -1.770920e-01 
 6.755753e-02 -1.784382e-01 
 6.787559e-02 -1.797305e-01 
 6.819366e-02 -1.809680e-01 
 6.851173e-02 -1.821458e-01 
 6.882980e-02 -1.832612e-01 
 6.914786e-02 -1.843180e-01 
 6.946593e-02 -1.853187e-01 
 6.978400e-02 -1.862627e-01 
 7.010207e-02 -1.871472e-01 
 7.042013e-02 -1.879662e-01 
 7.073820e-02 -1.887151e-01 
 7.105627e-02 -1.893911e-01 
 7.137434e-02 -1.899944e-01 
 7.169240e-02 -1.905277e-01 
 7.201047e-02 -1.909930e-01 
