         time Bot_Quarte... 
------------- ------------- 
 6.361349e-05 -8.906908e-04 
 3.816809e-04 -8.909711e-04 
 6.997484e-04 -8.912412e-04 
 1.017816e-03 -8.915012e-04 
 1.335883e-03 -8.917508e-04 
 1.653951e-03 -8.919901e-04 
 1.972018e-03 -8.922227e-04 
 2.290086e-03 -8.924762e-04 
 2.608153e-03 -8.928168e-04 
 2.926221e-03 -8.932398e-04 
 3.244288e-03 -8.936195e-04 
 3.562355e-03 -8.939300e-04 
 3.880423e-03 -8.942045e-04 
 4.198490e-03 -8.944634e-04 
 4.516558e-03 -8.947444e-04 
 4.834625e-03 -8.950036e-04 
 5.152693e-03 -8.951931e-04 
 5.470760e-03 -8.952491e-04 
 5.788828e-03 -8.951519e-04 
 6.106895e-03 -8.948762e-04 
 6.424963e-03 -8.943865e-04 
 6.743030e-03 -8.936463e-04 
 7.061097e-03 -8.926719e-04 
 7.379165e-03 -8.914849e-04 
 7.697232e-03 -8.901144e-04 
 8.015300e-03 -8.884943e-04 
 8.333367e-03 -8.865535e-04 
 8.651435e-03 -8.843212e-04 
 8.969502e-03 -8.818083e-04 
 9.287570e-03 -8.789845e-04 
 9.605637e-03 -8.758674e-04 
 9.923705e-03 -8.724267e-04 
 1.024177e-02 -8.686245e-04 
 1.055984e-02 -8.644239e-04 
 1.087791e-02 -8.598128e-04 
 1.119597e-02 -8.548341e-04 
 1.151404e-02 -8.494946e-04 
 1.183211e-02 -8.437879e-04 
 1.215018e-02 -8.377067e-04 
 1.246824e-02 -8.312695e-04 
 1.278631e-02 -8.244846e-04 
 1.310438e-02 -8.173440e-04 
 1.342245e-02 -8.098455e-04 
 1.374051e-02 -8.019995e-04 
 1.405858e-02 -7.938644e-04 
 1.437665e-02 -7.853970e-04 
 1.469472e-02 -7.765366e-04 
 1.501278e-02 -7.672424e-04 
 1.533085e-02 -7.575315e-04 
 1.564892e-02 -7.475114e-04 
 1.596699e-02 -7.372658e-04 
 1.628505e-02 -7.267644e-04 
 1.660312e-02 -7.159822e-04 
 1.692119e-02 -7.049090e-04 
 1.723926e-02 -6.935376e-04 
 1.755732e-02 -6.818281e-04 
 1.787539e-02 -6.697584e-04 
 1.819346e-02 -6.573665e-04 
 1.851153e-02 -6.446738e-04 
 1.882959e-02 -6.316954e-04 
 1.914766e-02 -6.184497e-04 
 1.946573e-02 -6.049917e-04 
 1.978380e-02 -5.914223e-04 
 2.010186e-02 -5.777830e-04 
 2.041993e-02 -5.640872e-04 
 2.073800e-02 -5.503439e-04 
 2.105607e-02 -5.365232e-04 
 2.137413e-02 -5.226131e-04 
 2.169220e-02 -5.085895e-04 
 2.201027e-02 -4.944533e-04 
 2.232834e-02 -4.802086e-04 
 2.264640e-02 -4.658661e-04 
 2.296447e-02 -4.514721e-04 
 2.328254e-02 -4.370764e-04 
 2.360061e-02 -4.226907e-04 
 2.391867e-02 -4.083404e-04 
 2.423674e-02 -3.940501e-04 
 2.455481e-02 -3.797917e-04 
 2.487287e-02 -3.655711e-04 
 2.519094e-02 -3.513829e-04 
 2.550901e-02 -3.371942e-04 
 2.582708e-02 -3.230024e-04 
 2.614514e-02 -3.087649e-04 
 2.646321e-02 -2.944413e-04 
 2.678128e-02 -2.800855e-04 
 2.709935e-02 -2.657476e-04 
 2.741741e-02 -2.514321e-04 
 2.773548e-02 -2.371076e-04 
 2.805355e-02 -2.228035e-04 
 2.837162e-02 -2.086188e-04 
 2.868968e-02 -1.945444e-04 
