         time rel_disp_t... 
------------- ------------- 
 6.361349e-05  3.902264e-01 
 3.816809e-04  3.893140e-01 
 6.997484e-04  3.881215e-01 
 1.017816e-03  3.866246e-01 
 1.335883e-03  3.848493e-01 
 1.653951e-03  3.828101e-01 
 1.972018e-03  3.804887e-01 
 2.290086e-03  3.778185e-01 
 2.608153e-03  3.747954e-01 
 2.926221e-03  3.715636e-01 
 3.244288e-03  3.681731e-01 
 3.562355e-03  3.645754e-01 
 3.880423e-03  3.607007e-01 
 4.198490e-03  3.565006e-01 
 4.516558e-03  3.520081e-01 
 4.834625e-03  3.472287e-01 
 5.152693e-03  3.422012e-01 
 5.470760e-03  3.369749e-01 
 5.788828e-03  3.315780e-01 
 6.106895e-03  3.259858e-01 
 6.424963e-03  3.201907e-01 
 6.743030e-03  3.142066e-01 
 7.061097e-03  3.080356e-01 
 7.379165e-03  3.016764e-01 
 7.697232e-03  2.951081e-01 
 8.015300e-03  2.882884e-01 
 8.333367e-03  2.813245e-01 
 8.651435e-03  2.743383e-01 
 8.969502e-03  2.673785e-01 
 9.287570e-03  2.604032e-01 
 9.605637e-03  2.533625e-01 
 9.923705e-03  2.462212e-01 
 1.024177e-02  2.389943e-01 
 1.055984e-02  2.315871e-01 
 1.087791e-02  2.238900e-01 
 1.119597e-02  2.160199e-01 
 1.151404e-02  2.081151e-01 
 1.183211e-02  2.001785e-01 
 1.215018e-02  1.922411e-01 
 1.246824e-02  1.843450e-01 
 1.278631e-02  1.765303e-01 
 1.310438e-02  1.688200e-01 
 1.342245e-02  1.610753e-01 
 1.374051e-02  1.532029e-01 
 1.405858e-02  1.451987e-01 
 1.437665e-02  1.370985e-01 
 1.469472e-02  1.289722e-01 
 1.501278e-02  1.208203e-01 
 1.533085e-02  1.126856e-01 
 1.564892e-02  1.045669e-01 
 1.596699e-02  9.650334e-02 
 1.628505e-02  8.846255e-02 
 1.660312e-02  8.047063e-02 
 1.692119e-02  7.254948e-02 
 1.723926e-02  6.473663e-02 
 1.755732e-02  5.700708e-02 
 1.787539e-02  4.927476e-02 
 1.819346e-02  4.154922e-02 
 1.851153e-02  3.387074e-02 
 1.882959e-02  2.623780e-02 
 1.914766e-02  1.856745e-02 
 1.946573e-02  1.082414e-02 
 1.978380e-02  3.021507e-03 
 2.010186e-02 -4.803739e-03 
 2.041993e-02 -1.260110e-02 
 2.073800e-02 -2.023485e-02 
 2.105607e-02 -2.765008e-02 
 2.137413e-02 -3.482806e-02 
 2.169220e-02 -4.185801e-02 
 2.201027e-02 -4.885445e-02 
 2.232834e-02 -5.583529e-02 
 2.264640e-02 -6.276763e-02 
 2.296447e-02 -6.973610e-02 
 2.328254e-02 -7.674493e-02 
 2.360061e-02 -8.380258e-02 
 2.391867e-02 -9.082150e-02 
 2.423674e-02 -9.762202e-02 
 2.455481e-02 -1.042074e-01 
 2.487287e-02 -1.106144e-01 
 2.519094e-02 -1.169086e-01 
 2.550901e-02 -1.230724e-01 
 2.582708e-02 -1.290254e-01 
 2.614514e-02 -1.347878e-01 
 2.646321e-02 -1.403521e-01 
 2.678128e-02 -1.456557e-01 
 2.709935e-02 -1.506423e-01 
 2.741741e-02 -1.552578e-01 
 2.773548e-02 -1.595637e-01 
 2.805355e-02 -1.635947e-01 
 2.837162e-02 -1.673328e-01 
 2.868968e-02 -1.707716e-01 
 2.900775e-02 -1.739797e-01 
 2.932582e-02 -1.769744e-01 
 2.964389e-02 -1.796805e-01 
 2.996195e-02 -1.820485e-01 
 3.028002e-02 -1.841002e-01 
 3.059809e-02 -1.857108e-01 
 3.091616e-02 -1.867680e-01 
 3.123422e-02 -1.873462e-01 
 3.155229e-02 -1.875153e-01 
 3.187036e-02 -1.873100e-01 
 3.218843e-02 -1.867078e-01 
 3.250649e-02 -1.856133e-01 
 3.282456e-02 -1.840649e-01 
 3.314263e-02 -1.821449e-01 
 3.346070e-02 -1.798384e-01 
 3.377876e-02 -1.771027e-01 
 3.409683e-02 -1.738518e-01 
 3.441490e-02 -1.700630e-01 
 3.473297e-02 -1.658084e-01 
 3.505103e-02 -1.610889e-01 
 3.536910e-02 -1.558235e-01 
 3.568717e-02 -1.498409e-01 
 3.600524e-02 -1.431128e-01 
 3.632330e-02 -1.357096e-01 
 3.664137e-02 -1.276861e-01 
 3.695944e-02 -1.190287e-01 
 3.727751e-02 -1.098281e-01 
 3.759557e-02 -1.001528e-01 
 3.791364e-02 -9.002309e-02 
 3.823171e-02 -7.943866e-02 
 3.854978e-02 -6.830476e-02 
 3.886784e-02 -5.662136e-02 
 3.918591e-02 -4.434755e-02 
 3.950398e-02 -3.144045e-02 
 3.982205e-02 -1.789408e-02 
 4.014011e-02 -3.789862e-03 
 4.045818e-02  1.085032e-02 
 4.077625e-02  2.607232e-02 
 4.109431e-02  4.182985e-02 
 4.141238e-02  5.802325e-02 
 4.173045e-02  7.466341e-02 
 4.204852e-02  9.180279e-02 
 4.236658e-02  1.095024e-01 
 4.268465e-02  1.277748e-01 
 4.300272e-02  1.465471e-01 
 4.332079e-02  1.657701e-01 
 4.363885e-02  1.854820e-01 
 4.395692e-02  2.057342e-01 
 4.427499e-02  2.265106e-01 
 4.459306e-02  2.477502e-01 
 4.491112e-02  2.694080e-01 
 4.522919e-02  2.914913e-01 
 4.554726e-02  3.140624e-01 
 4.586533e-02  3.371077e-01 
 4.618339e-02  3.605387e-01 
 4.650146e-02  3.842864e-01 
 4.681953e-02  4.083345e-01 
 4.713760e-02  4.326794e-01 
 4.745566e-02  4.572607e-01 
 4.777373e-02  4.821351e-01 
 4.809180e-02  5.073532e-01 
 4.840987e-02  5.329254e-01 
 4.872793e-02  5.588018e-01 
 4.904600e-02  5.849111e-01 
 4.936407e-02  6.112034e-01 
 4.968214e-02  6.376672e-01 
 5.000020e-02  6.642696e-01 
 5.031827e-02  6.909547e-01 
 5.063634e-02  7.178055e-01 
 5.095441e-02  7.448307e-01 
 5.127247e-02  7.719956e-01 
 5.159054e-02  7.992723e-01 
 5.190861e-02  8.266923e-01 
 5.222668e-02  8.542512e-01 
 5.254474e-02  8.819036e-01 
 5.286281e-02  9.096686e-01 
 5.318088e-02  9.374816e-01 
 5.349895e-02  9.653407e-01 
 5.381701e-02  9.933053e-01 
 5.413508e-02  1.021352e+00 
 5.445315e-02  1.049403e+00 
 5.477122e-02  1.077448e+00 
 5.508928e-02  1.105475e+00 
 5.540735e-02  1.133473e+00 
 5.572542e-02  1.161405e+00 
 5.604349e-02  1.189221e+00 
 5.636155e-02  1.216948e+00 
 5.667962e-02  1.244617e+00 
 5.699769e-02  1.272257e+00 
 5.731576e-02  1.299842e+00 
 5.763382e-02  1.327361e+00 
 5.795189e-02  1.354856e+00 
 5.826996e-02  1.382277e+00 
 5.858802e-02  1.409472e+00 
 5.890609e-02  1.436364e+00 
 5.922416e-02  1.462925e+00 
 5.954223e-02  1.489189e+00 
 5.986029e-02  1.515208e+00 
 6.017836e-02  1.540995e+00 
 6.049643e-02  1.566552e+00 
 6.081450e-02  1.591891e+00 
 6.113256e-02  1.616978e+00 
 6.145063e-02  1.641812e+00 
 6.176870e-02  1.666353e+00 
 6.208677e-02  1.690579e+00 
 6.240483e-02  1.714404e+00 
 6.272290e-02  1.737833e+00 
 6.304097e-02  1.760902e+00 
 6.335904e-02  1.783597e+00 
 6.367710e-02  1.805915e+00 
 6.399517e-02  1.827859e+00 
 6.431324e-02  1.849349e+00 
 6.463131e-02  1.870343e+00 
 6.494937e-02  1.890880e+00 
 6.526744e-02  1.910948e+00 
 6.558551e-02  1.930485e+00 
 6.590358e-02  1.949417e+00 
 6.622164e-02  1.967743e+00 
 6.653971e-02  1.985469e+00 
 6.685778e-02  2.002564e+00 
 6.717585e-02  2.018980e+00 
 6.749391e-02  2.034694e+00 
 6.781198e-02  2.049762e+00 
 6.813005e-02  2.064216e+00 
 6.844812e-02  2.077978e+00 
 6.876618e-02  2.090999e+00 
 6.908425e-02  2.103323e+00 
 6.940232e-02  2.114987e+00 
 6.972039e-02  2.126008e+00 
 7.003845e-02  2.136361e+00 
 7.035652e-02  2.145984e+00 
 7.067459e-02  2.154773e+00 
 7.099266e-02  2.162710e+00 
 7.131072e-02  2.169818e+00 
 7.162879e-02  2.176121e+00 
 7.194686e-02  2.181647e+00 
 7.226493e-02  2.186402e+00 
 7.258299e-02  2.190400e+00 
 7.290106e-02  2.193689e+00 
 7.321913e-02  2.196255e+00 
 7.353720e-02  2.198061e+00 
 7.385526e-02  2.199082e+00 
 7.417333e-02  2.199240e+00 
 7.449140e-02  2.198502e+00 
 7.480947e-02  2.196911e+00 
 7.512753e-02  2.194543e+00 
 7.544560e-02  2.191364e+00 
 7.576367e-02  2.187318e+00 
 7.608173e-02  2.182441e+00 
 7.639980e-02  2.176774e+00 
 7.671787e-02  2.170296e+00 
 7.703594e-02  2.162991e+00 
 7.735400e-02  2.154897e+00 
 7.767207e-02  2.146054e+00 
 7.799014e-02  2.136492e+00 
 7.830821e-02  2.126193e+00 
 7.862627e-02  2.115133e+00 
 7.894434e-02  2.103369e+00 
 7.926241e-02  2.090955e+00 
 7.958048e-02  2.077873e+00 
 7.989854e-02  2.064104e+00 
 8.021661e-02  2.049660e+00 
 8.053468e-02  2.034476e+00 
 8.085275e-02  2.018507e+00 
 8.117081e-02  2.001817e+00 
 8.148888e-02  1.984433e+00 
 8.180695e-02  1.966363e+00 
 8.212502e-02  1.947636e+00 
 8.244308e-02  1.928272e+00 
 8.276115e-02  1.908284e+00 
 8.307922e-02  1.887713e+00 
 8.339729e-02  1.866566e+00 
 8.371535e-02  1.844844e+00 
 8.403342e-02  1.822555e+00 
 8.435149e-02  1.799697e+00 
 8.466956e-02  1.776328e+00 
 8.498762e-02  1.752477e+00 
 8.530569e-02  1.728117e+00 
 8.562376e-02  1.703136e+00 
 8.594183e-02  1.677526e+00 
 8.625989e-02  1.651331e+00 
 8.657796e-02  1.624578e+00 
 8.689603e-02  1.597290e+00 
 8.721410e-02  1.569529e+00 
 8.753216e-02  1.541346e+00 
 8.785023e-02  1.512745e+00 
 8.816830e-02  1.483715e+00 
 8.848637e-02  1.454243e+00 
 8.880443e-02  1.424357e+00 
 8.912250e-02  1.394080e+00 
 8.944057e-02  1.363405e+00 
 8.975864e-02  1.332283e+00 
 9.007670e-02  1.300723e+00 
 9.039477e-02  1.268771e+00 
 9.071284e-02  1.236399e+00 
 9.103091e-02  1.203626e+00 
 9.134897e-02  1.170488e+00 
 9.166704e-02  1.136971e+00 
 9.198511e-02  1.103077e+00 
 9.230318e-02  1.068833e+00 
 9.262124e-02  1.034224e+00 
 9.293931e-02  9.992570e-01 
 9.325738e-02  9.639743e-01 
 9.357544e-02  9.283922e-01 
 9.389351e-02  8.925150e-01 
 9.421158e-02  8.563483e-01 
 9.452965e-02  8.199103e-01 
 9.484771e-02  7.832210e-01 
 9.516578e-02  7.462884e-01 
 9.548385e-02  7.090573e-01 
 9.580192e-02  6.715053e-01 
 9.611998e-02  6.337052e-01 
 9.643805e-02  5.957104e-01 
 9.675612e-02  5.575720e-01 
 9.707419e-02  5.193429e-01 
 9.739225e-02  4.810668e-01 
 9.771032e-02  4.427223e-01 
 9.802839e-02  4.042939e-01 
 9.834646e-02  3.658018e-01 
 9.866452e-02  3.272870e-01 
 9.898259e-02  2.887998e-01 
 9.930066e-02  2.503506e-01 
 9.961873e-02  2.119396e-01 
 9.993679e-02  1.735596e-01 
 1.002549e-01  1.352687e-01 
 1.005729e-01  9.704209e-02 
 1.008910e-01  5.883787e-02 
 1.012091e-01  2.065544e-02 
 1.015271e-01 -1.751073e-02 
 1.018452e-01 -5.568126e-02 
 1.021633e-01 -9.386113e-02 
 1.024813e-01 -1.320475e-01 
 1.027994e-01 -1.702954e-01 
 1.031175e-01 -2.085764e-01 
 1.034355e-01 -2.468478e-01 
 1.037536e-01 -2.850897e-01 
 1.040717e-01 -3.232982e-01 
 1.043897e-01 -3.614249e-01 
 1.047078e-01 -3.994418e-01 
 1.050259e-01 -4.373419e-01 
 1.053439e-01 -4.750795e-01 
 1.056620e-01 -5.126520e-01 
 1.059801e-01 -5.500089e-01 
 1.062981e-01 -5.870977e-01 
 1.066162e-01 -6.238832e-01 
 1.069343e-01 -6.603462e-01 
 1.072523e-01 -6.964652e-01 
 1.075704e-01 -7.322426e-01 
 1.078885e-01 -7.676717e-01 
 1.082065e-01 -8.026819e-01 
 1.085246e-01 -8.371584e-01 
 1.088427e-01 -8.710270e-01 
 1.091608e-01 -9.042596e-01 
 1.094788e-01 -9.368672e-01 
 1.097969e-01 -9.688421e-01 
 1.101150e-01 -1.000193e+00 
 1.104330e-01 -1.030906e+00 
 1.107511e-01 -1.061007e+00 
 1.110692e-01 -1.090493e+00 
 1.113872e-01 -1.119347e+00 
 1.117053e-01 -1.147522e+00 
 1.120234e-01 -1.174996e+00 
 1.123414e-01 -1.201707e+00 
 1.126595e-01 -1.227651e+00 
 1.129776e-01 -1.252830e+00 
 1.132956e-01 -1.277197e+00 
 1.136137e-01 -1.300740e+00 
 1.139318e-01 -1.323480e+00 
 1.142498e-01 -1.345381e+00 
 1.145679e-01 -1.366437e+00 
 1.148860e-01 -1.386679e+00 
 1.152040e-01 -1.406117e+00 
 1.155221e-01 -1.424736e+00 
 1.158402e-01 -1.442467e+00 
 1.161582e-01 -1.459317e+00 
 1.164763e-01 -1.475312e+00 
 1.167944e-01 -1.490537e+00 
 1.171124e-01 -1.505002e+00 
 1.174305e-01 -1.518677e+00 
 1.177486e-01 -1.531575e+00 
 1.180666e-01 -1.543729e+00 
 1.183847e-01 -1.555099e+00 
 1.187028e-01 -1.565592e+00 
 1.190208e-01 -1.575366e+00 
