         time tilt_local... 
------------- ------------- 
 1.908405e-04 -2.472374e-02 
 5.089079e-04 -2.485986e-02 
 8.269754e-04 -2.506168e-02 
 1.145043e-03 -2.509848e-02 
 1.463110e-03 -2.492179e-02 
 1.781178e-03 -2.468515e-02 
 2.099245e-03 -2.446138e-02 
 2.417313e-03 -2.420678e-02 
 2.735380e-03 -2.387137e-02 
 3.053448e-03 -2.344974e-02 
 3.371515e-03 -2.292739e-02 
 3.689582e-03 -2.228548e-02 
 4.007650e-03 -2.153801e-02 
 4.325717e-03 -2.071474e-02 
 4.643785e-03 -1.983589e-02 
 4.961852e-03 -1.888542e-02 
 5.279920e-03 -1.786075e-02 
 5.597987e-03 -1.678814e-02 
 5.916055e-03 -1.567113e-02 
 6.234122e-03 -1.451417e-02 
 6.552190e-03 -1.329908e-02 
 6.870257e-03 -1.201731e-02 
 7.188324e-03 -1.066489e-02 
 7.506392e-03 -9.239824e-03 
 7.824459e-03 -7.746763e-03 
 8.142527e-03 -6.205628e-03 
 8.460594e-03 -4.631263e-03 
 8.778662e-03 -3.038381e-03 
 9.096729e-03 -1.418272e-03 
 9.414797e-03  2.808297e-04 
 9.732864e-03  2.110552e-03 
 1.005093e-02  3.989693e-03 
 1.036900e-02  5.785406e-03 
 1.068707e-02  7.540411e-03 
 1.100513e-02  9.374428e-03 
 1.132320e-02  1.128333e-02 
 1.164127e-02  1.322045e-02 
 1.195934e-02  1.513774e-02 
 1.227740e-02  1.706720e-02 
 1.259547e-02  1.907237e-02 
 1.291354e-02  2.108164e-02 
 1.323161e-02  2.309792e-02 
 1.354967e-02  2.511942e-02 
 1.386774e-02  2.707367e-02 
 1.418581e-02  2.897704e-02 
 1.450388e-02  3.082105e-02 
 1.482194e-02  3.265267e-02 
 1.514001e-02  3.452454e-02 
 1.545808e-02  3.645937e-02 
 1.577615e-02  3.844522e-02 
 1.609421e-02  4.042496e-02 
 1.641228e-02  4.236875e-02 
 1.673035e-02  4.431018e-02 
 1.704842e-02  4.627845e-02 
 1.736648e-02  4.824511e-02 
 1.768455e-02  5.019644e-02 
 1.800262e-02  5.213018e-02 
 1.832069e-02  5.405493e-02 
 1.863875e-02  5.597385e-02 
 1.895682e-02  5.791639e-02 
 1.927489e-02  5.991142e-02 
 1.959296e-02  6.198217e-02 
 1.991102e-02  6.407440e-02 
 2.022909e-02  6.611428e-02 
 2.054716e-02  6.812796e-02 
 2.086522e-02  7.021421e-02 
 2.118329e-02  7.235634e-02 
 2.150136e-02  7.447542e-02 
 2.181943e-02  7.656402e-02 
 2.213749e-02  7.865907e-02 
 2.245556e-02  8.078845e-02 
 2.277363e-02  8.295197e-02 
 2.309170e-02  8.510048e-02 
 2.340976e-02  8.723558e-02 
 2.372783e-02  8.939461e-02 
 2.404590e-02  9.153852e-02 
 2.436397e-02  9.368334e-02 
 2.468203e-02  9.583209e-02 
 2.500010e-02  9.799899e-02 
 2.531817e-02  1.002374e-01 
 2.563624e-02  1.025086e-01 
 2.595430e-02  1.046964e-01 
 2.627237e-02  1.067807e-01 
 2.659044e-02  1.088108e-01 
 2.690851e-02  1.108734e-01 
 2.722657e-02  1.129490e-01 
 2.754464e-02  1.149635e-01 
 2.786271e-02  1.169318e-01 
 2.818078e-02  1.188618e-01 
 2.849884e-02  1.207487e-01 
 2.881691e-02  1.225942e-01 
 2.913498e-02  1.244006e-01 
 2.945305e-02  1.261587e-01 
 2.977111e-02  1.278289e-01 
 3.008918e-02  1.294112e-01 
 3.040725e-02  1.309497e-01 
 3.072532e-02  1.324731e-01 
 3.104338e-02  1.339289e-01 
 3.136145e-02  1.351961e-01 
 3.167952e-02  1.362820e-01 
 3.199759e-02  1.372565e-01 
 3.231565e-02  1.381338e-01 
 3.263372e-02  1.388951e-01 
 3.295179e-02  1.395577e-01 
 3.326986e-02  1.401319e-01 
 3.358792e-02  1.406061e-01 
 3.390599e-02  1.410031e-01 
 3.422406e-02  1.412816e-01 
 3.454213e-02  1.414394e-01 
 3.486019e-02  1.414600e-01 
 3.517826e-02  1.413466e-01 
 3.549633e-02  1.411328e-01 
 3.581440e-02  1.407259e-01 
 3.613246e-02  1.400611e-01 
