         time joist_s2_s... 
------------- ------------- 
 6.361349e-05  1.321647e-08 
 3.816809e-04  1.324956e-08 
 6.997484e-04  1.328292e-08 
 1.017816e-03  1.331652e-08 
 1.335883e-03  1.335037e-08 
 1.653951e-03  1.338456e-08 
 1.972018e-03  1.341952e-08 
 2.290086e-03  1.345579e-08 
 2.608153e-03  1.349364e-08 
 2.926221e-03  1.353293e-08 
 3.244288e-03  1.357325e-08 
 3.562355e-03  1.361406e-08 
 3.880423e-03  1.365482e-08 
 4.198490e-03  1.369506e-08 
 4.516558e-03  1.373437e-08 
 4.834625e-03  1.377219e-08 
 5.152693e-03  1.380774e-08 
 5.470760e-03  1.383998e-08 
 5.788828e-03  1.386791e-08 
 6.106895e-03  1.389059e-08 
 6.424963e-03  1.390717e-08 
 6.743030e-03  1.391683e-08 
 7.061097e-03  1.391871e-08 
 7.379165e-03  1.391179e-08 
 7.697232e-03  1.389529e-08 
 8.015300e-03  1.386863e-08 
 8.333367e-03  1.383184e-08 
 8.651435e-03  1.378521e-08 
 8.969502e-03  1.372966e-08 
 9.287570e-03  1.366598e-08 
 9.605637e-03  1.359399e-08 
 9.923705e-03  1.351281e-08 
 1.024177e-02  1.341971e-08 
 1.055984e-02  1.331142e-08 
 1.087791e-02  1.318768e-08 
 1.119597e-02  1.304405e-08 
 1.151404e-02  1.288154e-08 
 1.183211e-02  1.270010e-08 
 1.215018e-02  1.249912e-08 
 1.246824e-02  1.227825e-08 
 1.278631e-02  1.203718e-08 
 1.310438e-02  1.176892e-08 
 1.342245e-02  1.147719e-08 
 1.374051e-02  1.115966e-08 
 1.405858e-02  1.081611e-08 
 1.437665e-02  1.044977e-08 
 1.469472e-02  1.005709e-08 
 1.501278e-02  9.633107e-09 
 1.533085e-02  9.178509e-09 
 1.564892e-02  8.691409e-09 
 1.596699e-02  8.173537e-09 
 1.628505e-02  7.628667e-09 
 1.660312e-02  7.050143e-09 
 1.692119e-02  6.444083e-09 
 1.723926e-02  5.816195e-09 
 1.755732e-02  5.162997e-09 
 1.787539e-02  4.484530e-09 
 1.819346e-02  3.772085e-09 
 1.851153e-02  3.044122e-09 
 1.882959e-02  2.303308e-09 
 1.914766e-02  1.545214e-09 
 1.946573e-02  7.607177e-10 
 1.978380e-02 -5.046429e-11 
 2.010186e-02 -8.781351e-10 
 2.041993e-02 -1.721801e-09 
 2.073800e-02 -2.580353e-09 
 2.105607e-02 -3.452360e-09 
 2.137413e-02 -4.336611e-09 
 2.169220e-02 -5.242249e-09 
 2.201027e-02 -6.164197e-09 
 2.232834e-02 -7.095361e-09 
 2.264640e-02 -8.034903e-09 
 2.296447e-02 -8.982195e-09 
 2.328254e-02 -9.936819e-09 
 2.360061e-02 -1.089896e-08 
 2.391867e-02 -1.186952e-08 
 2.423674e-02 -1.284939e-08 
 2.455481e-02 -1.383919e-08 
 2.487287e-02 -1.483887e-08 
 2.519094e-02 -1.584784e-08 
 2.550901e-02 -1.686475e-08 
 2.582708e-02 -1.788845e-08 
 2.614514e-02 -1.891832e-08 
 2.646321e-02 -1.995419e-08 
 2.678128e-02 -2.099640e-08 
 2.709935e-02 -2.204540e-08 
 2.741741e-02 -2.310269e-08 
 2.773548e-02 -2.416978e-08 
 2.805355e-02 -2.524843e-08 
 2.837162e-02 -2.634060e-08 
 2.868968e-02 -2.744876e-08 
 2.900775e-02 -2.857586e-08 
 2.932582e-02 -2.972428e-08 
 2.964389e-02 -3.089583e-08 
 2.996195e-02 -3.209252e-08 
 3.028002e-02 -3.332627e-08 
 3.059809e-02 -3.458643e-08 
 3.091616e-02 -3.587448e-08 
 3.123422e-02 -3.720959e-08 
 3.155229e-02 -3.857371e-08 
 3.187036e-02 -3.996962e-08 
 3.218843e-02 -4.139710e-08 
 3.250649e-02 -4.285501e-08 
 3.282456e-02 -4.436371e-08 
 3.314263e-02 -4.593232e-08 
