         time rel_disp_t... 
------------- ------------- 
 7.953913e-05  5.649774e-01 
 4.772348e-04  5.707336e-01 
 8.749304e-04  5.761478e-01 
 1.272626e-03  5.810812e-01 
 1.670322e-03  5.854432e-01 
 2.068017e-03  5.890948e-01 
 2.465713e-03  5.921973e-01 
 2.863409e-03  5.946322e-01 
 3.261104e-03  5.967099e-01 
 3.658800e-03  5.985740e-01 
 4.056495e-03  6.000960e-01 
 4.454191e-03  6.012767e-01 
 4.851887e-03  6.021299e-01 
 5.249582e-03  6.025258e-01 
 5.647278e-03  6.024070e-01 
 6.044974e-03  6.019140e-01 
 6.442669e-03  6.008767e-01 
 6.840365e-03  5.994539e-01 
 7.238060e-03  5.977968e-01 
 7.635756e-03  5.959577e-01 
 8.033452e-03  5.938279e-01 
 8.431147e-03  5.913637e-01 
 8.828843e-03  5.886867e-01 
 9.226539e-03  5.855227e-01 
 9.624234e-03  5.822621e-01 
 1.002193e-02  5.788183e-01 
 1.041963e-02  5.750709e-01 
 1.081732e-02  5.711705e-01 
 1.121502e-02  5.671439e-01 
 1.161271e-02  5.627206e-01 
 1.201041e-02  5.577470e-01 
 1.240810e-02  5.525536e-01 
 1.280580e-02  5.471935e-01 
 1.320349e-02  5.417713e-01 
 1.360119e-02  5.363632e-01 
 1.399889e-02  5.309100e-01 
 1.439658e-02  5.252341e-01 
 1.479428e-02  5.192077e-01 
 1.519197e-02  5.128173e-01 
 1.558967e-02  5.061379e-01 
 1.598736e-02  4.993211e-01 
 1.638506e-02  4.925339e-01 
 1.678276e-02  4.854795e-01 
 1.718045e-02  4.783523e-01 
 1.757815e-02  4.709904e-01 
 1.797584e-02  4.635448e-01 
 1.837354e-02  4.557104e-01 
 1.877123e-02  4.475244e-01 
 1.916893e-02  4.389465e-01 
 1.956662e-02  4.301330e-01 
 1.996432e-02  4.210949e-01 
 2.036202e-02  4.118521e-01 
 2.075971e-02  4.023447e-01 
 2.115741e-02  3.926872e-01 
 2.155510e-02  3.827320e-01 
 2.195280e-02  3.724235e-01 
 2.235049e-02  3.618883e-01 
 2.274819e-02  3.512074e-01 
 2.314589e-02  3.404055e-01 
 2.354358e-02  3.295133e-01 
 2.394128e-02  3.183962e-01 
 2.433897e-02  3.069514e-01 
 2.473667e-02  2.951166e-01 
 2.513436e-02  2.828830e-01 
 2.553206e-02  2.703773e-01 
 2.592975e-02  2.579003e-01 
 2.632745e-02  2.455483e-01 
 2.672515e-02  2.331867e-01 
 2.712284e-02  2.207031e-01 
 2.752054e-02  2.081144e-01 
 2.791823e-02  1.952871e-01 
 2.831593e-02  1.823149e-01 
 2.871362e-02  1.693085e-01 
 2.911132e-02  1.562787e-01 
 2.950902e-02  1.432804e-01 
 2.990671e-02  1.303854e-01 
 3.030441e-02  1.175644e-01 
 3.070210e-02  1.046844e-01 
 3.109980e-02  9.174321e-02 
 3.149749e-02  7.887227e-02 
 3.189519e-02  6.610722e-02 
 3.229288e-02  5.346870e-02 
 3.269058e-02  4.102833e-02 
 3.308828e-02  2.883941e-02 
 3.348597e-02  1.692880e-02 
 3.388367e-02  5.022280e-03 
 3.428136e-02 -6.814864e-03 
 3.467906e-02 -1.852862e-02 
 3.507675e-02 -3.017791e-02 
 3.547445e-02 -4.161603e-02 
 3.587215e-02 -5.271775e-02 
 3.626984e-02 -6.337572e-02 
 3.666754e-02 -7.346578e-02 
 3.706523e-02 -8.319485e-02 
 3.746293e-02 -9.280550e-02 
 3.786062e-02 -1.020866e-01 
 3.825832e-02 -1.110433e-01 
 3.865602e-02 -1.195852e-01 
 3.905371e-02 -1.277680e-01 
 3.945141e-02 -1.355298e-01 
 3.984910e-02 -1.428320e-01 
 4.024680e-02 -1.498686e-01 
 4.064449e-02 -1.566520e-01 
 4.104219e-02 -1.631263e-01 
 4.143988e-02 -1.691060e-01 
 4.183758e-02 -1.746100e-01 
 4.223528e-02 -1.794879e-01 
 4.263297e-02 -1.837908e-01 
 4.303067e-02 -1.876816e-01 
 4.342836e-02 -1.912748e-01 
 4.382606e-02 -1.946385e-01 
 4.422375e-02 -1.977396e-01 
 4.462145e-02 -2.005606e-01 
 4.501915e-02 -2.030205e-01 
 4.541684e-02 -2.050470e-01 
 4.581454e-02 -2.066411e-01 
 4.621223e-02 -2.079268e-01 
 4.660993e-02 -2.087163e-01 
 4.700762e-02 -2.091770e-01 
 4.740532e-02 -2.095007e-01 
 4.780301e-02 -2.097445e-01 
 4.820071e-02 -2.097953e-01 
 4.859841e-02 -2.095863e-01 
 4.899610e-02 -2.091188e-01 
 4.939380e-02 -2.083083e-01 
 4.979149e-02 -2.071973e-01 
 5.018919e-02 -2.059187e-01 
 5.058688e-02 -2.043772e-01 
 5.098458e-02 -2.026033e-01 
 5.138228e-02 -2.004948e-01 
 5.177997e-02 -1.979522e-01 
 5.217767e-02 -1.950025e-01 
 5.257536e-02 -1.916711e-01 
 5.297306e-02 -1.882740e-01 
 5.337075e-02 -1.846710e-01 
 5.376845e-02 -1.810144e-01 
 5.416614e-02 -1.770332e-01 
 5.456384e-02 -1.726201e-01 
 5.496154e-02 -1.676919e-01 
 5.535923e-02 -1.622021e-01 
 5.575693e-02 -1.562687e-01 
 5.615462e-02 -1.499313e-01 
 5.655232e-02 -1.433917e-01 
 5.695001e-02 -1.365359e-01 
 5.734771e-02 -1.293343e-01 
 5.774541e-02 -1.217678e-01 
 5.814310e-02 -1.139364e-01 
 5.854080e-02 -1.056413e-01 
 5.893849e-02 -9.677704e-02 
 5.933619e-02 -8.744981e-02 
 5.973388e-02 -7.756584e-02 
 6.013158e-02 -6.725695e-02 
 6.052927e-02 -5.647094e-02 
 6.092697e-02 -4.529355e-02 
 6.132467e-02 -3.371400e-02 
 6.172236e-02 -2.161009e-02 
 6.212006e-02 -9.155445e-03 
 6.251775e-02  3.660387e-03 
 6.291545e-02  1.668179e-02 
 6.331314e-02  2.985977e-02 
 6.371084e-02  4.331933e-02 
 6.410854e-02  5.717081e-02 
 6.450623e-02  7.158748e-02 
 6.490393e-02  8.648495e-02 
 6.530162e-02  1.018710e-01 
 6.569932e-02  1.177666e-01 
 6.609701e-02  1.339115e-01 
 6.649471e-02  1.501958e-01 
 6.689240e-02  1.667318e-01 
 6.729010e-02  1.836364e-01 
 6.768780e-02  2.009813e-01 
 6.808549e-02  2.188326e-01 
 6.848319e-02  2.370616e-01 
 6.888088e-02  2.555735e-01 
 6.927858e-02  2.743564e-01 
 6.967627e-02  2.934150e-01 
 7.007397e-02  3.126526e-01 
 7.047167e-02  3.319993e-01 
 7.086936e-02  3.515731e-01 
 7.126706e-02  3.713854e-01 
 7.166475e-02  3.912348e-01 
 7.206245e-02  4.112425e-01 
 7.246014e-02  4.315043e-01 
 7.285784e-02  4.516601e-01 
 7.325553e-02  4.718647e-01 
 7.365323e-02  4.919484e-01 
 7.405093e-02  5.121168e-01 
 7.444862e-02  5.322785e-01 
 7.484632e-02  5.525135e-01 
 7.524401e-02  5.726218e-01 
 7.564171e-02  5.925546e-01 
 7.603940e-02  6.123721e-01 
 7.643710e-02  6.319370e-01 
 7.683480e-02  6.511404e-01 
 7.723249e-02  6.702260e-01 
 7.763019e-02  6.892963e-01 
 7.802788e-02  7.083231e-01 
 7.842558e-02  7.271948e-01 
 7.882327e-02  7.457584e-01 
 7.922097e-02  7.638713e-01 
 7.961866e-02  7.816280e-01 
 8.001636e-02  7.991319e-01 
 8.041406e-02  8.163908e-01 
 8.081175e-02  8.334553e-01 
 8.120945e-02  8.504037e-01 
 8.160714e-02  8.671029e-01 
 8.200484e-02  8.834602e-01 
 8.240253e-02  8.995737e-01 
 8.280023e-02  9.154243e-01 
 8.319793e-02  9.310238e-01 
 8.359562e-02  9.464980e-01 
 8.399332e-02  9.618621e-01 
 8.439101e-02  9.771341e-01 
 8.478871e-02  9.922461e-01 
 8.518640e-02  1.007070e+00 
 8.558410e-02  1.021588e+00 
 8.598179e-02  1.035901e+00 
 8.637949e-02  1.049897e+00 
 8.677719e-02  1.063625e+00 
 8.717488e-02  1.077119e+00 
 8.757258e-02  1.090449e+00 
 8.797027e-02  1.103692e+00 
 8.836797e-02  1.116810e+00 
 8.876566e-02  1.129662e+00 
 8.916336e-02  1.142150e+00 
 8.956106e-02  1.154223e+00 
 8.995875e-02  1.166030e+00 
 9.035645e-02  1.177563e+00 
 9.075414e-02  1.188807e+00 
 9.115184e-02  1.199736e+00 
 9.154953e-02  1.210096e+00 
 9.194723e-02  1.220007e+00 
 9.234492e-02  1.229439e+00 
 9.274262e-02  1.238360e+00 
 9.314032e-02  1.246953e+00 
 9.353801e-02  1.255296e+00 
 9.393571e-02  1.263293e+00 
 9.433340e-02  1.270804e+00 
 9.473110e-02  1.277858e+00 
 9.512879e-02  1.284326e+00 
 9.552649e-02  1.290194e+00 
 9.592419e-02  1.295496e+00 
 9.632188e-02  1.300374e+00 
 9.671958e-02  1.304961e+00 
 9.711727e-02  1.309035e+00 
 9.751497e-02  1.312704e+00 
 9.791266e-02  1.315913e+00 
 9.831036e-02  1.318676e+00 
 9.870805e-02  1.320928e+00 
 9.910575e-02  1.322594e+00 
 9.950345e-02  1.323630e+00 
 9.990114e-02  1.324019e+00 
 1.002988e-01  1.323817e+00 
 1.006965e-01  1.323170e+00 
 1.010942e-01  1.321850e+00 
 1.014919e-01  1.319973e+00 
 1.018896e-01  1.317318e+00 
 1.022873e-01  1.313928e+00 
 1.026850e-01  1.309879e+00 
 1.030827e-01  1.305325e+00 
 1.034804e-01  1.300120e+00 
 1.038781e-01  1.294442e+00 
 1.042758e-01  1.288103e+00 
 1.046735e-01  1.280943e+00 
 1.050712e-01  1.273047e+00 
 1.054689e-01  1.264398e+00 
 1.058666e-01  1.255142e+00 
 1.062643e-01  1.245354e+00 
 1.066620e-01  1.234992e+00 
 1.070597e-01  1.224119e+00 
 1.074574e-01  1.212551e+00 
 1.078551e-01  1.200158e+00 
 1.082527e-01  1.186950e+00 
 1.086504e-01  1.173149e+00 
 1.090481e-01  1.158648e+00 
 1.094458e-01  1.143579e+00 
 1.098435e-01  1.128023e+00 
 1.102412e-01  1.112042e+00 
 1.106389e-01  1.095694e+00 
 1.110366e-01  1.078949e+00 
 1.114343e-01  1.061758e+00 
 1.118320e-01  1.044171e+00 
 1.122297e-01  1.026208e+00 
 1.126274e-01  1.007819e+00 
 1.130251e-01  9.891192e-01 
 1.134228e-01  9.701444e-01 
 1.138205e-01  9.509778e-01 
 1.142182e-01  9.316380e-01 
 1.146159e-01  9.119917e-01 
 1.150136e-01  8.920746e-01 
 1.154113e-01  8.720583e-01 
 1.158090e-01  8.520092e-01 
 1.162067e-01  8.318762e-01 
 1.166044e-01  8.116453e-01 
 1.170021e-01  7.914183e-01 
 1.173997e-01  7.709608e-01 
 1.177974e-01  7.501840e-01 
 1.181951e-01  7.291043e-01 
 1.185928e-01  7.078150e-01 
 1.189905e-01  6.865093e-01 
 1.193882e-01  6.651938e-01 
 1.197859e-01  6.439842e-01 
 1.201836e-01  6.226231e-01 
 1.205813e-01  6.011460e-01 
