         time tilt_full_... 
------------- ------------- 
 2.783869e-04 -1.562117e-02 
 6.760826e-04 -1.569825e-02 
 1.073778e-03 -1.575758e-02 
 1.471474e-03 -1.580263e-02 
 1.869169e-03 -1.584262e-02 
 2.266865e-03 -1.587730e-02 
 2.664561e-03 -1.591040e-02 
 3.062256e-03 -1.593671e-02 
 3.459952e-03 -1.595636e-02 
 3.857648e-03 -1.596393e-02 
 4.255343e-03 -1.595912e-02 
 4.653039e-03 -1.594863e-02 
 5.050734e-03 -1.592734e-02 
 5.448430e-03 -1.589697e-02 
 5.846126e-03 -1.586145e-02 
 6.243821e-03 -1.581742e-02 
 6.641517e-03 -1.575681e-02 
 7.039213e-03 -1.568478e-02 
 7.436908e-03 -1.559563e-02 
 7.834604e-03 -1.548604e-02 
 8.232299e-03 -1.535812e-02 
 8.629995e-03 -1.521192e-02 
 9.027691e-03 -1.504465e-02 
 9.425386e-03 -1.485814e-02 
 9.823082e-03 -1.465466e-02 
 1.022078e-02 -1.443181e-02 
 1.061847e-02 -1.418388e-02 
 1.101617e-02 -1.391174e-02 
 1.141386e-02 -1.361467e-02 
 1.181156e-02 -1.330076e-02 
 1.220926e-02 -1.297354e-02 
 1.260695e-02 -1.263891e-02 
 1.300465e-02 -1.229025e-02 
 1.340234e-02 -1.191983e-02 
 1.380004e-02 -1.153619e-02 
 1.419773e-02 -1.113986e-02 
 1.459543e-02 -1.073494e-02 
 1.499313e-02 -1.032944e-02 
 1.539082e-02 -9.920820e-03 
 1.578852e-02 -9.502280e-03 
 1.618621e-02 -9.066382e-03 
 1.658391e-02 -8.611635e-03 
 1.698160e-02 -8.137816e-03 
 1.737930e-02 -7.650223e-03 
 1.777699e-02 -7.145993e-03 
 1.817469e-02 -6.635902e-03 
 1.857239e-02 -6.119869e-03 
 1.897008e-02 -5.600460e-03 
 1.936778e-02 -5.073316e-03 
 1.976547e-02 -4.535174e-03 
 2.016317e-02 -3.982150e-03 
 2.056086e-02 -3.413427e-03 
 2.095856e-02 -2.832811e-03 
 2.135626e-02 -2.244888e-03 
 2.175395e-02 -1.650802e-03 
 2.215165e-02 -1.062763e-03 
 2.254934e-02 -4.801019e-04 
 2.294704e-02  9.668819e-05 
 2.334473e-02  6.651128e-04 
 2.374243e-02  1.225358e-03 
 2.414012e-02  1.785406e-03 
 2.453782e-02  2.333942e-03 
 2.493552e-02  2.870749e-03 
 2.533321e-02  3.398210e-03 
 2.573091e-02  3.917706e-03 
 2.612860e-02  4.435065e-03 
 2.652630e-02  4.951637e-03 
 2.692399e-02  5.467376e-03 
 2.732169e-02  5.974945e-03 
 2.771939e-02  6.471388e-03 
 2.811708e-02  6.954540e-03 
 2.851478e-02  7.428087e-03 
 2.891247e-02  7.902370e-03 
 2.931017e-02  8.375803e-03 
 2.970786e-02  8.853247e-03 
 3.010556e-02  9.335202e-03 
 3.050325e-02  9.817432e-03 
 3.090095e-02  1.029014e-02 
 3.129865e-02  1.075578e-02 
 3.169634e-02  1.121534e-02 
 3.209404e-02  1.166792e-02 
 3.249173e-02  1.212274e-02 
 3.288943e-02  1.257155e-02 
 3.328712e-02  1.302382e-02 
 3.368482e-02  1.347049e-02 
 3.408252e-02  1.391525e-02 
 3.448021e-02  1.435694e-02 
 3.487791e-02  1.479464e-02 
 3.527560e-02  1.522945e-02 
 3.567330e-02  1.566509e-02 
 3.607099e-02  1.610894e-02 
 3.646869e-02  1.656074e-02 
 3.686638e-02  1.702126e-02 
 3.726408e-02  1.748631e-02 
 3.766178e-02  1.795408e-02 
 3.805947e-02  1.842182e-02 
 3.845717e-02  1.888984e-02 
 3.885486e-02  1.935938e-02 
 3.925256e-02  1.983717e-02 
 3.965025e-02  2.031608e-02 
 4.004795e-02  2.080079e-02 
 4.044565e-02  2.127984e-02 
 4.084334e-02  2.174687e-02 
 4.124104e-02  2.219888e-02 
 4.163873e-02  2.263902e-02 
 4.203643e-02  2.307015e-02 
 4.243412e-02  2.349800e-02 
 4.283182e-02  2.391832e-02 
 4.322951e-02  2.432660e-02 
 4.362721e-02  2.471719e-02 
 4.402491e-02  2.508742e-02 
 4.442260e-02  2.544103e-02 
 4.482030e-02  2.578154e-02 
 4.521799e-02  2.611175e-02 
 4.561569e-02  2.643028e-02 
 4.601338e-02  2.673725e-02 
 4.641108e-02  2.703353e-02 
 4.680878e-02  2.732114e-02 
 4.720647e-02  2.759310e-02 
 4.760417e-02  2.784621e-02 
 4.800186e-02  2.808320e-02 
 4.839956e-02  2.830163e-02 
 4.879725e-02  2.850262e-02 
 4.919495e-02  2.868874e-02 
 4.959264e-02  2.885893e-02 
 4.999034e-02  2.900822e-02 
 5.038804e-02  2.913418e-02 
 5.078573e-02  2.924033e-02 
 5.118343e-02  2.932413e-02 
 5.158112e-02  2.939051e-02 
 5.197882e-02  2.944173e-02 
 5.237651e-02  2.948185e-02 
 5.277421e-02  2.950619e-02 
 5.317191e-02  2.950477e-02 
 5.356960e-02  2.947724e-02 
 5.396730e-02  2.941922e-02 
 5.436499e-02  2.933976e-02 
 5.476269e-02  2.924513e-02 
 5.516038e-02  2.914236e-02 
 5.555808e-02  2.903402e-02 
 5.595577e-02  2.891888e-02 
 5.635347e-02  2.878671e-02 
 5.675117e-02  2.863958e-02 
 5.714886e-02  2.847950e-02 
 5.754656e-02  2.830299e-02 
 5.794425e-02  2.811359e-02 
