         time tilt_beam_... 
------------- ------------- 
 2.783869e-04 -1.201493e-02 
 6.760826e-04 -1.302206e-02 
 1.073778e-03 -1.399893e-02 
 1.471474e-03 -1.493762e-02 
 1.869169e-03 -1.583866e-02 
 2.266865e-03 -1.664758e-02 
 2.664561e-03 -1.736591e-02 
 3.062256e-03 -1.801207e-02 
 3.459952e-03 -1.858502e-02 
 3.857648e-03 -1.904824e-02 
 4.255343e-03 -1.940481e-02 
 4.653039e-03 -1.963425e-02 
 5.050734e-03 -1.973196e-02 
 5.448430e-03 -1.971871e-02 
 5.846126e-03 -1.960135e-02 
 6.243821e-03 -1.934285e-02 
 6.641517e-03 -1.897046e-02 
 7.039213e-03 -1.852079e-02 
 7.436908e-03 -1.800243e-02 
 7.834604e-03 -1.740649e-02 
 8.232299e-03 -1.672756e-02 
 8.629995e-03 -1.601323e-02 
 9.027691e-03 -1.526373e-02 
 9.425386e-03 -1.458078e-02 
 9.823082e-03 -1.395232e-02 
 1.022078e-02 -1.340661e-02 
 1.061847e-02 -1.295265e-02 
 1.101617e-02 -1.253624e-02 
 1.141386e-02 -1.214638e-02 
 1.181156e-02 -1.177828e-02 
 1.220926e-02 -1.139401e-02 
 1.260695e-02 -1.100462e-02 
 1.300465e-02 -1.060896e-02 
 1.340234e-02 -1.027911e-02 
 1.380004e-02 -1.001686e-02 
 1.419773e-02 -9.788754e-03 
 1.459543e-02 -9.573923e-03 
 1.499313e-02 -9.366199e-03 
 1.539082e-02 -9.142080e-03 
 1.578852e-02 -8.921756e-03 
 1.618621e-02 -8.724582e-03 
 1.658391e-02 -8.586870e-03 
 1.698160e-02 -8.505772e-03 
 1.737930e-02 -8.465282e-03 
 1.777699e-02 -8.510406e-03 
 1.817469e-02 -8.610135e-03 
 1.857239e-02 -8.716455e-03 
 1.897008e-02 -8.848642e-03 
 1.936778e-02 -9.044064e-03 
 1.976547e-02 -9.319223e-03 
 2.016317e-02 -9.691996e-03 
 2.056086e-02 -1.007860e-02 
 2.095856e-02 -1.047610e-02 
 2.135626e-02 -1.086119e-02 
 2.175395e-02 -1.126695e-02 
 2.215165e-02 -1.169832e-02 
 2.254934e-02 -1.212975e-02 
 2.294704e-02 -1.256646e-02 
 2.334473e-02 -1.299775e-02 
 2.374243e-02 -1.338969e-02 
 2.414012e-02 -1.374314e-02 
 2.453782e-02 -1.402805e-02 
 2.493552e-02 -1.424626e-02 
 2.533321e-02 -1.437470e-02 
 2.573091e-02 -1.450271e-02 
 2.612860e-02 -1.464248e-02 
 2.652630e-02 -1.476663e-02 
 2.692399e-02 -1.488833e-02 
 2.732169e-02 -1.495958e-02 
 2.771939e-02 -1.499735e-02 
 2.811708e-02 -1.501314e-02 
 2.851478e-02 -1.495308e-02 
 2.891247e-02 -1.486040e-02 
 2.931017e-02 -1.472324e-02 
 2.970786e-02 -1.449985e-02 
 3.010556e-02 -1.425417e-02 
 3.050325e-02 -1.393396e-02 
 3.090095e-02 -1.353112e-02 
 3.129865e-02 -1.298927e-02 
 3.169634e-02 -1.233946e-02 
 3.209404e-02 -1.160369e-02 
 3.249173e-02 -1.078954e-02 
 3.288943e-02 -9.916496e-03 
 3.328712e-02 -8.932742e-03 
 3.368482e-02 -7.829920e-03 
 3.408252e-02 -6.628721e-03 
 3.448021e-02 -5.352545e-03 
 3.487791e-02 -3.985446e-03 
 3.527560e-02 -2.621019e-03 
 3.567330e-02 -1.252507e-03 
 3.607099e-02  1.343124e-04 
 3.646869e-02  1.479380e-03 
 3.686638e-02  2.791949e-03 
 3.726408e-02  4.097644e-03 
 3.766178e-02  5.390882e-03 
 3.805947e-02  6.631197e-03 
 3.845717e-02  7.787908e-03 
 3.885486e-02  8.851637e-03 
 3.925256e-02  9.802565e-03 
 3.965025e-02  1.065040e-02 
 4.004795e-02  1.141891e-02 
 4.044565e-02  1.208623e-02 
 4.084334e-02  1.267116e-02 
 4.124104e-02  1.316054e-02 
 4.163873e-02  1.354241e-02 
 4.203643e-02  1.378598e-02 
 4.243412e-02  1.388720e-02 
 4.283182e-02  1.387359e-02 
 4.322951e-02  1.377508e-02 
 4.362721e-02  1.362129e-02 
 4.402491e-02  1.343823e-02 
 4.442260e-02  1.315308e-02 
 4.482030e-02  1.273596e-02 
 4.521799e-02  1.218091e-02 
 4.561569e-02  1.146631e-02 
 4.601338e-02  1.061775e-02 
 4.641108e-02  9.647211e-03 
 4.680878e-02  8.594412e-03 
 4.720647e-02  7.498280e-03 
 4.760417e-02  6.409357e-03 
 4.800186e-02  5.321367e-03 
 4.839956e-02  4.173370e-03 
 4.879725e-02  2.999092e-03 
 4.919495e-02  1.745407e-03 
 4.959264e-02  4.664608e-04 
 4.999034e-02 -7.922489e-04 
 5.038804e-02 -2.065151e-03 
 5.078573e-02 -3.358208e-03 
 5.118343e-02 -4.683995e-03 
 5.158112e-02 -6.005187e-03 
 5.197882e-02 -7.293456e-03 
 5.237651e-02 -8.538943e-03 
 5.277421e-02 -9.786662e-03 
 5.317191e-02 -1.100924e-02 
 5.356960e-02 -1.220577e-02 
 5.396730e-02 -1.337565e-02 
 5.436499e-02 -1.457155e-02 
 5.476269e-02 -1.573967e-02 
 5.516038e-02 -1.693971e-02 
 5.555808e-02 -1.814829e-02 
 5.595577e-02 -1.932265e-02 
 5.635347e-02 -2.044288e-02 
 5.675117e-02 -2.151594e-02 
