         time joist_s1_s... 
------------- ------------- 
 3.579261e-04 -6.751343e-08 
 7.556217e-04 -6.753719e-08 
 1.153317e-03 -6.756266e-08 
 1.551013e-03 -6.758971e-08 
 1.948709e-03 -6.761799e-08 
 2.346404e-03 -6.764740e-08 
 2.744100e-03 -6.767877e-08 
 3.141795e-03 -6.771403e-08 
 3.539491e-03 -6.775567e-08 
 3.937187e-03 -6.780627e-08 
 4.334882e-03 -6.786823e-08 
 4.732578e-03 -6.794350e-08 
 5.130274e-03 -6.803355e-08 
 5.527969e-03 -6.813934e-08 
 5.925665e-03 -6.826109e-08 
 6.323360e-03 -6.839849e-08 
 6.721056e-03 -6.855136e-08 
 7.118752e-03 -6.872021e-08 
 7.516447e-03 -6.890630e-08 
 7.914143e-03 -6.911152e-08 
 8.311839e-03 -6.933807e-08 
 8.709534e-03 -6.958784e-08 
 9.107230e-03 -6.986192e-08 
 9.504926e-03 -7.016048e-08 
 9.902621e-03 -7.048300e-08 
 1.030032e-02 -7.082844e-08 
 1.069801e-02 -7.119536e-08 
 1.109571e-02 -7.158235e-08 
 1.149340e-02 -7.198837e-08 
 1.189110e-02 -7.241298e-08 
 1.228879e-02 -7.285637e-08 
 1.268649e-02 -7.331924e-08 
 1.308419e-02 -7.380233e-08 
 1.348188e-02 -7.430613e-08 
 1.387958e-02 -7.483093e-08 
 1.427727e-02 -7.537674e-08 
 1.467497e-02 -7.594303e-08 
 1.507266e-02 -7.652894e-08 
 1.547036e-02 -7.713366e-08 
 1.586806e-02 -7.775661e-08 
 1.626575e-02 -7.839747e-08 
 1.666345e-02 -7.905657e-08 
 1.706114e-02 -7.973519e-08 
 1.745884e-02 -8.043496e-08 
 1.785653e-02 -8.115716e-08 
 1.825423e-02 -8.190230e-08 
 1.865192e-02 -8.267019e-08 
 1.904962e-02 -8.346005e-08 
 1.944732e-02 -8.427081e-08 
 1.984501e-02 -8.510175e-08 
 2.024271e-02 -8.595290e-08 
 2.064040e-02 -8.682503e-08 
 2.103810e-02 -8.771941e-08 
 2.143579e-02 -8.863749e-08 
 2.183349e-02 -8.958067e-08 
 2.223119e-02 -9.055020e-08 
 2.262888e-02 -9.154707e-08 
 2.302658e-02 -9.257147e-08 
 2.342427e-02 -9.362242e-08 
 2.382197e-02 -9.469841e-08 
 2.421966e-02 -9.579797e-08 
 2.461736e-02 -9.691968e-08 
 2.501505e-02 -9.806224e-08 
 2.541275e-02 -9.922472e-08 
 2.581045e-02 -1.004065e-07 
 2.620814e-02 -1.016071e-07 
 2.660584e-02 -1.028257e-07 
 2.700353e-02 -1.040617e-07 
 2.740123e-02 -1.053141e-07 
 2.779892e-02 -1.065815e-07 
 2.819662e-02 -1.078621e-07 
 2.859432e-02 -1.091542e-07 
 2.899201e-02 -1.104560e-07 
 2.938971e-02 -1.117666e-07 
 2.978740e-02 -1.130855e-07 
 3.018510e-02 -1.144124e-07 
 3.058279e-02 -1.157470e-07 
 3.098049e-02 -1.170892e-07 
 3.137819e-02 -1.184389e-07 
 3.177588e-02 -1.197960e-07 
 3.217358e-02 -1.211596e-07 
 3.257127e-02 -1.225287e-07 
 3.296897e-02 -1.239024e-07 
 3.336666e-02 -1.252803e-07 
 3.376436e-02 -1.266631e-07 
 3.416205e-02 -1.280523e-07 
 3.455975e-02 -1.294497e-07 
 3.495745e-02 -1.308573e-07 
 3.535514e-02 -1.322772e-07 
 3.575284e-02 -1.337111e-07 
 3.615053e-02 -1.351606e-07 
 3.654823e-02 -1.366268e-07 
 3.694592e-02 -1.381101e-07 
 3.734362e-02 -1.396104e-07 
 3.774132e-02 -1.411278e-07 
 3.813901e-02 -1.426630e-07 
 3.853671e-02 -1.442173e-07 
 3.893440e-02 -1.457923e-07 
 3.933210e-02 -1.473897e-07 
 3.972979e-02 -1.490119e-07 
 4.012749e-02 -1.506610e-07 
 4.052518e-02 -1.523389e-07 
 4.092288e-02 -1.540466e-07 
 4.132058e-02 -1.557841e-07 
 4.171827e-02 -1.575506e-07 
 4.211597e-02 -1.593448e-07 
 4.251366e-02 -1.611651e-07 
 4.291136e-02 -1.630104e-07 
 4.330905e-02 -1.648803e-07 
 4.370675e-02 -1.667752e-07 
 4.410445e-02 -1.686956e-07 
 4.450214e-02 -1.706418e-07 
 4.489984e-02 -1.726141e-07 
 4.529753e-02 -1.746122e-07 
 4.569523e-02 -1.766350e-07 
 4.609292e-02 -1.786804e-07 
 4.649062e-02 -1.807462e-07 
 4.688831e-02 -1.828303e-07 
 4.728601e-02 -1.849309e-07 
 4.768371e-02 -1.870471e-07 
 4.808140e-02 -1.891787e-07 
 4.847910e-02 -1.913260e-07 
 4.887679e-02 -1.934895e-07 
 4.927449e-02 -1.956696e-07 
 4.967218e-02 -1.978661e-07 
 5.006988e-02 -2.000788e-07 
 5.046758e-02 -2.023068e-07 
 5.086527e-02 -2.045489e-07 
 5.126297e-02 -2.068034e-07 
 5.166066e-02 -2.090689e-07 
 5.205836e-02 -2.113446e-07 
 5.245605e-02 -2.136305e-07 
 5.285375e-02 -2.159270e-07 
 5.325144e-02 -2.182351e-07 
 5.364914e-02 -2.205557e-07 
 5.404684e-02 -2.228891e-07 
 5.444453e-02 -2.252347e-07 
 5.484223e-02 -2.275910e-07 
 5.523992e-02 -2.299567e-07 
 5.563762e-02 -2.323301e-07 
 5.603531e-02 -2.347096e-07 
 5.643301e-02 -2.370938e-07 
 5.683071e-02 -2.394818e-07 
 5.722840e-02 -2.418735e-07 
 5.762610e-02 -2.442692e-07 
 5.802379e-02 -2.466692e-07 
 5.842149e-02 -2.490732e-07 
 5.881918e-02 -2.514805e-07 
 5.921688e-02 -2.538905e-07 
 5.961457e-02 -2.563021e-07 
 6.001227e-02 -2.587147e-07 
 6.040997e-02 -2.611279e-07 
 6.080766e-02 -2.635418e-07 
 6.120536e-02 -2.659569e-07 
 6.160305e-02 -2.683742e-07 
 6.200075e-02 -2.707947e-07 
 6.239844e-02 -2.732195e-07 
 6.279614e-02 -2.756494e-07 
