         time rel_disp_t... 
------------- ------------- 
 3.181565e-04  1.836397e+00 
 7.158521e-04  1.833954e+00 
 1.113548e-03  1.830073e+00 
 1.511243e-03  1.824990e+00 
 1.908939e-03  1.818722e+00 
 2.306635e-03  1.811235e+00 
 2.704330e-03  1.802289e+00 
 3.102026e-03  1.792143e+00 
 3.499722e-03  1.780817e+00 
 3.897417e-03  1.768455e+00 
 4.295113e-03  1.754858e+00 
 4.692808e-03  1.739964e+00 
 5.090504e-03  1.723752e+00 
 5.488200e-03  1.706146e+00 
 5.885895e-03  1.687280e+00 
 6.283591e-03  1.667048e+00 
 6.681287e-03  1.645531e+00 
 7.078982e-03  1.622878e+00 
 7.476678e-03  1.599203e+00 
 7.874373e-03  1.574242e+00 
 8.272069e-03  1.547743e+00 
 8.669765e-03  1.519709e+00 
 9.067460e-03  1.490782e+00 
 9.465156e-03  1.461490e+00 
 9.862852e-03  1.431749e+00 
 1.026055e-02  1.401560e+00 
 1.065824e-02  1.370466e+00 
 1.105594e-02  1.338282e+00 
 1.145363e-02  1.304325e+00 
 1.185133e-02  1.268665e+00 
 1.224903e-02  1.231671e+00 
 1.264672e-02  1.193510e+00 
 1.304442e-02  1.154479e+00 
 1.344211e-02  1.114526e+00 
 1.383981e-02  1.073356e+00 
 1.423750e-02  1.031291e+00 
 1.463520e-02  9.880655e-01 
 1.503289e-02  9.434733e-01 
 1.543059e-02  8.974065e-01 
 1.582829e-02  8.502403e-01 
 1.622598e-02  8.020109e-01 
 1.662368e-02  7.525930e-01 
 1.702137e-02  7.018986e-01 
 1.741907e-02  6.500934e-01 
 1.781676e-02  5.974705e-01 
 1.821446e-02  5.438427e-01 
 1.861216e-02  4.888415e-01 
 1.900985e-02  4.327022e-01 
 1.940755e-02  3.756779e-01 
 1.980524e-02  3.177278e-01 
 2.020294e-02  2.585901e-01 
 2.060063e-02  1.984521e-01 
 2.099833e-02  1.369229e-01 
 2.139602e-02  7.402199e-02 
 2.179372e-02  9.606239e-03 
 2.219142e-02 -5.620133e-02 
 2.258911e-02 -1.233797e-01 
 2.298681e-02 -1.916181e-01 
 2.338450e-02 -2.608064e-01 
 2.378220e-02 -3.309157e-01 
 2.417989e-02 -4.021981e-01 
 2.457759e-02 -4.746564e-01 
 2.497529e-02 -5.484071e-01 
 2.537298e-02 -6.236286e-01 
 2.577068e-02 -7.001899e-01 
 2.616837e-02 -7.776747e-01 
 2.656607e-02 -8.558223e-01 
 2.696376e-02 -9.347763e-01 
 2.736146e-02 -1.014644e+00 
 2.775915e-02 -1.095694e+00 
 2.815685e-02 -1.178259e+00 
 2.855455e-02 -1.261677e+00 
 2.895224e-02 -1.346057e+00 
 2.934994e-02 -1.431191e+00 
 2.974763e-02 -1.516962e+00 
 3.014533e-02 -1.603559e+00 
 3.054302e-02 -1.690910e+00 
 3.094072e-02 -1.779377e+00 
 3.133842e-02 -1.868910e+00 
 3.173611e-02 -1.959548e+00 
 3.213381e-02 -2.050982e+00 
 3.253150e-02 -2.142933e+00 
 3.292920e-02 -2.235453e+00 
 3.332689e-02 -2.328490e+00 
 3.372459e-02 -2.422011e+00 
 3.412228e-02 -2.515989e+00 
 3.451998e-02 -2.610650e+00 
 3.491768e-02 -2.706253e+00 
 3.531537e-02 -2.802317e+00 
 3.571307e-02 -2.898959e+00 
 3.611076e-02 -2.996364e+00 
 3.650846e-02 -3.094035e+00 
 3.690615e-02 -3.192133e+00 
 3.730385e-02 -3.290671e+00 
 3.770155e-02 -3.389501e+00 
 3.809924e-02 -3.488524e+00 
 3.849694e-02 -3.588006e+00 
 3.889463e-02 -3.687594e+00 
 3.929233e-02 -3.787518e+00 
 3.969002e-02 -3.887758e+00 
 4.008772e-02 -3.988688e+00 
 4.048541e-02 -4.089920e+00 
 4.088311e-02 -4.191179e+00 
 4.128081e-02 -4.292435e+00 
 4.167850e-02 -4.394250e+00 
 4.207620e-02 -4.496454e+00 
 4.247389e-02 -4.598660e+00 
 4.287159e-02 -4.701036e+00 
 4.326928e-02 -4.803542e+00 
 4.366698e-02 -4.906115e+00 
 4.406468e-02 -5.008913e+00 
 4.446237e-02 -5.112246e+00 
 4.486007e-02 -5.215812e+00 
 4.525776e-02 -5.319980e+00 
 4.565546e-02 -5.424208e+00 
 4.605315e-02 -5.528156e+00 
 4.645085e-02 -5.631709e+00 
 4.684854e-02 -5.735313e+00 
 4.724624e-02 -5.839218e+00 
 4.764394e-02 -5.943177e+00 
 4.804163e-02 -6.047064e+00 
 4.843933e-02 -6.150643e+00 
 4.883702e-02 -6.253581e+00 
 4.923472e-02 -6.355827e+00 
 4.963241e-02 -6.457484e+00 
 5.003011e-02 -6.558684e+00 
 5.042781e-02 -6.659584e+00 
 5.082550e-02 -6.760010e+00 
 5.122320e-02 -6.859819e+00 
 5.162089e-02 -6.959090e+00 
 5.201859e-02 -7.057964e+00 
 5.241628e-02 -7.156506e+00 
 5.281398e-02 -7.254509e+00 
 5.321168e-02 -7.352159e+00 
 5.360937e-02 -7.449411e+00 
 5.400707e-02 -7.546621e+00 
 5.440476e-02 -7.643670e+00 
 5.480246e-02 -7.740810e+00 
 5.520015e-02 -7.837584e+00 
 5.559785e-02 -7.933602e+00 
 5.599554e-02 -8.028659e+00 
 5.639324e-02 -8.123009e+00 
 5.679094e-02 -8.216325e+00 
 5.718863e-02 -8.308766e+00 
 5.758633e-02 -8.400389e+00 
 5.798402e-02 -8.490995e+00 
 5.838172e-02 -8.580522e+00 
 5.877941e-02 -8.669305e+00 
 5.917711e-02 -8.757384e+00 
 5.957481e-02 -8.844834e+00 
 5.997250e-02 -8.931302e+00 
 6.037020e-02 -9.016708e+00 
 6.076789e-02 -9.100638e+00 
 6.116559e-02 -9.183169e+00 
 6.156328e-02 -9.264286e+00 
 6.196098e-02 -9.344379e+00 
 6.235867e-02 -9.423111e+00 
 6.275637e-02 -9.500409e+00 
 6.315407e-02 -9.576396e+00 
 6.355176e-02 -9.650827e+00 
 6.394946e-02 -9.723974e+00 
 6.434715e-02 -9.796644e+00 
 6.474485e-02 -9.868726e+00 
 6.514254e-02 -9.939972e+00 
 6.554024e-02 -1.001014e+01 
 6.593794e-02 -1.007857e+01 
 6.633563e-02 -1.014570e+01 
 6.673333e-02 -1.021121e+01 
 6.713102e-02 -1.027552e+01 
 6.752872e-02 -1.033872e+01 
 6.792641e-02 -1.040078e+01 
 6.832411e-02 -1.046108e+01 
 6.872180e-02 -1.051957e+01 
 6.911950e-02 -1.057645e+01 
 6.951720e-02 -1.063177e+01 
 6.991489e-02 -1.068537e+01 
 7.031259e-02 -1.073725e+01 
 7.071028e-02 -1.078757e+01 
 7.110798e-02 -1.083607e+01 
 7.150567e-02 -1.088295e+01 
 7.190337e-02 -1.092811e+01 
 7.230107e-02 -1.097183e+01 
 7.269876e-02 -1.101390e+01 
 7.309646e-02 -1.105401e+01 
 7.349415e-02 -1.109237e+01 
 7.389185e-02 -1.112880e+01 
 7.428954e-02 -1.116336e+01 
 7.468724e-02 -1.119636e+01 
 7.508493e-02 -1.122771e+01 
 7.548263e-02 -1.125703e+01 
 7.588033e-02 -1.128456e+01 
 7.627802e-02 -1.131031e+01 
 7.667572e-02 -1.133394e+01 
 7.707341e-02 -1.135576e+01 
 7.747111e-02 -1.137568e+01 
 7.786880e-02 -1.139339e+01 
 7.826650e-02 -1.140955e+01 
 7.866420e-02 -1.142406e+01 
 7.906189e-02 -1.143695e+01 
 7.945959e-02 -1.144826e+01 
 7.985728e-02 -1.145770e+01 
 8.025498e-02 -1.146506e+01 
 8.065267e-02 -1.147036e+01 
 8.105037e-02 -1.147365e+01 
 8.144806e-02 -1.147512e+01 
 8.184576e-02 -1.147500e+01 
 8.224346e-02 -1.147292e+01 
 8.264115e-02 -1.146852e+01 
 8.303885e-02 -1.146220e+01 
 8.343654e-02 -1.145381e+01 
 8.383424e-02 -1.144350e+01 
 8.423193e-02 -1.143143e+01 
 8.462963e-02 -1.141785e+01 
 8.502733e-02 -1.140209e+01 
 8.542502e-02 -1.138439e+01 
 8.582272e-02 -1.136438e+01 
 8.622041e-02 -1.134229e+01 
 8.661811e-02 -1.131819e+01 
 8.701580e-02 -1.129240e+01 
 8.741350e-02 -1.126480e+01 
 8.781119e-02 -1.123536e+01 
 8.820889e-02 -1.120378e+01 
 8.860659e-02 -1.117049e+01 
 8.900428e-02 -1.113571e+01 
 8.940198e-02 -1.109928e+01 
 8.979967e-02 -1.106137e+01 
 9.019737e-02 -1.102176e+01 
 9.059506e-02 -1.098026e+01 
 9.099276e-02 -1.093695e+01 
 9.139046e-02 -1.089189e+01 
 9.178815e-02 -1.084502e+01 
 9.218585e-02 -1.079652e+01 
 9.258354e-02 -1.074657e+01 
 9.298124e-02 -1.069505e+01 
 9.337893e-02 -1.064189e+01 
 9.377663e-02 -1.058702e+01 
 9.417432e-02 -1.053050e+01 
 9.457202e-02 -1.047232e+01 
 9.496972e-02 -1.041217e+01 
 9.536741e-02 -1.035034e+01 
 9.576511e-02 -1.028730e+01 
 9.616280e-02 -1.022272e+01 
 9.656050e-02 -1.015638e+01 
 9.695819e-02 -1.008824e+01 
 9.735589e-02 -1.001847e+01 
 9.775359e-02 -9.947183e+00 
 9.815128e-02 -9.874363e+00 
 9.854898e-02 -9.800166e+00 
 9.894667e-02 -9.724573e+00 
 9.934437e-02 -9.647559e+00 
 9.974206e-02 -9.569001e+00 
 1.001398e-01 -9.488693e+00 
 1.005375e-01 -9.406651e+00 
 1.009352e-01 -9.323231e+00 
 1.013328e-01 -9.238430e+00 
 1.017305e-01 -9.151925e+00 
 1.021282e-01 -9.063971e+00 
 1.025259e-01 -8.974315e+00 
 1.029236e-01 -8.883408e+00 
 1.033213e-01 -8.791353e+00 
 1.037190e-01 -8.698113e+00 
 1.041167e-01 -8.603511e+00 
 1.045144e-01 -8.507888e+00 
 1.049121e-01 -8.410732e+00 
 1.053098e-01 -8.312086e+00 
 1.057075e-01 -8.211887e+00 
 1.061052e-01 -8.110495e+00 
 1.065029e-01 -8.008131e+00 
 1.069006e-01 -7.904552e+00 
 1.072983e-01 -7.799688e+00 
 1.076960e-01 -7.693853e+00 
 1.080937e-01 -7.587007e+00 
 1.084914e-01 -7.478817e+00 
 1.088891e-01 -7.369475e+00 
 1.092868e-01 -7.258980e+00 
 1.096845e-01 -7.147043e+00 
 1.100821e-01 -7.033664e+00 
 1.104798e-01 -6.919027e+00 
 1.108775e-01 -6.803337e+00 
 1.112752e-01 -6.686601e+00 
 1.116729e-01 -6.569021e+00 
 1.120706e-01 -6.450671e+00 
 1.124683e-01 -6.331530e+00 
 1.128660e-01 -6.211109e+00 
 1.132637e-01 -6.089940e+00 
 1.136614e-01 -5.968077e+00 
 1.140591e-01 -5.845029e+00 
 1.144568e-01 -5.720827e+00 
 1.148545e-01 -5.596083e+00 
 1.152522e-01 -5.470634e+00 
 1.156499e-01 -5.344659e+00 
 1.160476e-01 -5.217925e+00 
 1.164453e-01 -5.090310e+00 
 1.168430e-01 -4.961840e+00 
 1.172407e-01 -4.832428e+00 
 1.176384e-01 -4.702208e+00 
 1.180361e-01 -4.571134e+00 
 1.184338e-01 -4.439313e+00 
 1.188315e-01 -4.306808e+00 
 1.192291e-01 -4.173264e+00 
 1.196268e-01 -4.038709e+00 
 1.200245e-01 -3.903222e+00 
 1.204222e-01 -3.767172e+00 
 1.208199e-01 -3.630527e+00 
 1.212176e-01 -3.493481e+00 
 1.216153e-01 -3.355588e+00 
 1.220130e-01 -3.217126e+00 
 1.224107e-01 -3.078128e+00 
 1.228084e-01 -2.938630e+00 
 1.232061e-01 -2.798541e+00 
 1.236038e-01 -2.658092e+00 
 1.240015e-01 -2.517141e+00 
 1.243992e-01 -2.375692e+00 
 1.247969e-01 -2.233497e+00 
 1.251946e-01 -2.090740e+00 
 1.255923e-01 -1.947552e+00 
 1.259900e-01 -1.803966e+00 
 1.263877e-01 -1.660007e+00 
 1.267854e-01 -1.515504e+00 
 1.271831e-01 -1.370354e+00 
 1.275808e-01 -1.224830e+00 
 1.279785e-01 -1.078700e+00 
 1.283761e-01 -9.321927e-01 
 1.287738e-01 -7.849122e-01 
 1.291715e-01 -6.368914e-01 
 1.295692e-01 -4.882240e-01 
 1.299669e-01 -3.388941e-01 
 1.303646e-01 -1.888546e-01 
 1.307623e-01 -3.838468e-02 
 1.311600e-01  1.121433e-01 
 1.315577e-01  2.628688e-01 
 1.319554e-01  4.137671e-01 
 1.323531e-01  5.643980e-01 
 1.327508e-01  7.147910e-01 
 1.331485e-01  8.650141e-01 
 1.335462e-01  1.015404e+00 
 1.339439e-01  1.165798e+00 
 1.343416e-01  1.316269e+00 
 1.347393e-01  1.466448e+00 
 1.351370e-01  1.616562e+00 
 1.355347e-01  1.766588e+00 
 1.359324e-01  1.916632e+00 
 1.363301e-01  2.066686e+00 
 1.367278e-01  2.216719e+00 
 1.371255e-01  2.366822e+00 
 1.375231e-01  2.516770e+00 
 1.379208e-01  2.666562e+00 
 1.383185e-01  2.816327e+00 
 1.387162e-01  2.965968e+00 
 1.391139e-01  3.115609e+00 
 1.395116e-01  3.265018e+00 
 1.399093e-01  3.414267e+00 
 1.403070e-01  3.563078e+00 
 1.407047e-01  3.711765e+00 
 1.411024e-01  3.860068e+00 
 1.415001e-01  4.008109e+00 
 1.418978e-01  4.155603e+00 
 1.422955e-01  4.302740e+00 
 1.426932e-01  4.449267e+00 
 1.430909e-01  4.595159e+00 
 1.434886e-01  4.740425e+00 
 1.438863e-01  4.885196e+00 
 1.442840e-01  5.029695e+00 
 1.446817e-01  5.174082e+00 
 1.450794e-01  5.318205e+00 
 1.454771e-01  5.461718e+00 
 1.458748e-01  5.604430e+00 
 1.462725e-01  5.746544e+00 
 1.466701e-01  5.887978e+00 
 1.470678e-01  6.028638e+00 
 1.474655e-01  6.168510e+00 
 1.478632e-01  6.307368e+00 
 1.482609e-01  6.445327e+00 
 1.486586e-01  6.581908e+00 
 1.490563e-01  6.717442e+00 
 1.494540e-01  6.852177e+00 
 1.498517e-01  6.986145e+00 
 1.502494e-01  7.119261e+00 
 1.506471e-01  7.251381e+00 
 1.510448e-01  7.382807e+00 
 1.514425e-01  7.513235e+00 
 1.518402e-01  7.642793e+00 
 1.522379e-01  7.771281e+00 
 1.526356e-01  7.898764e+00 
 1.530333e-01  8.025330e+00 
 1.534310e-01  8.151020e+00 
 1.538287e-01  8.275593e+00 
 1.542264e-01  8.399264e+00 
 1.546241e-01  8.522161e+00 
 1.550218e-01  8.644189e+00 
 1.554195e-01  8.765026e+00 
 1.558171e-01  8.884720e+00 
 1.562148e-01  9.003110e+00 
 1.566125e-01  9.119985e+00 
 1.570102e-01  9.235528e+00 
 1.574079e-01  9.349354e+00 
 1.578056e-01  9.461684e+00 
 1.582033e-01  9.572522e+00 
 1.586010e-01  9.681928e+00 
 1.589987e-01  9.790101e+00 
 1.593964e-01  9.896694e+00 
 1.597941e-01  1.000230e+01 
 1.601918e-01  1.010647e+01 
 1.605895e-01  1.020938e+01 
 1.609872e-01  1.031084e+01 
 1.613849e-01  1.041105e+01 
 1.617826e-01  1.050989e+01 
 1.621803e-01  1.060747e+01 
 1.625780e-01  1.070378e+01 
 1.629757e-01  1.079849e+01 
 1.633734e-01  1.089166e+01 
 1.637711e-01  1.098344e+01 
 1.641688e-01  1.107409e+01 
 1.645665e-01  1.116358e+01 
 1.649641e-01  1.125182e+01 
 1.653618e-01  1.133851e+01 
 1.657595e-01  1.142361e+01 
 1.661572e-01  1.150704e+01 
 1.665549e-01  1.158880e+01 
 1.669526e-01  1.166891e+01 
 1.673503e-01  1.174749e+01 
 1.677480e-01  1.182433e+01 
 1.681457e-01  1.189917e+01 
 1.685434e-01  1.197216e+01 
 1.689411e-01  1.204325e+01 
 1.693388e-01  1.211283e+01 
 1.697365e-01  1.218071e+01 
 1.701342e-01  1.224699e+01 
 1.705319e-01  1.231168e+01 
 1.709296e-01  1.237466e+01 
 1.713273e-01  1.243573e+01 
 1.717250e-01  1.249487e+01 
 1.721227e-01  1.255250e+01 
 1.725204e-01  1.260840e+01 
 1.729181e-01  1.266264e+01 
 1.733158e-01  1.271494e+01 
 1.737135e-01  1.276549e+01 
 1.741111e-01  1.281444e+01 
 1.745088e-01  1.286203e+01 
 1.749065e-01  1.290794e+01 
 1.753042e-01  1.295256e+01 
 1.757019e-01  1.299561e+01 
 1.760996e-01  1.303680e+01 
 1.764973e-01  1.307581e+01 
 1.768950e-01  1.311277e+01 
 1.772927e-01  1.314772e+01 
 1.776904e-01  1.318083e+01 
 1.780881e-01  1.321175e+01 
 1.784858e-01  1.324087e+01 
 1.788835e-01  1.326788e+01 
 1.792812e-01  1.329316e+01 
 1.796789e-01  1.331674e+01 
 1.800766e-01  1.333868e+01 
 1.804743e-01  1.335869e+01 
 1.808720e-01  1.337704e+01 
 1.812697e-01  1.339361e+01 
 1.816674e-01  1.340830e+01 
 1.820651e-01  1.342104e+01 
 1.824628e-01  1.343194e+01 
 1.828604e-01  1.344082e+01 
 1.832581e-01  1.344770e+01 
 1.836558e-01  1.345284e+01 
 1.840535e-01  1.345616e+01 
 1.844512e-01  1.345793e+01 
 1.848489e-01  1.345810e+01 
 1.852466e-01  1.345641e+01 
 1.856443e-01  1.345327e+01 
 1.860420e-01  1.344837e+01 
 1.864397e-01  1.344189e+01 
 1.868374e-01  1.343375e+01 
 1.872351e-01  1.342424e+01 
 1.876328e-01  1.341321e+01 
 1.880305e-01  1.340052e+01 
 1.884282e-01  1.338598e+01 
 1.888259e-01  1.336943e+01 
 1.892236e-01  1.335102e+01 
 1.896213e-01  1.333058e+01 
 1.900190e-01  1.330808e+01 
 1.904167e-01  1.328356e+01 
 1.908144e-01  1.325719e+01 
 1.912121e-01  1.322933e+01 
 1.916098e-01  1.320009e+01 
 1.920074e-01  1.316937e+01 
 1.924051e-01  1.313689e+01 
 1.928028e-01  1.310254e+01 
 1.932005e-01  1.306656e+01 
 1.935982e-01  1.302902e+01 
 1.939959e-01  1.298966e+01 
 1.943936e-01  1.294871e+01 
 1.947913e-01  1.290639e+01 
 1.951890e-01  1.286268e+01 
 1.955867e-01  1.281752e+01 
 1.959844e-01  1.277108e+01 
 1.963821e-01  1.272346e+01 
 1.967798e-01  1.267477e+01 
 1.971775e-01  1.262467e+01 
 1.975752e-01  1.257314e+01 
 1.979729e-01  1.252035e+01 
 1.983706e-01  1.246616e+01 
 1.987683e-01  1.241057e+01 
 1.991660e-01  1.235356e+01 
 1.995637e-01  1.229520e+01 
 1.999614e-01  1.223566e+01 
 2.003591e-01  1.217441e+01 
 2.007568e-01  1.211204e+01 
 2.011544e-01  1.204892e+01 
 2.015521e-01  1.198477e+01 
 2.019498e-01  1.191950e+01 
 2.023475e-01  1.185293e+01 
 2.027452e-01  1.178524e+01 
 2.031429e-01  1.171607e+01 
 2.035406e-01  1.164570e+01 
 2.039383e-01  1.157404e+01 
 2.043360e-01  1.150109e+01 
 2.047337e-01  1.142673e+01 
 2.051314e-01  1.135121e+01 
 2.055291e-01  1.127473e+01 
 2.059268e-01  1.119750e+01 
 2.063245e-01  1.111929e+01 
 2.067222e-01  1.104021e+01 
 2.071199e-01  1.096040e+01 
 2.075176e-01  1.088001e+01 
 2.079153e-01  1.079883e+01 
 2.083130e-01  1.071694e+01 
 2.087107e-01  1.063449e+01 
 2.091084e-01  1.055097e+01 
 2.095061e-01  1.046649e+01 
 2.099038e-01  1.038085e+01 
 2.103014e-01  1.029415e+01 
 2.106991e-01  1.020641e+01 
 2.110968e-01  1.011782e+01 
 2.114945e-01  1.002808e+01 
 2.118922e-01  9.937492e+00 
 2.122899e-01  9.845817e+00 
 2.126876e-01  9.753502e+00 
 2.130853e-01  9.660005e+00 
 2.134830e-01  9.565524e+00 
 2.138807e-01  9.470442e+00 
 2.142784e-01  9.374853e+00 
 2.146761e-01  9.278615e+00 
 2.150738e-01  9.181753e+00 
 2.154715e-01  9.084660e+00 
 2.158692e-01  8.987497e+00 
 2.162669e-01  8.890008e+00 
 2.166646e-01  8.792291e+00 
 2.170623e-01  8.694195e+00 
 2.174600e-01  8.595591e+00 
 2.178577e-01  8.496650e+00 
 2.182554e-01  8.397263e+00 
 2.186531e-01  8.297508e+00 
 2.190508e-01  8.197187e+00 
 2.194484e-01  8.096200e+00 
 2.198461e-01  7.994663e+00 
 2.202438e-01  7.892723e+00 
 2.206415e-01  7.790559e+00 
 2.210392e-01  7.688135e+00 
 2.214369e-01  7.585686e+00 
 2.218346e-01  7.483120e+00 
 2.222323e-01  7.380570e+00 
 2.226300e-01  7.277719e+00 
 2.230277e-01  7.174681e+00 
 2.234254e-01  7.071480e+00 
 2.238231e-01  6.968415e+00 
 2.242208e-01  6.865064e+00 
 2.246185e-01  6.761513e+00 
 2.250162e-01  6.657723e+00 
 2.254139e-01  6.553909e+00 
 2.258116e-01  6.449889e+00 
 2.262093e-01  6.346231e+00 
 2.266070e-01  6.242602e+00 
 2.270047e-01  6.138978e+00 
 2.274024e-01  6.035328e+00 
 2.278001e-01  5.931859e+00 
 2.281978e-01  5.828414e+00 
 2.285954e-01  5.725245e+00 
 2.289931e-01  5.622212e+00 
 2.293908e-01  5.518993e+00 
 2.297885e-01  5.415909e+00 
 2.301862e-01  5.313058e+00 
 2.305839e-01  5.210623e+00 
 2.309816e-01  5.108584e+00 
 2.313793e-01  5.006917e+00 
 2.317770e-01  4.905601e+00 
 2.321747e-01  4.804568e+00 
 2.325724e-01  4.703720e+00 
 2.329701e-01  4.602980e+00 
 2.333678e-01  4.502469e+00 
 2.337655e-01  4.402301e+00 
 2.341632e-01  4.302408e+00 
 2.345609e-01  4.202621e+00 
 2.349586e-01  4.103219e+00 
 2.353563e-01  4.004374e+00 
 2.357540e-01  3.906282e+00 
 2.361517e-01  3.808760e+00 
 2.365494e-01  3.711907e+00 
 2.369471e-01  3.615788e+00 
 2.373448e-01  3.520316e+00 
 2.377424e-01  3.425429e+00 
 2.381401e-01  3.331144e+00 
 2.385378e-01  3.237656e+00 
 2.389355e-01  3.144685e+00 
 2.393332e-01  3.052350e+00 
 2.397309e-01  2.960276e+00 
 2.401286e-01  2.868875e+00 
 2.405263e-01  2.778157e+00 
 2.409240e-01  2.688467e+00 
 2.413217e-01  2.599590e+00 
 2.417194e-01  2.511523e+00 
 2.421171e-01  2.424310e+00 
 2.425148e-01  2.337987e+00 
 2.429125e-01  2.252654e+00 
 2.433102e-01  2.167949e+00 
 2.437079e-01  2.084447e+00 
 2.441056e-01  2.001689e+00 
 2.445033e-01  1.919852e+00 
 2.449010e-01  1.838900e+00 
 2.452987e-01  1.758905e+00 
 2.456964e-01  1.679775e+00 
 2.460941e-01  1.601810e+00 
 2.464918e-01  1.524953e+00 
 2.468894e-01  1.449178e+00 
 2.472871e-01  1.374175e+00 
 2.476848e-01  1.300441e+00 
 2.480825e-01  1.227689e+00 
 2.484802e-01  1.155849e+00 
 2.488779e-01  1.085235e+00 
 2.492756e-01  1.015457e+00 
 2.496733e-01  9.466673e-01 
 2.500710e-01  8.787165e-01 
 2.504687e-01  8.117341e-01 
 2.508664e-01  7.462237e-01 
 2.512641e-01  6.821110e-01 
 2.516618e-01  6.193440e-01 
 2.520595e-01  5.579969e-01 
 2.524572e-01  4.977712e-01 
 2.528549e-01  4.389406e-01 
