         time tilt_beam_... 
------------- ------------- 
 1.988478e-04 -2.144737e-01 
 5.965434e-04 -2.143895e-01 
 9.942391e-04 -2.141072e-01 
 1.391935e-03 -2.136116e-01 
 1.789630e-03 -2.129009e-01 
 2.187326e-03 -2.119881e-01 
 2.585022e-03 -2.108591e-01 
 2.982717e-03 -2.095297e-01 
 3.380413e-03 -2.080552e-01 
 3.778108e-03 -2.064306e-01 
 4.175804e-03 -2.046348e-01 
 4.573500e-03 -2.026211e-01 
 4.971195e-03 -2.003652e-01 
 5.368891e-03 -1.978894e-01 
 5.766587e-03 -1.952171e-01 
 6.164282e-03 -1.923742e-01 
 6.561978e-03 -1.893479e-01 
 6.959673e-03 -1.861504e-01 
 7.357369e-03 -1.827731e-01 
 7.755065e-03 -1.791716e-01 
 8.152760e-03 -1.753173e-01 
 8.550456e-03 -1.711930e-01 
 8.948152e-03 -1.669058e-01 
 9.345847e-03 -1.625264e-01 
 9.743543e-03 -1.580542e-01 
 1.014124e-02 -1.534956e-01 
 1.053893e-02 -1.488137e-01 
 1.093663e-02 -1.439291e-01 
 1.133433e-02 -1.387840e-01 
 1.173202e-02 -1.334179e-01 
 1.212972e-02 -1.278409e-01 
 1.252741e-02 -1.221001e-01 
 1.292511e-02 -1.162021e-01 
 1.332280e-02 -1.101266e-01 
 1.372050e-02 -1.038810e-01 
 1.411819e-02 -9.748090e-02 
 1.451589e-02 -9.092302e-02 
 1.491359e-02 -8.417901e-02 
 1.531128e-02 -7.724424e-02 
 1.570898e-02 -7.014406e-02 
 1.610667e-02 -6.290118e-02 
 1.650437e-02 -5.549157e-02 
 1.690206e-02 -4.790060e-02 
 1.729976e-02 -4.010428e-02 
 1.769746e-02 -3.214128e-02 
 1.809515e-02 -2.400737e-02 
 1.849285e-02 -1.570591e-02 
 1.889054e-02 -7.191904e-03 
 1.928824e-02  1.561042e-03 
 1.968593e-02  1.053454e-02 
 2.008363e-02  1.970921e-02 
 2.048132e-02  2.906194e-02 
 2.087902e-02  3.857223e-02 
 2.127672e-02  4.820672e-02 
 2.167441e-02  5.802993e-02 
 2.207211e-02  6.807449e-02 
 2.246980e-02  7.832779e-02 
 2.286750e-02  8.876713e-02 
 2.326519e-02  9.934934e-02 
 2.366289e-02  1.100380e-01 
 2.406059e-02  1.208737e-01 
 2.445828e-02  1.318657e-01 
 2.485598e-02  1.430355e-01 
 2.525367e-02  1.543768e-01 
 2.565137e-02  1.659104e-01 
 2.604906e-02  1.776099e-01 
 2.644676e-02  1.894117e-01 
 2.684445e-02  2.013441e-01 
 2.724215e-02  2.134326e-01 
 2.763985e-02  2.257144e-01 
 2.803754e-02  2.382189e-01 
 2.843524e-02  2.509402e-01 
 2.883293e-02  2.638088e-01 
 2.923063e-02  2.768087e-01 
 2.962832e-02  2.898861e-01 
 3.002602e-02  3.030414e-01 
 3.042372e-02  3.163142e-01 
 3.082141e-02  3.297228e-01 
 3.121911e-02  3.432713e-01 
 3.161680e-02  3.569759e-01 
 3.201450e-02  3.707976e-01 
 3.241219e-02  3.847175e-01 
 3.280989e-02  3.987411e-01 
 3.320758e-02  4.128370e-01 
 3.360528e-02  4.270192e-01 
 3.400298e-02  4.413158e-01 
 3.440067e-02  4.557261e-01 
 3.479837e-02  4.702691e-01 
 3.519606e-02  4.849424e-01 
 3.559376e-02  4.997240e-01 
 3.599145e-02  5.145764e-01 
 3.638915e-02  5.294488e-01 
 3.678685e-02  5.443946e-01 
 3.718454e-02  5.594141e-01 
 3.758224e-02  5.744952e-01 
 3.797993e-02  5.896266e-01 
 3.837763e-02  6.048405e-01 
 3.877532e-02  6.201189e-01 
 3.917302e-02  6.354520e-01 
 3.957071e-02  6.508441e-01 
 3.996841e-02  6.662945e-01 
 4.036611e-02  6.818257e-01 
 4.076380e-02  6.973970e-01 
 4.116150e-02  7.129971e-01 
 4.155919e-02  7.286289e-01 
 4.195689e-02  7.442958e-01 
 4.235458e-02  7.599716e-01 
 4.275228e-02  7.756789e-01 
 4.314998e-02  7.914237e-01 
 4.354767e-02  8.072062e-01 
 4.394537e-02  8.230152e-01 
 4.434306e-02  8.388431e-01 
 4.474076e-02  8.546836e-01 
 4.513845e-02  8.705079e-01 
 4.553615e-02  8.863465e-01 
 4.593385e-02  9.021628e-01 
 4.633154e-02  9.179411e-01 
 4.672924e-02  9.336762e-01 
 4.712693e-02  9.494097e-01 
 4.752463e-02  9.651648e-01 
 4.792232e-02  9.808634e-01 
 4.832002e-02  9.964732e-01 
 4.871771e-02  1.012003e+00 
 4.911541e-02  1.027443e+00 
 4.951311e-02  1.042807e+00 
 4.991080e-02  1.058109e+00 
 5.030850e-02  1.073345e+00 
