         time tilt_full_... 
------------- ------------- 
 3.976956e-05  6.079862e-02 
 4.374652e-04  6.085145e-02 
 8.351608e-04  6.084818e-02 
 1.232856e-03  6.077873e-02 
 1.630552e-03  6.065612e-02 
 2.028248e-03  6.047071e-02 
 2.425943e-03  6.022493e-02 
 2.823639e-03  5.990964e-02 
 3.221335e-03  5.953653e-02 
 3.619030e-03  5.911284e-02 
 4.016726e-03  5.864658e-02 
 4.414421e-03  5.812189e-02 
 4.812117e-03  5.753853e-02 
 5.209813e-03  5.688294e-02 
 5.607508e-03  5.615677e-02 
 6.005204e-03  5.537026e-02 
 6.402900e-03  5.452187e-02 
 6.800595e-03  5.362231e-02 
 7.198291e-03  5.266671e-02 
 7.595986e-03  5.165404e-02 
 7.993682e-03  5.057111e-02 
 8.391378e-03  4.940663e-02 
 8.789073e-03  4.817482e-02 
 9.186769e-03  4.690960e-02 
 9.584465e-03  4.562066e-02 
 9.982160e-03  4.429802e-02 
 1.037986e-02  4.294309e-02 
 1.077755e-02  4.154968e-02 
 1.117525e-02  4.008831e-02 
 1.157294e-02  3.855167e-02 
 1.197064e-02  3.694075e-02 
 1.236833e-02  3.527100e-02 
 1.276603e-02  3.354419e-02 
 1.316373e-02  3.177640e-02 
 1.356142e-02  2.995777e-02 
 1.395912e-02  2.809510e-02 
 1.435681e-02  2.618598e-02 
 1.475451e-02  2.422538e-02 
 1.515220e-02  2.219091e-02 
 1.554990e-02  2.009224e-02 
 1.594759e-02  1.795116e-02 
 1.634529e-02  1.576507e-02 
 1.674299e-02  1.352042e-02 
 1.714068e-02  1.120736e-02 
 1.753838e-02  8.827416e-03 
 1.793607e-02  6.393930e-03 
 1.833377e-02  3.902678e-03 
 1.873146e-02  1.339544e-03 
 1.912916e-02 -1.294714e-03 
 1.952686e-02 -3.996933e-03 
 1.992455e-02 -6.752373e-03 
 2.032225e-02 -9.570523e-03 
 2.071994e-02 -1.243681e-02 
 2.111764e-02 -1.532794e-02 
 2.151533e-02 -1.826221e-02 
 2.191303e-02 -2.124849e-02 
 2.231072e-02 -2.430055e-02 
 2.270842e-02 -2.740870e-02 
 2.310612e-02 -3.057708e-02 
 2.350381e-02 -3.378644e-02 
 2.390151e-02 -3.703997e-02 
 2.429920e-02 -4.034784e-02 
 2.469690e-02 -4.370426e-02 
 2.509459e-02 -4.712538e-02 
 2.549229e-02 -5.062045e-02 
 2.588999e-02 -5.417177e-02 
 2.628768e-02 -5.776017e-02 
 2.668538e-02 -6.138509e-02 
 2.708307e-02 -6.505138e-02 
 2.748077e-02 -6.876492e-02 
 2.787846e-02 -7.255084e-02 
 2.827616e-02 -7.640029e-02 
 2.867385e-02 -8.028982e-02 
 2.907155e-02 -8.422465e-02 
 2.946925e-02 -8.819237e-02 
 2.986694e-02 -9.218985e-02 
 3.026464e-02 -9.621597e-02 
 3.066233e-02 -1.002902e-01 
 3.106003e-02 -1.044066e-01 
 3.145772e-02 -1.085745e-01 
 3.185542e-02 -1.127850e-01 
 3.225312e-02 -1.170323e-01 
 3.265081e-02 -1.213258e-01 
 3.304851e-02 -1.256444e-01 
 3.344620e-02 -1.299929e-01 
 3.384390e-02 -1.343660e-01 
 3.424159e-02 -1.387690e-01 
 3.463929e-02 -1.432137e-01 
 3.503698e-02 -1.476998e-01 
 3.543468e-02 -1.522272e-01 
 3.583238e-02 -1.567950e-01 
 3.623007e-02 -1.613813e-01 
 3.662777e-02 -1.659907e-01 
 3.702546e-02 -1.706228e-01 
 3.742316e-02 -1.752655e-01 
 3.782085e-02 -1.799251e-01 
 3.821855e-02 -1.845984e-01 
 3.861625e-02 -1.892851e-01 
 3.901394e-02 -1.939713e-01 
 3.941164e-02 -1.986775e-01 
 3.980933e-02 -2.034089e-01 
 4.020703e-02 -2.081798e-01 
 4.060472e-02 -2.129643e-01 
 4.100242e-02 -2.177616e-01 
 4.140011e-02 -2.225677e-01 
 4.179781e-02 -2.274073e-01 
 4.219551e-02 -2.322578e-01 
 4.259320e-02 -2.371277e-01 
 4.299090e-02 -2.420128e-01 
